QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,TORONTO_ACTION,LA CLIPPERS_SCORE,TORONTO_SCORE
1,11:42.0,,F. VanVleet misses 2-pt jump shot from 20 ft,0,0
1,11:39.0,Defensive rebound by A. Bradley,,0,0
1,11:26.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,2,0
1,11:12.0,,Offensive foul by S. Ibaka (drawn by M. Harrell),2,0
1,11:12.0,,Turnover by S. Ibaka (offensive foul),2,0
1,10:56.0,T. Harris misses 2-pt jump shot from 7 ft,,2,0
1,10:54.0,,Defensive rebound by S. Ibaka,2,0
1,10:40.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Leonard),2,2
1,10:26.0,P. Beverley misses 2-pt jump shot from 6 ft,,2,2
1,10:23.0,,Defensive rebound by D. Green,2,2
1,10:18.0,,S. Ibaka misses 2-pt jump shot from 6 ft,2,2
1,10:14.0,Defensive rebound by M. Harrell,,2,2
1,10:09.0,P. Beverley misses 2-pt jump shot from 8 ft,,2,2
1,10:04.0,Offensive rebound by S. Gilgeous-Alexander,,2,2
1,10:00.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,,2,2
1,9:57.0,,Defensive rebound by S. Ibaka,2,2
1,9:49.0,,S. Ibaka misses 3-pt jump shot from 27 ft,2,2
1,9:46.0,Defensive rebound by P. Beverley,,2,2
1,9:39.0,T. Harris makes 2-pt jump shot from 8 ft,,4,2
1,9:28.0,,F. VanVleet makes 2-pt layup from 1 ft,4,4
1,9:14.0,Def 3 sec tech foul by Team,,4,4
1,9:14.0,T. Harris makes technical free throw,,5,4
1,9:10.0,S. Gilgeous-Alexander makes 2-pt jump shot from 11 ft (assist by P. Beverley),,7,4
1,9:10.0,Shooting foul by F. VanVleet (drawn by S. Gilgeous-Alexander),,7,4
1,9:10.0,S. Gilgeous-Alexander misses free throw 1 of 1,,7,4
1,9:08.0,,Defensive rebound by S. Ibaka,7,4
1,8:59.0,,Shooting foul by A. Bradley (drawn by K. Leonard),7,4
1,8:59.0,,K. Leonard makes free throw 1 of 2,7,5
1,8:59.0,,K. Leonard makes free throw 2 of 2,7,6
1,8:52.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,9,6
1,8:34.0,,S. Ibaka makes 2-pt layup from 1 ft,9,8
1,8:20.0,A. Bradley misses 3-pt jump shot from 23 ft,,9,8
1,8:16.0,,Defensive rebound by P. Siakam,9,8
1,8:07.0,,K. Leonard makes 2-pt jump shot from 5 ft,9,10
1,8:07.0,,Shooting foul by A. Bradley (drawn by K. Leonard),9,10
1,8:07.0,,K. Leonard makes free throw 1 of 1,9,11
1,8:01.0,T. Harris misses 3-pt jump shot from 26 ft,,9,11
1,7:56.0,,Defensive rebound by D. Green,9,11
1,7:36.0,,P. Siakam misses 3-pt jump shot from 24 ft,9,11
1,7:32.0,,Offensive rebound by S. Ibaka,9,11
1,7:24.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Leonard),9,14
1,7:06.0,A. Bradley makes 2-pt jump shot from 5 ft,,11,14
1,6:40.0,,P. Siakam misses 3-pt jump shot from 23 ft,11,14
1,6:36.0,Defensive rebound by A. Bradley,,11,14
1,6:20.0,T. Harris misses 2-pt jump shot from 9 ft,,11,14
1,6:18.0,,Defensive rebound by Team,11,14
1,6:18.0,,Toronto full timeout,11,14
1,6:18.0,M. Scott enters the game for A. Bradley,,11,14
1,6:05.0,,P. Siakam misses 2-pt jump shot from 4 ft,11,14
1,6:03.0,,Offensive rebound by S. Ibaka,11,14
1,6:03.0,,S. Ibaka misses 2-pt layup from 2 ft,11,14
1,6:03.0,,Offensive rebound by P. Siakam,11,14
1,6:03.0,,P. Siakam misses 2-pt layup from 1 ft (block by M. Harrell),11,14
1,6:03.0,Defensive rebound by Team,,11,14
1,6:03.0,,Loose ball foul by P. Siakam (drawn by P. Beverley),11,14
1,5:48.0,T. Harris misses 2-pt layup from 1 ft,,11,14
1,5:46.0,,Defensive rebound by P. Siakam,11,14
1,5:45.0,,P. Siakam misses 2-pt layup from 5 ft (block by S. Gilgeous-Alexander),11,14
1,5:44.0,Defensive rebound by Team,,11,14
1,5:34.0,T. Harris misses 3-pt jump shot from 26 ft,,11,14
1,5:34.0,,Defensive rebound by F. VanVleet,11,14
1,5:27.0,,D. Green makes 2-pt layup from 1 ft (assist by F. VanVleet),11,16
1,5:17.0,S. Gilgeous-Alexander misses 2-pt jump shot from 19 ft,,11,16
1,5:17.0,,Defensive rebound by S. Ibaka,11,16
1,5:00.0,,F. VanVleet makes 3-pt jump shot from 23 ft (assist by D. Green),11,19
1,4:39.0,T. Harris misses 2-pt jump shot from 4 ft,,11,19
1,4:39.0,,Defensive rebound by P. Siakam,11,19
1,4:27.0,,S. Ibaka makes 2-pt hook shot from 6 ft,11,21
1,4:22.0,LA Clippers full timeout,,11,21
1,4:22.0,L. Williams enters the game for P. Beverley,,11,21
1,4:22.0,,O. Anunoby enters the game for S. Ibaka,11,21
1,4:22.0,,G. Monroe enters the game for P. Siakam,11,21
1,4:09.0,M. Harrell misses 2-pt hook shot from 5 ft,,11,21
1,4:05.0,,Defensive rebound by G. Monroe,11,21
1,3:58.0,,F. VanVleet makes 2-pt jump shot from 17 ft,11,23
1,3:41.0,Turnover by M. Scott (lost ball; steal by O. Anunoby),,11,23
1,3:41.0,,Turnover by O. Anunoby (step out of bounds),11,23
1,3:41.0,B. Marjanović enters the game for M. Harrell,,11,23
1,3:34.0,L. Williams misses 2-pt jump shot from 10 ft,,11,23
1,3:33.0,Offensive rebound by B. Marjanović,,11,23
1,3:33.0,B. Marjanović makes 2-pt hook shot from 1 ft,,13,23
1,3:33.0,Shooting foul by K. Leonard (drawn by B. Marjanović),,13,23
1,3:33.0,B. Marjanović makes free throw 1 of 1,,14,23
1,3:10.0,,F. VanVleet misses 2-pt jump shot from 13 ft,14,23
1,3:09.0,,Offensive rebound by Team,14,23
1,3:09.0,J. Robinson enters the game for T. Harris,,14,23
1,3:08.0,,Turnover by Team (shot clock),14,23
1,2:57.0,L. Williams makes 2-pt layup from 1 ft (assist by B. Marjanović),,16,23
1,2:42.0,,Turnover by K. Leonard (out of bounds lost ball),16,23
1,2:42.0,P. Beverley enters the game for S. Gilgeous-Alexander,,16,23
1,2:42.0,,N. Powell enters the game for D. Green,16,23
1,2:42.0,,D. Wright enters the game for F. VanVleet,16,23
1,2:29.0,M. Scott misses 2-pt jump shot from 10 ft,,16,23
1,2:28.0,Offensive rebound by B. Marjanović,,16,23
1,2:28.0,Shooting foul by G. Monroe (drawn by B. Marjanović),,16,23
1,2:28.0,B. Marjanović misses free throw 1 of 2,,16,23
1,2:28.0,Offensive rebound by Team,,16,23
1,2:28.0,B. Marjanović makes free throw 2 of 2,,17,23
1,2:20.0,,N. Powell misses 3-pt jump shot from 27 ft,17,23
1,2:16.0,Defensive rebound by B. Marjanović,,17,23
1,2:12.0,Personal foul by O. Anunoby (drawn by P. Beverley),,17,23
1,2:12.0,P. Beverley makes free throw 1 of 2,,18,23
1,2:12.0,,C. Miles enters the game for K. Leonard,18,23
1,2:12.0,P. Beverley makes free throw 2 of 2,,19,23
1,2:00.0,,O. Anunoby misses 3-pt jump shot from 26 ft,19,23
1,1:55.0,,Offensive rebound by N. Powell,19,23
1,1:50.0,,Turnover by C. Miles (bad pass),19,23
1,1:40.0,Turnover by L. Williams (bad pass; steal by G. Monroe),,19,23
1,1:25.0,,N. Powell misses 3-pt jump shot from 26 ft,19,23
1,1:22.0,Defensive rebound by M. Scott,,19,23
1,1:17.0,Turnover by B. Marjanović (3 sec),,19,23
1,0:55.0,,N. Powell misses 3-pt jump shot from 23 ft,19,23
1,0:53.0,Defensive rebound by M. Scott,,19,23
1,0:46.0,Personal foul by C. Miles (drawn by L. Williams),,19,23
1,0:46.0,L. Williams makes free throw 1 of 2,,20,23
1,0:46.0,L. Williams makes free throw 2 of 2,,21,23
1,0:31.0,,C. Miles misses 3-pt jump shot from 27 ft,21,23
1,0:27.0,Defensive rebound by M. Scott,,21,23
1,0:21.0,Personal foul by N. Powell (drawn by L. Williams),,21,23
1,0:21.0,L. Williams makes free throw 1 of 2,,22,23
1,0:21.0,L. Williams makes free throw 2 of 2,,23,23
1,0:02.0,,D. Wright misses 2-pt layup from 2 ft,23,23
1,0:00.0,Defensive rebound by B. Marjanović,,23,23
2,11:43.0,M. Scott misses 2-pt hook shot from 5 ft,,23,23
2,11:41.0,,Defensive rebound by O. Anunoby,23,23
2,11:31.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by G. Monroe),23,26
2,11:17.0,L. Williams makes 2-pt jump shot from 7 ft (assist by B. Marjanović),,25,26
2,10:56.0,,D. Wright makes 2-pt jump shot from 19 ft,25,28
2,10:41.0,B. Marjanović misses 2-pt hook shot from 2 ft,,25,28
2,10:40.0,,Defensive rebound by G. Monroe,25,28
2,10:36.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by N. Powell),25,31
2,10:15.0,L. Williams misses 2-pt layup from 6 ft,,25,31
2,10:14.0,,Defensive rebound by N. Powell,25,31
2,10:14.0,,Personal foul by P. Beverley (drawn by N. Powell),25,31
2,10:14.0,T. Harris enters the game for M. Scott,,25,31
2,10:05.0,,Offensive foul by G. Monroe (drawn by J. Robinson),25,31
2,10:05.0,,Turnover by G. Monroe (offensive foul),25,31
2,9:53.0,P. Beverley misses 2-pt jump shot from 8 ft,,25,31
2,9:49.0,,Defensive rebound by D. Wright,25,31
2,9:44.0,,D. Wright makes 2-pt jump shot from 6 ft,25,33
2,9:31.0,Offensive foul by T. Harris (drawn by G. Monroe),,25,33
2,9:31.0,Turnover by T. Harris (offensive foul),,25,33
2,9:17.0,,Turnover by N. Powell (bad pass; steal by B. Marjanović),25,33
2,9:12.0,J. Robinson misses 2-pt layup from 2 ft (block by C. Miles),,25,33
2,9:11.0,,Defensive rebound by N. Powell,25,33
2,9:11.0,,Personal take foul by B. Marjanović (drawn by N. Powell),25,33
2,9:11.0,S. Gilgeous-Alexander enters the game for B. Marjanović,,25,33
2,9:11.0,M. Harrell enters the game for J. Robinson,,25,33
2,9:01.0,,Def 3 sec tech foul by Team,25,33
2,9:01.0,,N. Powell makes technical free throw,25,34
2,8:54.0,,G. Monroe misses 2-pt hook shot from 3 ft,25,34
2,8:53.0,,Offensive rebound by D. Wright,25,34
2,8:53.0,,D. Wright makes 2-pt layup from 2 ft,25,36
2,8:53.0,,Shooting foul by T. Harris (drawn by D. Wright),25,36
2,8:53.0,,D. Wright makes free throw 1 of 1,25,37
2,8:40.0,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),,27,37
2,8:29.0,,G. Monroe misses 2-pt layup from 2 ft (block by M. Harrell),27,37
2,8:29.0,Defensive rebound by L. Williams,,27,37
