QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
1,11:42.0,Turnover by L. Ball (bad pass; steal by D. Green),,0,0
1,11:37.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by D. Green),0,3
1,11:18.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. James),,3,3
1,11:00.0,,S. Curry misses 2-pt jump shot from 19 ft,3,3
1,10:58.0,Defensive rebound by L. James,,3,3
1,10:45.0,B. Ingram makes 2-pt layup from 10 ft,,5,3
1,10:28.0,,K. Looney makes 2-pt dunk from 1 ft (assist by K. Thompson),5,5
1,10:05.0,L. Ball misses 2-pt jump shot from 8 ft,,5,5
1,10:04.0,Offensive rebound by I. Zubac,,5,5
1,10:03.0,I. Zubac makes 2-pt layup from 3 ft,,7,5
1,9:46.0,,K. Looney misses 3-pt jump shot from 23 ft,7,5
1,9:44.0,Defensive rebound by K. Kuzma,,7,5
1,9:33.0,L. Ball misses 3-pt jump shot from 23 ft,,7,5
1,9:31.0,,Defensive rebound by D. Green,7,5
1,9:25.0,,Shooting foul by I. Zubac (drawn by K. Durant),7,5
1,9:25.0,,K. Durant makes free throw 1 of 2,7,6
1,9:25.0,,K. Durant makes free throw 2 of 2,7,7
1,9:19.0,Shooting foul by S. Curry (drawn by L. James),,7,7
1,9:19.0,L. James makes free throw 1 of 2,,8,7
1,9:19.0,L. James makes free throw 2 of 2,,9,7
1,9:05.0,,D. Green misses 3-pt jump shot from 27 ft,9,7
1,9:03.0,Defensive rebound by L. James,,9,7
1,8:57.0,L. James misses 2-pt jump shot from 11 ft,,9,7
1,8:56.0,,Defensive rebound by D. Green,9,7
1,8:46.0,,K. Thompson misses 2-pt jump shot from 11 ft,9,7
1,8:45.0,,Offensive rebound by K. Looney,9,7
1,8:38.0,,K. Thompson misses 2-pt jump shot from 17 ft,9,7
1,8:36.0,Defensive rebound by K. Kuzma,,9,7
1,8:34.0,Turnover by L. James (lost ball; steal by D. Green),,9,7
1,8:29.0,,K. Thompson misses 3-pt jump shot from 23 ft,9,7
1,8:27.0,Defensive rebound by B. Ingram,,9,7
1,8:15.0,B. Ingram misses 2-pt layup from 5 ft (block by K. Looney),,9,7
1,8:14.0,,Defensive rebound by K. Durant,9,7
1,8:09.0,,Turnover by K. Durant (bad pass; steal by L. James),9,7
1,8:06.0,Shooting foul by K. Durant (drawn by L. James),,9,7
1,8:06.0,L. James makes free throw 1 of 2,,10,7
1,8:06.0,L. James misses free throw 2 of 2,,10,7
1,8:04.0,,Defensive rebound by K. Durant,10,7
1,7:50.0,,K. Looney makes 2-pt layup from 2 ft (assist by K. Thompson),10,9
