QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ATLANTA_ACTION,GOLDEN STATE_SCORE,ATLANTA_SCORE
1,11:46.0,,Turnover by T. Young (bad pass; steal by K. Looney),0,0
1,11:40.0,K. Durant misses 3-pt jump shot from 24 ft,,0,0
1,11:37.0,,Defensive rebound by Team,0,0
1,11:20.0,,T. Prince misses 2-pt jump shot from 19 ft,0,0
1,11:18.0,Defensive rebound by K. Looney,,0,0
1,11:10.0,K. Looney makes 2-pt dunk from 2 ft (assist by A. Iguodala),,2,0
1,10:46.0,,Turnover by T. Young (bad pass; steal by K. Durant),2,0
1,10:32.0,K. Thompson misses 2-pt jump shot from 1 ft,,2,0
1,10:29.0,,Defensive rebound by J. Collins,2,0
1,10:25.0,,Turnover by K. Huerter (out of bounds lost ball),2,0
1,10:08.0,A. Iguodala misses 3-pt jump shot from 25 ft,,2,0
1,10:04.0,,Defensive rebound by D. Dedmon,2,0
1,9:47.0,,T. Young misses 3-pt jump shot from 25 ft,2,0
1,9:45.0,,Offensive rebound by Team,2,0
1,9:40.0,,Personal foul by S. Curry (drawn by T. Young),2,0
1,9:36.0,,T. Young misses 3-pt jump shot from 26 ft (block by S. Curry),2,0
1,9:33.0,,Offensive rebound by K. Huerter,2,0
1,9:26.0,,T. Young makes 2-pt layup from 1 ft (assist by T. Prince),2,2
1,9:12.0,K. Looney misses 2-pt jump shot from 22 ft,,2,2
1,9:08.0,,Defensive rebound by T. Prince,2,2
1,9:06.0,,Turnover by T. Prince (bad pass),2,2
1,8:50.0,K. Durant makes 2-pt jump shot from 17 ft,,4,2
1,8:39.0,,T. Young misses 2-pt jump shot from 21 ft,4,2
1,8:36.0,Defensive rebound by K. Thompson,,4,2
1,8:32.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),,7,2
1,8:11.0,,J. Collins makes 2-pt jump shot from 12 ft,7,4
1,8:00.0,K. Thompson misses 2-pt jump shot from 13 ft,,7,4
1,7:57.0,,Defensive rebound by D. Dedmon,7,4
1,7:50.0,,J. Collins misses 3-pt jump shot from 25 ft,7,4
1,7:47.0,Defensive rebound by K. Thompson,,7,4
1,7:43.0,Shooting foul by J. Collins (drawn by K. Thompson),,7,4
1,7:43.0,K. Thompson makes free throw 1 of 2,,8,4
1,7:43.0,,K. Bazemore enters the game for K. Huerter,8,4
1,7:43.0,K. Thompson makes free throw 2 of 2,,9,4
1,7:27.0,,Turnover by T. Young (bad pass; steal by K. Durant),9,4
1,7:14.0,S. Curry makes 3-pt jump shot from 22 ft (assist by K. Durant),,12,4
1,7:12.0,,Atlanta full timeout,12,4
1,6:58.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by J. Collins),12,6
1,6:36.0,K. Thompson misses 3-pt jump shot from 25 ft,,12,6
1,6:33.0,,Defensive rebound by J. Collins,12,6
1,6:19.0,,Turnover by J. Collins (traveling),12,6
1,6:19.0,,A. Len enters the game for D. Dedmon,12,6
1,6:19.0,,J. Lin enters the game for T. Young,12,6
