QUARTER,TIME_REMAINING,INDIANA_ACTION,CHICAGO_ACTION,INDIANA_SCORE,CHICAGO_SCORE
1,11:38.0,,W. Carter makes 2-pt jump shot from 16 ft (assist by Z. LaVine),0,2
1,11:19.0,M. Turner makes 2-pt hook shot from 6 ft,,2,2
1,11:07.0,,W. Carter makes 2-pt layup from 1 ft (assist by Z. LaVine),2,4
1,10:53.0,T. Young misses 3-pt jump shot from 26 ft,,2,4
1,10:49.0,Offensive rebound by M. Turner,,2,4
1,10:46.0,Turnover by M. Turner (bad pass; steal by W. Carter),,2,4
1,10:27.0,,C. Payne makes 3-pt jump shot from 26 ft (assist by Z. LaVine),2,7
1,10:11.0,D. Collison makes 2-pt jump shot from 12 ft,,4,7
1,10:11.0,Shooting foul by C. Payne (drawn by D. Collison),,4,7
1,10:11.0,D. Collison makes free throw 1 of 1,,5,7
1,9:56.0,,W. Carter makes 2-pt layup from 2 ft (assist by C. Payne),5,9
1,9:56.0,,Shooting foul by M. Turner (drawn by W. Carter),5,9
1,9:56.0,,W. Carter makes free throw 1 of 1,5,10
1,9:33.0,D. Collison misses 2-pt layup from 5 ft (block by J. Holiday),,5,10
1,9:33.0,Offensive rebound by Team,,5,10
1,9:30.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,5,10
1,9:30.0,,Defensive rebound by J. Parker,5,10
1,9:23.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by J. Parker),5,12
1,8:57.0,T. Young misses 2-pt hook shot from 6 ft,,5,12
1,8:52.0,,Defensive rebound by W. Carter,5,12
1,8:49.0,,W. Carter misses 2-pt jump shot from 12 ft,5,12
1,8:44.0,Defensive rebound by T. Young,,5,12
1,8:38.0,D. Collison makes 2-pt jump shot from 22 ft,,7,12
1,8:23.0,,Z. LaVine makes 2-pt layup from 1 ft,7,14
1,8:17.0,Indiana full timeout,,7,14
1,8:06.0,Turnover by M. Turner (bad pass; steal by Z. LaVine),,7,14
1,7:59.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by C. Payne),7,17
1,7:37.0,B. Bogdanović misses 2-pt hook shot from 7 ft,,7,17
1,7:33.0,,Defensive rebound by W. Carter,7,17
1,7:19.0,,J. Holiday misses 3-pt jump shot from 24 ft,7,17
1,7:15.0,Defensive rebound by V. Oladipo,,7,17
1,7:03.0,V. Oladipo misses 3-pt jump shot from 25 ft,,7,17
1,6:59.0,,Defensive rebound by J. Parker,7,17
1,6:51.0,,J. Parker misses 2-pt layup from 3 ft,7,17
1,6:50.0,,Offensive rebound by W. Carter,7,17
1,6:50.0,,W. Carter makes 2-pt dunk at rim,7,19
1,6:37.0,D. Collison makes 2-pt layup from 2 ft,,9,19
1,6:30.0,,C. Payne misses 2-pt jump shot from 11 ft,9,19
1,6:30.0,Defensive rebound by Team,,9,19
1,6:30.0,,Loose ball foul by W. Carter (drawn by M. Turner),9,19
1,6:30.0,,C. Felício enters the game for W. Carter,9,19
1,6:16.0,Turnover by M. Turner (bad pass),,9,19
1,5:58.0,,Shooting foul by V. Oladipo (drawn by C. Felício),9,19
1,5:58.0,,C. Felício makes free throw 1 of 2,9,20
1,5:58.0,,C. Felício misses free throw 2 of 2,9,20
1,5:47.0,,Offensive rebound by J. Parker,9,20
1,5:45.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by J. Parker),9,23
1,5:32.0,M. Turner makes 2-pt jump shot from 18 ft (assist by D. Collison),,11,23
1,5:16.0,,Z. LaVine misses 2-pt layup from 1 ft,11,23
1,5:15.0,,Offensive rebound by C. Felício,11,23
1,5:15.0,,C. Felício makes 2-pt layup at rim,11,25
1,5:03.0,V. Oladipo misses 2-pt layup from 2 ft,,11,25
1,5:02.0,Offensive rebound by T. Young,,11,25
1,5:02.0,T. Young makes 2-pt layup from 1 ft,,13,25
1,4:48.0,,C. Felício misses 2-pt layup from 6 ft (block by M. Turner),13,25
1,4:44.0,Defensive rebound by V. Oladipo,,13,25
1,4:42.0,D. Collison misses 3-pt jump shot from 24 ft,,13,25
1,4:36.0,,Defensive rebound by J. Holiday,13,25
1,4:30.0,,J. Parker misses 2-pt layup from 3 ft (block by V. Oladipo),13,25
1,4:26.0,Defensive rebound by T. Young,,13,25
1,4:22.0,T. Young misses 2-pt layup from 1 ft,,13,25
1,4:18.0,,Defensive rebound by C. Felício,13,25
1,4:14.0,,C. Felício makes 2-pt layup from 3 ft (assist by J. Holiday),13,27
1,3:56.0,V. Oladipo misses 3-pt jump shot from 25 ft,,13,27
1,3:52.0,,Defensive rebound by J. Parker,13,27
1,3:43.0,,C. Payne misses 3-pt jump shot from 25 ft,13,27
1,3:40.0,Defensive rebound by V. Oladipo,,13,27
1,3:35.0,V. Oladipo makes 2-pt layup at rim,,15,27
1,3:35.0,,Chicago full timeout,15,27
1,3:35.0,T. Evans enters the game for B. Bogdanović,,15,27
1,3:35.0,C. Joseph enters the game for D. Collison,,15,27
1,3:35.0,D. Sabonis enters the game for T. Young,,15,27
1,3:35.0,,R. Arcidiacono enters the game for Z. LaVine,15,27
1,3:35.0,,A. Blakeney enters the game for J. Parker,15,27
1,3:35.0,,C. Hutchison enters the game for C. Payne,15,27
1,3:13.0,,C. Felício misses 2-pt jump shot from 8 ft,15,27
1,3:11.0,,Offensive rebound by C. Felício,15,27
1,3:11.0,,C. Felício makes 2-pt layup at rim,15,29
1,2:54.0,Shooting foul by C. Hutchison (drawn by D. Sabonis),,15,29
1,2:54.0,D. Sabonis makes free throw 1 of 2,,16,29
1,2:54.0,T. Leaf enters the game for V. Oladipo,,16,29
1,2:54.0,D. McDermott enters the game for M. Turner,,16,29
1,2:54.0,,W. Carter enters the game for C. Hutchison,16,29
1,2:54.0,D. Sabonis makes free throw 2 of 2,,17,29
