QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW YORK_ACTION,CLEVELAND_SCORE,NEW YORK_SCORE
1,11:46.0,,D. Dotson misses 3-pt jump shot from 26 ft,0,0
1,11:44.0,Defensive rebound by K. Love,,0,0
1,11:27.0,K. Love misses 3-pt jump shot from 23 ft,,0,0
1,11:25.0,,Defensive rebound by N. Vonleh,0,0
1,11:14.0,,L. Thomas makes 2-pt jump shot from 13 ft (assist by D. Dotson),0,2
1,10:56.0,Turnover by C. Osman (bad pass),,0,2
1,10:47.0,,D. Smith makes 2-pt layup from 1 ft,0,4
1,10:38.0,C. Sexton makes 2-pt layup from 1 ft,,2,4
1,10:26.0,,D. Smith makes 3-pt jump shot from 25 ft (assist by N. Vonleh),2,7
1,10:15.0,,Violation by Team (kicked ball),2,7
1,10:05.0,C. Osman makes 3-pt jump shot from 26 ft (assist by C. Sexton),,5,7
1,9:50.0,,L. Thomas makes 3-pt jump shot from 22 ft (assist by D. Smith),5,10
1,9:37.0,Shooting foul by K. Knox (drawn by C. Osman),,5,10
1,9:37.0,C. Osman makes free throw 1 of 2,,6,10
1,9:37.0,C. Osman makes free throw 2 of 2,,7,10
1,9:28.0,,N. Vonleh makes 2-pt hook shot from 10 ft (assist by D. Smith),7,12
1,9:11.0,C. Sexton misses 2-pt layup from 1 ft,,7,12
1,9:09.0,,Defensive rebound by L. Thomas,7,12
1,9:06.0,,D. Smith misses 3-pt jump shot from 25 ft,7,12
1,9:04.0,Defensive rebound by A. Žižić,,7,12
1,8:55.0,B. Knight makes 3-pt jump shot from 24 ft (assist by C. Osman),,10,12
1,8:41.0,,D. Dotson makes 2-pt jump shot from 14 ft,10,14
1,8:31.0,Shooting foul by D. Smith (drawn by B. Knight),,10,14
1,8:31.0,B. Knight misses free throw 1 of 2,,10,14
1,8:31.0,Offensive rebound by Team,,10,14
1,8:31.0,B. Knight makes free throw 2 of 2,,11,14
1,8:19.0,,Shooting foul by K. Love (drawn by K. Knox),11,14
1,8:19.0,,K. Knox misses free throw 1 of 2,11,14
1,8:19.0,,Offensive rebound by Team,11,14
1,8:19.0,,K. Knox misses free throw 2 of 2,11,14
