QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
1,11:47.0,,A. Iguodala makes 2-pt jump shot from 6 ft (assist by D. Green),0,2
1,11:24.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),,3,2
1,11:18.0,,Turnover by K. Durant (bad pass; steal by C. Paul),3,2
1,10:51.0,J. Harden makes 2-pt layup from 5 ft,,5,2
1,10:38.0,,K. Thompson misses 2-pt jump shot from 8 ft,5,2
1,10:37.0,Defensive rebound by C. Capela,,5,2
1,10:17.0,C. Paul misses 3-pt jump shot from 29 ft,,5,2
1,10:15.0,,Defensive rebound by K. Durant,5,2
1,10:10.0,,Turnover by K. Durant (bad pass; steal by J. Harden),5,2
1,10:05.0,E. Gordon misses 3-pt jump shot from 29 ft,,5,2
1,10:03.0,,Defensive rebound by Team,5,2
1,10:03.0,Loose ball foul by C. Capela (drawn by S. Curry),,5,2
1,9:51.0,,A. Iguodala makes 2-pt dunk from 3 ft (assist by D. Green),5,4
1,9:41.0,Shooting foul by D. Green (drawn by J. Harden),,5,4
1,9:41.0,J. Harden makes free throw 1 of 2,,6,4
1,9:41.0,J. Harden makes free throw 2 of 2,,7,4
1,9:29.0,,A. Iguodala misses 2-pt jump shot from 3 ft,7,4
1,9:28.0,Defensive rebound by C. Capela,,7,4
1,9:12.0,E. Gordon misses 2-pt layup from 4 ft,,7,4
1,9:10.0,,Defensive rebound by D. Green,7,4
1,9:07.0,,K. Durant misses 3-pt jump shot from 28 ft,7,4
1,9:05.0,Defensive rebound by C. Capela,,7,4
1,8:58.0,Offensive foul by C. Capela (drawn by A. Iguodala),,7,4
1,8:58.0,Turnover by C. Capela (offensive foul),,7,4
1,8:58.0,A. Rivers enters the game for C. Capela,,7,4
1,8:42.0,,K. Thompson makes 2-pt layup from 4 ft (assist by D. Green),7,6
1,8:26.0,Turnover by C. Paul (bad pass; steal by K. Durant),,7,6
1,8:21.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),7,8
1,8:18.0,E. Gordon misses 3-pt jump shot from 23 ft,,7,8
1,8:16.0,Offensive rebound by E. Gordon,,7,8
1,8:06.0,J. Harden makes 3-pt jump shot from 26 ft,,10,8
1,7:42.0,,K. Durant misses 2-pt jump shot from 14 ft,10,8
1,7:41.0,,Offensive rebound by D. Green,10,8
1,7:36.0,,A. Iguodala misses 3-pt jump shot from 27 ft,10,8
1,7:34.0,Defensive rebound by P. Tucker,,10,8
1,7:32.0,Offensive foul by E. Gordon (drawn by K. Durant),,10,8
1,7:32.0,Turnover by E. Gordon (offensive foul),,10,8
1,7:12.0,,K. Durant makes 2-pt jump shot from 8 ft,10,10
1,6:48.0,C. Paul makes 2-pt layup from 10 ft,,12,10
1,6:33.0,,K. Thompson makes 2-pt jump shot from 14 ft (assist by K. Durant),12,12
1,6:18.0,Shooting foul by S. Curry (drawn by C. Paul),,12,12
1,6:18.0,,Golden State full timeout,12,12
1,6:18.0,C. Paul makes free throw 1 of 2,,13,12
1,6:18.0,C. Paul makes free throw 2 of 2,,14,12
1,5:58.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by D. Green),14,14
1,5:51.0,Turnover by A. Rivers (traveling),,14,14
1,5:51.0,I. Shumpert enters the game for C. Paul,,14,14
1,5:29.0,,S. Curry misses 3-pt jump shot from 28 ft,14,14
1,5:27.0,,Offensive rebound by A. Iguodala,14,14
1,5:24.0,,K. Thompson misses 3-pt jump shot from 24 ft (block by E. Gordon),14,14
1,5:24.0,,Offensive rebound by Team,14,14
1,5:24.0,,K. Looney enters the game for A. Iguodala,14,14
