QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
1,11:36.0,T. Burke misses 2-pt jump shot from 10 ft,,0,0
1,11:33.0,,Defensive rebound by J. Richardson,0,0
1,11:28.0,,Turnover by J. Richardson (bad pass),0,0
1,11:12.0,L. Thomas misses 2-pt jump shot from 7 ft,,0,0
1,11:10.0,,Defensive rebound by J. Richardson,0,0
1,11:01.0,,Turnover by J. Richardson (lost ball; steal by L. Thomas),0,0
1,10:46.0,F. Ntilikina misses 2-pt jump shot from 21 ft,,0,0
1,10:46.0,,Defensive rebound by R. McGruder,0,0
1,10:25.0,,H. Whiteside misses 2-pt hook shot from 8 ft,0,0
1,10:22.0,Defensive rebound by E. Freedom,,0,0
1,10:14.0,E. Freedom misses 2-pt jump shot from 9 ft,,0,0
1,10:12.0,,Defensive rebound by G. Dragić,0,0
1,10:02.0,,G. Dragić makes 2-pt jump shot from 11 ft,0,2
1,9:49.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by E. Freedom),,3,2
1,9:30.0,,K. Olynyk misses 3-pt jump shot from 24 ft,3,2
1,9:30.0,,Offensive rebound by Team,3,2
1,9:17.0,,J. Richardson misses 3-pt jump shot from 23 ft,3,2
1,9:15.0,Defensive rebound by T. Hardaway,,3,2
1,9:03.0,T. Burke misses 2-pt jump shot from 17 ft,,3,2
1,9:00.0,,Defensive rebound by H. Whiteside,3,2
1,8:53.0,,H. Whiteside misses 2-pt jump shot from 19 ft,3,2
1,8:49.0,Defensive rebound by E. Freedom,,3,2
1,8:44.0,T. Hardaway misses 3-pt jump shot from 25 ft,,3,2
1,8:44.0,Offensive rebound by Team,,3,2
1,8:29.0,E. Freedom makes 2-pt hook shot from 11 ft,,5,2
1,8:18.0,,Personal foul by F. Ntilikina (drawn by J. Richardson),5,2
1,8:08.0,,Turnover by J. Richardson (bad pass),5,2
1,7:53.0,F. Ntilikina misses 2-pt jump shot from 11 ft,,5,2
1,7:50.0,,Defensive rebound by H. Whiteside,5,2
1,7:48.0,,R. McGruder makes 2-pt layup from 2 ft,5,4
1,7:48.0,,Shooting foul by T. Hardaway (drawn by J. Richardson),5,4
1,7:48.0,,R. McGruder makes free throw 1 of 1,5,5
1,7:36.0,E. Freedom misses 2-pt jump shot from 12 ft,,5,5
1,7:34.0,,Defensive rebound by R. McGruder,5,5
1,7:26.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),5,7
1,7:06.0,Offensive foul by T. Burke (drawn by G. Dragić),,5,7
1,7:06.0,Turnover by T. Burke (offensive foul),,5,7
1,6:43.0,,G. Dragić misses 2-pt layup from 2 ft,5,7
1,6:41.0,Defensive rebound by L. Thomas,,5,7
1,6:27.0,T. Burke misses 2-pt layup from 1 ft,,5,7
1,6:25.0,,Defensive rebound by R. McGruder,5,7
1,6:19.0,,J. Richardson misses 2-pt jump shot from 18 ft,5,7
1,6:16.0,,Offensive rebound by J. Richardson,5,7
1,6:16.0,,Miami full timeout,5,7
1,6:16.0,D. Dotson enters the game for T. Burke,,5,7
1,6:10.0,,Turnover by J. Richardson (lost ball; steal by L. Thomas),5,7
1,5:58.0,L. Thomas misses 3-pt jump shot from 26 ft,,5,7
1,5:55.0,,Defensive rebound by R. McGruder,5,7
1,5:43.0,,H. Whiteside misses 2-pt layup from 1 ft,5,7
1,5:39.0,Defensive rebound by L. Thomas,,5,7
1,5:37.0,Turnover by F. Ntilikina (bad pass; steal by J. Richardson),,5,7
1,5:35.0,,Shooting foul by L. Thomas (drawn by G. Dragić),5,7
1,5:35.0,,G. Dragić misses free throw 1 of 2,5,7
1,5:35.0,,Offensive rebound by Team,5,7
1,5:35.0,N. Vonleh enters the game for E. Freedom,,5,7
1,5:35.0,,D. Wade enters the game for J. Richardson,5,7
1,5:35.0,,G. Dragić makes free throw 2 of 2,5,8
1,5:18.0,Turnover by D. Dotson (bad pass; steal by R. McGruder),,5,8
1,5:14.0,,R. McGruder makes 2-pt layup from 1 ft,5,10
1,5:04.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),,8,10
1,4:46.0,,H. Whiteside makes 2-pt hook shot from 10 ft (assist by R. McGruder),8,12
1,4:32.0,N. Vonleh misses 2-pt layup from 1 ft,,8,12
1,4:30.0,,Defensive rebound by K. Olynyk,8,12
1,4:16.0,,H. Whiteside misses 2-pt hook shot from 8 ft,8,12
1,4:15.0,Defensive rebound by N. Vonleh,,8,12
1,3:55.0,L. Thomas makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,11,12
1,3:51.0,,Personal foul by L. Thomas (drawn by K. Olynyk),11,12
1,3:51.0,M. Hezonja enters the game for T. Hardaway,,11,12
1,3:51.0,A. Trier enters the game for L. Thomas,,11,12
1,3:32.0,,D. Wade misses 3-pt jump shot from 23 ft,11,12
1,3:29.0,Defensive rebound by F. Ntilikina,,11,12
1,3:26.0,F. Ntilikina makes 2-pt dunk from 1 ft,,13,12
1,3:09.0,,D. Wade misses 2-pt layup from 1 ft,13,12
1,3:05.0,,Offensive rebound by H. Whiteside,13,12
1,3:05.0,,H. Whiteside makes 2-pt layup at rim,13,14
1,2:54.0,N. Vonleh misses 2-pt jump shot from 16 ft,,13,14
1,2:52.0,,Defensive rebound by H. Whiteside,13,14
1,2:49.0,,Personal foul by F. Ntilikina (drawn by G. Dragić),13,14
1,2:49.0,New York full timeout,,13,14
1,2:49.0,,B. Adebayo enters the game for R. McGruder,13,14
1,2:49.0,,T. Johnson enters the game for H. Whiteside,13,14
1,2:49.0,,G. Dragić makes free throw 1 of 2,13,15
1,2:49.0,,G. Dragić makes free throw 2 of 2,13,16
1,2:33.0,M. Hezonja makes 3-pt jump shot from 25 ft,,16,16
1,2:09.0,,T. Johnson misses 2-pt jump shot from 20 ft,16,16
1,2:07.0,Defensive rebound by M. Hezonja,,16,16
1,2:01.0,D. Dotson makes 3-pt jump shot from 24 ft (assist by F. Ntilikina),,19,16
1,1:49.0,,Turnover by G. Dragić (bad pass; steal by N. Vonleh),19,16
1,1:49.0,R. Baker enters the game for F. Ntilikina,,19,16
1,1:49.0,,R. McGruder enters the game for G. Dragić,19,16
1,1:49.0,,J. Richardson enters the game for K. Olynyk,19,16
1,1:33.0,A. Trier misses 2-pt jump shot from 10 ft,,19,16
1,1:31.0,Offensive rebound by A. Trier,,19,16
1,1:29.0,A. Trier makes 2-pt layup from 1 ft,,21,16
1,1:17.0,,T. Johnson misses 2-pt layup from 1 ft,21,16
1,1:14.0,Defensive rebound by N. Vonleh,,21,16
1,1:07.0,M. Hezonja misses 2-pt hook shot from 5 ft,,21,16
1,1:04.0,Offensive rebound by N. Vonleh,,21,16
1,1:02.0,N. Vonleh makes 2-pt layup from 1 ft,,23,16
1,0:45.0,,Turnover by D. Wade (bad pass; steal by R. Baker),23,16
1,0:41.0,M. Hezonja misses 2-pt jump shot from 9 ft,,23,16
1,0:38.0,Offensive rebound by D. Dotson,,23,16
1,0:38.0,D. Dotson makes 2-pt layup from 1 ft,,25,16
1,0:22.0,,J. Richardson misses 2-pt jump shot from 6 ft,25,16
1,0:22.0,Defensive rebound by Team,,25,16
1,0:02.0,A. Trier makes 2-pt layup from 2 ft,,27,16
2,11:45.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by B. Adebayo),27,19
2,11:19.0,D. Dotson misses 3-pt jump shot from 23 ft,,27,19
2,11:17.0,,Defensive rebound by J. Richardson,27,19
2,11:02.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by R. McGruder),27,22
2,10:49.0,,Violation by Team (kicked ball),27,22
2,10:34.0,M. Hezonja makes 3-pt jump shot from 27 ft (assist by A. Trier),,30,22
2,10:18.0,,J. Richardson misses 2-pt jump shot from 16 ft,30,22
2,10:18.0,,Offensive rebound by Team,30,22
2,10:09.0,,D. Wade misses 2-pt layup from 1 ft,30,22
2,10:06.0,Defensive rebound by N. Vonleh,,30,22
2,9:58.0,N. Vonleh misses 2-pt layup from 2 ft,,30,22
2,9:56.0,Offensive rebound by N. Vonleh,,30,22
2,9:55.0,N. Vonleh misses 2-pt layup from 3 ft (block by T. Johnson),,30,22
