QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
1,11:54.0,,J. Johnson makes 2-pt layup from 5 ft,0,2
1,11:40.0,Turnover by N. Vučević (bad pass; steal by J. Johnson),,0,2
1,11:26.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by R. McGruder),0,4
1,11:02.0,E. Fournier makes 2-pt layup at rim (assist by N. Vučević),,2,4
1,10:43.0,,Turnover by H. Whiteside (bad pass),2,4
1,10:34.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by D. Augustin),,5,4
1,10:19.0,,Turnover by J. Johnson (traveling),5,4
1,9:58.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by J. Simmons),,8,4
1,9:45.0,,R. McGruder misses 2-pt hook shot from 7 ft,8,4
1,9:44.0,,Offensive rebound by H. Whiteside,8,4
1,9:42.0,,H. Whiteside makes 2-pt layup at rim,8,6
1,9:21.0,D. Augustin misses 2-pt layup at rim,,8,6
1,9:17.0,,Defensive rebound by R. McGruder,8,6
1,9:15.0,,Turnover by R. McGruder (out of bounds lost ball),8,6
1,8:59.0,N. Vučević misses 2-pt jump shot from 12 ft,,8,6
1,8:57.0,,Defensive rebound by R. McGruder,8,6
1,8:45.0,,H. Whiteside makes 2-pt layup from 4 ft,8,8
1,8:30.0,A. Gordon misses 2-pt jump shot from 8 ft,,8,8
1,8:29.0,Offensive rebound by A. Gordon,,8,8
1,8:28.0,A. Gordon misses 2-pt layup from 1 ft,,8,8
1,8:27.0,Offensive rebound by A. Gordon,,8,8
1,8:26.0,A. Gordon misses 2-pt layup from 1 ft,,8,8
1,8:25.0,Offensive rebound by N. Vučević,,8,8
1,8:24.0,N. Vučević misses 2-pt layup from 1 ft,,8,8
1,8:23.0,Offensive rebound by A. Gordon,,8,8
1,8:22.0,A. Gordon misses 2-pt layup from 1 ft,,8,8
1,8:21.0,,Defensive rebound by H. Whiteside,8,8
1,8:15.0,,J. Richardson misses 2-pt layup from 2 ft,8,8
