QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
1,11:53.0,,Personal foul by T. Warren (drawn by T. Gibson),0,0
1,11:42.0,,K. Towns misses 2-pt layup from 3 ft,0,0
1,11:40.0,Defensive rebound by D. Booker,,0,0
1,11:22.0,T. Warren misses 3-pt jump shot from 26 ft,,0,0
1,11:20.0,,Defensive rebound by J. Teague,0,0
1,11:09.0,,A. Wiggins misses 3-pt jump shot from 25 ft,0,0
1,11:06.0,Defensive rebound by D. Bender,,0,0
1,10:51.0,D. Melton misses 3-pt jump shot from 25 ft,,0,0
1,10:48.0,,Defensive rebound by A. Wiggins,0,0
1,10:41.0,,T. Gibson makes 2-pt hook shot from 2 ft (assist by J. Teague),0,2
1,10:19.0,D. Bender misses 2-pt hook shot from 1 ft,,0,2
1,10:17.0,,Defensive rebound by J. Teague,0,2
1,10:13.0,,Turnover by A. Wiggins (lost ball; steal by T. Warren),0,2
1,10:07.0,D. Melton misses 3-pt jump shot from 23 ft,,0,2
1,10:04.0,Offensive rebound by D. Melton,,0,2
1,10:01.0,T. Warren makes 2-pt jump shot from 13 ft (assist by D. Melton),,2,2
1,9:42.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),2,4
1,9:30.0,Shooting foul by J. Okogie (drawn by D. Booker),,2,4
1,9:30.0,D. Booker misses free throw 1 of 2,,2,4
1,9:30.0,Offensive rebound by Team,,2,4
1,9:30.0,D. Booker makes free throw 2 of 2,,3,4
1,9:19.0,,A. Wiggins misses 2-pt layup from 2 ft,3,4
1,9:17.0,,Offensive rebound by K. Towns,3,4
1,9:16.0,,Shooting foul by D. Melton (drawn by K. Towns),3,4
1,9:16.0,,K. Towns makes free throw 1 of 2,3,5
1,9:16.0,,K. Towns makes free throw 2 of 2,3,6
1,9:03.0,D. Booker misses 2-pt layup from 2 ft,,3,6
1,9:01.0,,Defensive rebound by K. Towns,3,6
1,8:56.0,,Turnover by J. Teague (bad pass; steal by M. Bridges),3,6
1,8:46.0,D. Booker makes 2-pt layup from 1 ft,,5,6
1,8:33.0,,Shooting foul by D. Bender (drawn by K. Towns),5,6
