QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,INDIANA_ACTION,OKLAHOMA CITY_SCORE,INDIANA_SCORE
1,11:52.0,Shooting foul by M. Turner (drawn by P. George),,0,0
1,11:52.0,P. George makes free throw 1 of 2,,1,0
1,11:52.0,P. George makes free throw 2 of 2,,2,0
1,11:38.0,,M. Turner misses 2-pt jump shot from 19 ft,2,0
1,11:34.0,Defensive rebound by R. Westbrook,,2,0
1,11:16.0,Turnover by S. Adams (lost ball; steal by T. Young),,2,0
1,11:01.0,,D. Collison misses 2-pt jump shot from 17 ft,2,0
1,10:58.0,Defensive rebound by R. Westbrook,,2,0
1,10:52.0,P. George misses 2-pt jump shot from 13 ft,,2,0
1,10:49.0,,Defensive rebound by B. Bogdanović,2,0
1,10:44.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by T. Ferguson),2,0
1,10:43.0,,Offensive rebound by Team,2,0
1,10:31.0,,W. Matthews misses 2-pt layup from 6 ft,2,0
1,10:29.0,Defensive rebound by J. Grant,,2,0
1,10:18.0,Shooting foul by D. Collison (drawn by S. Adams),,2,0
1,10:18.0,S. Adams misses free throw 1 of 2,,2,0
1,10:18.0,Offensive rebound by Team,,2,0
1,10:18.0,S. Adams makes free throw 2 of 2,,3,0
1,10:11.0,,Turnover by B. Bogdanović (bad pass; steal by P. George),3,0
1,10:05.0,R. Westbrook misses 2-pt layup from 1 ft,,3,0
1,10:03.0,,Defensive rebound by B. Bogdanović,3,0
1,10:00.0,,M. Turner misses 2-pt layup from 1 ft,3,0
1,9:59.0,Defensive rebound by S. Adams,,3,0
1,9:51.0,Turnover by P. George (bad pass; steal by D. Collison),,3,0
1,9:48.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Collison),3,3
1,9:30.0,P. George makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,6,3
1,9:08.0,,D. Collison makes 2-pt jump shot from 18 ft (assist by W. Matthews),6,5
1,8:51.0,P. George misses 3-pt jump shot from 27 ft,,6,5
1,8:47.0,,Defensive rebound by D. Collison,6,5
1,8:41.0,,Shooting foul by T. Ferguson (drawn by D. Collison),6,5
1,8:41.0,,D. Collison makes free throw 1 of 2,6,6
1,8:41.0,,D. Collison makes free throw 2 of 2,6,7
1,8:26.0,S. Adams misses 2-pt jump shot from 11 ft,,6,7
1,8:22.0,Offensive rebound by J. Grant,,6,7
1,8:22.0,J. Grant misses 2-pt layup at rim,,6,7
1,8:21.0,,Defensive rebound by M. Turner,6,7
1,8:13.0,,T. Young makes 2-pt jump shot from 3 ft,6,9
1,8:00.0,S. Adams misses 2-pt layup from 1 ft,,6,9
1,7:57.0,Offensive rebound by S. Adams,,6,9
1,7:57.0,S. Adams misses 2-pt layup at rim,,6,9
1,7:57.0,Offensive rebound by Team,,6,9
1,7:51.0,R. Westbrook makes 2-pt jump shot from 13 ft (assist by S. Adams),,8,9
1,7:36.0,,W. Matthews misses 2-pt jump shot from 4 ft (block by J. Grant),8,9
1,7:32.0,,Offensive rebound by T. Young,8,9
1,7:28.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),8,11
1,7:28.0,Violation by Team (def goaltending),,8,11
1,7:19.0,S. Adams makes 2-pt jump shot from 10 ft (assist by R. Westbrook),,10,11
1,7:00.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,10,11
1,6:55.0,Defensive rebound by S. Adams,,10,11
1,6:46.0,Turnover by R. Westbrook (bad pass),,10,11
1,6:46.0,,Indiana full timeout,10,11
1,6:30.0,,M. Turner misses 2-pt jump shot from 20 ft,10,11
1,6:27.0,Defensive rebound by R. Westbrook,,10,11
1,6:21.0,R. Westbrook makes 2-pt layup from 2 ft,,12,11
1,6:05.0,,Turnover by W. Matthews (bad pass; steal by J. Grant),12,11
1,6:00.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,14,11
1,5:45.0,,Shooting foul by T. Ferguson (drawn by B. Bogdanović),14,11
1,5:45.0,,B. Bogdanović misses free throw 1 of 2,14,11
1,5:45.0,,Offensive rebound by Team,14,11
1,5:45.0,D. Schröder enters the game for P. George,,14,11
1,5:45.0,,C. Joseph enters the game for W. Matthews,14,11
1,5:45.0,,B. Bogdanović makes free throw 2 of 2,14,12
1,5:30.0,Shooting foul by T. Young (drawn by J. Grant),,14,12
1,5:30.0,J. Grant misses free throw 1 of 2,,14,12
1,5:30.0,Offensive rebound by Team,,14,12
1,5:30.0,J. Grant makes free throw 2 of 2,,15,12
1,5:08.0,,Turnover by M. Turner (traveling),15,12
1,5:00.0,R. Westbrook misses 2-pt jump shot from 16 ft,,15,12
1,4:58.0,,Defensive rebound by B. Bogdanović,15,12
1,4:44.0,,Turnover by T. Young (lost ball; steal by R. Westbrook),15,12
1,4:39.0,T. Ferguson misses 3-pt jump shot from 24 ft,,15,12
1,4:35.0,Offensive rebound by D. Schröder,,15,12
1,4:30.0,R. Westbrook misses 3-pt jump shot from 26 ft,,15,12
1,4:26.0,,Defensive rebound by C. Joseph,15,12
1,4:24.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,15,12
1,4:19.0,Defensive rebound by T. Ferguson,,15,12
1,4:03.0,Turnover by J. Grant (bad pass; steal by T. Young),,15,12
1,3:56.0,,T. Young misses 3-pt jump shot from 24 ft,15,12
1,3:53.0,Defensive rebound by R. Westbrook,,15,12
1,3:50.0,Turnover by R. Westbrook (bad pass; steal by C. Joseph),,15,12
1,3:44.0,,T. Young misses 3-pt jump shot from 23 ft,15,12
1,3:41.0,Defensive rebound by R. Westbrook,,15,12
1,3:33.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,18,12
1,3:06.0,,M. Turner misses 2-pt jump shot from 19 ft,18,12
1,3:03.0,Defensive rebound by R. Westbrook,,18,12
1,2:54.0,S. Adams makes 2-pt hook shot from 4 ft,,20,12
1,2:31.0,,T. Young makes 2-pt layup from 1 ft (assist by B. Bogdanović),20,14
1,2:20.0,R. Westbrook makes 2-pt jump shot from 13 ft,,22,14
1,2:10.0,,D. Collison makes 2-pt layup from 1 ft,22,16
1,2:10.0,,Shooting foul by D. Schröder (drawn by D. Collison),22,16
1,2:10.0,Oklahoma City full timeout,,22,16
1,2:10.0,P. George enters the game for S. Adams,,22,16
1,2:10.0,M. Morris enters the game for T. Ferguson,,22,16
1,2:10.0,A. Nader enters the game for J. Grant,,22,16
1,2:10.0,N. Noel enters the game for R. Westbrook,,22,16
1,2:10.0,,T. Leaf enters the game for B. Bogdanović,22,16
1,2:10.0,,W. Matthews enters the game for C. Joseph,22,16
1,2:10.0,,D. McDermott enters the game for M. Turner,22,16
1,2:10.0,,D. Sabonis enters the game for T. Young,22,16
1,2:10.0,,D. Collison makes free throw 1 of 1,22,17
1,1:55.0,P. George misses 2-pt jump shot from 21 ft,,22,17
1,1:53.0,Offensive rebound by N. Noel,,22,17
1,1:43.0,M. Morris makes 2-pt jump shot from 15 ft,,24,17
1,1:30.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by T. Leaf),24,20
1,1:15.0,M. Morris makes 3-pt jump shot from 26 ft (assist by P. George),,27,20
1,1:00.0,,Personal foul by A. Nader (drawn by W. Matthews),27,20
1,1:00.0,,C. Joseph enters the game for D. Collison,27,20
1,0:47.0,,C. Joseph misses 2-pt jump shot from 20 ft,27,20
1,0:44.0,Defensive rebound by A. Nader,,27,20
1,0:35.0,D. Schröder makes 2-pt jump shot from 6 ft,,29,20
1,0:27.0,,Personal foul by N. Noel (drawn by D. Sabonis),29,20
1,0:27.0,,D. Sabonis makes free throw 1 of 2,29,21
1,0:27.0,,D. Sabonis makes free throw 2 of 2,29,22
1,0:09.0,Personal foul by W. Matthews (drawn by P. George),,29,22
1,0:01.0,M. Morris misses 3-pt jump shot from 23 ft,,29,22
1,0:00.0,Offensive rebound by Team,,29,22
2,11:48.0,,D. Sabonis makes 2-pt layup at rim,29,24
2,11:48.0,,Shooting foul by N. Noel (drawn by D. Sabonis),29,24
2,11:48.0,,D. Sabonis makes free throw 1 of 1,29,25
2,11:37.0,Shooting foul by T. Leaf (drawn by P. George),,29,25
2,11:37.0,P. George makes free throw 1 of 2,,30,25
2,11:37.0,P. George makes free throw 2 of 2,,31,25
2,11:15.0,,D. Sabonis misses 2-pt jump shot from 18 ft,31,25
2,11:12.0,Defensive rebound by N. Noel,,31,25
2,11:05.0,D. Schröder misses 2-pt jump shot from 13 ft,,31,25
2,11:02.0,,Defensive rebound by D. Sabonis,31,25
2,10:53.0,,D. Sabonis makes 2-pt layup from 1 ft,31,27
2,10:44.0,P. George makes 3-pt jump shot from 28 ft,,34,27
2,10:28.0,,D. McDermott makes 2-pt layup from 3 ft (assist by D. Sabonis),34,29
2,10:20.0,P. George makes 3-pt jump shot from 27 ft,,37,29
