QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA LAKERS_ACTION,CLEVELAND_SCORE,LA LAKERS_SCORE
1,11:37.0,,J. McGee makes 2-pt jump shot from 18 ft (assist by L. Ball),0,2
1,11:19.0,A. Burks misses 3-pt jump shot from 27 ft,,0,2
1,11:14.0,,Defensive rebound by L. Ball,0,2
1,11:11.0,,Turnover by L. Ball (bad pass; steal by R. Hood),0,2
1,10:56.0,R. Hood makes 3-pt jump shot from 28 ft (assist by C. Sexton),,3,2
1,10:40.0,,J. Hart misses 3-pt jump shot from 25 ft,3,2
1,10:36.0,Defensive rebound by A. Burks,,3,2
1,10:29.0,C. Osman misses 3-pt jump shot from 26 ft,,3,2
1,10:29.0,,Defensive rebound by B. Ingram,3,2
1,10:21.0,,B. Ingram makes 2-pt layup from 2 ft,3,4
1,10:02.0,Turnover by C. Osman (bad pass; steal by L. Ball),,3,4
1,9:56.0,,L. Ball misses 3-pt jump shot from 26 ft,3,4
1,9:53.0,Defensive rebound by A. Burks,,3,4
1,9:50.0,R. Hood makes 2-pt dunk from 3 ft (assist by A. Burks),,5,4
1,9:27.0,,Offensive foul by J. Hart (drawn by C. Sexton),5,4
1,9:27.0,,Turnover by J. Hart (offensive foul),5,4
1,9:09.0,C. Osman makes 2-pt jump shot from 6 ft,,7,4
1,8:48.0,,K. Kuzma misses 2-pt jump shot from 18 ft,7,4
1,8:46.0,Defensive rebound by A. Burks,,7,4
1,8:35.0,C. Sexton misses 2-pt jump shot from 19 ft,,7,4
1,8:32.0,,Defensive rebound by K. Kuzma,7,4
1,8:22.0,,J. Hart makes 3-pt jump shot from 28 ft (assist by K. Kuzma),7,7
1,7:56.0,C. Osman makes 2-pt layup from 1 ft (assist by R. Hood),,9,7
1,7:50.0,,Personal foul by C. Osman (drawn by K. Kuzma),9,7
1,7:30.0,,K. Kuzma misses 3-pt jump shot from 25 ft,9,7
1,7:27.0,Defensive rebound by A. Burks,,9,7
1,7:19.0,C. Osman makes 2-pt jump shot from 14 ft (assist by A. Burks),,11,7
1,7:08.0,,L. Ball misses 2-pt dunk from 2 ft,11,7
1,7:07.0,Defensive rebound by C. Sexton,,11,7
1,7:07.0,Personal take foul by J. McGee (drawn by C. Sexton),,11,7
1,7:01.0,Turnover by R. Hood (bad pass),,11,7
1,6:48.0,,B. Ingram makes 2-pt jump shot from 14 ft,11,9
1,6:40.0,C. Osman makes 2-pt layup from 1 ft,,13,9
1,6:27.0,,Personal foul by C. Sexton (drawn by B. Ingram),13,9
1,6:27.0,,LA Lakers full timeout,13,9
1,6:27.0,J. Clarkson enters the game for R. Hood,,13,9
1,6:18.0,,B. Ingram misses 2-pt layup from 2 ft,13,9
1,6:17.0,Defensive rebound by A. Burks,,13,9
1,6:11.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,16,9
1,5:57.0,,Turnover by J. Hart (bad pass; steal by C. Osman),16,9
1,5:54.0,C. Osman misses 2-pt layup from 1 ft (block by J. Hart),,16,9
1,5:49.0,Offensive rebound by J. Clarkson,,16,9
1,5:37.0,J. Clarkson misses 2-pt jump shot from 22 ft,,16,9
1,5:37.0,,Defensive rebound by J. Hart,16,9
1,5:28.0,,Turnover by K. Kuzma (lost ball; steal by A. Burks),16,9
