QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
1,11:47.0,,O. Porter makes 2-pt jump shot from 19 ft (assist by K. Dunn),0,2
1,11:27.0,T. Bryant makes 2-pt jump shot from 18 ft (assist by T. Satoranský),,2,2
1,11:11.0,,R. Lopez makes 2-pt layup from 2 ft (assist by K. Dunn),2,4
1,11:02.0,T. Satoranský misses 2-pt jump shot from 21 ft,,2,4
1,10:59.0,,Defensive rebound by L. Markkanen,2,4
1,10:46.0,,O. Porter makes 2-pt layup from 2 ft,2,6
1,10:37.0,T. Ariza misses 3-pt jump shot from 26 ft,,2,6
1,10:33.0,,Defensive rebound by L. Markkanen,2,6
1,10:31.0,,Personal foul by T. Satoranský (drawn by K. Dunn),2,6
1,10:23.0,,R. Lopez makes 2-pt hook shot from 2 ft (assist by O. Porter),2,8
1,10:10.0,T. Satoranský misses 2-pt layup from 2 ft,,2,8
1,10:08.0,,Defensive rebound by R. Lopez,2,8
1,10:00.0,,Z. LaVine makes 2-pt layup from 3 ft,2,10
1,9:54.0,Washington full timeout,,2,10
1,9:36.0,T. Satoranský makes 2-pt layup from 2 ft (assist by T. Ariza),,4,10
1,9:20.0,,R. Lopez misses 2-pt hook shot from 2 ft,4,10
1,9:16.0,Defensive rebound by T. Bryant,,4,10
1,9:13.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Green),,7,10
1,8:50.0,,R. Lopez misses 2-pt layup from 1 ft (block by T. Bryant),7,10
1,8:50.0,Defensive rebound by J. Green,,7,10
1,8:47.0,,Violation by Team (kicked ball),7,10
1,8:37.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by B. Beal),,10,10
1,8:23.0,,Turnover by Z. LaVine (lost ball; steal by B. Beal),10,10
1,8:18.0,B. Beal misses 2-pt jump shot from 16 ft,,10,10
1,8:15.0,,Defensive rebound by Z. LaVine,10,10
1,8:09.0,,Z. LaVine misses 2-pt jump shot from 6 ft,10,10
1,8:04.0,,Z. LaVine makes 2-pt layup at rim,10,12
1,8:04.0,,Offensive rebound by Z. LaVine,10,12
1,7:47.0,J. Green misses 3-pt jump shot from 23 ft,,10,12
1,7:45.0,Offensive rebound by T. Satoranský,,10,12
1,7:35.0,T. Bryant makes 3-pt jump shot from 26 ft (assist by J. Green),,13,12
1,7:22.0,,L. Markkanen misses 3-pt jump shot from 26 ft,13,12
1,7:20.0,Defensive rebound by T. Satoranský,,13,12
1,7:14.0,T. Bryant misses 2-pt layup from 2 ft (block by R. Lopez),,13,12
1,7:11.0,,Defensive rebound by R. Lopez,13,12
1,7:08.0,,O. Porter misses 2-pt layup from 6 ft,13,12
1,7:07.0,,Offensive rebound by L. Markkanen,13,12
1,7:07.0,,L. Markkanen makes 2-pt layup at rim,13,14
1,6:46.0,B. Beal makes 2-pt jump shot from 18 ft,,15,14
1,6:25.0,,L. Markkanen makes 2-pt layup from 2 ft,15,16
1,6:06.0,Shooting foul by O. Porter (drawn by B. Beal),,15,16
1,6:06.0,B. Beal makes free throw 1 of 2,,16,16
1,6:06.0,B. Portis enters the game for T. Bryant,,16,16
1,6:06.0,,W. Selden enters the game for R. Lopez,16,16
1,6:06.0,B. Beal makes free throw 2 of 2,,17,16
1,5:56.0,,L. Markkanen misses 3-pt jump shot from 26 ft,17,16
1,5:51.0,Defensive rebound by B. Portis,,17,16
1,5:35.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Green),,20,16
1,5:24.0,,K. Dunn makes 2-pt jump shot from 7 ft,20,18
