QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
1,0:01.0,,Turnover by Team (shot clock),35,28
2,11:47.0,,K. Knox makes 2-pt layup from 1 ft,35,30
2,11:37.0,T. Snell makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,38,30
2,11:12.0,,D. Dotson misses 2-pt jump shot from 22 ft,38,30
2,11:10.0,Defensive rebound by G. Antetokounmpo,,38,30
2,11:02.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,41,30
2,11:01.0,,New York full timeout,41,30
2,10:50.0,,D. Dotson makes 2-pt jump shot from 19 ft (assist by K. Knox),41,32
2,10:38.0,Shooting foul by N. Vonleh (drawn by G. Antetokounmpo),,41,32
2,10:38.0,,E. Mudiay enters the game for N. Vonleh,41,32
2,10:38.0,G. Antetokounmpo makes free throw 1 of 2,,42,32
2,10:38.0,G. Antetokounmpo makes free throw 2 of 2,,43,32
2,10:17.0,,D. Dotson makes 3-pt jump shot from 24 ft (assist by E. Mudiay),43,35
2,10:02.0,Turnover by G. Antetokounmpo (traveling),,43,35
2,9:43.0,,D. Dotson misses 2-pt jump shot from 22 ft,43,35
2,9:41.0,Defensive rebound by G. Antetokounmpo,,43,35
2,9:41.0,K. Middleton enters the game for T. Snell,,43,35
2,9:25.0,Turnover by D. DiVincenzo (lost ball; steal by K. Knox),,43,35
2,9:16.0,,A. Trier misses 2-pt jump shot from 12 ft,43,35
2,9:14.0,,Offensive rebound by M. Robinson,43,35
2,9:11.0,,M. Robinson makes 2-pt dunk from 1 ft,43,37
2,9:00.0,Personal foul by K. Knox (drawn by G. Antetokounmpo),,43,37
2,8:56.0,Shooting foul by M. Robinson (drawn by G. Antetokounmpo),,43,37
2,8:56.0,E. Bledsoe enters the game for M. Brogdon,,43,37
2,8:56.0,G. Antetokounmpo makes free throw 1 of 2,,44,37
2,8:56.0,G. Antetokounmpo makes free throw 2 of 2,,45,37
2,8:38.0,,E. Mudiay misses 2-pt jump shot from 11 ft,45,37
2,8:36.0,Defensive rebound by E. Bledsoe,,45,37
2,8:36.0,T. Maker enters the game for G. Antetokounmpo,,45,37
2,8:36.0,,T. Hardaway enters the game for A. Trier,45,37
2,8:25.0,K. Middleton misses 3-pt jump shot from 23 ft,,45,37
2,8:23.0,,Defensive rebound by M. Robinson,45,37
2,8:20.0,,Shooting foul by S. Brown (drawn by K. Knox),45,37
2,8:20.0,,K. Knox misses free throw 1 of 2,45,37
2,8:20.0,,Offensive rebound by Team,45,37
2,8:20.0,,K. Knox misses free throw 2 of 2,45,37
2,8:18.0,Defensive rebound by T. Maker,,45,37
2,8:04.0,Shooting foul by M. Robinson (drawn by T. Maker),,45,37
2,8:04.0,P. Connaughton enters the game for D. DiVincenzo,,45,37
2,8:04.0,T. Maker makes free throw 1 of 2,,46,37
2,8:04.0,T. Maker makes free throw 2 of 2,,47,37
2,7:49.0,,K. Knox misses 3-pt jump shot from 23 ft,47,37
2,7:47.0,,Offensive rebound by M. Robinson,47,37
2,7:40.0,,K. Knox misses 2-pt layup from 2 ft,47,37
2,7:38.0,Defensive rebound by K. Middleton,,47,37
2,7:34.0,K. Middleton makes 3-pt jump shot from 25 ft,,50,37
2,7:16.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by E. Mudiay),50,40
2,7:02.0,K. Middleton misses 3-pt jump shot from 25 ft,,50,40
2,7:00.0,,Defensive rebound by T. Hardaway,50,40
2,6:57.0,,K. Knox makes 2-pt dunk from 1 ft (assist by T. Hardaway),50,42
2,6:45.0,S. Brown makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),,52,42
2,6:25.0,,K. Knox misses 3-pt jump shot from 26 ft,52,42
2,6:24.0,Defensive rebound by S. Brown,,52,42
2,6:24.0,B. Lopez enters the game for S. Brown,,52,42
2,6:24.0,,E. Freedom enters the game for M. Robinson,52,42
2,6:15.0,K. Middleton misses 2-pt jump shot from 18 ft,,52,42
2,6:13.0,Offensive rebound by Team,,52,42
2,6:13.0,,Loose ball foul by K. Knox (drawn by T. Maker),52,42
2,6:13.0,T. Maker makes free throw 1 of 2,,53,42
2,6:13.0,T. Maker misses free throw 2 of 2,,53,42
2,6:11.0,,Defensive rebound by T. Hardaway,53,42
2,6:03.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by T. Hardaway),53,44
2,5:55.0,Turnover by K. Middleton (bad pass; steal by D. Dotson),,53,44
2,5:38.0,,E. Mudiay makes 2-pt jump shot from 8 ft,53,46
2,5:38.0,,Shooting foul by E. Bledsoe (drawn by E. Mudiay),53,46
2,5:38.0,,E. Mudiay makes free throw 1 of 1,53,47
2,5:25.0,B. Lopez misses 3-pt jump shot from 27 ft,,53,47
