QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
1,11:44.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),0,2
1,11:25.0,L. Ball misses 2-pt jump shot from 17 ft,,0,2
1,11:23.0,,Defensive rebound by A. Aminu,0,2
1,11:10.0,,J. Nurkić misses 2-pt hook shot from 2 ft,0,2
1,11:07.0,Defensive rebound by K. Kuzma,,0,2
1,10:53.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),,3,2
1,10:39.0,,D. Lillard misses 2-pt jump shot from 16 ft,3,2
1,10:36.0,Defensive rebound by B. Ingram,,3,2
1,10:22.0,B. Ingram misses 2-pt jump shot from 4 ft,,3,2
1,10:20.0,Offensive rebound by J. McGee,,3,2
1,10:20.0,J. McGee makes 2-pt layup at rim,,5,2
1,10:13.0,,C. McCollum misses 2-pt jump shot from 12 ft,5,2
1,10:11.0,Defensive rebound by B. Ingram,,5,2
1,10:05.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. Ball),,7,2
1,9:43.0,,A. Aminu misses 2-pt layup from 2 ft,7,2
1,9:41.0,Defensive rebound by J. McGee,,7,2
1,9:40.0,Turnover by J. McGee (bad pass),,7,2
1,9:34.0,,D. Lillard makes 2-pt layup from 1 ft,7,4
1,9:34.0,,Shooting foul by K. Kuzma (drawn by D. Lillard),7,4
1,9:34.0,,D. Lillard makes free throw 1 of 1,7,5
1,9:18.0,Personal foul by D. Lillard (drawn by B. Ingram),,7,5
1,9:12.0,L. Ball makes 3-pt jump shot from 24 ft (assist by L. James),,10,5
1,8:53.0,Violation by Team (kicked ball),,10,5
1,8:41.0,,J. Layman misses 2-pt layup from 2 ft,10,5
1,8:40.0,Defensive rebound by L. Ball,,10,5
1,8:34.0,L. Ball misses 3-pt jump shot from 24 ft,,10,5
1,8:29.0,,Defensive rebound by D. Lillard,10,5
1,8:24.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),10,8
1,8:16.0,Turnover by L. Ball (bad pass; steal by A. Aminu),,10,8
1,8:14.0,,J. Layman makes 2-pt dunk at rim (assist by A. Aminu),10,10
1,7:56.0,L. Ball misses 3-pt jump shot from 26 ft,,10,10
1,7:54.0,,Defensive rebound by J. Layman,10,10
