QUARTER,TIME_REMAINING,MINNESOTA_ACTION,UTAH_ACTION,MINNESOTA_SCORE,UTAH_SCORE
1,11:38.0,,D. Favors misses 3-pt jump shot from 23 ft,0,0
1,11:35.0,,Offensive rebound by R. Gobert,0,0
1,11:30.0,,J. Ingles misses 3-pt jump shot from 24 ft,0,0
1,11:28.0,Defensive rebound by D. Šarić,,0,0
1,11:10.0,Shooting foul by R. Rubio (drawn by A. Wiggins),,0,0
1,11:10.0,A. Wiggins misses free throw 1 of 2,,0,0
1,11:10.0,Offensive rebound by Team,,0,0
1,11:10.0,A. Wiggins makes free throw 2 of 2,,1,0
1,10:59.0,,R. Gobert makes 2-pt layup from 2 ft (assist by R. Rubio),1,2
1,10:44.0,,Violation by Team (kicked ball),1,2
1,10:40.0,A. Wiggins misses 2-pt jump shot from 16 ft (block by J. Ingles),,1,2
1,10:37.0,,Defensive rebound by R. Gobert,1,2
1,10:29.0,,J. Ingles makes 2-pt layup from 1 ft (assist by R. Rubio),1,4
1,10:06.0,A. Wiggins makes 2-pt jump shot from 2 ft,,3,4
1,9:45.0,,D. Favors makes 2-pt hook shot from 4 ft (assist by J. Ingles),3,6
1,9:33.0,D. Šarić misses 3-pt jump shot from 24 ft,,3,6
1,9:31.0,,Defensive rebound by J. Ingles,3,6
1,9:25.0,,Turnover by J. Ingles (bad pass),3,6
1,9:14.0,K. Towns misses 2-pt jump shot from 21 ft,,3,6
1,9:10.0,,Defensive rebound by D. Mitchell,3,6
1,8:55.0,,Turnover by J. Ingles (palming),3,6
1,8:48.0,T. Jones makes 2-pt jump shot from 22 ft,,5,6
1,8:33.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Mitchell),5,9
1,8:22.0,T. Jones makes 2-pt jump shot from 19 ft,,7,9
1,8:02.0,,D. Mitchell makes 2-pt jump shot from 5 ft (assist by R. Gobert),7,11
1,7:47.0,Shooting foul by R. Gobert (drawn by K. Towns),,7,11
1,7:47.0,K. Towns misses free throw 1 of 2,,7,11
1,7:47.0,Offensive rebound by Team,,7,11
1,7:47.0,K. Towns makes free throw 2 of 2,,8,11
1,7:36.0,,D. Mitchell misses 3-pt jump shot from 26 ft,8,11
1,7:33.0,Defensive rebound by K. Towns,,8,11
1,7:22.0,D. Šarić makes 2-pt jump shot from 20 ft (assist by K. Towns),,10,11
1,7:08.0,,J. Ingles misses 3-pt jump shot from 23 ft,10,11
1,7:01.0,Defensive rebound by K. Towns,,10,11
1,6:55.0,J. Okogie misses 3-pt jump shot from 25 ft,,10,11
1,6:53.0,,Defensive rebound by Team,10,11
1,6:53.0,Loose ball foul by K. Towns (drawn by D. Favors),,10,11
1,6:53.0,,Utah full timeout,10,11
1,6:53.0,,J. Crowder enters the game for D. Favors,10,11
1,6:53.0,,R. O'Neale enters the game for J. Ingles,10,11
1,6:30.0,,R. O'Neale misses 3-pt jump shot from 24 ft,10,11
1,6:26.0,Defensive rebound by K. Towns,,10,11
1,6:14.0,K. Towns makes 3-pt jump shot from 24 ft (assist by T. Jones),,13,11
1,6:01.0,,R. Rubio misses 2-pt jump shot from 14 ft,13,11
1,5:58.0,Defensive rebound by K. Towns,,13,11
1,5:45.0,D. Šarić misses 2-pt hook shot from 7 ft,,13,11
1,5:42.0,Offensive rebound by K. Towns,,13,11
1,5:42.0,K. Towns makes 2-pt layup at rim,,15,11
1,5:36.0,,Shooting foul by T. Jones (drawn by R. Rubio),15,11
1,5:36.0,,R. Rubio makes free throw 1 of 2,15,12
1,5:36.0,K. Bates-Diop enters the game for A. Wiggins,,15,12
1,5:36.0,,R. Rubio misses free throw 2 of 2,15,12
1,5:35.0,,Offensive rebound by Team,15,12
1,5:35.0,Loose ball foul by K. Towns (drawn by R. Gobert),,15,12
1,5:35.0,T. Gibson enters the game for K. Towns,,15,12
1,5:35.0,,K. Korver enters the game for R. Rubio,15,12
1,5:28.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Mitchell),15,15
1,5:06.0,T. Jones misses 3-pt jump shot from 23 ft,,15,15
1,5:02.0,,Defensive rebound by D. Mitchell,15,15
1,4:57.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Mitchell),15,18
1,4:55.0,Minnesota full timeout,,15,18
1,4:42.0,T. Jones makes 2-pt jump shot from 17 ft,,17,18
1,4:20.0,,K. Korver makes 3-pt jump shot from 29 ft (assist by D. Mitchell),17,21
1,4:05.0,T. Gibson makes 2-pt jump shot from 10 ft (assist by T. Jones),,19,21
1,3:51.0,,J. Crowder misses 3-pt jump shot from 25 ft,19,21
1,3:48.0,Defensive rebound by J. Okogie,,19,21
1,3:41.0,D. Šarić makes 2-pt layup from 2 ft (assist by T. Gibson),,21,21
1,3:28.0,,D. Mitchell makes 2-pt jump shot from 4 ft,21,23
1,3:12.0,T. Jones makes 2-pt jump shot from 5 ft (assist by T. Gibson),,23,23
1,2:58.0,,R. O'Neale makes 2-pt dunk from 2 ft (assist by K. Korver),23,25
1,2:44.0,D. Šarić misses 3-pt jump shot from 24 ft,,23,25
1,2:40.0,,Defensive rebound by R. Gobert,23,25
1,2:32.0,,D. Mitchell makes 2-pt jump shot from 8 ft,23,27
1,2:32.0,,Shooting foul by D. Šarić (drawn by D. Mitchell),23,27
1,2:32.0,J. Bayless enters the game for T. Jones,,23,27
1,2:32.0,C. Reynolds enters the game for J. Okogie,,23,27
1,2:32.0,A. Tolliver enters the game for D. Šarić,,23,27
1,2:32.0,,D. Favors enters the game for R. Gobert,23,27
1,2:32.0,,J. Ingles enters the game for R. O'Neale,23,27
1,2:32.0,,D. Mitchell makes free throw 1 of 1,23,28
1,2:20.0,C. Reynolds misses 2-pt jump shot from 19 ft,,23,28
1,2:13.0,Offensive rebound by T. Gibson,,23,28
1,2:07.0,Turnover by K. Bates-Diop (bad pass; steal by J. Ingles),,23,28
1,1:59.0,,Personal foul by J. Bayless (drawn by J. Crowder),23,28
1,1:59.0,,J. Crowder makes free throw 1 of 2,23,29
1,1:59.0,,D. Exum enters the game for D. Mitchell,23,29
1,1:59.0,,J. Crowder makes free throw 2 of 2,23,30
1,1:42.0,K. Bates-Diop makes 2-pt jump shot from 7 ft,,25,30
1,1:27.0,,K. Korver misses 3-pt jump shot from 23 ft,25,30
1,1:25.0,,Offensive rebound by D. Favors,25,30
1,1:15.0,,J. Ingles makes 2-pt layup from 3 ft,25,32
1,0:51.0,T. Gibson misses 2-pt jump shot from 8 ft,,25,32
1,0:48.0,,Defensive rebound by D. Favors,25,32
1,0:44.0,,Offensive foul by D. Exum (drawn by A. Tolliver),25,32
1,0:44.0,,Turnover by D. Exum (offensive foul),25,32
1,0:34.0,A. Tolliver misses 3-pt jump shot from 25 ft,,25,32
1,0:31.0,,Defensive rebound by D. Favors,25,32
1,0:15.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),25,34
1,0:02.0,J. Bayless misses 2-pt jump shot from 20 ft,,25,34
1,0:00.0,Offensive rebound by Team,,25,34
1,0:00.0,,Loose ball foul by K. Korver (drawn by T. Gibson),25,34
1,0:00.0,K. Towns enters the game for T. Gibson,,25,34
1,0:00.0,Turnover by J. Bayless (bad pass; steal by D. Favors),,25,34
2,11:43.0,C. Reynolds makes 2-pt jump shot from 11 ft (assist by T. Gibson),,27,34
2,11:32.0,,Turnover by D. Exum (bad pass; steal by C. Reynolds),27,34
2,11:28.0,C. Reynolds misses 2-pt layup from 3 ft,,27,34
2,11:27.0,,Defensive rebound by J. Crowder,27,34
2,11:23.0,,K. Korver misses 3-pt jump shot from 23 ft,27,34
2,11:19.0,,Offensive rebound by D. Favors,27,34
2,11:18.0,,D. Favors makes 2-pt dunk from 2 ft,27,36
2,10:57.0,J. Bayless makes 2-pt jump shot from 12 ft (assist by T. Gibson),,29,36
2,10:38.0,,J. Crowder misses 3-pt jump shot from 25 ft,29,36
2,10:34.0,Defensive rebound by Team,,29,36
2,10:34.0,,R. Neto enters the game for D. Exum,29,36
2,10:27.0,C. Reynolds misses 3-pt jump shot from 24 ft,,29,36
2,10:24.0,,Defensive rebound by J. Ingles,29,36
2,10:10.0,,R. Neto misses 2-pt layup from 3 ft,29,36
2,10:08.0,,Offensive rebound by D. Favors,29,36
2,10:08.0,,D. Favors makes 2-pt layup from 1 ft,29,38
