QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
1,11:46.0,T. Prince misses 2-pt jump shot from 8 ft,,0,0
1,11:42.0,,Defensive rebound by N. Vučević,0,0
1,11:30.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by A. Gordon),0,2
1,11:18.0,D. Dedmon misses 3-pt jump shot from 24 ft,,0,2
1,11:15.0,Offensive rebound by J. Collins,,0,2
1,11:12.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by J. Collins),,2,2
1,10:55.0,,N. Vučević misses 2-pt jump shot from 7 ft (block by J. Collins),2,2
1,10:54.0,,Offensive rebound by N. Vučević,2,2
1,10:54.0,,Personal foul by D. Dedmon (drawn by J. Isaac),2,2
1,10:45.0,,A. Gordon misses 2-pt jump shot from 8 ft,2,2
1,10:41.0,Defensive rebound by J. Collins,,2,2
1,10:33.0,J. Collins misses 2-pt dunk from 2 ft,,2,2
1,10:30.0,,Defensive rebound by J. Isaac,2,2
1,10:22.0,,J. Isaac misses 3-pt jump shot from 23 ft,2,2
1,10:19.0,Defensive rebound by T. Young,,2,2
1,10:15.0,T. Young misses 3-pt jump shot from 24 ft,,2,2
1,10:12.0,Offensive rebound by J. Collins,,2,2
1,10:10.0,J. Collins misses 3-pt jump shot from 24 ft,,2,2
1,10:10.0,Offensive rebound by D. Dedmon,,2,2
1,10:06.0,T. Young makes 2-pt layup from 1 ft (assist by D. Dedmon),,4,2
1,9:50.0,,N. Vučević misses 2-pt layup from 4 ft,4,2
1,9:47.0,Defensive rebound by D. Dedmon,,4,2
1,9:46.0,Personal foul by J. Isaac (drawn by J. Collins),,4,2
1,9:40.0,Offensive foul by T. Young (drawn by D. Augustin),,4,2
1,9:40.0,Turnover by T. Young (offensive foul),,4,2
1,9:31.0,,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),4,4
1,9:08.0,T. Prince misses 2-pt jump shot from 12 ft,,4,4
1,9:05.0,,Defensive rebound by N. Vučević,4,4
1,9:01.0,,Personal foul by T. Prince (drawn by A. Gordon),4,4
1,8:54.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by D. Augustin),4,6
1,8:43.0,Turnover by T. Young (bad pass; steal by A. Gordon),,4,6
1,8:32.0,,N. Vučević makes 2-pt layup from 1 ft (assist by D. Augustin),4,8
1,8:15.0,K. Huerter misses 2-pt jump shot from 12 ft,,4,8
1,8:15.0,,Defensive rebound by N. Vučević,4,8
1,8:07.0,,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),4,10
1,8:07.0,,Shooting foul by D. Dedmon (drawn by N. Vučević),4,10
1,8:07.0,,N. Vučević makes free throw 1 of 1,4,11
1,7:56.0,K. Huerter misses 2-pt layup from 4 ft,,4,11
1,7:53.0,,Defensive rebound by E. Fournier,4,11
1,7:43.0,,J. Isaac misses 3-pt jump shot from 23 ft,4,11
1,7:40.0,Defensive rebound by D. Dedmon,,4,11
1,7:30.0,Turnover by J. Collins (bad pass; steal by D. Augustin),,4,11
1,7:20.0,,E. Fournier misses 3-pt jump shot from 25 ft,4,11
1,7:16.0,Defensive rebound by J. Collins,,4,11
1,7:13.0,T. Young misses 3-pt jump shot from 31 ft,,4,11
1,7:08.0,,Defensive rebound by D. Augustin,4,11
1,6:57.0,,D. Augustin misses 2-pt jump shot from 7 ft,4,11
1,6:52.0,,Offensive rebound by N. Vučević,4,11
1,6:52.0,,N. Vučević makes 2-pt layup at rim,4,13
1,6:51.0,Atlanta full timeout,,4,13
1,6:51.0,J. Adams enters the game for D. Dedmon,,4,13
1,6:51.0,K. Bazemore enters the game for K. Huerter,,4,13
1,6:51.0,A. Len enters the game for T. Young,,4,13
