QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
1,11:33.0,,R. Gay misses 3-pt jump shot from 26 ft,0,0
1,11:30.0,Defensive rebound by A. Davis,,0,0
1,11:27.0,Turnover by A. Davis (bad pass; steal by B. Forbes),,0,0
1,11:20.0,,B. Forbes makes 2-pt layup from 2 ft,0,2
1,11:09.0,Shooting foul by L. Aldridge (drawn by A. Davis),,0,2
1,11:09.0,A. Davis makes free throw 1 of 2,,1,2
1,11:09.0,A. Davis makes free throw 2 of 2,,2,2
1,11:00.0,,Turnover by B. Forbes (out of bounds lost ball),2,2
1,10:44.0,A. Davis misses 2-pt layup from 6 ft,,2,2
1,10:41.0,,Defensive rebound by D. Cunningham,2,2
1,10:27.0,,R. Gay misses 2-pt layup from 3 ft (block by A. Davis),2,2
1,10:23.0,Defensive rebound by N. Mirotić,,2,2
1,10:16.0,A. Davis makes 2-pt jump shot from 17 ft,,4,2
1,9:53.0,,R. Gay makes 2-pt layup from 6 ft (assist by L. Aldridge),4,4
1,9:29.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by J. Holiday),,7,4
1,9:05.0,,R. Gay misses 2-pt jump shot from 15 ft,7,4
1,9:03.0,Defensive rebound by N. Mirotić,,7,4
1,9:00.0,Turnover by W. Johnson (out of bounds lost ball),,7,4
1,8:41.0,,D. DeRozan misses 2-pt jump shot from 10 ft,7,4
1,8:37.0,Defensive rebound by N. Mirotić,,7,4
1,8:27.0,Turnover by A. Davis (lost ball; steal by B. Forbes),,7,4
1,8:22.0,,R. Gay misses 3-pt jump shot from 27 ft,7,4
1,8:17.0,Defensive rebound by W. Johnson,,7,4
1,8:08.0,E. Moore makes 2-pt jump shot from 5 ft,,9,4
1,7:55.0,,B. Forbes misses 3-pt jump shot from 25 ft,9,4
1,7:55.0,Defensive rebound by N. Mirotić,,9,4
1,7:45.0,J. Holiday makes 2-pt jump shot from 18 ft,,11,4
1,7:41.0,,San Antonio full timeout,11,4
1,7:26.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by D. Cunningham),11,6
1,7:10.0,A. Davis makes 2-pt jump shot from 13 ft (assist by E. Moore),,13,6
1,6:51.0,,R. Gay misses 2-pt layup from 3 ft,13,6
1,6:48.0,Defensive rebound by N. Mirotić,,13,6
1,6:44.0,W. Johnson misses 2-pt jump shot from 19 ft,,13,6
1,6:42.0,,Defensive rebound by B. Forbes,13,6
1,6:29.0,,D. DeRozan makes 2-pt layup from 3 ft (assist by R. Gay),13,8
1,6:22.0,J. Holiday makes 2-pt layup from 2 ft,,15,8
1,6:06.0,,L. Aldridge misses 2-pt jump shot from 16 ft,15,8
1,6:06.0,Defensive rebound by A. Davis,,15,8
1,5:53.0,N. Mirotić misses 2-pt jump shot from 18 ft,,15,8
1,5:50.0,,Defensive rebound by R. Gay,15,8
1,5:44.0,,D. DeRozan misses 2-pt jump shot from 21 ft,15,8
1,5:41.0,Defensive rebound by N. Mirotić,,15,8
1,5:39.0,Turnover by W. Johnson (out of bounds lost ball),,15,8
1,5:39.0,,P. Mills enters the game for B. Forbes,15,8
1,5:23.0,,D. DeRozan makes 2-pt jump shot from 20 ft (assist by P. Mills),15,10
1,5:06.0,Turnover by J. Holiday (lost ball; steal by D. Cunningham),,15,10
1,4:54.0,,L. Aldridge misses 2-pt layup from 6 ft,15,10
1,4:51.0,Defensive rebound by N. Mirotić,,15,10
