QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
1,11:41.0,D. Fox makes 2-pt hook shot from 11 ft,,2,0
1,11:22.0,,J. Randle makes 2-pt layup from 3 ft (assist by E. Payton),2,2
1,11:02.0,D. Fox makes 2-pt jump shot from 19 ft,,4,2
1,10:52.0,,I. Clark misses 3-pt jump shot from 25 ft,4,2
1,10:50.0,Defensive rebound by H. Barnes,,4,2
1,10:42.0,D. Fox makes 3-pt jump shot from 25 ft,,7,2
1,10:24.0,,J. Randle makes 3-pt jump shot from 27 ft (assist by E. Payton),7,5
1,10:13.0,B. Hield misses 2-pt jump shot from 4 ft,,7,5
1,10:10.0,,Defensive rebound by J. Okafor,7,5
1,10:06.0,,E. Payton misses 3-pt jump shot from 26 ft,7,5
1,10:02.0,Defensive rebound by W. Cauley-Stein,,7,5
1,9:49.0,W. Cauley-Stein misses 2-pt hook shot from 7 ft,,7,5
1,9:46.0,,Defensive rebound by J. Randle,7,5
1,9:44.0,,K. Williams misses 2-pt dunk from 1 ft (block by D. Fox),7,5
1,9:44.0,,Offensive rebound by Team,7,5
1,9:41.0,,J. Randle makes 3-pt jump shot from 23 ft (assist by E. Payton),7,8
1,9:25.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Hield),,9,8
1,9:17.0,,E. Payton makes 2-pt layup at rim,9,10
1,9:06.0,D. Fox misses 2-pt jump shot from 9 ft,,9,10
1,9:06.0,,Defensive rebound by K. Williams,9,10
1,9:06.0,,Personal foul by D. Fox (drawn by K. Williams),9,10
1,9:06.0,,D. Miller enters the game for K. Williams,9,10
1,8:58.0,,Turnover by I. Clark (bad pass),9,10
1,8:37.0,W. Cauley-Stein misses 2-pt layup from 2 ft (block by J. Okafor),,9,10
1,8:37.0,,Defensive rebound by Team,9,10
1,8:20.0,,J. Okafor makes 2-pt jump shot from 7 ft,9,12
1,8:09.0,Sacramento full timeout,,9,12
1,7:57.0,H. Barnes misses 2-pt jump shot from 6 ft,,9,12
1,7:54.0,,Defensive rebound by J. Randle,9,12
1,7:32.0,,I. Clark misses 2-pt hook shot from 4 ft,9,12
1,7:30.0,Defensive rebound by W. Cauley-Stein,,9,12
1,7:29.0,Personal foul by I. Clark (drawn by D. Fox),,9,12
1,7:25.0,N. Bjelica misses 3-pt jump shot from 25 ft,,9,12
1,7:20.0,,Defensive rebound by J. Okafor,9,12
1,7:10.0,,J. Okafor makes 2-pt dunk from 1 ft (assist by E. Payton),9,14
1,6:53.0,B. Hield misses 2-pt jump shot from 15 ft,,9,14
1,6:50.0,,Defensive rebound by J. Randle,9,14
1,6:48.0,,J. Randle misses 2-pt layup from 4 ft (block by N. Bjelica),9,14
1,6:47.0,,Offensive rebound by J. Randle,9,14
1,6:37.0,,J. Okafor makes 2-pt layup from 6 ft (assist by E. Payton),9,16
1,6:19.0,B. Hield makes 2-pt layup from 8 ft (assist by W. Cauley-Stein),,11,16
1,6:06.0,,E. Payton misses 2-pt dunk from 2 ft,11,16
1,6:03.0,Defensive rebound by H. Barnes,,11,16
1,5:58.0,W. Cauley-Stein makes 2-pt jump shot from 12 ft (assist by D. Fox),,13,16
1,5:45.0,,J. Randle makes 2-pt jump shot from 2 ft,13,18
1,5:32.0,D. Fox misses 2-pt jump shot from 16 ft,,13,18
1,5:29.0,,Defensive rebound by J. Okafor,13,18
1,5:13.0,,J. Okafor misses 2-pt layup from 6 ft,13,18
1,5:10.0,Defensive rebound by N. Bjelica,,13,18
1,5:02.0,B. Hield misses 3-pt jump shot from 26 ft,,13,18
1,4:59.0,,Defensive rebound by E. Payton,13,18
1,4:52.0,,I. Clark misses 3-pt jump shot from 28 ft,13,18
1,4:48.0,Defensive rebound by W. Cauley-Stein,,13,18
1,4:40.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,15,18
1,4:29.0,,J. Randle misses 3-pt jump shot from 26 ft,15,18
1,4:26.0,Defensive rebound by B. Hield,,15,18
1,4:22.0,B. Hield makes 2-pt layup from 2 ft,,17,18
1,4:12.0,,E. Payton makes 2-pt layup from 2 ft,17,20
1,4:04.0,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),,19,20
1,3:58.0,,New Orleans full timeout,19,20
1,3:58.0,M. Bagley enters the game for H. Barnes,,19,20
1,3:58.0,B. Bogdanović enters the game for N. Bjelica,,19,20
1,3:58.0,,C. Diallo enters the game for I. Clark,19,20
1,3:58.0,,S. Johnson enters the game for J. Okafor,19,20
1,3:58.0,,K. Williams enters the game for E. Payton,19,20
1,3:45.0,,J. Randle misses 2-pt jump shot from 5 ft,19,20
1,3:43.0,Defensive rebound by W. Cauley-Stein,,19,20
1,3:27.0,B. Bogdanović makes 2-pt layup from 3 ft,,21,20
1,3:07.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by S. Johnson),21,23
1,3:07.0,,Shooting foul by B. Bogdanović (drawn by D. Miller),21,23
1,3:07.0,K. Koufos enters the game for W. Cauley-Stein,,21,23
1,3:07.0,,D. Miller makes free throw 1 of 1,21,24
1,2:48.0,K. Koufos misses 2-pt jump shot from 5 ft,,21,24
1,2:44.0,Offensive rebound by M. Bagley,,21,24
1,2:44.0,M. Bagley misses 2-pt layup at rim,,21,24
1,2:41.0,,Defensive rebound by J. Randle,21,24
1,2:38.0,,J. Randle misses 2-pt layup from 1 ft,21,24
1,2:36.0,Defensive rebound by K. Koufos,,21,24
1,2:21.0,K. Koufos misses 2-pt layup from 4 ft,,21,24
1,2:18.0,,Defensive rebound by K. Williams,21,24
1,2:11.0,,Turnover by J. Randle (lost ball; steal by M. Bagley),21,24
1,2:08.0,Turnover by K. Koufos (out of bounds lost ball),,21,24
