QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
4,4:05.0,,M. Hezonja misses 2-pt layup from 1 ft,120,111
4,4:03.0,Defensive rebound by J. Hart,,120,111
4,3:58.0,A. Caruso misses 2-pt layup from 3 ft (block by E. Mudiay),,120,111
4,3:56.0,Offensive rebound by A. Caruso,,120,111
4,3:45.0,L. James makes 2-pt jump shot from 21 ft,,122,111
4,3:44.0,,New York full timeout,122,111
4,3:44.0,LA Lakers full timeout,,122,111
4,3:44.0,K. Kuzma enters the game for J. Hart,,122,111
4,3:31.0,,D. Jordan misses 2-pt hook shot from 3 ft,122,111
4,3:30.0,,Offensive rebound by D. Jordan,122,111
4,3:29.0,,D. Jordan misses 2-pt layup at rim,122,111
4,3:28.0,,Offensive rebound by D. Jordan,122,111
4,3:28.0,,Shooting foul by J. Williams (drawn by D. Jordan),122,111
4,3:14.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by E. Mudiay),122,113
4,2:57.0,Turnover by K. Kuzma (out of bounds lost ball),,122,113
4,2:45.0,,Offensive foul by K. Knox (drawn by A. Caruso),122,113
4,2:45.0,,Turnover by K. Knox (offensive foul),122,113
4,2:28.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,122,113
4,2:26.0,,Defensive rebound by D. Jordan,122,113
4,2:15.0,,New York full timeout,122,113
4,2:13.0,,M. Hezonja misses 3-pt jump shot from 25 ft,122,113
4,2:11.0,,Offensive rebound by D. Jordan,122,113
4,2:09.0,,M. Hezonja makes 3-pt jump shot from 24 ft (assist by D. Jordan),122,116
4,2:00.0,Personal foul by E. Mudiay (drawn by A. Caruso),,122,116
4,2:00.0,A. Caruso misses free throw 1 of 2,,122,116
4,2:00.0,Offensive rebound by Team,,122,116
4,2:00.0,A. Caruso makes free throw 2 of 2,,123,116
4,1:41.0,,D. Dotson makes 2-pt jump shot from 20 ft,123,118
4,1:20.0,L. James misses 3-pt jump shot from 24 ft,,123,118
4,1:18.0,Offensive rebound by J. Williams,,123,118
4,1:14.0,Turnover by J. Williams (lost ball; steal by M. Hezonja),,123,118
4,1:05.0,,Shooting foul by K. Kuzma (drawn by D. Jordan),123,118
4,1:05.0,,D. Jordan makes free throw 1 of 2,123,119
4,1:05.0,,D. Jordan makes free throw 2 of 2,123,120
4,0:44.0,L. James misses 2-pt layup from 1 ft (block by D. Jordan),,123,120
4,0:42.0,Offensive rebound by J. Williams,,123,120
4,0:42.0,J. Williams misses 2-pt layup from 1 ft,,123,120
4,0:39.0,,Defensive rebound by E. Mudiay,123,120
4,0:37.0,,D. Dotson makes 2-pt layup from 2 ft (assist by E. Mudiay),123,122
4,0:37.0,LA Lakers full timeout,,123,122
4,0:30.0,L. James misses 2-pt jump shot from 21 ft,,123,122
4,0:28.0,,Defensive rebound by D. Dotson,123,122
4,0:22.0,,Personal foul by K. Caldwell-Pope (drawn by E. Mudiay),123,122
4,0:22.0,,E. Mudiay makes free throw 1 of 2,123,123
4,0:22.0,,E. Mudiay makes free throw 2 of 2,123,124
4,0:02.0,L. James misses 2-pt jump shot from 12 ft (block by M. Hezonja),,123,124
4,0:01.0,,Defensive rebound by D. Jordan,123,124
