QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
1,5:58.0,,K. Knox makes 2-pt layup from 1 ft,17,19
1,5:45.0,J. McGee makes 2-pt dunk at rim (assist by K. Kuzma),,19,19
1,5:28.0,,D. Dotson makes 2-pt jump shot from 16 ft (assist by D. Jordan),19,21
1,5:18.0,R. Bullock misses 3-pt jump shot from 26 ft,,19,21
1,5:16.0,,Defensive rebound by M. Hezonja,19,21
1,5:09.0,,Turnover by M. Hezonja (lost ball; steal by J. McGee),19,21
1,5:06.0,Turnover by J. McGee (bad pass; steal by K. Knox),,19,21
1,5:02.0,,K. Knox makes 3-pt jump shot from 25 ft,19,24
1,4:49.0,R. Rondo makes 3-pt jump shot from 26 ft,,22,24
1,4:29.0,,Shooting foul by R. Bullock (drawn by M. Hezonja),22,24
1,4:29.0,K. Caldwell-Pope enters the game for R. Bullock,,22,24
1,4:29.0,J. Hart enters the game for L. James,,22,24
1,4:29.0,M. Wagner enters the game for J. McGee,,22,24
1,4:29.0,,M. Hezonja makes free throw 1 of 2,22,25
1,4:29.0,,M. Hezonja makes free throw 2 of 2,22,26
1,4:12.0,Turnover by K. Kuzma (lost ball; steal by M. Hezonja),,22,26
1,4:08.0,,E. Mudiay makes 2-pt layup at rim,22,28
1,4:04.0,,Violation by Team (kicked ball),22,28
1,3:57.0,R. Rondo misses 2-pt hook shot from 4 ft,,22,28
1,3:56.0,Offensive rebound by Team,,22,28
1,3:46.0,M. Wagner makes 3-pt jump shot from 24 ft (assist by R. Rondo),,25,28
1,3:26.0,,D. Jordan misses 2-pt dunk from 1 ft,25,28
1,3:24.0,Defensive rebound by J. Hart,,25,28
1,3:18.0,J. Hart misses 3-pt jump shot from 26 ft,,25,28
1,3:16.0,,Defensive rebound by D. Jordan,25,28
1,3:08.0,,Turnover by E. Mudiay (bad pass; steal by J. Hart),25,28
1,2:59.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,25,28
1,2:57.0,Offensive rebound by K. Caldwell-Pope,,25,28
1,2:51.0,M. Wagner makes 2-pt dunk at rim (assist by J. Hart),,27,28
