QUARTER,TIME_REMAINING,DENVER_ACTION,PHILADELPHIA_ACTION,DENVER_SCORE,PHILADELPHIA_SCORE
4,2:02.0,M. Plumlee makes 2-pt hook shot from 7 ft,,105,109
4,1:48.0,,B. Simmons makes 2-pt dunk at rim,105,111
4,1:48.0,,Shooting foul by M. Plumlee (drawn by B. Simmons),105,111
4,1:48.0,Denver full timeout,,105,111
4,1:48.0,,B. Simmons misses free throw 1 of 1,105,111
4,1:46.0,Defensive rebound by N. Jokić,,105,111
4,1:26.0,M. Beasley misses 2-pt layup from 2 ft (block by J. Embiid),,105,111
4,1:23.0,,Defensive rebound by T. Harris,105,111
4,1:04.0,,J. Embiid makes 2-pt jump shot from 18 ft,105,113
4,0:55.0,N. Jokić misses 3-pt jump shot from 27 ft,,105,113
4,0:51.0,,Defensive rebound by J. Butler,105,113
4,0:39.0,,J. Embiid misses 3-pt jump shot from 28 ft,105,113
4,0:36.0,Defensive rebound by N. Jokić,,105,113
4,0:33.0,Personal foul by B. Simmons (drawn by N. Jokić),,105,113
4,0:33.0,Denver full timeout,,105,113
4,0:30.0,Personal foul by J. Embiid (drawn by J. Murray),,105,113
4,0:30.0,J. Murray makes free throw 1 of 2,,106,113
4,0:30.0,T. Craig enters the game for N. Jokić,,106,113
4,0:30.0,J. Murray makes free throw 2 of 2,,107,113
4,0:29.0,,Personal take foul by M. Plumlee (drawn by J. Butler),107,113
4,0:29.0,N. Jokić enters the game for M. Plumlee,,107,113
4,0:29.0,,J. Butler makes free throw 1 of 2,107,114
4,0:29.0,J. Hernangómez enters the game for T. Craig,,107,114
4,0:29.0,,M. Scott enters the game for J. Redick,107,114
4,0:29.0,,J. Butler makes free throw 2 of 2,107,115
4,0:22.0,W. Barton misses 2-pt jump shot from 3 ft,,107,115
4,0:20.0,Offensive rebound by N. Jokić,,107,115
4,0:20.0,N. Jokić makes 2-pt layup from 1 ft,,109,115
4,0:20.0,Shooting foul by T. Harris (drawn by N. Jokić),,109,115
4,0:20.0,N. Jokić makes free throw 1 of 1,,110,115
4,0:15.0,,Personal take foul by J. Hernangómez (drawn by J. Butler),110,115
4,0:15.0,,J. Butler makes free throw 1 of 2,110,116
4,0:15.0,,J. Butler makes free throw 2 of 2,110,117
4,0:07.0,J. Murray misses 3-pt jump shot from 25 ft,,110,117
4,0:03.0,Offensive rebound by W. Barton,,110,117
4,0:01.0,W. Barton misses 2-pt layup from 1 ft,,110,117
4,0:01.0,,Defensive rebound by J. Butler,110,117
