QUARTER,TIME_REMAINING,BOSTON_ACTION,TORONTO_ACTION,BOSTON_SCORE,TORONTO_SCORE
1,11:45.0,Turnover by G. Hayward (bad pass; steal by K. Leonard),,0,0
1,11:31.0,,S. Ibaka misses 2-pt hook shot from 6 ft,0,0
1,11:28.0,Defensive rebound by K. Irving,,0,0
1,11:22.0,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),,3,0
1,11:08.0,,Turnover by P. Siakam (traveling),3,0
1,10:52.0,Offensive foul by A. Horford (drawn by K. Lowry),,3,0
1,10:52.0,Turnover by A. Horford (offensive foul),,3,0
1,10:40.0,,S. Ibaka makes 2-pt jump shot from 13 ft (assist by K. Lowry),3,2
1,10:25.0,A. Horford misses 3-pt jump shot from 26 ft,,3,2
1,10:21.0,Offensive rebound by A. Horford,,3,2
1,10:07.0,J. Brown misses 3-pt jump shot from 28 ft,,3,2
1,10:06.0,Offensive rebound by Team,,3,2
1,10:06.0,Turnover by Team (shot clock),,3,2
1,9:51.0,,Personal foul by J. Brown (drawn by K. Leonard),3,2
1,9:47.0,,K. Leonard misses 2-pt jump shot from 9 ft,3,2
1,9:44.0,,Offensive rebound by D. Green,3,2
1,9:39.0,,P. Siakam misses 3-pt jump shot from 23 ft,3,2
1,9:36.0,Defensive rebound by A. Horford,,3,2
1,9:34.0,G. Hayward makes 2-pt jump shot from 15 ft (assist by K. Irving),,5,2
1,9:32.0,Violation by Team (delay of game),,5,2
1,9:25.0,,D. Green misses 3-pt jump shot from 24 ft,5,2
1,9:22.0,Defensive rebound by J. Tatum,,5,2
1,9:17.0,Offensive foul by A. Horford (drawn by K. Lowry),,5,2
1,9:17.0,Turnover by A. Horford (offensive foul),,5,2
1,9:02.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Leonard),5,4
1,8:50.0,J. Brown misses 3-pt jump shot from 26 ft,,5,4
1,8:48.0,Offensive rebound by A. Horford,,5,4
1,8:43.0,G. Hayward misses 3-pt jump shot from 26 ft,,5,4
1,8:39.0,,Defensive rebound by P. Siakam,5,4
1,8:35.0,,K. Lowry makes 3-pt jump shot from 30 ft (assist by P. Siakam),5,7
1,8:17.0,G. Hayward makes 2-pt jump shot from 1 ft (assist by K. Irving),,7,7
1,8:10.0,,Turnover by K. Leonard (out of bounds lost ball),7,7
1,8:01.0,K. Irving misses 3-pt jump shot from 24 ft,,7,7
1,7:58.0,,Defensive rebound by P. Siakam,7,7
1,7:41.0,,S. Ibaka makes 2-pt dunk from 2 ft (assist by D. Green),7,9
1,7:25.0,J. Tatum misses 2-pt jump shot from 13 ft,,7,9
1,7:22.0,,Defensive rebound by K. Lowry,7,9
