QUARTER,TIME_REMAINING,MIAMI_ACTION,UTAH_ACTION,MIAMI_SCORE,UTAH_SCORE
1,11:37.0,,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),0,3
1,11:22.0,J. Johnson misses 3-pt jump shot from 24 ft,,0,3
1,11:19.0,,Defensive rebound by D. Mitchell,0,3
1,11:13.0,,J. Ingles misses 3-pt jump shot from 25 ft,0,3
1,11:09.0,Defensive rebound by B. Adebayo,,0,3
1,10:55.0,B. Adebayo misses 2-pt jump shot from 12 ft,,0,3
1,10:52.0,,Defensive rebound by R. Gobert,0,3
1,10:47.0,,J. Crowder misses 3-pt jump shot from 25 ft,0,3
1,10:43.0,,Offensive rebound by D. Mitchell,0,3
1,10:41.0,,D. Mitchell makes 2-pt layup from 3 ft,0,5
1,10:25.0,B. Adebayo misses 2-pt hook shot from 3 ft (block by J. Crowder),,0,5
1,10:23.0,,Defensive rebound by Team,0,5
1,10:08.0,,D. Mitchell misses 2-pt jump shot from 10 ft,0,5
1,10:07.0,Defensive rebound by Team,,0,5
1,9:48.0,Turnover by T. Johnson (traveling),,0,5
1,9:36.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),0,7
1,9:21.0,J. Richardson misses 3-pt jump shot from 22 ft,,0,7
1,9:20.0,,Defensive rebound by R. Rubio,0,7
1,9:00.0,,J. Ingles makes 2-pt jump shot from 7 ft (assist by J. Crowder),0,9
1,8:59.0,Miami full timeout,,0,9
1,8:39.0,R. McGruder misses 2-pt jump shot from 6 ft,,0,9
1,8:37.0,,Defensive rebound by D. Mitchell,0,9
1,8:32.0,,Shooting foul by T. Johnson (drawn by R. Rubio),0,9
1,8:32.0,,R. Rubio makes free throw 1 of 2,0,10
1,8:32.0,,R. Rubio misses free throw 2 of 2,0,10
1,8:26.0,Defensive rebound by R. McGruder,,0,10
1,8:19.0,Personal foul by J. Ingles (drawn by J. Richardson),,0,10
1,8:04.0,J. Richardson misses 2-pt layup from 3 ft,,0,10
1,8:04.0,,Defensive rebound by R. Gobert,0,10
1,7:49.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Rubio),0,13
1,7:35.0,J. Johnson makes 2-pt layup from 3 ft,,2,13
1,7:17.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),2,15
1,6:56.0,J. Johnson misses 2-pt jump shot from 7 ft,,2,15
1,6:53.0,,Defensive rebound by J. Crowder,2,15
1,6:49.0,,Personal foul by T. Johnson (drawn by J. Crowder),2,15
1,6:49.0,K. Olynyk enters the game for J. Johnson,,2,15
1,6:49.0,D. Wade enters the game for T. Johnson,,2,15
1,6:49.0,J. Winslow enters the game for R. McGruder,,2,15
1,6:49.0,,K. Korver enters the game for J. Ingles,2,15
1,6:39.0,,K. Korver makes 2-pt jump shot from 19 ft (assist by R. Gobert),2,17
1,6:24.0,K. Olynyk makes 2-pt layup from 8 ft,,4,17
1,6:08.0,,D. Mitchell makes 2-pt jump shot from 13 ft,4,19
1,5:57.0,Turnover by J. Richardson (bad pass; steal by R. Gobert),,4,19
1,5:49.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by R. Rubio),4,22
1,5:47.0,Miami full timeout,,4,22
1,5:47.0,,D. Favors enters the game for J. Crowder,4,22
1,5:37.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by D. Wade),,7,22
1,5:19.0,,R. Rubio makes 2-pt jump shot from 12 ft,7,24
1,5:00.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,10,24
1,4:42.0,,D. Favors makes 2-pt hook shot from 2 ft (assist by D. Mitchell),10,26
1,4:18.0,Turnover by J. Winslow (lost ball; steal by D. Mitchell),,10,26
1,4:06.0,,K. Korver makes 2-pt jump shot from 21 ft (assist by R. Rubio),10,28
1,3:52.0,J. Richardson misses 3-pt jump shot from 23 ft,,10,28
1,3:50.0,,Defensive rebound by R. Gobert,10,28
1,3:45.0,,D. Mitchell misses 2-pt jump shot from 10 ft,10,28
1,3:42.0,,Offensive rebound by D. Mitchell,10,28
1,3:40.0,,D. Mitchell makes 2-pt jump shot from 6 ft,10,30
1,3:26.0,J. Winslow misses 2-pt layup from 3 ft,,10,30
1,3:24.0,,Defensive rebound by K. Korver,10,30
1,3:18.0,,K. Korver misses 2-pt jump shot from 24 ft,10,30
1,3:14.0,Defensive rebound by D. Wade,,10,30
1,3:00.0,Turnover by J. Winslow (bad pass; steal by R. Gobert),,10,30
1,2:56.0,,Shooting foul by K. Olynyk (drawn by D. Favors),10,30
1,2:56.0,,D. Favors makes free throw 1 of 2,10,31
1,2:56.0,W. Ellington enters the game for B. Adebayo,,10,31
1,2:56.0,D. Jones enters the game for J. Richardson,,10,31
1,2:56.0,,D. Exum enters the game for R. Gobert,10,31
1,2:56.0,,J. Ingles enters the game for K. Korver,10,31
1,2:56.0,,R. O'Neale enters the game for D. Mitchell,10,31
1,2:56.0,,T. Sefolosha enters the game for R. Rubio,10,31
1,2:56.0,,D. Favors makes free throw 2 of 2,10,32
1,2:36.0,D. Wade misses 2-pt layup from 6 ft,,10,32
1,2:34.0,,Defensive rebound by D. Favors,10,32
1,2:29.0,,Turnover by D. Exum (lost ball; steal by K. Olynyk),10,32
1,2:25.0,J. Winslow misses 2-pt layup from 2 ft,,10,32
1,2:23.0,,Defensive rebound by T. Sefolosha,10,32
1,2:08.0,,Shooting foul by J. Winslow (drawn by D. Exum),10,32
1,2:08.0,,D. Exum makes free throw 1 of 2,10,33
1,2:08.0,,D. Exum makes free throw 2 of 2,10,34
1,1:55.0,W. Ellington misses 3-pt jump shot from 25 ft,,10,34
1,1:52.0,,Defensive rebound by R. O'Neale,10,34
1,1:45.0,,D. Exum misses 2-pt layup from 2 ft,10,34
1,1:43.0,Defensive rebound by K. Olynyk,,10,34
1,1:32.0,Shooting foul by R. O'Neale (drawn by D. Jones),,10,34
1,1:32.0,D. Jones makes free throw 1 of 2,,11,34
1,1:32.0,D. Jones misses free throw 2 of 2,,11,34
1,1:30.0,,Defensive rebound by D. Favors,11,34
1,1:20.0,,Turnover by D. Exum (bad pass; steal by K. Olynyk),11,34
1,1:20.0,Personal foul by D. Exum (drawn by D. Jones),,11,34
1,1:20.0,D. Jones misses free throw 1 of 2,,11,34
1,1:20.0,Offensive rebound by Team,,11,34
1,1:20.0,D. Jones makes free throw 2 of 2,,12,34
1,1:05.0,Loose ball foul by D. Wade (drawn by D. Exum),,12,34
1,1:05.0,,D. Exum makes free throw 1 of 2,12,35
1,1:05.0,,D. Exum makes free throw 2 of 2,12,36
1,0:55.0,D. Jones makes 2-pt dunk from 1 ft (assist by D. Wade),,14,36
1,0:41.0,,Shooting foul by D. Jones (drawn by J. Ingles),14,36
