QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
1,11:38.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by B. Forbes),0,2
1,11:23.0,W. Cauley-Stein misses 2-pt hook shot from 6 ft,,0,2
1,11:18.0,,Defensive rebound by L. Aldridge,0,2
1,11:05.0,,D. White misses 3-pt jump shot from 24 ft,0,2
1,11:03.0,Defensive rebound by B. Hield,,0,2
1,10:42.0,D. Fox misses 3-pt jump shot from 26 ft,,0,2
1,10:35.0,Offensive rebound by N. Bjelica,,0,2
1,10:35.0,N. Bjelica makes 2-pt layup at rim,,2,2
1,10:27.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. DeRozan),2,4
1,10:19.0,H. Barnes misses 3-pt jump shot from 27 ft,,2,4
1,10:14.0,,Defensive rebound by B. Forbes,2,4
1,10:04.0,,Personal foul by N. Bjelica (drawn by L. Aldridge),2,4
1,9:51.0,,D. DeRozan misses 2-pt jump shot from 6 ft,2,4
1,9:47.0,Defensive rebound by W. Cauley-Stein,,2,4
1,9:41.0,Turnover by D. Fox (lost ball; steal by D. DeRozan),,2,4
1,9:36.0,,L. Aldridge misses 2-pt layup from 7 ft,2,4
1,9:35.0,,Offensive rebound by L. Aldridge,2,4
1,9:33.0,,L. Aldridge misses 2-pt layup from 2 ft,2,4
1,9:32.0,,Offensive rebound by R. Gay,2,4
1,9:30.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by R. Gay),2,7
1,9:12.0,N. Bjelica misses 2-pt jump shot from 7 ft,,2,7
1,9:08.0,Offensive rebound by N. Bjelica,,2,7
1,9:03.0,N. Bjelica misses 2-pt layup from 4 ft,,2,7
1,9:01.0,,Defensive rebound by L. Aldridge,2,7
1,9:00.0,,L. Aldridge misses 2-pt layup from 2 ft,2,7
1,8:59.0,,Offensive rebound by L. Aldridge,2,7
