QUARTER,TIME_REMAINING,MIAMI_ACTION,TORONTO_ACTION,MIAMI_SCORE,TORONTO_SCORE
1,11:37.0,J. Johnson makes 2-pt jump shot from 15 ft,,2,0
1,11:16.0,,K. Leonard makes 2-pt jump shot from 13 ft,2,2
1,11:02.0,J. Richardson makes 2-pt jump shot from 12 ft,,4,2
1,10:35.0,,Turnover by Team (shot clock),4,2
1,10:20.0,H. Whiteside misses 2-pt hook shot from 9 ft,,4,2
1,10:16.0,,Defensive rebound by J. Valančiūnas,4,2
1,10:12.0,,K. Lowry makes 2-pt layup from 1 ft,4,4
1,10:03.0,R. McGruder misses 3-pt jump shot from 27 ft,,4,4
1,10:02.0,,Defensive rebound by Team,4,4
1,10:02.0,Loose ball foul by H. Whiteside (drawn by K. Lowry),,4,4
1,9:40.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by H. Whiteside),4,4
1,9:37.0,Defensive rebound by R. McGruder,,4,4
1,9:33.0,R. McGruder misses 2-pt layup from 5 ft,,4,4
1,9:29.0,Offensive rebound by H. Whiteside,,4,4
1,9:29.0,H. Whiteside misses 2-pt layup at rim,,4,4
1,9:28.0,,Defensive rebound by K. Leonard,4,4
1,9:23.0,,K. Leonard misses 2-pt jump shot from 19 ft,4,4
1,9:23.0,,Offensive rebound by J. Valančiūnas,4,4
1,9:19.0,,J. Valančiūnas makes 2-pt hook shot from 3 ft,4,6
1,8:55.0,J. Johnson misses 2-pt jump shot from 19 ft,,4,6
1,8:52.0,,Defensive rebound by Team,4,6
1,8:33.0,,P. Siakam makes 2-pt dunk from 1 ft,4,8
1,8:22.0,J. Johnson misses 2-pt hook shot from 4 ft,,4,8
1,8:20.0,,Defensive rebound by P. Siakam,4,8
1,8:15.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by K. Lowry),4,11
1,7:56.0,R. McGruder misses 3-pt jump shot from 24 ft,,4,11
1,7:55.0,,Defensive rebound by K. Lowry,4,11
1,7:39.0,,Turnover by K. Leonard (back court),4,11
1,7:27.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by H. Whiteside),,7,11
1,7:09.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),7,13
