QUARTER,TIME_REMAINING,UTAH_ACTION,TORONTO_ACTION,UTAH_SCORE,TORONTO_SCORE
1,11:36.0,,S. Ibaka makes 2-pt hook shot from 2 ft,0,2
1,11:23.0,D. Mitchell makes 2-pt layup from 1 ft,,2,2
1,11:03.0,,S. Ibaka misses 2-pt jump shot from 11 ft,2,2
1,11:00.0,Defensive rebound by R. Gobert,,2,2
1,10:50.0,R. Gobert makes 2-pt dunk at rim (assist by R. Rubio),,4,2
1,10:34.0,,D. Green makes 2-pt hook shot from 1 ft (assist by F. VanVleet),4,4
1,10:17.0,Shooting foul by P. Siakam (drawn by D. Favors),,4,4
1,10:17.0,D. Favors misses free throw 1 of 2,,4,4
1,10:17.0,Offensive rebound by Team,,4,4
1,10:17.0,D. Favors misses free throw 2 of 2,,4,4
1,10:14.0,,Defensive rebound by P. Siakam,4,4
1,10:05.0,,P. Siakam makes 2-pt dunk at rim (assist by F. VanVleet),4,6
1,9:52.0,J. Ingles misses 3-pt jump shot from 24 ft,,4,6
1,9:49.0,,Defensive rebound by F. VanVleet,4,6
1,9:39.0,,Turnover by K. Leonard (bad pass),4,6
1,9:25.0,R. Rubio misses 2-pt layup from 1 ft (block by S. Ibaka),,4,6
1,9:25.0,Offensive rebound by Team,,4,6
1,9:17.0,Shooting foul by S. Ibaka (drawn by R. Gobert),,4,6
1,9:17.0,R. Gobert misses free throw 1 of 2,,4,6
1,9:17.0,Offensive rebound by Team,,4,6
1,9:17.0,R. Gobert makes free throw 2 of 2,,5,6
1,9:01.0,,F. VanVleet makes 2-pt layup from 2 ft,5,8
1,8:42.0,R. Rubio misses 3-pt jump shot from 27 ft,,5,8
1,8:39.0,,Defensive rebound by P. Siakam,5,8
1,8:30.0,,S. Ibaka makes 3-pt jump shot from 24 ft (assist by P. Siakam),5,11
1,8:11.0,R. Rubio misses 2-pt jump shot from 21 ft,,5,11
1,8:08.0,,Defensive rebound by P. Siakam,5,11
1,7:59.0,,F. VanVleet misses 2-pt jump shot from 23 ft,5,11
1,7:57.0,Defensive rebound by R. Gobert,,5,11
1,7:38.0,J. Ingles misses 3-pt jump shot from 26 ft,,5,11
1,7:35.0,,Defensive rebound by K. Leonard,5,11
1,7:28.0,,K. Leonard makes 2-pt jump shot from 19 ft,5,13
1,7:27.0,Utah full timeout,,5,13
1,7:13.0,D. Mitchell misses 3-pt jump shot from 27 ft,,5,13
1,7:10.0,,Defensive rebound by S. Ibaka,5,13
1,7:03.0,,P. Siakam misses 2-pt hook shot from 4 ft (block by D. Favors),5,13
1,7:01.0,Defensive rebound by R. Rubio,,5,13
1,6:51.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Gobert),,7,13
1,6:34.0,,K. Leonard misses 2-pt hook shot from 5 ft,7,13
1,6:32.0,Defensive rebound by D. Favors,,7,13
1,6:15.0,D. Favors misses 3-pt jump shot from 23 ft,,7,13
1,6:12.0,,Defensive rebound by S. Ibaka,7,13
1,6:01.0,,Turnover by F. VanVleet (bad pass; steal by R. Gobert),7,13
1,5:54.0,D. Favors makes 2-pt layup at rim (assist by J. Ingles),,9,13
1,5:35.0,,Turnover by D. Green (lost ball; steal by J. Ingles),9,13
1,5:35.0,Personal foul by D. Green (drawn by R. Gobert),,9,13
1,5:35.0,J. Crowder enters the game for D. Favors,,9,13
1,5:35.0,R. O'Neale enters the game for J. Ingles,,9,13
1,5:20.0,R. Rubio misses 2-pt jump shot from 19 ft,,9,13
1,5:18.0,,Defensive rebound by S. Ibaka,9,13
1,5:08.0,,Shooting foul by J. Crowder (drawn by K. Leonard),9,13
1,5:08.0,,K. Leonard makes free throw 1 of 2,9,14
1,5:08.0,,O. Anunoby enters the game for D. Green,9,14
1,5:08.0,,N. Powell enters the game for P. Siakam,9,14
1,5:08.0,,K. Leonard makes free throw 2 of 2,9,15
1,4:50.0,R. Gobert makes 2-pt hook shot from 4 ft,,11,15
1,4:50.0,Shooting foul by N. Powell (drawn by R. Gobert),,11,15
1,4:50.0,R. Gobert makes free throw 1 of 1,,12,15
1,4:39.0,,K. Leonard makes 2-pt jump shot from 14 ft (assist by O. Anunoby),12,17
1,4:28.0,D. Mitchell misses 2-pt jump shot from 19 ft,,12,17
1,4:26.0,,Defensive rebound by N. Powell,12,17
1,4:15.0,,S. Ibaka misses 2-pt hook shot from 8 ft,12,17
1,4:13.0,Defensive rebound by R. Rubio,,12,17
1,4:08.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Rubio),,14,17
1,3:47.0,,N. Powell makes 2-pt layup from 1 ft,14,19
1,3:35.0,Def 3 sec tech foul by Team,,14,19
1,3:35.0,R. Rubio makes technical free throw,,15,19
1,3:35.0,D. Exum enters the game for R. Rubio,,15,19
1,3:35.0,,G. Monroe enters the game for S. Ibaka,15,19
1,3:26.0,D. Exum misses 2-pt layup from 2 ft,,15,19
1,3:24.0,,Defensive rebound by F. VanVleet,15,19
1,3:12.0,,N. Powell makes 3-pt jump shot from 25 ft (assist by G. Monroe),15,22
1,2:50.0,D. Mitchell misses 2-pt jump shot from 21 ft,,15,22
1,2:47.0,Offensive rebound by R. Gobert,,15,22
1,2:43.0,Shooting foul by O. Anunoby (drawn by J. Crowder),,15,22
1,2:43.0,,Toronto full timeout,15,22
1,2:43.0,D. Favors enters the game for R. Gobert,,15,22
1,2:43.0,J. Ingles enters the game for D. Mitchell,,15,22
1,2:43.0,K. Korver enters the game for R. O'Neale,,15,22
1,2:43.0,,D. Wright enters the game for F. VanVleet,15,22
1,2:43.0,J. Crowder makes free throw 1 of 2,,16,22
1,2:43.0,J. Crowder makes free throw 2 of 2,,17,22
1,2:31.0,,K. Leonard makes 2-pt jump shot from 19 ft,17,24
1,2:14.0,K. Korver misses 3-pt jump shot from 27 ft,,17,24
1,2:11.0,Offensive rebound by D. Favors,,17,24
1,2:07.0,Shooting foul by K. Leonard (drawn by J. Crowder),,17,24
1,2:07.0,J. Crowder makes free throw 1 of 3,,18,24
1,2:07.0,J. Crowder makes free throw 2 of 3,,19,24
1,2:07.0,J. Crowder makes free throw 3 of 3,,20,24
1,1:50.0,,K. Leonard misses 2-pt jump shot from 20 ft,20,24
1,1:47.0,Defensive rebound by D. Exum,,20,24
1,1:35.0,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),,22,24
1,1:21.0,,G. Monroe misses 2-pt hook shot from 2 ft,22,24
1,1:17.0,,Offensive rebound by G. Monroe,22,24
1,1:17.0,,G. Monroe misses 2-pt layup at rim (block by D. Favors),22,24
1,1:15.0,Defensive rebound by J. Crowder,,22,24
1,1:09.0,J. Crowder misses 3-pt jump shot from 27 ft,,22,24
1,1:06.0,,Defensive rebound by K. Leonard,22,24
1,1:00.0,,K. Leonard makes 2-pt jump shot from 11 ft,22,26
1,0:46.0,D. Favors misses 2-pt layup from 2 ft,,22,26
1,0:44.0,Offensive rebound by D. Favors,,22,26
1,0:44.0,D. Favors makes 2-pt layup from 1 ft,,24,26
1,0:34.0,,Turnover by D. Wright (out of bounds lost ball),24,26
1,0:34.0,,D. Green enters the game for K. Leonard,24,26
1,0:20.0,D. Favors misses 2-pt jump shot from 11 ft,,24,26
1,0:17.0,,Defensive rebound by O. Anunoby,24,26
1,0:02.0,,N. Powell misses 3-pt jump shot from 26 ft,24,26
1,0:02.0,Defensive rebound by J. Ingles,,24,26
2,11:43.0,J. Ingles misses 3-pt jump shot from 26 ft,,24,26
2,11:40.0,,Defensive rebound by P. Siakam,24,26
2,11:28.0,,G. Monroe makes 2-pt hook shot at rim,24,28
2,11:15.0,D. Exum misses 2-pt layup from 2 ft,,24,28
2,11:13.0,Offensive rebound by D. Favors,,24,28
2,11:13.0,D. Favors makes 2-pt layup from 1 ft,,26,28
2,10:55.0,,P. Siakam misses 2-pt hook shot from 1 ft,26,28
2,10:53.0,Defensive rebound by J. Crowder,,26,28
2,10:47.0,Turnover by J. Crowder (bad pass; steal by O. Anunoby),,26,28
2,10:44.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by O. Anunoby),26,30
2,10:28.0,Shooting foul by G. Monroe (drawn by D. Favors),,26,30
2,10:28.0,D. Favors makes free throw 1 of 2,,27,30
2,10:28.0,T. Sefolosha enters the game for J. Crowder,,27,30
2,10:28.0,D. Favors makes free throw 2 of 2,,28,30
2,10:15.0,,N. Powell misses 2-pt layup from 3 ft,28,30
2,10:14.0,Defensive rebound by J. Ingles,,28,30
2,10:01.0,T. Sefolosha makes 3-pt jump shot from 26 ft (assist by D. Exum),,31,30
2,9:46.0,,Turnover by D. Wright (bad pass; steal by J. Ingles),31,30
2,9:41.0,D. Exum makes 2-pt layup from 1 ft,,33,30
2,9:26.0,,Personal foul by T. Sefolosha (drawn by P. Siakam),33,30
2,9:19.0,,N. Powell makes 2-pt jump shot from 4 ft,33,32
2,9:05.0,D. Exum makes 2-pt layup from 1 ft,,35,32
2,8:47.0,,O. Anunoby makes 2-pt layup from 1 ft,35,34
2,8:24.0,Shooting foul by P. Siakam (drawn by J. Ingles),,35,34
2,8:24.0,J. Ingles misses free throw 1 of 3,,35,34
2,8:24.0,Offensive rebound by Team,,35,34
2,8:24.0,J. Ingles makes free throw 2 of 3,,36,34
2,8:24.0,,D. Green enters the game for O. Anunoby,36,34
2,8:24.0,J. Ingles makes free throw 3 of 3,,37,34
2,8:12.0,,Shooting foul by D. Favors (drawn by G. Monroe),37,34
2,8:12.0,,G. Monroe makes free throw 1 of 2,37,35
2,8:12.0,D. Mitchell enters the game for J. Ingles,,37,35
2,8:12.0,,G. Monroe makes free throw 2 of 2,37,36
2,7:50.0,D. Mitchell misses 2-pt jump shot from 10 ft,,37,36
2,7:46.0,Offensive rebound by D. Favors,,37,36
2,7:43.0,Shooting foul by D. Green (drawn by D. Favors),,37,36
2,7:43.0,D. Favors misses free throw 1 of 2,,37,36
2,7:43.0,Offensive rebound by Team,,37,36
2,7:43.0,D. Favors makes free throw 2 of 2,,38,36
2,7:29.0,,N. Powell makes 2-pt layup from 2 ft,38,38
2,7:06.0,D. Exum misses 2-pt layup from 2 ft,,38,38
2,7:04.0,,Defensive rebound by G. Monroe,38,38
2,6:55.0,,D. Green misses 2-pt jump shot from 12 ft,38,38
2,6:52.0,Defensive rebound by D. Mitchell,,38,38
2,6:48.0,D. Mitchell misses 2-pt layup from 1 ft (block by N. Powell),,38,38
2,6:46.0,,Defensive rebound by N. Powell,38,38
2,6:42.0,,P. Siakam makes 2-pt layup from 1 ft (assist by G. Monroe),38,40
2,6:42.0,Utah full timeout,,38,40
2,6:42.0,R. Gobert enters the game for D. Exum,,38,40
2,6:42.0,R. Rubio enters the game for D. Favors,,38,40
2,6:42.0,,S. Ibaka enters the game for G. Monroe,38,40
2,6:42.0,,K. Leonard enters the game for N. Powell,38,40
2,6:42.0,,F. VanVleet enters the game for D. Wright,38,40
2,6:26.0,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. Rubio),,41,40
2,6:00.0,,F. VanVleet makes 2-pt jump shot from 17 ft (assist by S. Ibaka),41,42
2,5:41.0,D. Mitchell misses 3-pt jump shot from 26 ft,,41,42
2,5:38.0,Offensive rebound by T. Sefolosha,,41,42
2,5:24.0,K. Korver misses 3-pt jump shot from 24 ft,,41,42
2,5:21.0,,Defensive rebound by S. Ibaka,41,42
2,5:10.0,,P. Siakam makes 2-pt layup at rim (assist by D. Green),41,44
2,4:51.0,T. Sefolosha misses 2-pt jump shot from 16 ft,,41,44
2,4:48.0,,Defensive rebound by K. Leonard,41,44
