QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MEMPHIS_ACTION,MILWAUKEE_SCORE,MEMPHIS_SCORE
1,11:41.0,,M. Gasol misses 2-pt hook shot from 6 ft,0,0
1,11:39.0,Defensive rebound by G. Antetokounmpo,,0,0
1,11:30.0,Shooting foul by J. Holiday (drawn by K. Middleton),,0,0
1,11:30.0,K. Middleton makes free throw 1 of 3,,1,0
1,11:30.0,K. Middleton makes free throw 2 of 3,,2,0
1,11:30.0,K. Middleton makes free throw 3 of 3,,3,0
1,11:20.0,,Shooting foul by G. Antetokounmpo (drawn by J. Jackson),3,0
1,11:20.0,,J. Jackson makes free throw 1 of 2,3,1
1,11:20.0,,J. Jackson makes free throw 2 of 2,3,2
1,11:08.0,Shooting foul by J. Jackson (drawn by G. Antetokounmpo),,3,2
1,11:08.0,G. Antetokounmpo makes free throw 1 of 2,,4,2
1,11:08.0,G. Antetokounmpo misses free throw 2 of 2,,4,2
1,11:06.0,,Defensive rebound by M. Gasol,4,2
1,10:59.0,,G. Temple misses 2-pt jump shot from 21 ft,4,2
1,10:56.0,Defensive rebound by G. Antetokounmpo,,4,2
1,10:52.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,6,2
1,10:32.0,,M. Conley makes 2-pt jump shot from 13 ft (assist by M. Gasol),6,4
1,10:17.0,Personal foul by M. Conley (drawn by G. Antetokounmpo),,6,4
1,10:02.0,B. Lopez makes 2-pt jump shot from 21 ft,,8,4
1,9:40.0,,J. Holiday misses 3-pt jump shot from 25 ft,8,4
1,9:37.0,Defensive rebound by B. Lopez,,8,4
1,9:28.0,B. Lopez misses 2-pt jump shot from 8 ft,,8,4
1,9:26.0,,Defensive rebound by M. Conley,8,4
1,9:19.0,,M. Gasol misses 3-pt jump shot from 26 ft,8,4
1,9:16.0,Defensive rebound by K. Middleton,,8,4
1,9:08.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,10,4
1,8:49.0,,Personal foul by E. Bledsoe (drawn by M. Conley),10,4
1,8:38.0,,G. Temple misses 3-pt jump shot from 26 ft,10,4
1,8:35.0,Defensive rebound by G. Antetokounmpo,,10,4
1,8:30.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,10,4
1,8:24.0,,Defensive rebound by J. Holiday,10,4
1,8:15.0,,J. Jackson misses 2-pt jump shot from 9 ft,10,4
1,8:12.0,Defensive rebound by G. Antetokounmpo,,10,4
1,8:10.0,Shooting foul by J. Holiday (drawn by M. Brogdon),,10,4
1,8:10.0,,Memphis full timeout,10,4
1,8:10.0,,O. Casspi enters the game for J. Holiday,10,4
1,8:10.0,M. Brogdon makes free throw 1 of 2,,11,4
1,8:10.0,M. Brogdon makes free throw 2 of 2,,12,4
1,7:49.0,,G. Temple misses 2-pt jump shot from 13 ft,12,4
1,7:47.0,Defensive rebound by G. Antetokounmpo,,12,4
1,7:34.0,K. Middleton makes 2-pt dunk from 1 ft,,14,4
1,7:13.0,,M. Gasol misses 2-pt jump shot from 10 ft,14,4
1,7:10.0,Defensive rebound by K. Middleton,,14,4
1,7:06.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,14,4
1,7:04.0,,Defensive rebound by Team,14,4
1,7:04.0,S. Brown enters the game for M. Brogdon,,14,4
1,6:48.0,,M. Gasol misses 2-pt hook shot from 6 ft,14,4
1,6:45.0,Defensive rebound by G. Antetokounmpo,,14,4
1,6:44.0,,Violation by Team (kicked ball),14,4
1,6:37.0,G. Antetokounmpo misses 2-pt jump shot from 7 ft,,14,4
1,6:34.0,,Defensive rebound by M. Gasol,14,4
1,6:29.0,,M. Conley misses 2-pt jump shot from 11 ft,14,4
1,6:24.0,Defensive rebound by S. Brown,,14,4
1,6:12.0,Turnover by B. Lopez (bad pass; steal by J. Jackson),,14,4
1,6:00.0,,O. Casspi makes 3-pt jump shot from 26 ft (assist by M. Gasol),14,7
1,5:33.0,Shooting foul by M. Conley (drawn by E. Bledsoe),,14,7
1,5:33.0,E. Bledsoe makes free throw 1 of 2,,15,7
1,5:33.0,D. Wilson enters the game for G. Antetokounmpo,,15,7
1,5:33.0,,J. Green enters the game for M. Conley,15,7
1,5:33.0,,S. Mack enters the game for J. Jackson,15,7
1,5:33.0,E. Bledsoe makes free throw 2 of 2,,16,7
1,5:24.0,,G. Temple misses 3-pt jump shot from 26 ft,16,7
1,5:21.0,Defensive rebound by K. Middleton,,16,7
1,5:17.0,S. Brown makes 2-pt layup at rim (assist by K. Middleton),,18,7
1,5:03.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by G. Temple),18,9
1,4:52.0,E. Bledsoe makes 2-pt layup at rim,,20,9
1,4:33.0,,J. Green misses 2-pt layup from 2 ft (block by B. Lopez),20,9
1,4:30.0,Defensive rebound by K. Middleton,,20,9
1,4:28.0,K. Middleton misses 2-pt layup from 1 ft,,20,9
1,4:24.0,,Defensive rebound by G. Temple,20,9
1,4:16.0,,G. Temple misses 3-pt jump shot from 26 ft,20,9
1,4:13.0,,Offensive rebound by J. Green,20,9
1,4:13.0,,Shooting foul by B. Lopez (drawn by J. Green),20,9
