QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
1,7:18.0,J. Valančiūnas misses 2-pt layup from 3 ft (block by K. Bazemore),,7,2
1,7:13.0,Offensive rebound by J. Valančiūnas,,7,2
1,7:12.0,J. Valančiūnas makes 2-pt layup from 2 ft,,9,2
1,7:06.0,,Shooting foul by J. Valančiūnas (drawn by D. Dedmon),9,2
1,7:06.0,,D. Dedmon makes free throw 1 of 2,9,3
1,7:06.0,,D. Dedmon makes free throw 2 of 2,9,4
1,6:55.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,12,4
1,6:40.0,,J. Lin misses 2-pt jump shot from 13 ft,12,4
1,6:37.0,Defensive rebound by K. Lowry,,12,4
1,6:27.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by K. Lowry),,15,4
1,6:12.0,,K. Bazemore makes 2-pt jump shot from 16 ft (assist by D. Dedmon),15,6
1,5:58.0,J. Valančiūnas makes 2-pt jump shot from 9 ft (assist by K. Lowry),,17,6
1,5:57.0,,Atlanta full timeout,17,6
1,5:57.0,,D. Bembry enters the game for K. Bazemore,17,6
1,5:57.0,,K. Huerter enters the game for D. Dedmon,17,6
1,5:57.0,,M. Plumlee enters the game for T. Prince,17,6
1,5:46.0,,Personal foul by K. Lowry (drawn by D. Bembry),17,6
1,5:45.0,,Offensive foul by D. Bembry (drawn by F. VanVleet),17,6
1,5:45.0,,Turnover by D. Bembry (offensive foul),17,6
1,5:32.0,P. Siakam makes 2-pt hook shot from 2 ft (assist by J. Valančiūnas),,19,6
1,5:12.0,,V. Carter makes 2-pt layup from 3 ft (assist by M. Plumlee),19,8
1,4:57.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by K. Lowry),,21,8
1,4:40.0,,D. Bembry misses 3-pt jump shot from 24 ft,21,8
1,4:37.0,Defensive rebound by J. Valančiūnas,,21,8
1,4:34.0,Turnover by J. Valančiūnas (bad pass; steal by D. Bembry),,21,8
1,4:28.0,,J. Lin misses 3-pt jump shot from 26 ft,21,8
1,4:27.0,,Offensive rebound by D. Bembry,21,8
1,4:25.0,,M. Plumlee misses 2-pt dunk from 3 ft,21,8
1,4:25.0,,Offensive rebound by D. Bembry,21,8
1,4:21.0,,D. Bembry makes 2-pt layup from 1 ft,21,10
1,4:05.0,D. Green misses 2-pt jump shot from 17 ft,,21,10
1,4:01.0,Offensive rebound by D. Green,,21,10
1,3:59.0,D. Green misses 3-pt jump shot from 25 ft,,21,10
1,3:55.0,Offensive rebound by J. Valančiūnas,,21,10
1,3:54.0,J. Valančiūnas makes 2-pt hook shot from 2 ft,,23,10
1,3:34.0,,V. Carter makes 2-pt jump shot from 12 ft,23,12
1,3:22.0,Toronto full timeout,,23,12
1,3:22.0,S. Ibaka enters the game for D. Green,,23,12
1,3:22.0,D. Wright enters the game for J. Valančiūnas,,23,12
1,3:08.0,K. Lowry misses 2-pt jump shot from 8 ft,,23,12
1,3:02.0,Offensive rebound by S. Ibaka,,23,12
1,3:02.0,S. Ibaka makes 2-pt layup at rim,,25,12
1,2:52.0,,J. Lin makes 2-pt layup from 1 ft,25,14
1,2:40.0,Personal foul by V. Carter (drawn by P. Siakam),,25,14
1,2:40.0,L. Brown enters the game for K. Lowry,,25,14
1,2:40.0,,D. Dedmon enters the game for M. Plumlee,25,14
1,2:34.0,L. Brown misses 2-pt jump shot from 12 ft,,25,14
1,2:30.0,Offensive rebound by S. Ibaka,,25,14
1,2:30.0,S. Ibaka makes 2-pt layup at rim,,27,14
1,2:17.0,,K. Huerter misses 3-pt jump shot from 23 ft,27,14
1,2:15.0,Defensive rebound by P. Siakam,,27,14
1,2:10.0,P. Siakam makes 2-pt layup from 1 ft,,29,14
1,1:59.0,,Personal foul by P. Siakam (drawn by V. Carter),29,14
1,1:49.0,,K. Huerter makes 2-pt jump shot from 21 ft (assist by J. Lin),29,16
1,1:33.0,D. Wright misses 2-pt jump shot from 6 ft,,29,16
1,1:28.0,,Defensive rebound by D. Bembry,29,16
1,1:19.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by D. Bembry),29,18
1,1:02.0,Offensive foul by F. VanVleet (drawn by J. Lin),,29,18
1,1:02.0,Turnover by F. VanVleet (offensive foul),,29,18
1,1:02.0,D. Green enters the game for P. Siakam,,29,18
1,1:02.0,G. Monroe enters the game for F. VanVleet,,29,18
1,1:02.0,,J. Anderson enters the game for D. Bembry,29,18
1,1:02.0,,J. Collins enters the game for V. Carter,29,18
1,0:53.0,,J. Lin makes 2-pt jump shot from 14 ft,29,20
1,0:34.0,Turnover by L. Brown (lost ball; steal by D. Dedmon),,29,20
1,0:31.0,,J. Anderson makes 2-pt dunk from 1 ft (assist by D. Dedmon),29,22
1,0:16.0,Personal foul by J. Collins (drawn by D. Wright),,29,22
1,0:12.0,Offensive foul by D. Green (drawn by K. Huerter),,29,22
1,0:12.0,Turnover by D. Green (offensive foul),,29,22
1,0:12.0,,J. Lin makes 2-pt jump shot from 12 ft,29,24
2,11:41.0,,Turnover by K. Bazemore (bad pass; steal by G. Monroe),29,24
2,11:26.0,G. Monroe misses 2-pt hook shot from 6 ft,,29,24
2,11:22.0,Offensive rebound by G. Monroe,,29,24
2,11:22.0,G. Monroe makes 2-pt layup at rim,,31,24
2,11:14.0,,J. Collins misses 3-pt jump shot from 26 ft,31,24
