QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
2,7:16.0,D. DeRozan misses 2-pt jump shot from 21 ft,,40,33
2,7:13.0,,Defensive rebound by W. Carter,40,33
2,6:59.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by W. Carter),40,36
2,6:47.0,Turnover by D. DeRozan (lost ball; steal by R. Arcidiacono),,40,36
2,6:45.0,,R. Arcidiacono makes 2-pt layup from 2 ft,40,38
2,6:45.0,San Antonio full timeout,,40,38
2,6:28.0,Personal foul by R. Arcidiacono (drawn by B. Forbes),,40,38
2,6:20.0,D. DeRozan makes 2-pt jump shot from 6 ft (assist by B. Forbes),,42,38
2,6:06.0,,Personal foul by D. DeRozan (drawn by W. Carter),42,38
2,6:01.0,,Z. LaVine makes 3-pt jump shot from 28 ft (assist by J. Holiday),42,41
2,5:47.0,L. Aldridge misses 2-pt jump shot from 20 ft,,42,41
2,5:44.0,,Defensive rebound by J. Parker,42,41
2,5:42.0,,Turnover by W. Carter (step out of bounds),42,41
2,5:23.0,D. DeRozan misses 2-pt jump shot from 11 ft,,42,41
2,5:21.0,,Defensive rebound by J. Parker,42,41
2,5:14.0,,R. Arcidiacono misses 2-pt layup from 2 ft,42,41
2,5:14.0,Defensive rebound by L. Aldridge,,42,41
2,5:02.0,Turnover by L. Aldridge (lost ball; steal by J. Parker),,42,41
2,4:57.0,,Z. LaVine misses 2-pt jump shot from 2 ft (block by L. Aldridge),42,41
2,4:54.0,Defensive rebound by B. Forbes,,42,41
2,4:50.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,45,41
2,4:37.0,,J. Parker misses 2-pt jump shot from 17 ft,45,41
2,4:35.0,Defensive rebound by D. DeRozan,,45,41
2,4:27.0,B. Forbes misses 3-pt jump shot from 24 ft,,45,41
2,4:24.0,,Defensive rebound by R. Arcidiacono,45,41
2,4:15.0,,W. Carter makes 2-pt jump shot from 6 ft (assist by J. Holiday),45,43
2,3:48.0,L. Aldridge misses 2-pt jump shot from 17 ft,,45,43
2,3:46.0,,Defensive rebound by R. Arcidiacono,45,43
2,3:40.0,,W. Carter misses 2-pt jump shot from 12 ft,45,43
2,3:37.0,Defensive rebound by D. White,,45,43
2,3:26.0,D. White misses 2-pt jump shot from 21 ft,,45,43
2,3:24.0,,Defensive rebound by W. Carter,45,43
2,3:13.0,,Turnover by W. Carter (out of bounds lost ball),45,43
2,3:13.0,,C. Hutchison enters the game for J. Parker,45,43
2,2:53.0,Shooting foul by W. Carter (drawn by L. Aldridge),,45,43
2,2:53.0,L. Aldridge makes free throw 1 of 2,,46,43
2,2:53.0,R. Gay enters the game for D. Cunningham,,46,43
2,2:53.0,P. Mills enters the game for B. Forbes,,46,43
2,2:53.0,,R. Lopez enters the game for W. Carter,46,43
2,2:53.0,L. Aldridge makes free throw 2 of 2,,47,43
2,2:32.0,,Z. LaVine misses 2-pt jump shot from 22 ft,47,43
2,2:32.0,,Offensive rebound by Team,47,43
2,2:32.0,Loose ball foul by R. Gay (drawn by R. Lopez),,47,43
2,2:32.0,M. Belinelli enters the game for L. Aldridge,,47,43
2,2:32.0,J. Poeltl enters the game for D. White,,47,43
2,2:25.0,,J. Holiday makes 2-pt jump shot from 19 ft (assist by R. Lopez),47,45
2,2:13.0,P. Mills misses 3-pt jump shot from 23 ft,,47,45
2,2:10.0,,Defensive rebound by Z. LaVine,47,45
2,2:04.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by Z. LaVine),47,48
2,1:48.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by J. Poeltl),,49,48
2,1:34.0,,Turnover by Z. LaVine (bad pass; steal by M. Belinelli),49,48
2,1:23.0,R. Gay misses 2-pt jump shot from 21 ft,,49,48
2,1:18.0,,Defensive rebound by R. Lopez,49,48
2,1:09.0,,Z. LaVine misses 2-pt jump shot from 20 ft,49,48
2,1:06.0,Defensive rebound by R. Gay,,49,48
2,1:00.0,R. Gay misses 3-pt jump shot from 24 ft,,49,48
2,0:56.0,,Defensive rebound by Z. LaVine,49,48
2,0:49.0,,Z. LaVine misses 2-pt layup from 1 ft,49,48
2,0:47.0,Defensive rebound by J. Poeltl,,49,48
2,0:31.0,R. Gay makes 3-pt jump shot from 23 ft (assist by M. Belinelli),,52,48
2,0:10.0,,J. Holiday misses 3-pt jump shot from 25 ft,52,48
2,0:09.0,,Offensive rebound by C. Hutchison,52,48
2,0:09.0,,C. Hutchison makes 2-pt layup from 1 ft,52,50
2,0:06.0,Personal foul by Z. LaVine (drawn by D. DeRozan),,52,50
2,0:01.0,D. DeRozan misses 2-pt jump shot from 22 ft,,52,50
2,0:01.0,Offensive rebound by Team,,52,50
3,11:44.0,D. DeRozan makes 2-pt jump shot from 11 ft (assist by L. Aldridge),,54,50
3,11:22.0,,R. Arcidiacono makes 2-pt jump shot from 6 ft,54,52
3,11:06.0,R. Gay misses 2-pt jump shot from 20 ft,,54,52
3,11:03.0,,Defensive rebound by Z. LaVine,54,52
3,10:58.0,,J. Parker misses 2-pt jump shot from 10 ft,54,52
3,10:54.0,Defensive rebound by R. Gay,,54,52
3,10:42.0,D. DeRozan makes 2-pt jump shot from 6 ft (assist by B. Forbes),,56,52
3,10:32.0,Violation by Team (kicked ball),,56,52
3,10:26.0,,Z. LaVine misses 2-pt jump shot from 11 ft,56,52
3,10:20.0,,Offensive rebound by Z. LaVine,56,52
3,10:20.0,,Z. LaVine makes 2-pt layup at rim,56,54
3,10:12.0,B. Forbes misses 2-pt jump shot from 16 ft,,56,54
3,10:09.0,,Defensive rebound by Z. LaVine,56,54
3,10:00.0,,Turnover by J. Holiday (bad pass; steal by D. Cunningham),56,54
3,9:56.0,D. DeRozan misses 2-pt layup from 2 ft (block by J. Holiday),,56,54
3,9:56.0,Offensive rebound by D. Cunningham,,56,54
3,9:56.0,D. Cunningham misses 2-pt layup from 1 ft,,56,54
3,9:56.0,,Defensive rebound by Team,56,54
3,9:56.0,Loose ball foul by R. Gay (drawn by J. Parker),,56,54
3,9:40.0,,W. Carter makes 2-pt jump shot from 13 ft (assist by Z. LaVine),56,56
3,9:20.0,Turnover by D. DeRozan (bad pass; steal by W. Carter),,56,56
3,9:12.0,,J. Holiday makes 3-pt jump shot from 27 ft (assist by J. Parker),56,59
3,8:56.0,Personal foul by W. Carter (drawn by L. Aldridge),,56,59
3,8:56.0,P. Mills enters the game for B. Forbes,,56,59
3,8:52.0,D. DeRozan misses 2-pt jump shot from 15 ft (block by W. Carter),,56,59
3,8:48.0,Offensive rebound by D. DeRozan,,56,59
3,8:48.0,Shooting foul by W. Carter (drawn by D. DeRozan),,56,59
3,8:48.0,D. DeRozan makes free throw 1 of 2,,57,59
3,8:48.0,,R. Lopez enters the game for W. Carter,57,59
3,8:48.0,D. DeRozan makes free throw 2 of 2,,58,59
3,8:39.0,,Personal foul by R. Gay (drawn by R. Lopez),58,59
3,8:32.0,,J. Parker makes 3-pt jump shot from 24 ft (assist by J. Holiday),58,62
3,8:12.0,L. Aldridge misses 2-pt jump shot from 11 ft,,58,62
3,8:07.0,,Defensive rebound by J. Parker,58,62
3,8:05.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),58,65
3,8:04.0,San Antonio full timeout,,58,65
3,8:04.0,M. Belinelli enters the game for L. Aldridge,,58,65
3,8:04.0,D. Bertāns enters the game for D. Cunningham,,58,65
3,8:04.0,J. Poeltl enters the game for D. DeRozan,,58,65
3,8:04.0,D. White enters the game for R. Gay,,58,65
3,7:47.0,P. Mills makes 3-pt jump shot from 24 ft (assist by D. Bertāns),,61,65
3,7:31.0,,Turnover by Z. LaVine (bad pass; steal by D. White),61,65
3,7:24.0,M. Belinelli misses 3-pt jump shot from 23 ft,,61,65
3,7:21.0,,Defensive rebound by J. Parker,61,65
3,7:15.0,,Z. LaVine misses 3-pt jump shot from 27 ft,61,65
3,7:13.0,Defensive rebound by M. Belinelli,,61,65
3,7:09.0,D. Bertāns misses 3-pt jump shot from 25 ft,,61,65
3,7:05.0,,Defensive rebound by J. Holiday,61,65
3,6:56.0,,R. Arcidiacono makes 2-pt jump shot from 11 ft,61,67
3,6:36.0,D. White misses 3-pt jump shot from 25 ft,,61,67
3,6:33.0,,Defensive rebound by J. Holiday,61,67
3,6:26.0,,Z. LaVine misses 2-pt layup from 2 ft,61,67
3,6:25.0,,Offensive rebound by Team,61,67
3,6:20.0,,Shooting foul by J. Poeltl (drawn by Z. LaVine),61,67
3,6:20.0,,Z. LaVine misses free throw 1 of 2,61,67
3,6:20.0,,Offensive rebound by Team,61,67
3,6:20.0,,Z. LaVine makes free throw 2 of 2,61,68
3,6:02.0,D. White makes 2-pt layup from 1 ft (assist by J. Poeltl),,63,68
3,5:44.0,,R. Lopez makes 2-pt jump shot from 3 ft,63,70
3,5:38.0,Turnover by D. Bertāns (traveling),,63,70
3,5:32.0,,Turnover by R. Arcidiacono (lost ball; steal by D. Bertāns),63,70
3,5:27.0,J. Poeltl makes 2-pt layup from 1 ft (assist by M. Belinelli),,65,70
3,5:18.0,,J. Parker makes 2-pt layup from 2 ft (assist by Z. LaVine),65,72
3,5:05.0,J. Poeltl makes 2-pt layup from 1 ft (assist by M. Belinelli),,67,72
3,4:55.0,,Personal foul by M. Belinelli (drawn by R. Arcidiacono),67,72
3,4:55.0,,C. Hutchison enters the game for J. Parker,67,72
3,4:51.0,,Turnover by Z. LaVine (out of bounds lost ball),67,72
3,4:37.0,P. Mills makes 2-pt jump shot from 9 ft,,69,72
3,4:18.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,69,72
3,4:15.0,Defensive rebound by D. White,,69,72
3,4:03.0,J. Poeltl makes 2-pt layup at rim (assist by D. White),,71,72
3,4:03.0,,Chicago full timeout,71,72
3,4:03.0,,S. Harrison enters the game for Z. LaVine,71,72
3,3:45.0,,R. Lopez makes 2-pt hook shot from 8 ft,71,74
3,3:27.0,P. Mills misses 2-pt jump shot from 20 ft,,71,74
3,3:24.0,,Defensive rebound by C. Hutchison,71,74
3,3:17.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft (assist by S. Harrison),71,77
3,2:57.0,M. Belinelli misses 3-pt jump shot from 26 ft,,71,77
3,2:55.0,,Defensive rebound by S. Harrison,71,77
3,2:40.0,,R. Lopez makes 2-pt hook shot from 7 ft (assist by S. Harrison),71,79
3,2:21.0,P. Mills makes 2-pt jump shot from 11 ft (assist by J. Poeltl),,73,79
3,2:07.0,,C. Hutchison makes 2-pt jump shot from 16 ft,73,81
3,1:55.0,D. Bertāns misses 2-pt jump shot from 5 ft,,73,81
3,1:51.0,Offensive rebound by J. Poeltl,,73,81
3,1:51.0,J. Poeltl makes 2-pt layup from 1 ft,,75,81
3,1:32.0,,R. Arcidiacono misses 3-pt jump shot from 23 ft,75,81
3,1:29.0,Defensive rebound by J. Poeltl,,75,81
3,1:18.0,M. Belinelli misses 3-pt jump shot from 23 ft,,75,81
3,1:16.0,,Defensive rebound by S. Harrison,75,81
3,1:11.0,,J. Holiday misses 3-pt jump shot from 27 ft,75,81
3,1:07.0,Defensive rebound by D. Bertāns,,75,81
3,0:59.0,P. Mills makes 3-pt jump shot from 25 ft,,78,81
3,0:59.0,L. Aldridge enters the game for D. Bertāns,,78,81
3,0:59.0,B. Forbes enters the game for J. Poeltl,,78,81
3,0:59.0,,J. Parker enters the game for R. Arcidiacono,78,81
3,0:59.0,,C. Payne enters the game for J. Holiday,78,81
3,0:37.0,,C. Payne makes 2-pt jump shot from 23 ft,78,83
3,0:29.0,D. White misses 2-pt layup from 1 ft (block by S. Harrison),,78,83
3,0:28.0,Offensive rebound by L. Aldridge,,78,83
3,0:27.0,L. Aldridge makes 2-pt layup from 2 ft,,80,83
3,0:05.0,,J. Parker misses 3-pt jump shot from 26 ft,80,83
3,0:02.0,Defensive rebound by B. Forbes,,80,83
3,0:00.0,M. Belinelli misses 3-pt jump shot from 26 ft,,80,83
3,0:00.0,Offensive rebound by Team,,80,83
4,11:33.0,,S. Harrison misses 3-pt jump shot from 25 ft,80,83
4,11:31.0,Defensive rebound by L. Aldridge,,80,83
4,11:26.0,D. DeRozan makes 2-pt layup from 2 ft,,82,83
4,11:06.0,,J. Parker misses 3-pt jump shot from 23 ft,82,83
4,10:59.0,Defensive rebound by D. Cunningham,,82,83
4,10:54.0,L. Aldridge makes 2-pt hook shot from 2 ft (assist by B. Forbes),,84,83
4,10:44.0,,J. Parker makes 2-pt layup from 2 ft,84,85
4,10:44.0,,Shooting foul by D. Cunningham (drawn by J. Parker),84,85
4,10:44.0,,J. Parker makes free throw 1 of 1,84,86
4,10:25.0,D. DeRozan misses 2-pt layup from 4 ft (block by S. Harrison),,84,86
4,10:25.0,Offensive rebound by D. DeRozan,,84,86
4,10:23.0,Personal foul by J. Parker (drawn by D. DeRozan),,84,86
4,10:15.0,B. Forbes makes 2-pt jump shot from 18 ft,,86,86
4,9:49.0,,S. Harrison misses 2-pt layup from 4 ft,86,86
4,9:47.0,Defensive rebound by D. DeRozan,,86,86
4,9:44.0,Turnover by D. DeRozan (lost ball; steal by S. Harrison),,86,86
4,9:40.0,,J. Parker makes 2-pt dunk from 1 ft (assist by S. Harrison),86,88
4,9:24.0,B. Forbes makes 2-pt layup from 1 ft (assist by L. Aldridge),,88,88
4,9:02.0,,C. Payne misses 2-pt jump shot from 14 ft,88,88
4,8:59.0,Defensive rebound by M. Belinelli,,88,88
4,8:53.0,M. Belinelli makes 3-pt jump shot from 26 ft,,91,88
4,8:53.0,,Chicago full timeout,91,88
4,8:53.0,,W. Carter enters the game for R. Lopez,91,88
4,8:53.0,,Z. LaVine enters the game for C. Payne,91,88
4,8:39.0,,W. Carter makes 2-pt jump shot from 10 ft (assist by Z. LaVine),91,90
4,8:29.0,D. DeRozan makes 2-pt jump shot from 15 ft,,93,90
4,8:14.0,,Z. LaVine makes 2-pt jump shot from 20 ft,93,92
4,7:55.0,L. Aldridge makes 2-pt layup from 3 ft (assist by B. Forbes),,95,92
4,7:44.0,,Z. LaVine makes 3-pt jump shot from 28 ft (assist by S. Harrison),95,95
4,7:30.0,Def 3 sec tech foul by Team,,95,95
4,7:30.0,D. DeRozan makes technical free throw,,96,95
4,7:25.0,Turnover by B. Forbes (out of bounds lost ball),,96,95
4,7:09.0,,Z. LaVine makes 2-pt jump shot from 20 ft,96,97
4,6:48.0,B. Forbes misses 3-pt jump shot from 27 ft,,96,97
4,6:46.0,Offensive rebound by L. Aldridge,,96,97
4,6:44.0,M. Belinelli misses 3-pt jump shot from 26 ft,,96,97
4,6:38.0,,Defensive rebound by J. Parker,96,97
4,6:32.0,,Z. LaVine makes 2-pt jump shot from 23 ft,96,99
4,6:31.0,San Antonio full timeout,,96,99
4,6:31.0,D. Bertāns enters the game for M. Belinelli,,96,99
4,6:31.0,D. White enters the game for D. Cunningham,,96,99
4,6:31.0,,J. Holiday enters the game for C. Hutchison,96,99
4,6:14.0,L. Aldridge makes 2-pt hook shot from 8 ft,,98,99
4,5:58.0,,Shooting foul by D. DeRozan (drawn by Z. LaVine),98,99
4,5:58.0,,Z. LaVine makes free throw 1 of 2,98,100
4,5:58.0,,R. Arcidiacono enters the game for S. Harrison,98,100
4,5:58.0,,Z. LaVine makes free throw 2 of 2,98,101
4,5:41.0,L. Aldridge makes 2-pt jump shot from 10 ft (assist by B. Forbes),,100,101
4,5:15.0,,Z. LaVine misses 3-pt jump shot from 28 ft,100,101
4,5:13.0,Defensive rebound by D. White,,100,101
4,5:01.0,D. Bertāns misses 3-pt jump shot from 26 ft,,100,101
4,4:59.0,,Defensive rebound by J. Parker,100,101
4,4:48.0,,J. Parker misses 2-pt layup from 3 ft,100,101
4,4:46.0,Defensive rebound by D. Bertāns,,100,101
4,4:29.0,D. Bertāns misses 3-pt jump shot from 24 ft,,100,101
4,4:26.0,,Defensive rebound by Z. LaVine,100,101
4,4:18.0,,W. Carter misses 2-pt layup from 3 ft,100,101
4,4:16.0,Defensive rebound by D. DeRozan,,100,101
4,4:11.0,D. White makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,103,101
4,3:49.0,,J. Parker misses 3-pt jump shot from 25 ft,103,101
4,3:47.0,Defensive rebound by D. DeRozan,,103,101
4,3:32.0,D. Bertāns misses 2-pt jump shot from 8 ft,,103,101
4,3:28.0,,Defensive rebound by J. Holiday,103,101
4,3:19.0,,W. Carter misses 2-pt hook shot from 2 ft,103,101
4,3:16.0,Defensive rebound by D. White,,103,101
4,3:03.0,Personal foul by W. Carter (drawn by D. DeRozan),,103,101
4,3:03.0,P. Mills enters the game for D. White,,103,101
4,3:03.0,,R. Lopez enters the game for W. Carter,103,101
4,2:58.0,D. DeRozan makes 2-pt layup at rim,,105,101
4,2:44.0,,Personal foul by D. DeRozan (drawn by Z. LaVine),105,101
4,2:38.0,,Z. LaVine misses 2-pt jump shot from 15 ft,105,101
4,2:35.0,,Offensive rebound by J. Parker,105,101
4,2:28.0,,Z. LaVine misses 3-pt jump shot from 22 ft,105,101
4,2:24.0,Defensive rebound by D. Bertāns,,105,101
4,2:13.0,L. Aldridge makes 2-pt dunk from 1 ft,,107,101
4,2:13.0,Shooting foul by R. Lopez (drawn by L. Aldridge),,107,101
4,2:13.0,L. Aldridge makes free throw 1 of 1,,108,101
4,2:02.0,,Personal foul by D. Bertāns (drawn by R. Lopez),108,101
4,2:02.0,,W. Carter enters the game for R. Lopez,108,101
4,1:50.0,,R. Arcidiacono makes 3-pt jump shot from 24 ft (assist by J. Parker),108,104
4,1:37.0,Turnover by D. Bertāns (bad pass; steal by J. Parker),,108,104
4,1:34.0,Violation by Team (kicked ball),,108,104
4,1:15.0,,Z. LaVine misses 2-pt jump shot from 14 ft,108,104
