QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
1,11:44.0,,W. Carter misses 2-pt jump shot from 5 ft (block by L. Aldridge),0,0
1,11:41.0,Defensive rebound by D. Cunningham,,0,0
1,11:31.0,B. Forbes misses 2-pt jump shot from 21 ft,,0,0
1,11:27.0,,Defensive rebound by W. Carter,0,0
1,11:22.0,,W. Carter makes 2-pt jump shot from 14 ft (assist by Z. LaVine),0,2
1,11:04.0,D. DeRozan misses 2-pt jump shot from 21 ft,,0,2
1,11:01.0,,Defensive rebound by Z. LaVine,0,2
1,10:57.0,,Turnover by Z. LaVine (bad pass),0,2
1,10:39.0,D. DeRozan misses 3-pt jump shot from 24 ft,,0,2
1,10:36.0,,Defensive rebound by W. Carter,0,2
1,10:31.0,,J. Parker misses 2-pt jump shot from 18 ft,0,2
1,10:28.0,Defensive rebound by L. Aldridge,,0,2
1,10:18.0,D. Cunningham makes 2-pt jump shot from 5 ft (assist by D. DeRozan),,2,2
1,9:54.0,,J. Parker makes 2-pt jump shot from 14 ft,2,4
1,9:28.0,B. Forbes misses 2-pt jump shot from 7 ft,,2,4
1,9:24.0,,Defensive rebound by J. Parker,2,4
1,9:20.0,,W. Carter misses 2-pt jump shot from 18 ft,2,4
1,9:16.0,Defensive rebound by D. DeRozan,,2,4
1,9:12.0,Shooting foul by W. Carter (drawn by L. Aldridge),,2,4
1,9:12.0,L. Aldridge misses free throw 1 of 2,,2,4
1,9:12.0,Offensive rebound by Team,,2,4
1,9:12.0,L. Aldridge makes free throw 2 of 2,,3,4
1,9:02.0,,Z. LaVine makes 2-pt jump shot from 19 ft,3,6
1,8:37.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,6,6
1,8:22.0,,Z. LaVine makes 2-pt jump shot from 12 ft,6,8
1,8:04.0,L. Aldridge makes 2-pt jump shot from 22 ft (assist by B. Forbes),,8,8
1,7:45.0,,W. Carter misses 2-pt jump shot from 8 ft,8,8
1,7:42.0,Defensive rebound by D. Cunningham,,8,8
1,7:37.0,L. Aldridge misses 2-pt jump shot from 21 ft,,8,8
1,7:33.0,,Defensive rebound by J. Parker,8,8
1,7:30.0,,Personal foul by B. Forbes (drawn by R. Arcidiacono),8,8
1,7:30.0,D. White enters the game for R. Gay,,8,8
1,7:27.0,,Turnover by Z. LaVine (bad pass; steal by D. White),8,8
1,7:21.0,D. DeRozan makes 2-pt jump shot from 2 ft,,10,8
1,7:13.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by Z. LaVine),10,11
1,7:01.0,Offensive foul by L. Aldridge (drawn by J. Holiday),,10,11
1,7:01.0,Turnover by L. Aldridge (offensive foul),,10,11
1,6:40.0,,Z. LaVine misses 2-pt jump shot from 16 ft,10,11
1,6:37.0,,Offensive rebound by J. Parker,10,11
1,6:30.0,,J. Parker makes 2-pt jump shot from 16 ft (assist by R. Arcidiacono),10,13
1,6:08.0,D. White misses 3-pt jump shot from 23 ft,,10,13
1,6:03.0,Offensive rebound by L. Aldridge,,10,13
1,6:03.0,L. Aldridge makes 2-pt dunk at rim,,12,13
1,5:58.0,,J. Holiday misses 3-pt jump shot from 26 ft,12,13
1,5:54.0,Defensive rebound by D. Cunningham,,12,13
1,5:42.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,15,13
1,5:40.0,,Chicago full timeout,15,13
1,5:40.0,P. Mills enters the game for B. Forbes,,15,13
1,5:27.0,,R. Arcidiacono makes 2-pt layup from 3 ft,15,15
1,5:15.0,D. DeRozan makes 2-pt jump shot from 14 ft,,17,15
1,5:01.0,,Shooting foul by D. White (drawn by Z. LaVine),17,15
1,5:01.0,,Z. LaVine makes free throw 1 of 2,17,16
1,5:01.0,M. Belinelli enters the game for L. Aldridge,,17,16
1,5:01.0,J. Poeltl enters the game for D. Cunningham,,17,16
1,5:01.0,,C. Hutchison enters the game for W. Carter,17,16
1,5:01.0,,R. Lopez enters the game for J. Parker,17,16
1,5:01.0,,Z. LaVine makes free throw 2 of 2,17,17
1,4:51.0,D. White makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,20,17
1,4:43.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft,20,20
1,4:27.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. DeRozan),,22,20
1,4:17.0,,J. Holiday misses 2-pt layup from 7 ft,22,20
1,4:15.0,,Offensive rebound by J. Holiday,22,20
1,4:13.0,,Z. LaVine makes 2-pt dunk at rim (assist by J. Holiday),22,22
1,3:54.0,M. Belinelli misses 2-pt jump shot from 6 ft,,22,22
1,3:52.0,,Defensive rebound by C. Hutchison,22,22
1,3:42.0,,Z. LaVine misses 2-pt jump shot from 17 ft,22,22
1,3:39.0,Defensive rebound by M. Belinelli,,22,22
1,3:33.0,M. Belinelli misses 3-pt jump shot from 26 ft,,22,22
1,3:28.0,,Defensive rebound by C. Hutchison,22,22
1,3:09.0,,Z. LaVine misses 3-pt jump shot from 25 ft,22,22
1,3:07.0,Defensive rebound by J. Poeltl,,22,22
1,3:00.0,P. Mills misses 3-pt jump shot from 26 ft,,22,22
1,2:54.0,,Defensive rebound by R. Arcidiacono,22,22
1,2:50.0,,Shooting foul by P. Mills (drawn by R. Arcidiacono),22,22
1,2:50.0,San Antonio full timeout,,22,22
1,2:50.0,R. Gay enters the game for D. DeRozan,,22,22
1,2:50.0,,S. Harrison enters the game for Z. LaVine,22,22
1,2:50.0,,R. Arcidiacono makes free throw 1 of 2,22,23
1,2:50.0,,R. Arcidiacono makes free throw 2 of 2,22,24
1,2:35.0,R. Gay misses 2-pt jump shot from 13 ft,,22,24
1,2:31.0,,Defensive rebound by S. Harrison,22,24
1,2:19.0,,Personal foul by D. White (drawn by S. Harrison),22,24
1,2:19.0,,C. Payne enters the game for R. Arcidiacono,22,24
1,2:03.0,,R. Lopez misses 3-pt jump shot from 26 ft,22,24
1,2:03.0,,Offensive rebound by Team,22,24
1,2:03.0,,Turnover by Team (shot clock),22,24
1,1:43.0,M. Belinelli misses 2-pt layup from 2 ft (block by J. Holiday),,22,24
1,1:39.0,,Defensive rebound by J. Holiday,22,24
1,1:35.0,,S. Harrison misses 3-pt jump shot from 26 ft,22,24
1,1:31.0,Defensive rebound by P. Mills,,22,24
1,1:24.0,Turnover by D. White (bad pass),,22,24
1,1:07.0,,R. Lopez misses 2-pt hook shot from 6 ft,22,24
1,1:05.0,Defensive rebound by D. White,,22,24
1,0:57.0,P. Mills makes 2-pt layup from 1 ft (assist by J. Poeltl),,24,24
1,0:57.0,Shooting foul by C. Payne (drawn by P. Mills),,24,24
1,0:57.0,P. Mills makes free throw 1 of 1,,25,24
1,0:42.0,,C. Payne misses 3-pt jump shot from 25 ft,25,24
1,0:39.0,Defensive rebound by D. White,,25,24
1,0:35.0,D. White misses 2-pt jump shot from 20 ft,,25,24
1,0:32.0,,Defensive rebound by S. Harrison,25,24
1,0:12.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by S. Harrison),25,27
1,0:02.0,R. Gay makes 2-pt hook shot from 6 ft,,27,27
1,0:00.0,,S. Harrison misses 3-pt jump shot from 43 ft,27,27
1,0:00.0,,Offensive rebound by Team,27,27
2,11:36.0,M. Belinelli makes 2-pt jump shot from 7 ft (assist by P. Mills),,29,27
2,11:23.0,,Turnover by J. Parker (bad pass; steal by P. Mills),29,27
2,11:11.0,D. Bertāns makes 2-pt layup from 3 ft (assist by M. Belinelli),,31,27
2,10:51.0,,A. Blakeney makes 2-pt jump shot from 21 ft,31,29
2,10:33.0,P. Mills makes 2-pt layup from 1 ft (assist by R. Gay),,33,29
2,10:22.0,,J. Parker makes 3-pt jump shot from 25 ft (assist by R. Lopez),33,32
2,10:13.0,M. Belinelli misses 2-pt jump shot from 20 ft,,33,32
2,10:09.0,,Defensive rebound by A. Blakeney,33,32
2,9:59.0,,A. Blakeney misses 2-pt jump shot from 20 ft,33,32
2,9:57.0,Defensive rebound by R. Gay,,33,32
2,9:48.0,P. Mills makes 2-pt layup from 4 ft (assist by R. Gay),,35,32
2,9:23.0,,J. Parker misses 3-pt jump shot from 23 ft,35,32
2,9:19.0,Defensive rebound by D. Bertāns,,35,32
2,9:14.0,R. Gay makes 3-pt jump shot from 26 ft (assist by P. Mills),,38,32
2,9:14.0,,Chicago full timeout,38,32
2,9:14.0,L. Aldridge enters the game for M. Belinelli,,38,32
2,9:14.0,D. Cunningham enters the game for R. Gay,,38,32
2,9:14.0,D. DeRozan enters the game for P. Mills,,38,32
2,9:14.0,B. Forbes enters the game for J. Poeltl,,38,32
2,9:14.0,,R. Arcidiacono enters the game for A. Blakeney,38,32
2,9:14.0,,W. Carter enters the game for R. Lopez,38,32
2,9:14.0,,Z. LaVine enters the game for C. Payne,38,32
2,8:58.0,,Z. LaVine misses 2-pt jump shot from 18 ft,38,32
2,8:54.0,Defensive rebound by L. Aldridge,,38,32
2,8:38.0,D. Bertāns misses 3-pt jump shot from 25 ft,,38,32
2,8:35.0,,Defensive rebound by W. Carter,38,32
2,8:29.0,,Shooting foul by D. Cunningham (drawn by J. Parker),38,32
2,8:29.0,,J. Parker makes free throw 1 of 2,38,33
2,8:29.0,,J. Parker misses free throw 2 of 2,38,33
2,8:25.0,Defensive rebound by D. Cunningham,,38,33
2,8:15.0,D. DeRozan makes 2-pt jump shot from 9 ft,,40,33
2,7:54.0,,W. Carter misses 2-pt jump shot from 16 ft,40,33
2,7:52.0,Defensive rebound by D. Cunningham,,40,33
2,7:35.0,D. Cunningham misses 2-pt layup from 3 ft,,40,33
2,7:33.0,,Defensive rebound by W. Carter,40,33
2,7:24.0,,Turnover by Z. LaVine (bad pass; steal by L. Aldridge),40,33
2,7:23.0,Personal foul by R. Arcidiacono (drawn by D. Cunningham),,40,33
2,7:23.0,D. White enters the game for D. Bertāns,,40,33
2,7:23.0,,J. Holiday enters the game for S. Harrison,40,33
