QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
1,11:47.0,,N. Bjelica makes 2-pt hook shot from 4 ft (assist by W. Cauley-Stein),0,2
1,11:31.0,Turnover by B. Ingram (out of bounds lost ball),,0,2
1,11:21.0,,W. Cauley-Stein makes 2-pt hook shot from 5 ft (assist by N. Bjelica),0,4
1,11:07.0,K. Kuzma makes 2-pt jump shot from 19 ft (assist by L. Ball),,2,4
1,10:53.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by I. Shumpert),2,6
1,10:43.0,K. Kuzma misses 3-pt jump shot from 25 ft,,2,6
1,10:39.0,,Defensive rebound by B. Hield,2,6
1,10:29.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by I. Shumpert),2,8
1,10:17.0,I. Zubac makes 2-pt hook shot from 5 ft (assist by B. Ingram),,4,8
1,10:05.0,,Turnover by D. Fox (bad pass; steal by B. Ingram),4,8
1,10:00.0,J. Hart misses 2-pt layup from 2 ft,,4,8
1,9:57.0,Offensive rebound by B. Ingram,,4,8
1,9:57.0,B. Ingram misses 2-pt layup from 1 ft,,4,8
1,9:56.0,,Defensive rebound by N. Bjelica,4,8
1,9:51.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by D. Fox),4,11
1,9:27.0,B. Ingram misses 2-pt layup from 2 ft,,4,11
1,9:24.0,,Defensive rebound by D. Fox,4,11
1,9:21.0,,N. Bjelica makes 2-pt jump shot from 21 ft (assist by D. Fox),4,13
1,9:20.0,LA Lakers full timeout,,4,13
1,9:12.0,Turnover by L. Ball (bad pass; steal by B. Hield),,4,13
1,9:05.0,,I. Shumpert misses 2-pt layup from 3 ft,4,13
1,9:03.0,Defensive rebound by I. Zubac,,4,13
1,9:00.0,L. Ball misses 2-pt layup from 1 ft,,4,13
1,9:00.0,Offensive rebound by B. Ingram,,4,13
1,8:52.0,B. Ingram makes 2-pt dunk from 1 ft,,6,13
1,8:34.0,,N. Bjelica misses 2-pt hook shot from 5 ft,6,13
1,8:34.0,Defensive rebound by K. Kuzma,,6,13
1,8:34.0,Personal foul by N. Bjelica (drawn by K. Kuzma),,6,13
1,8:14.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. Ball),,8,13
1,8:03.0,,D. Fox misses 2-pt jump shot from 6 ft,8,13
1,8:01.0,Defensive rebound by I. Zubac,,8,13
1,7:52.0,Turnover by K. Kuzma (lost ball; steal by B. Hield),,8,13
1,7:36.0,,I. Shumpert makes 3-pt jump shot from 26 ft (assist by D. Fox),8,16
1,7:22.0,K. Kuzma misses 3-pt jump shot from 26 ft,,8,16
1,7:18.0,,Defensive rebound by W. Cauley-Stein,8,16
1,7:11.0,,N. Bjelica makes 2-pt jump shot from 8 ft (assist by D. Fox),8,18
1,7:11.0,,Shooting foul by K. Kuzma (drawn by N. Bjelica),8,18
1,7:11.0,,N. Bjelica makes free throw 1 of 1,8,19
1,7:00.0,Shooting foul by W. Cauley-Stein (drawn by B. Ingram),,8,19
1,7:00.0,B. Ingram misses free throw 1 of 2,,8,19
1,7:00.0,Offensive rebound by Team,,8,19
1,7:00.0,,B. Bogdanović enters the game for B. Hield,8,19
1,7:00.0,B. Ingram makes free throw 2 of 2,,9,19
1,6:51.0,,D. Fox makes 2-pt dunk from 1 ft,9,21
1,6:38.0,L. Ball misses 3-pt jump shot from 26 ft,,9,21
1,6:35.0,,Defensive rebound by W. Cauley-Stein,9,21
1,6:21.0,,I. Shumpert misses 2-pt jump shot from 14 ft,9,21
1,6:18.0,,Offensive rebound by D. Fox,9,21
1,6:17.0,,D. Fox misses 3-pt jump shot from 25 ft,9,21
1,6:16.0,Defensive rebound by Team,,9,21
1,6:03.0,L. Ball makes 3-pt jump shot from 25 ft (assist by B. Ingram),,12,21
1,5:47.0,,Turnover by W. Cauley-Stein (out of bounds lost ball),12,21
1,5:35.0,Turnover by B. Ingram (lost ball; steal by I. Shumpert),,12,21
1,5:30.0,,D. Fox misses 2-pt layup from 1 ft,12,21
1,5:27.0,Defensive rebound by L. Ball,,12,21
1,5:23.0,B. Ingram misses 2-pt layup from 1 ft,,12,21
1,5:23.0,Offensive rebound by Team,,12,21
1,5:23.0,,Loose ball foul by W. Cauley-Stein (drawn by K. Kuzma),12,21
1,5:23.0,K. Caldwell-Pope enters the game for B. Ingram,,12,21
1,5:23.0,T. Chandler enters the game for I. Zubac,,12,21
1,5:23.0,,K. Koufos enters the game for W. Cauley-Stein,12,21
1,5:19.0,Turnover by K. Kuzma (bad pass),,12,21
1,4:58.0,,B. Bogdanović misses 2-pt layup from 3 ft,12,21
1,4:58.0,,Offensive rebound by Team,12,21
1,4:58.0,,Turnover by B. Bogdanović (traveling),12,21
1,4:44.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by J. Hart),,15,21
1,4:33.0,,D. Fox misses 2-pt jump shot from 9 ft,15,21
1,4:31.0,,Offensive rebound by I. Shumpert,15,21
1,4:28.0,,I. Shumpert misses 2-pt jump shot from 15 ft,15,21
1,4:26.0,Defensive rebound by T. Chandler,,15,21
1,4:21.0,Personal foul by D. Fox (drawn by L. Ball),,15,21
1,4:21.0,,J. Jackson enters the game for I. Shumpert,15,21
1,4:15.0,K. Kuzma makes 2-pt jump shot from 8 ft (assist by L. Ball),,17,21
1,4:09.0,,Sacramento full timeout,17,21
1,4:02.0,,B. Bogdanović makes 2-pt jump shot from 14 ft,17,23
1,4:02.0,,Shooting foul by J. Hart (drawn by B. Bogdanović),17,23
1,4:02.0,,B. Hield enters the game for D. Fox,17,23
1,4:02.0,,B. Bogdanović misses free throw 1 of 1,17,23
1,3:59.0,,Offensive rebound by K. Koufos,17,23
1,3:56.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by K. Koufos),17,26
1,3:40.0,L. Ball makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,20,26
1,3:19.0,,Shooting foul by J. Hart (drawn by B. Bogdanović),20,26
1,3:19.0,,B. Bogdanović makes free throw 1 of 2,20,27
1,3:19.0,B. Ingram enters the game for J. Hart,,20,27
1,3:19.0,L. Stephenson enters the game for K. Kuzma,,20,27
1,3:19.0,,B. McLemore enters the game for N. Bjelica,20,27
1,3:19.0,,B. Bogdanović makes free throw 2 of 2,20,28
1,3:10.0,L. Ball misses 2-pt layup from 2 ft,,20,28
1,3:08.0,,Defensive rebound by J. Jackson,20,28
1,3:00.0,,J. Jackson misses 2-pt jump shot from 12 ft,20,28
1,2:55.0,,Offensive rebound by K. Koufos,20,28
1,2:55.0,,K. Koufos misses 2-pt layup at rim,20,28
1,2:54.0,,Offensive rebound by K. Koufos,20,28
1,2:54.0,,K. Koufos makes 2-pt layup at rim,20,30
1,2:50.0,B. Ingram makes 2-pt dunk from 2 ft (assist by L. Ball),,22,30
1,2:40.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,22,30
1,2:36.0,Defensive rebound by L. Ball,,22,30
1,2:35.0,Turnover by L. Ball (bad pass; steal by B. Hield),,22,30
1,2:30.0,,B. McLemore misses 3-pt jump shot from 25 ft,22,30
1,2:25.0,Defensive rebound by T. Chandler,,22,30
1,2:23.0,Shooting foul by J. Jackson (drawn by B. Ingram),,22,30
1,2:23.0,B. Ingram makes free throw 1 of 2,,23,30
1,2:23.0,B. Ingram makes free throw 2 of 2,,24,30
1,2:10.0,,B. McLemore misses 3-pt jump shot from 23 ft,24,30
1,2:07.0,Defensive rebound by K. Caldwell-Pope,,24,30
1,1:57.0,L. Ball makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,27,30
1,1:37.0,,B. Hield misses 2-pt jump shot from 12 ft,27,30
1,1:34.0,,Offensive rebound by K. Koufos,27,30
1,1:30.0,,J. Jackson misses 3-pt jump shot from 23 ft,27,30
1,1:26.0,Defensive rebound by L. Stephenson,,27,30
1,1:21.0,L. Stephenson makes 3-pt jump shot from 26 ft (assist by L. Ball),,30,30
1,0:59.0,,K. Koufos misses 2-pt hook shot from 8 ft,30,30
1,0:57.0,Defensive rebound by K. Caldwell-Pope,,30,30
1,0:44.0,B. Ingram makes 2-pt jump shot from 10 ft,,32,30
1,0:31.0,,Turnover by K. Koufos (bad pass; steal by L. Stephenson),32,30
1,0:27.0,L. Ball makes 2-pt dunk from 2 ft (assist by L. Stephenson),,34,30
1,0:12.0,,Personal take foul by K. Caldwell-Pope (drawn by B. Bogdanović),34,30
1,0:05.0,,B. Bogdanović makes 2-pt layup from 3 ft,34,32
1,0:00.0,Turnover by B. Ingram (lost ball; steal by B. Bogdanović),,34,32
2,11:46.0,B. Ingram makes 2-pt jump shot from 6 ft,,36,32
2,11:34.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,36,32
2,11:31.0,,Offensive rebound by B. Hield,36,32
2,11:28.0,,B. McLemore misses 3-pt jump shot from 24 ft (block by I. Zubac),36,32
2,11:28.0,,Offensive rebound by Team,36,32
2,11:24.0,,Personal foul by L. Stephenson (drawn by B. Bogdanović),36,32
2,11:15.0,,B. Hield makes 2-pt jump shot from 7 ft,36,34
2,11:00.0,K. Kuzma makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),,38,34
2,10:54.0,,Turnover by B. Bogdanović (out of bounds lost ball),38,34
2,10:44.0,L. Stephenson misses 3-pt jump shot from 24 ft,,38,34
2,10:41.0,,Defensive rebound by K. Koufos,38,34
2,10:37.0,,B. Hield misses 2-pt jump shot from 18 ft,38,34
2,10:35.0,Defensive rebound by K. Kuzma,,38,34
2,10:35.0,Personal foul by B. Hield (drawn by K. Kuzma),,38,34
2,10:35.0,,W. Cauley-Stein enters the game for K. Koufos,38,34
2,10:23.0,Shooting foul by B. Hield (drawn by B. Ingram),,38,34
2,10:23.0,B. Ingram misses free throw 1 of 2,,38,34
2,10:23.0,Offensive rebound by Team,,38,34
2,10:23.0,B. Ingram makes free throw 2 of 2,,39,34
2,10:13.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by B. Bogdanović),39,36
2,10:13.0,,Shooting foul by I. Zubac (drawn by W. Cauley-Stein),39,36
2,10:13.0,,W. Cauley-Stein makes free throw 1 of 1,39,37
2,9:54.0,I. Zubac makes 2-pt layup from 2 ft (assist by K. Kuzma),,41,37
2,9:41.0,,B. McLemore makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),41,39
2,9:30.0,K. Kuzma misses 2-pt jump shot from 5 ft,,41,39
2,9:27.0,,Defensive rebound by J. Jackson,41,39
2,9:26.0,,Turnover by B. Bogdanović (traveling),41,39
2,9:07.0,B. Ingram misses 3-pt jump shot from 23 ft,,41,39
2,9:02.0,,Defensive rebound by B. McLemore,41,39
2,8:54.0,,B. Bogdanović makes 2-pt jump shot from 9 ft,41,41
2,8:34.0,I. Zubac makes 2-pt layup from 2 ft,,43,41
2,8:23.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,43,41
2,8:23.0,,Offensive rebound by J. Jackson,43,41
2,8:23.0,,Shooting foul by K. Caldwell-Pope (drawn by J. Jackson),43,41
2,8:23.0,,J. Jackson makes free throw 1 of 2,43,42
2,8:23.0,,J. Jackson makes free throw 2 of 2,43,43
2,8:00.0,K. Kuzma makes 2-pt layup from 6 ft,,45,43
2,7:46.0,,J. Jackson makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),45,45
2,7:27.0,Personal foul by J. Jackson (drawn by K. Caldwell-Pope),,45,45
2,7:27.0,J. Hart enters the game for K. Caldwell-Pope,,45,45
2,7:27.0,,D. Fox enters the game for B. Hield,45,45
2,7:27.0,,I. Shumpert enters the game for B. McLemore,45,45
2,7:22.0,B. Ingram misses 2-pt jump shot from 21 ft,,45,45
2,7:20.0,,Defensive rebound by D. Fox,45,45
2,7:12.0,,J. Jackson misses 2-pt layup from 3 ft,45,45
2,7:10.0,Defensive rebound by B. Ingram,,45,45
2,7:10.0,L. Ball enters the game for B. Ingram,,45,45
2,7:06.0,Personal foul by B. Bogdanović (drawn by L. Ball),,45,45
2,6:51.0,K. Kuzma misses 2-pt layup from 5 ft,,45,45
2,6:48.0,Offensive rebound by I. Zubac,,45,45
2,6:48.0,I. Zubac misses 2-pt layup from 1 ft,,45,45
2,6:47.0,,Defensive rebound by I. Shumpert,45,45
2,6:41.0,,D. Fox makes 2-pt jump shot from 7 ft,45,47
2,6:29.0,L. Stephenson makes 2-pt jump shot from 17 ft,,47,47
2,6:17.0,,D. Fox makes 2-pt jump shot from 3 ft,47,49
2,6:08.0,L. Stephenson misses 2-pt jump shot from 22 ft,,47,49
2,6:05.0,,Defensive rebound by D. Fox,47,49
2,5:58.0,,D. Fox misses 2-pt jump shot from 10 ft,47,49
2,5:56.0,Defensive rebound by L. Ball,,47,49
2,5:46.0,Shooting foul by J. Jackson (drawn by K. Kuzma),,47,49
2,5:46.0,,Sacramento full timeout,47,49
2,5:46.0,T. Chandler enters the game for I. Zubac,,47,49
2,5:46.0,,N. Bjelica enters the game for J. Jackson,47,49
2,5:46.0,K. Kuzma makes free throw 1 of 2,,48,49
2,5:46.0,K. Kuzma makes free throw 2 of 2,,49,49
2,5:28.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by N. Bjelica),49,52
2,5:09.0,Shooting foul by N. Bjelica (drawn by K. Kuzma),,49,52
2,5:09.0,K. Kuzma misses free throw 1 of 2,,49,52
2,5:09.0,Offensive rebound by Team,,49,52
2,5:09.0,K. Kuzma makes free throw 2 of 2,,50,52
2,4:58.0,,W. Cauley-Stein makes 2-pt hook shot from 8 ft (assist by D. Fox),50,54
2,4:41.0,K. Kuzma misses 2-pt layup from 3 ft (block by W. Cauley-Stein),,50,54
2,4:38.0,,Defensive rebound by B. Bogdanović,50,54
2,4:35.0,,D. Fox misses 2-pt jump shot from 3 ft,50,54
2,4:34.0,,Offensive rebound by D. Fox,50,54
2,4:31.0,,W. Cauley-Stein misses 2-pt jump shot from 15 ft,50,54
2,4:31.0,Defensive rebound by L. Ball,,50,54
2,4:24.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. Ball),,52,54
2,4:17.0,Technical foul by,,52,54
2,4:17.0,K. Kuzma makes technical free throw,,53,54
2,4:17.0,B. Ingram enters the game for L. Stephenson,,53,54
2,4:07.0,,D. Fox misses 3-pt jump shot from 25 ft,53,54
2,4:01.0,Defensive rebound by K. Kuzma,,53,54
2,3:52.0,K. Kuzma makes 2-pt layup from 3 ft (assist by L. Ball),,55,54
2,3:34.0,,Shooting foul by J. Hart (drawn by D. Fox),55,54
2,3:34.0,,D. Fox misses free throw 1 of 2,55,54
2,3:34.0,,Offensive rebound by Team,55,54
2,3:34.0,K. Caldwell-Pope enters the game for J. Hart,,55,54
2,3:34.0,,B. Hield enters the game for B. Bogdanović,55,54
2,3:34.0,,D. Fox makes free throw 2 of 2,55,55
2,3:20.0,L. Ball misses 2-pt layup from 5 ft,,55,55
2,3:18.0,Offensive rebound by T. Chandler,,55,55
2,3:16.0,T. Chandler makes 2-pt dunk from 3 ft,,57,55
2,2:59.0,,B. Hield misses 2-pt jump shot from 12 ft,57,55
2,2:56.0,,Offensive rebound by W. Cauley-Stein,57,55
2,2:54.0,,B. Hield makes 2-pt jump shot from 14 ft (assist by W. Cauley-Stein),57,57
2,2:50.0,LA Lakers full timeout,,57,57
2,2:34.0,K. Caldwell-Pope misses 2-pt layup from 3 ft,,57,57
2,2:29.0,Offensive rebound by T. Chandler,,57,57
2,2:29.0,T. Chandler makes 2-pt dunk from 1 ft,,59,57
2,2:06.0,,I. Shumpert misses 2-pt jump shot from 17 ft,59,57
2,2:06.0,,Offensive rebound by Team,59,57
2,2:06.0,,Turnover by Team (shot clock),59,57
2,1:46.0,K. Kuzma misses 3-pt jump shot from 23 ft,,59,57
2,1:45.0,,Defensive rebound by Team,59,57
2,1:33.0,,Turnover by N. Bjelica (traveling),59,57
2,1:14.0,B. Ingram makes 2-pt layup from 14 ft,,61,57
2,1:02.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,61,57
2,1:02.0,Defensive rebound by K. Kuzma,,61,57
2,0:55.0,T. Chandler makes 2-pt dunk from 2 ft (assist by L. Ball),,63,57
2,0:52.0,,Turnover by D. Fox (bad pass; steal by L. Ball),63,57
2,0:48.0,Shooting foul by D. Fox (drawn by K. Kuzma),,63,57
2,0:48.0,K. Kuzma makes free throw 1 of 2,,64,57
2,0:48.0,S. Mykhailiuk enters the game for K. Caldwell-Pope,,64,57
2,0:48.0,L. Stephenson enters the game for T. Chandler,,64,57
2,0:48.0,,B. Bogdanović enters the game for W. Cauley-Stein,64,57
2,0:48.0,K. Kuzma makes free throw 2 of 2,,65,57
2,0:39.0,,D. Fox misses 2-pt layup from 2 ft,65,57
2,0:39.0,,Offensive rebound by B. Hield,65,57
2,0:39.0,,Shooting foul by S. Mykhailiuk (drawn by B. Hield),65,57
2,0:39.0,,B. Hield makes free throw 1 of 2,65,58
2,0:39.0,,B. Hield makes free throw 2 of 2,65,59
2,0:33.0,B. Ingram makes 2-pt jump shot from 4 ft,,67,59
2,0:26.0,,N. Bjelica misses 2-pt layup from 5 ft (block by L. Ball),67,59
2,0:24.0,,Offensive rebound by Team,67,59
2,0:22.0,,N. Bjelica misses 2-pt layup at rim,67,59
2,0:21.0,,Offensive rebound by N. Bjelica,67,59
2,0:21.0,,N. Bjelica makes 2-pt layup at rim,67,61
2,0:02.0,K. Kuzma misses 3-pt jump shot from 25 ft,,67,61
2,0:02.0,,Defensive rebound by D. Fox,67,61
3,11:42.0,J. Hart misses 2-pt jump shot from 12 ft,,67,61
3,11:39.0,,Defensive rebound by W. Cauley-Stein,67,61
3,11:29.0,,B. Hield misses 2-pt jump shot from 11 ft,67,61
3,11:25.0,Defensive rebound by K. Kuzma,,67,61
3,11:18.0,L. Ball makes 3-pt jump shot from 25 ft,,70,61
3,11:04.0,,N. Bjelica misses 3-pt jump shot from 23 ft,70,61
3,11:01.0,Defensive rebound by L. Ball,,70,61
3,10:44.0,I. Zubac misses 2-pt dunk from 6 ft (block by I. Shumpert),,70,61
3,10:41.0,,Defensive rebound by I. Shumpert,70,61
