QUARTER,TIME_REMAINING,INDIANA_ACTION,PORTLAND_ACTION,INDIANA_SCORE,PORTLAND_SCORE
1,11:37.0,,J. Layman misses 2-pt hook shot from 7 ft,0,0
1,11:33.0,,Offensive rebound by J. Nurkić,0,0
1,11:27.0,,Shooting foul by M. Turner (drawn by J. Nurkić),0,0
1,11:27.0,,J. Nurkić makes free throw 1 of 2,0,1
1,11:27.0,,J. Nurkić makes free throw 2 of 2,0,2
1,11:05.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,0,2
1,11:03.0,,Defensive rebound by J. Nurkić,0,2
1,10:50.0,,D. Lillard misses 2-pt jump shot from 20 ft,0,2
1,10:46.0,Defensive rebound by T. Young,,0,2
1,10:39.0,D. Collison misses 2-pt jump shot from 20 ft,,0,2
1,10:36.0,,Defensive rebound by J. Layman,0,2
1,10:23.0,,M. Harkless misses 3-pt jump shot from 26 ft,0,2
1,10:20.0,Defensive rebound by B. Bogdanović,,0,2
1,10:14.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by T. Young),,3,2
1,9:50.0,,J. Nurkić makes 2-pt hook shot from 4 ft,3,4
1,9:39.0,B. Bogdanović misses 2-pt layup from 3 ft,,3,4
1,9:32.0,Offensive rebound by M. Turner,,3,4
1,9:32.0,M. Turner makes 2-pt dunk at rim,,5,4
1,9:23.0,,M. Harkless makes 2-pt dunk at rim (assist by J. Nurkić),5,6
1,9:04.0,Turnover by M. Turner (lost ball; steal by M. Harkless),,5,6
1,8:56.0,,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),5,8
1,8:39.0,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),,7,8
1,8:22.0,,D. Lillard makes 2-pt layup at rim (assist by J. Nurkić),7,10
1,8:07.0,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),,9,10
1,7:43.0,,J. Nurkić misses 2-pt jump shot from 15 ft,9,10
1,7:40.0,Defensive rebound by W. Matthews,,9,10
1,7:31.0,M. Turner misses 3-pt jump shot from 27 ft,,9,10
1,7:27.0,Offensive rebound by W. Matthews,,9,10
1,7:24.0,T. Young misses 2-pt layup from 2 ft (block by M. Harkless),,9,10
1,7:19.0,Offensive rebound by M. Turner,,9,10
1,7:17.0,M. Turner makes 2-pt layup from 2 ft,,11,10
1,7:05.0,,J. Nurkić makes 2-pt jump shot from 15 ft (assist by D. Lillard),11,12
1,6:51.0,M. Turner makes 3-pt jump shot from 28 ft (assist by D. Collison),,14,12
1,6:38.0,,J. Layman misses 3-pt jump shot from 26 ft,14,12
1,6:38.0,Defensive rebound by M. Turner,,14,12
1,6:18.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by M. Turner),,17,12
1,6:00.0,,Turnover by D. Lillard (lost ball; steal by D. Collison),17,12
1,5:56.0,B. Bogdanović makes 2-pt dunk from 2 ft (assist by D. Collison),,19,12
1,5:54.0,,Portland full timeout,19,12
1,5:40.0,,J. Layman misses 3-pt jump shot from 25 ft,19,12
1,5:36.0,Defensive rebound by M. Turner,,19,12
1,5:14.0,D. Collison makes 2-pt jump shot from 21 ft,,21,12
1,4:56.0,,Offensive foul by J. Nurkić (drawn by M. Turner),21,12
1,4:56.0,,Turnover by J. Nurkić (offensive foul),21,12
1,4:56.0,,S. Curry enters the game for A. Aminu,21,12
1,4:56.0,,R. Hood enters the game for J. Layman,21,12
1,4:34.0,B. Bogdanović makes 2-pt layup from 3 ft,,23,12
1,4:23.0,,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),23,14
1,4:04.0,W. Matthews misses 2-pt jump shot from 6 ft (block by D. Lillard),,23,14
1,4:02.0,Offensive rebound by T. Young,,23,14
1,4:02.0,D. Sabonis enters the game for T. Young,,23,14
1,3:53.0,B. Bogdanović misses 2-pt jump shot from 11 ft (block by R. Hood),,23,14
1,3:53.0,,Defensive rebound by R. Hood,23,14
1,3:45.0,,R. Hood makes 2-pt jump shot from 13 ft,23,16
1,3:32.0,Shooting foul by S. Curry (drawn by D. Collison),,23,16
1,3:32.0,D. Collison makes free throw 1 of 2,,24,16
1,3:32.0,C. Joseph enters the game for B. Bogdanović,,24,16
1,3:32.0,,Z. Collins enters the game for M. Harkless,24,16
1,3:32.0,,E. Freedom enters the game for J. Nurkić,24,16
1,3:32.0,D. Collison makes free throw 2 of 2,,25,16
1,3:17.0,,E. Freedom makes 2-pt jump shot from 6 ft (assist by D. Lillard),25,18
1,3:02.0,D. Collison misses 2-pt jump shot from 23 ft,,25,18
1,3:00.0,Offensive rebound by M. Turner,,25,18
1,3:00.0,Shooting foul by Z. Collins (drawn by M. Turner),,25,18
1,3:00.0,M. Turner makes free throw 1 of 2,,26,18
1,3:00.0,T. Evans enters the game for D. Collison,,26,18
1,3:00.0,M. Turner makes free throw 2 of 2,,27,18
1,2:48.0,,R. Hood misses 3-pt jump shot from 23 ft,27,18
1,2:46.0,,Offensive rebound by Team,27,18
1,2:46.0,Loose ball foul by W. Matthews (drawn by E. Freedom),,27,18
1,2:46.0,Indiana full timeout,,27,18
1,2:46.0,T. Leaf enters the game for M. Turner,,27,18
1,2:46.0,,J. Layman enters the game for R. Hood,27,18
1,2:41.0,,Offensive foul by E. Freedom (drawn by D. Sabonis),27,18
1,2:41.0,,Turnover by E. Freedom (offensive foul),27,18
1,2:29.0,D. Sabonis makes 2-pt hook shot from 3 ft,,29,18
1,2:13.0,,D. Lillard makes 2-pt layup from 3 ft,29,20
1,1:56.0,Personal foul by S. Curry (drawn by W. Matthews),,29,20
1,1:56.0,D. McDermott enters the game for W. Matthews,,29,20
1,1:51.0,C. Joseph misses 2-pt jump shot from 14 ft,,29,20
1,1:47.0,,Defensive rebound by Z. Collins,29,20
1,1:37.0,,Z. Collins makes 2-pt jump shot from 5 ft,29,22
1,1:37.0,,Shooting foul by T. Leaf (drawn by Z. Collins),29,22
1,1:37.0,,Z. Collins misses free throw 1 of 1,29,22
1,1:35.0,Defensive rebound by D. Sabonis,,29,22
1,1:26.0,D. Sabonis misses 2-pt jump shot from 10 ft,,29,22
1,1:25.0,,Defensive rebound by Team,29,22
1,1:25.0,Loose ball foul by D. Sabonis (drawn by E. Freedom),,29,22
1,1:25.0,,E. Freedom makes free throw 1 of 2,29,23
1,1:25.0,,R. Hood enters the game for J. Layman,29,23
1,1:25.0,,E. Freedom makes free throw 2 of 2,29,24
1,1:15.0,D. McDermott misses 2-pt jump shot from 20 ft,,29,24
1,1:13.0,,Defensive rebound by D. Lillard,29,24
1,1:06.0,,S. Curry misses 3-pt jump shot from 23 ft,29,24
1,1:02.0,Defensive rebound by D. McDermott,,29,24
1,0:47.0,D. McDermott misses 2-pt layup from 2 ft (block by Z. Collins),,29,24
1,0:41.0,,Defensive rebound by E. Freedom,29,24
1,0:39.0,,R. Hood makes 2-pt layup from 1 ft (assist by D. Lillard),29,26
1,0:34.0,D. Sabonis makes 2-pt layup from 2 ft (assist by C. Joseph),,31,26
1,0:29.0,,D. Lillard makes 2-pt layup from 1 ft,31,28
1,0:10.0,T. Evans misses 2-pt layup from 3 ft,,31,28
