QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
1,11:46.0,Turnover by N. Jokić (bad pass; steal by R. Westbrook),,0,0
1,11:42.0,,S. Adams misses 2-pt jump shot from 10 ft,0,0
1,11:38.0,Defensive rebound by P. Millsap,,0,0
1,11:18.0,J. Hernangómez misses 2-pt jump shot from 20 ft,,0,0
1,11:14.0,Offensive rebound by T. Craig,,0,0
1,11:05.0,N. Jokić makes 2-pt jump shot from 6 ft (assist by P. Millsap),,2,0
1,10:44.0,,P. George misses 2-pt jump shot from 18 ft,2,0
1,10:41.0,Defensive rebound by P. Millsap,,2,0
1,10:35.0,Personal foul by S. Adams (drawn by N. Jokić),,2,0
1,10:27.0,P. Millsap misses 3-pt jump shot from 26 ft,,2,0
1,10:24.0,,Defensive rebound by Team,2,0
1,10:12.0,,Turnover by R. Westbrook (bad pass; steal by J. Hernangómez),2,0
1,9:51.0,Turnover by N. Jokić (lost ball; steal by P. George),,2,0
1,9:44.0,,J. Grant misses 3-pt jump shot from 23 ft,2,0
1,9:39.0,Defensive rebound by J. Hernangómez,,2,0
1,9:32.0,J. Murray misses 2-pt jump shot from 18 ft,,2,0
1,9:31.0,,Defensive rebound by Team,2,0
1,9:16.0,,P. George makes 2-pt layup from 4 ft,2,2
1,9:01.0,J. Murray makes 2-pt jump shot from 11 ft,,4,2
1,8:42.0,,Turnover by S. Adams (lost ball; steal by P. Millsap),4,2
1,8:30.0,T. Craig makes 2-pt layup from 2 ft (assist by J. Murray),,6,2
1,8:30.0,Shooting foul by R. Westbrook (drawn by T. Craig),,6,2
1,8:30.0,T. Craig misses free throw 1 of 1,,6,2
1,8:28.0,,Defensive rebound by T. Luwawu-Cabarrot,6,2
1,8:20.0,,Shooting foul by T. Craig (drawn by R. Westbrook),6,2
1,8:20.0,,R. Westbrook misses free throw 1 of 2,6,2
1,8:20.0,,Offensive rebound by Team,6,2
1,8:20.0,,R. Westbrook makes free throw 2 of 2,6,3
1,8:07.0,J. Murray misses 2-pt layup from 1 ft,,6,3
1,8:03.0,,Defensive rebound by S. Adams,6,3
1,8:01.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by R. Westbrook),6,6
1,7:47.0,N. Jokić misses 3-pt jump shot from 25 ft,,6,6
1,7:45.0,,Defensive rebound by J. Grant,6,6
1,7:42.0,,Turnover by P. George (bad pass),6,6
1,7:33.0,Personal foul by J. Grant (drawn by P. Millsap),,6,6
1,7:20.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,6,6
1,7:18.0,Offensive rebound by Team,,6,6
1,7:18.0,Turnover by Team (shot clock),,6,6
1,7:06.0,,P. George misses 2-pt jump shot from 12 ft,6,6
1,7:04.0,Defensive rebound by Team,,6,6
1,6:55.0,N. Jokić misses 3-pt jump shot from 26 ft,,6,6
1,6:53.0,,Defensive rebound by R. Westbrook,6,6
1,6:49.0,,S. Adams misses 2-pt layup from 1 ft,6,6
1,6:46.0,,Offensive rebound by S. Adams,6,6
1,6:44.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,6,6
1,6:42.0,,Offensive rebound by P. George,6,6
1,6:37.0,,J. Grant makes 2-pt dunk from 1 ft (assist by P. George),6,8
1,6:36.0,Denver full timeout,,6,8
1,6:21.0,N. Jokić misses 2-pt jump shot from 12 ft,,6,8
1,6:19.0,,Defensive rebound by R. Westbrook,6,8
1,6:12.0,,P. George misses 3-pt jump shot from 25 ft,6,8
1,6:09.0,Defensive rebound by J. Murray,,6,8
1,6:08.0,Turnover by J. Murray (bad pass; steal by P. George),,6,8
1,6:04.0,,P. George makes 2-pt layup from 1 ft,6,10
1,5:52.0,N. Jokić makes 2-pt dunk from 1 ft (assist by J. Murray),,8,10
1,5:36.0,,P. George misses 2-pt jump shot from 15 ft,8,10
1,5:33.0,,Offensive rebound by T. Luwawu-Cabarrot,8,10
1,5:31.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,8,10
1,5:29.0,Defensive rebound by J. Murray,,8,10
1,5:22.0,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),,10,10
1,5:04.0,,P. George makes 3-pt jump shot from 23 ft (assist by J. Grant),10,13
1,4:48.0,N. Jokić misses 2-pt jump shot from 17 ft,,10,13
1,4:45.0,,Defensive rebound by T. Luwawu-Cabarrot,10,13
1,4:38.0,,J. Grant misses 3-pt jump shot from 25 ft,10,13
1,4:35.0,Defensive rebound by J. Hernangómez,,10,13
1,4:27.0,P. Millsap makes 2-pt jump shot from 4 ft,,12,13
1,4:13.0,,J. Grant misses 2-pt layup from 2 ft,12,13
1,4:10.0,Defensive rebound by N. Jokić,,12,13
1,4:08.0,J. Murray makes 3-pt jump shot from 25 ft (assist by T. Craig),,15,13
1,3:56.0,,Personal foul by N. Jokić (drawn by P. George),15,13
1,3:56.0,M. Morris enters the game for N. Jokić,,15,13
1,3:56.0,M. Plumlee enters the game for J. Murray,,15,13
1,3:56.0,,D. Schröder enters the game for T. Luwawu-Cabarrot,15,13
1,3:50.0,,P. George misses 3-pt jump shot from 27 ft,15,13
1,3:46.0,,Offensive rebound by P. George,15,13
1,3:42.0,,R. Westbrook misses 3-pt jump shot from 23 ft,15,13
1,3:41.0,,Offensive rebound by Team,15,13
1,3:41.0,,Oklahoma City full timeout,15,13
1,3:41.0,M. Beasley enters the game for T. Craig,,15,13
1,3:41.0,T. Lyles enters the game for P. Millsap,,15,13
1,3:41.0,,N. Noel enters the game for S. Adams,15,13
1,3:41.0,,P. Patterson enters the game for J. Grant,15,13
1,3:39.0,,R. Westbrook makes 2-pt jump shot from 14 ft (assist by P. George),15,15
1,3:39.0,,Shooting foul by M. Beasley (drawn by R. Westbrook),15,15
1,3:39.0,,R. Westbrook makes free throw 1 of 1,15,16
1,3:16.0,M. Plumlee misses 2-pt hook shot from 7 ft,,15,16
1,3:14.0,,Defensive rebound by N. Noel,15,16
1,2:56.0,,P. Patterson misses 3-pt jump shot from 25 ft,15,16
1,2:52.0,,Offensive rebound by N. Noel,15,16
1,2:50.0,,D. Schröder misses 3-pt jump shot from 24 ft,15,16
1,2:47.0,Defensive rebound by M. Beasley,,15,16
1,2:35.0,T. Lyles makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,18,16
1,2:19.0,,Shooting foul by M. Morris (drawn by P. George),18,16
1,2:19.0,,P. George misses free throw 1 of 2,18,16
1,2:19.0,,Offensive rebound by Team,18,16
1,2:19.0,,T. Luwawu-Cabarrot enters the game for R. Westbrook,18,16
1,2:19.0,,P. George makes free throw 2 of 2,18,17
1,2:05.0,M. Plumlee makes 2-pt hook shot from 1 ft,,20,17
1,2:05.0,Shooting foul by N. Noel (drawn by M. Plumlee),,20,17
1,2:05.0,M. Plumlee misses free throw 1 of 1,,20,17
1,2:05.0,Offensive rebound by T. Lyles,,20,17
1,2:00.0,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by M. Morris),,23,17
1,1:47.0,,Personal foul by M. Beasley (drawn by D. Schröder),23,17
1,1:47.0,,D. Schröder makes free throw 1 of 2,23,18
1,1:47.0,,D. Schröder makes free throw 2 of 2,23,19
1,1:40.0,Personal foul by T. Luwawu-Cabarrot (drawn by M. Plumlee),,23,19
1,1:40.0,M. Plumlee makes free throw 1 of 2,,24,19
1,1:40.0,M. Plumlee makes free throw 2 of 2,,25,19
1,1:26.0,,D. Schröder misses 3-pt jump shot from 25 ft,25,19
1,1:24.0,Defensive rebound by M. Beasley,,25,19
1,1:07.0,J. Hernangómez makes 3-pt jump shot from 26 ft (assist by M. Morris),,28,19
1,0:52.0,,P. Patterson misses 3-pt jump shot from 23 ft,28,19
1,0:49.0,,Offensive rebound by N. Noel,28,19
1,0:49.0,,N. Noel makes 2-pt layup at rim,28,21
1,0:35.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Morris),,31,21
1,0:30.0,,D. Schröder makes 2-pt jump shot from 8 ft,31,23
1,0:05.0,T. Lyles makes 2-pt layup from 1 ft,,33,23
2,11:51.0,,D. Schröder makes 2-pt jump shot from 19 ft,33,25
2,11:26.0,Shooting foul by N. Noel (drawn by M. Plumlee),,33,25
2,11:26.0,M. Plumlee misses free throw 1 of 2,,33,25
2,11:26.0,Offensive rebound by Team,,33,25
2,11:26.0,M. Plumlee makes free throw 2 of 2,,34,25
2,11:14.0,,Personal foul by M. Plumlee (drawn by T. Luwawu-Cabarrot),34,25
2,11:06.0,,D. Schröder misses 2-pt jump shot from 15 ft,34,25
2,11:03.0,Defensive rebound by M. Morris,,34,25
2,10:52.0,Turnover by M. Plumlee (lost ball; steal by D. Schröder),,34,25
2,10:45.0,,D. Burton makes 2-pt jump shot from 12 ft (assist by T. Luwawu-Cabarrot),34,27
2,10:33.0,Turnover by J. Murray (bad pass; steal by P. Patterson),,34,27
2,10:27.0,,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft,34,27
2,10:25.0,Defensive rebound by T. Lyles,,34,27
2,10:22.0,M. Beasley misses 2-pt layup from 1 ft,,34,27
2,10:20.0,,Defensive rebound by T. Luwawu-Cabarrot,34,27
2,10:12.0,,Turnover by D. Schröder (bad pass),34,27
2,9:56.0,T. Lyles makes 2-pt layup from 1 ft,,36,27
2,9:38.0,,T. Luwawu-Cabarrot misses 2-pt dunk from 2 ft (block by M. Plumlee),36,27
2,9:38.0,,Offensive rebound by Team,36,27
2,9:38.0,,S. Adams enters the game for N. Noel,36,27
2,9:31.0,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by M. Morris),36,27
2,9:27.0,M. Beasley makes 2-pt dunk at rim (assist by M. Morris),,38,27
2,9:15.0,,D. Schröder makes 2-pt jump shot from 8 ft,38,29
2,8:56.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),,40,29
2,8:39.0,,Turnover by D. Schröder (bad pass; steal by M. Morris),40,29
2,8:34.0,M. Morris misses 2-pt layup from 2 ft,,40,29
2,8:33.0,,Defensive rebound by P. Patterson,40,29
2,8:26.0,,S. Adams misses 2-pt dunk from 2 ft (block by M. Plumlee),40,29
2,8:23.0,Defensive rebound by M. Morris,,40,29
2,8:20.0,M. Beasley misses 3-pt jump shot from 26 ft,,40,29
2,8:18.0,,Defensive rebound by S. Adams,40,29
2,8:18.0,,Oklahoma City full timeout,40,29
2,8:18.0,,Á. Abrines enters the game for T. Luwawu-Cabarrot,40,29
2,8:18.0,,R. Westbrook enters the game for D. Schröder,40,29
2,8:04.0,,Á. Abrines misses 3-pt jump shot from 25 ft,40,29
2,7:59.0,,Offensive rebound by S. Adams,40,29
2,7:59.0,,S. Adams misses 2-pt layup at rim,40,29
2,7:59.0,Defensive rebound by M. Plumlee,,40,29
2,7:48.0,T. Lyles makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,43,29
2,7:34.0,,R. Westbrook misses 2-pt layup from 2 ft,43,29
2,7:31.0,,Offensive rebound by P. Patterson,43,29
2,7:31.0,,P. Patterson misses 2-pt layup at rim,43,29
2,7:30.0,Defensive rebound by M. Plumlee,,43,29
