QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW ORLEANS_ACTION,LA LAKERS_SCORE,NEW ORLEANS_SCORE
1,11:54.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,2,0
1,11:37.0,,J. Holiday makes 2-pt jump shot from 8 ft (assist by J. Okafor),2,2
1,11:18.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Kuzma),,4,2
1,11:09.0,,K. Williams makes 3-pt jump shot from 24 ft (assist by J. Randle),4,5
1,10:47.0,B. Ingram makes 2-pt layup from 2 ft,,6,5
1,10:47.0,Shooting foul by J. Holiday (drawn by B. Ingram),,6,5
1,10:47.0,B. Ingram makes free throw 1 of 1,,7,5
1,10:39.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by K. Williams),7,8
1,10:21.0,B. Ingram makes 2-pt layup from 2 ft (assist by L. James),,9,8
1,10:06.0,,J. Okafor makes 2-pt hook shot from 5 ft,9,10
1,9:54.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by B. Ingram),,12,10
1,9:41.0,,K. Williams misses 2-pt jump shot from 16 ft,12,10
1,9:37.0,Defensive rebound by K. Kuzma,,12,10
1,9:21.0,Personal foul by E. Payton (drawn by B. Ingram),,12,10
1,9:16.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by L. James),,15,10
1,9:09.0,,Shooting foul by B. Ingram (drawn by E. Payton),15,10
1,9:09.0,,E. Payton makes free throw 1 of 2,15,11
1,9:09.0,,E. Payton makes free throw 2 of 2,15,12
1,8:51.0,Turnover by R. Bullock (bad pass; steal by J. Holiday),,15,12
1,8:45.0,,J. Randle makes 2-pt layup from 3 ft,15,14
1,8:23.0,L. James makes 2-pt layup from 1 ft (assist by K. Kuzma),,17,14
1,8:12.0,,J. Randle misses 3-pt jump shot from 24 ft,17,14
1,8:09.0,,Offensive rebound by J. Okafor,17,14
1,8:01.0,,J. Okafor misses 2-pt jump shot from 6 ft,17,14
1,7:58.0,Defensive rebound by B. Ingram,,17,14
1,7:51.0,K. Kuzma misses 2-pt layup from 1 ft (block by J. Okafor),,17,14
1,7:46.0,,Defensive rebound by J. Holiday,17,14
1,7:45.0,,J. Okafor makes 2-pt dunk from 1 ft (assist by J. Holiday),17,16
1,7:35.0,LA Lakers full timeout,,17,16
1,7:30.0,Turnover by B. Ingram (bad pass; steal by K. Williams),,17,16
1,7:30.0,,Turnover by J. Okafor (step out of bounds),17,16
1,7:21.0,L. James makes 2-pt jump shot from 6 ft,,19,16
1,7:11.0,,J. Okafor makes 2-pt layup from 2 ft (assist by J. Randle),19,18
1,7:04.0,Offensive foul by B. Ingram (drawn by J. Randle),,19,18
1,7:04.0,Turnover by B. Ingram (offensive foul),,19,18
1,7:04.0,R. Rondo enters the game for B. Ingram,,19,18
1,6:54.0,,J. Randle makes 2-pt layup from 1 ft (assist by E. Payton),19,20
1,6:40.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,21,20
1,6:30.0,,K. Williams misses 3-pt jump shot from 24 ft,21,20
1,6:27.0,Defensive rebound by J. McGee,,21,20
1,6:20.0,L. James makes 2-pt layup from 1 ft (assist by K. Kuzma),,23,20
1,6:00.0,,J. Okafor misses 2-pt jump shot from 8 ft,23,20
1,5:57.0,Defensive rebound by R. Rondo,,23,20
1,5:53.0,Turnover by K. Kuzma (lost ball; steal by J. Holiday),,23,20
1,5:49.0,,Shooting foul by J. McGee (drawn by J. Okafor),23,20
1,5:49.0,,J. Okafor makes free throw 1 of 2,23,21
1,5:49.0,K. Caldwell-Pope enters the game for L. James,,23,21
1,5:49.0,T. Chandler enters the game for J. McGee,,23,21
1,5:49.0,,F. Jackson enters the game for E. Payton,23,21
1,5:49.0,,J. Okafor makes free throw 2 of 2,23,22
1,5:39.0,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Rondo),,25,22
1,5:23.0,,F. Jackson misses 2-pt layup from 2 ft,25,22
1,5:23.0,Defensive rebound by K. Kuzma,,25,22
1,5:04.0,R. Rondo makes 3-pt jump shot from 26 ft (assist by K. Kuzma),,28,22
1,4:48.0,,J. Holiday makes 2-pt layup from 1 ft,28,24
1,4:36.0,Turnover by K. Caldwell-Pope (bad pass; steal by K. Williams),,28,24
1,4:32.0,,Personal take foul by K. Kuzma (drawn by J. Randle),28,24
1,4:32.0,,C. Diallo enters the game for J. Okafor,28,24
1,4:23.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by J. Holiday),28,27
1,4:09.0,Shooting foul by F. Jackson (drawn by K. Caldwell-Pope),,28,27
1,4:09.0,K. Caldwell-Pope makes free throw 1 of 3,,29,27
1,4:09.0,K. Caldwell-Pope makes free throw 2 of 3,,30,27
1,4:09.0,L. Stephenson enters the game for R. Bullock,,30,27
1,4:09.0,K. Caldwell-Pope makes free throw 3 of 3,,31,27
1,3:56.0,,C. Diallo makes 2-pt hook shot from 4 ft (assist by J. Holiday),31,29
1,3:45.0,Turnover by R. Rondo (bad pass; steal by K. Williams),,31,29
1,3:40.0,,Turnover by C. Diallo (bad pass; steal by R. Rondo),31,29
1,3:31.0,R. Rondo misses 3-pt jump shot from 24 ft,,31,29
1,3:30.0,,Defensive rebound by C. Diallo,31,29
1,3:22.0,,C. Diallo makes 2-pt layup from 1 ft (assist by J. Randle),31,31
1,2:57.0,L. Stephenson misses 3-pt jump shot from 26 ft,,31,31
1,2:56.0,,Defensive rebound by F. Jackson,31,31
1,2:56.0,,New Orleans full timeout,31,31
1,2:56.0,J. Hart enters the game for K. Kuzma,,31,31
1,2:56.0,,I. Clark enters the game for J. Holiday,31,31
1,2:56.0,,E. Payton enters the game for K. Williams,31,31
1,2:45.0,,Turnover by C. Diallo (lost ball; steal by T. Chandler),31,31
1,2:39.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,31,31
1,2:35.0,,Defensive rebound by F. Jackson,31,31
1,2:34.0,,Personal foul by K. Caldwell-Pope (drawn by F. Jackson),31,31
1,2:20.0,,J. Randle makes 2-pt layup from 5 ft,31,33
1,2:05.0,K. Caldwell-Pope makes 2-pt jump shot from 17 ft (assist by T. Chandler),,33,33
1,1:49.0,,C. Diallo makes 2-pt jump shot from 13 ft (assist by E. Payton),33,35
1,1:35.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,33,35
1,1:33.0,,Defensive rebound by C. Diallo,33,35
1,1:26.0,,J. Randle misses 3-pt jump shot from 25 ft,33,35
1,1:22.0,Defensive rebound by J. Hart,,33,35
1,1:18.0,R. Rondo makes 2-pt layup from 1 ft,,35,35
1,1:05.0,,Personal foul by L. Stephenson (drawn by C. Diallo),35,35
1,1:05.0,L. James enters the game for T. Chandler,,35,35
1,1:05.0,,S. Johnson enters the game for J. Randle,35,35
1,1:05.0,,C. Diallo makes free throw 1 of 2,35,36
1,1:05.0,,C. Diallo makes free throw 2 of 2,35,37
1,0:52.0,L. James misses 2-pt layup from 3 ft (block by E. Payton),,35,37
1,0:52.0,Offensive rebound by Team,,35,37
1,0:44.0,K. Caldwell-Pope misses 2-pt jump shot from 7 ft,,35,37
1,0:42.0,,Defensive rebound by C. Diallo,35,37
1,0:32.0,,E. Payton makes 2-pt layup from 2 ft (assist by I. Clark),35,39
1,0:19.0,L. James misses 2-pt jump shot from 9 ft,,35,39
1,0:15.0,,Defensive rebound by C. Diallo,35,39
1,0:00.0,,I. Clark makes 3-pt jump shot from 23 ft (assist by E. Payton),35,42
2,11:44.0,,I. Clark misses 3-pt jump shot from 27 ft,35,42
2,11:41.0,Defensive rebound by R. Rondo,,35,42
2,11:39.0,Shooting foul by I. Clark (drawn by B. Ingram),,35,42
2,11:39.0,B. Ingram misses free throw 1 of 2,,35,42
2,11:39.0,Offensive rebound by Team,,35,42
2,11:39.0,B. Ingram makes free throw 2 of 2,,36,42
2,11:30.0,,I. Clark misses 2-pt layup from 3 ft,36,42
2,11:27.0,Defensive rebound by J. Hart,,36,42
2,11:24.0,B. Ingram misses 2-pt layup from 4 ft,,36,42
2,11:24.0,,Defensive rebound by Team,36,42
2,11:15.0,,E. Payton makes 2-pt layup from 2 ft,36,44
2,10:58.0,Turnover by B. Ingram (offensive foul),,36,44
2,10:58.0,Offensive foul by B. Ingram (drawn by I. Clark),,36,44
2,10:58.0,K. Kuzma enters the game for B. Ingram,,36,44
2,10:49.0,,C. Diallo makes 2-pt jump shot from 10 ft (assist by E. Payton),36,46
2,10:34.0,K. Kuzma makes 2-pt dunk from 2 ft (assist by R. Rondo),,38,46
2,10:27.0,,E. Payton makes 2-pt layup from 2 ft,38,48
2,10:19.0,K. Kuzma misses 3-pt jump shot from 24 ft,,38,48
2,10:19.0,,Defensive rebound by I. Clark,38,48
2,10:13.0,,E. Payton misses 3-pt jump shot from 25 ft,38,48
2,10:10.0,Defensive rebound by J. Hart,,38,48
2,9:52.0,L. James makes 2-pt layup from 3 ft,,40,48
2,9:41.0,,F. Jackson misses 3-pt jump shot from 26 ft,40,48
2,9:38.0,,Offensive rebound by C. Diallo,40,48
2,9:37.0,,C. Diallo makes 2-pt layup from 2 ft,40,50
2,9:29.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Rondo),,42,50
2,9:10.0,,S. Johnson makes 2-pt jump shot from 18 ft (assist by E. Payton),42,52
2,9:01.0,K. Kuzma misses 3-pt jump shot from 25 ft,,42,52
2,8:56.0,,Defensive rebound by E. Payton,42,52
2,8:53.0,,Turnover by E. Payton (bad pass; steal by K. Caldwell-Pope),42,52
2,8:51.0,Turnover by J. Hart (traveling),,42,52
2,8:51.0,R. Bullock enters the game for K. Caldwell-Pope,,42,52
2,8:51.0,,J. Randle enters the game for C. Diallo,42,52
2,8:28.0,,S. Johnson misses 3-pt jump shot from 24 ft,42,52
2,8:23.0,Defensive rebound by K. Kuzma,,42,52
2,8:18.0,L. James makes 2-pt layup at rim (assist by K. Kuzma),,44,52
2,8:03.0,,J. Randle makes 2-pt layup from 3 ft,44,54
2,7:49.0,J. Hart misses 3-pt jump shot from 23 ft,,44,54
2,7:49.0,,Defensive rebound by F. Jackson,44,54
2,7:35.0,,Personal foul by R. Bullock (drawn by I. Clark),44,54
2,7:35.0,,K. Williams enters the game for F. Jackson,44,54
2,7:29.0,,S. Johnson misses 2-pt layup from 2 ft,44,54
2,7:26.0,Defensive rebound by R. Bullock,,44,54
2,7:25.0,Turnover by L. James (bad pass; steal by E. Payton),,44,54
2,7:23.0,,E. Payton misses 2-pt layup from 2 ft (block by R. Bullock),44,54
2,7:21.0,,Offensive rebound by E. Payton,44,54
2,7:21.0,,J. Holiday enters the game for E. Payton,44,54
2,7:17.0,,Turnover by S. Johnson (lost ball; steal by L. James),44,54
2,7:04.0,L. James misses 3-pt jump shot from 26 ft,,44,54
2,6:59.0,Offensive rebound by K. Kuzma,,44,54
2,6:59.0,K. Kuzma makes 2-pt layup at rim,,46,54
2,6:53.0,,I. Clark misses 3-pt jump shot from 26 ft,46,54
2,6:50.0,Defensive rebound by J. Hart,,46,54
2,6:35.0,J. Hart makes 2-pt dunk at rim (assist by L. James),,48,54
2,6:24.0,,J. Holiday misses 3-pt jump shot from 26 ft,48,54
2,6:21.0,Defensive rebound by L. James,,48,54
2,6:17.0,L. James makes 2-pt layup from 2 ft,,50,54
2,6:11.0,,New Orleans full timeout,50,54
2,5:57.0,,K. Williams makes 3-pt jump shot from 26 ft (assist by J. Randle),50,57
2,5:34.0,K. Kuzma makes 2-pt jump shot from 17 ft (assist by R. Bullock),,52,57
2,5:21.0,,I. Clark misses 3-pt jump shot from 23 ft,52,57
2,5:19.0,Defensive rebound by K. Kuzma,,52,57
2,5:07.0,Turnover by L. James (bad pass; steal by I. Clark),,52,57
2,4:57.0,,J. Randle misses 2-pt layup from 3 ft,52,57
2,4:54.0,Defensive rebound by L. James,,52,57
2,4:50.0,K. Kuzma misses 3-pt jump shot from 25 ft,,52,57
