QUARTER,TIME_REMAINING,CHICAGO_ACTION,UTAH_ACTION,CHICAGO_SCORE,UTAH_SCORE
4,1:41.0,,Defensive rebound by R. Gobert,96,105
4,1:26.0,,Personal foul by K. Dunn (drawn by D. Mitchell),96,105
4,1:19.0,,Turnover by D. Favors (traveling),96,105
4,1:12.0,Z. LaVine misses 3-pt jump shot from 25 ft,,96,105
4,1:11.0,,Defensive rebound by D. Mitchell,96,105
4,1:11.0,,Personal foul by Z. LaVine (drawn by D. Mitchell),96,105
4,1:11.0,,D. Mitchell makes free throw 1 of 2,96,106
4,1:11.0,,D. Mitchell misses free throw 2 of 2,96,106
4,1:10.0,Defensive rebound by W. Carter,,96,106
4,1:10.0,Chicago full timeout,,96,106
4,1:05.0,Personal foul by R. O'Neale (drawn by Z. LaVine),,96,106
4,1:05.0,Z. LaVine makes free throw 1 of 2,,97,106
4,1:05.0,Z. LaVine makes free throw 2 of 2,,98,106
4,1:05.0,,Utah full timeout,98,106
4,1:05.0,Technical foul by W. Carter,,98,106
4,1:05.0,,D. Mitchell makes technical free throw,98,107
4,1:05.0,,K. Korver enters the game for D. Favors,98,107
4,0:45.0,,D. Mitchell misses 3-pt jump shot from 28 ft,98,107
4,0:41.0,Defensive rebound by Z. LaVine,,98,107
4,0:33.0,Z. LaVine makes 2-pt layup from 2 ft,,100,107
4,0:33.0,Shooting foul by R. Gobert (drawn by Z. LaVine),,100,107
4,0:33.0,Z. LaVine misses free throw 1 of 1,,100,107
4,0:32.0,,Defensive rebound by R. Gobert,100,107
4,0:32.0,,Personal foul by W. Carter (drawn by R. Gobert),100,107
4,0:32.0,,R. Gobert makes free throw 1 of 2,100,108
4,0:32.0,,D. Favors enters the game for K. Korver,100,108
4,0:32.0,,R. Gobert misses free throw 2 of 2,100,108
4,0:31.0,Defensive rebound by W. Carter,,100,108
4,0:24.0,Z. LaVine makes 2-pt dunk from 2 ft,,102,108
4,0:23.0,,Personal foul by K. Dunn (drawn by D. Mitchell),102,108
4,0:23.0,S. Harrison enters the game for K. Dunn,,102,108
4,0:23.0,,D. Mitchell makes free throw 1 of 2,102,109
4,0:23.0,,D. Mitchell makes free throw 2 of 2,102,110
4,0:20.0,Z. LaVine misses 3-pt jump shot from 26 ft,,102,110
4,0:16.0,,Defensive rebound by R. Gobert,102,110
