QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
1,11:37.0,P. Siakam misses 3-pt jump shot from 24 ft,,0,0
1,11:34.0,,Defensive rebound by J. Butler,0,0
1,11:26.0,,J. Butler misses 3-pt jump shot from 23 ft,0,0
1,11:21.0,,Offensive rebound by J. Butler,0,0
1,11:10.0,,B. Simmons misses 2-pt hook shot from 4 ft,0,0
1,11:09.0,,Offensive rebound by Team,0,0
1,11:09.0,Loose ball foul by M. Gasol (drawn by J. Embiid),,0,0
1,10:57.0,,T. Harris misses 2-pt layup from 2 ft,0,0
1,10:54.0,Defensive rebound by K. Leonard,,0,0
1,10:52.0,Shooting foul by J. Embiid (drawn by P. Siakam),,0,0
1,10:52.0,P. Siakam makes free throw 1 of 2,,1,0
1,10:52.0,P. Siakam makes free throw 2 of 2,,2,0
1,10:36.0,,J. Butler makes 2-pt layup from 2 ft,2,2
1,10:21.0,K. Lowry makes 2-pt layup from 2 ft,,4,2
1,10:03.0,,B. Simmons makes 2-pt layup at rim (assist by J. Embiid),4,4
1,9:58.0,K. Lowry makes 3-pt jump shot from 26 ft,,7,4
1,9:57.0,,Philadelphia full timeout,7,4
1,9:48.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),7,7
1,9:30.0,M. Gasol makes 2-pt jump shot from 10 ft (assist by K. Lowry),,9,7
1,9:05.0,,J. Embiid misses 2-pt jump shot from 8 ft,9,7
1,9:03.0,Defensive rebound by K. Leonard,,9,7
1,8:58.0,Turnover by K. Leonard (lost ball; steal by T. Harris),,9,7
1,8:53.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by T. Harris),9,9
1,8:40.0,P. Siakam misses 3-pt jump shot from 23 ft,,9,9
1,8:38.0,,Defensive rebound by T. Harris,9,9
1,8:22.0,,T. Harris misses 3-pt jump shot from 26 ft,9,9
1,8:19.0,Defensive rebound by M. Gasol,,9,9
1,8:12.0,P. Siakam misses 3-pt jump shot from 24 ft,,9,9
1,8:08.0,,Defensive rebound by J. Embiid,9,9
1,7:54.0,,T. Harris makes 2-pt jump shot from 5 ft,9,11
1,7:32.0,K. Leonard makes 2-pt jump shot from 10 ft (assist by P. Siakam),,11,11
1,7:17.0,,Turnover by J. Butler (lost ball; steal by P. Siakam),11,11
1,7:11.0,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),,13,11
1,6:56.0,,Personal foul by K. Lowry (drawn by J. Redick),13,11
1,6:56.0,,J. Ennis enters the game for J. Embiid,13,11
1,6:56.0,,G. Monroe enters the game for J. Redick,13,11
1,6:44.0,,B. Simmons misses 2-pt hook shot from 5 ft,13,11
1,6:42.0,Defensive rebound by M. Gasol,,13,11
1,6:35.0,K. Lowry makes 2-pt jump shot from 11 ft,,15,11
1,6:14.0,,J. Ennis misses 3-pt jump shot from 24 ft,15,11
1,6:11.0,Defensive rebound by K. Leonard,,15,11
