QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
1,11:43.0,,H. Whiteside misses 2-pt layup from 6 ft,0,0
1,11:39.0,Defensive rebound by S. Ibaka,,0,0
1,11:26.0,S. Ibaka makes 2-pt jump shot from 13 ft (assist by F. VanVleet),,2,0
1,11:11.0,,J. Richardson misses 2-pt jump shot from 16 ft,2,0
1,11:08.0,,Offensive rebound by H. Whiteside,2,0
1,11:07.0,,H. Whiteside makes 2-pt layup from 3 ft,2,2
1,10:44.0,D. Green misses 3-pt jump shot from 22 ft,,2,2
1,10:40.0,,Defensive rebound by H. Whiteside,2,2
1,10:34.0,,J. Winslow makes 2-pt jump shot from 7 ft,2,4
1,10:14.0,S. Ibaka misses 2-pt jump shot from 16 ft,,2,4
1,10:11.0,,Defensive rebound by J. Winslow,2,4
1,10:05.0,,J. Winslow misses 2-pt jump shot from 6 ft,2,4
1,10:02.0,Defensive rebound by P. Siakam,,2,4
1,9:55.0,P. Siakam makes 2-pt jump shot from 6 ft,,4,4
1,9:39.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by R. McGruder),4,7
1,9:26.0,Offensive foul by S. Ibaka (drawn by J. Winslow),,4,7
1,9:26.0,Turnover by S. Ibaka (offensive foul),,4,7
1,9:06.0,,H. Whiteside makes 2-pt dunk from 4 ft (assist by J. Richardson),4,9
1,8:54.0,S. Ibaka misses 2-pt jump shot from 19 ft,,4,9
1,8:50.0,,Defensive rebound by H. Whiteside,4,9
1,8:44.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by J. Richardson),4,11
1,8:37.0,Toronto full timeout,,4,11
1,8:27.0,K. Leonard makes 2-pt layup from 5 ft,,6,11
1,8:06.0,,H. Whiteside misses 2-pt jump shot from 10 ft,6,11
1,8:02.0,,Offensive rebound by J. Johnson,6,11
1,8:00.0,,R. McGruder misses 3-pt jump shot from 26 ft,6,11
1,7:57.0,Defensive rebound by P. Siakam,,6,11
1,7:47.0,D. Green makes 2-pt layup from 4 ft (assist by K. Leonard),,8,11
