QUARTER,TIME_REMAINING,WASHINGTON_ACTION,UTAH_ACTION,WASHINGTON_SCORE,UTAH_SCORE
1,0:21.0,C. Randle enters the game for B. Beal,,29,37
1,0:21.0,J. Parker makes free throw 2 of 2,,30,37
1,0:00.0,,J. Ingles makes 2-pt jump shot from 18 ft,30,39
2,11:45.0,C. Randle misses 2-pt layup from 3 ft (block by E. Udoh),,30,39
2,11:42.0,,Defensive rebound by J. Crowder,30,39
2,11:36.0,,K. Korver misses 3-pt jump shot from 26 ft,30,39
2,11:32.0,Defensive rebound by B. Portis,,30,39
2,11:32.0,Personal foul by K. Korver (drawn by J. McRae),,30,39
2,11:32.0,,R. Rubio enters the game for R. Neto,30,39
2,11:19.0,J. Parker misses 2-pt jump shot from 15 ft,,30,39
2,11:16.0,,Defensive rebound by E. Udoh,30,39
2,10:59.0,,J. Crowder makes 2-pt jump shot from 21 ft (assist by K. Korver),30,41
2,10:55.0,Personal foul by J. Ingles (drawn by J. Parker),,30,41
2,10:55.0,,D. Mitchell enters the game for J. Ingles,30,41
2,10:47.0,B. Portis makes 3-pt jump shot from 25 ft (assist by C. Randle),,33,41
2,10:29.0,,Turnover by R. Rubio (bad pass; steal by B. Portis),33,41
2,10:28.0,Turnover by J. McRae (lost ball; steal by R. Rubio),,33,41
2,10:23.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Rubio),33,44
2,10:09.0,B. Portis makes 2-pt hook shot from 4 ft (assist by J. Parker),,35,44
2,10:09.0,,R. Gobert enters the game for E. Udoh,35,44
2,9:56.0,,K. Korver misses 2-pt jump shot from 21 ft,35,44
2,9:55.0,Defensive rebound by B. Portis,,35,44
2,9:34.0,J. McRae misses 3-pt jump shot from 25 ft,,35,44
2,9:31.0,,Defensive rebound by R. Gobert,35,44
2,9:24.0,,Turnover by K. Korver (bad pass; steal by J. Parker),35,44
2,9:17.0,J. Parker makes 2-pt dunk from 2 ft (assist by S. Dekker),,37,44
2,9:03.0,,Personal foul by C. Randle (drawn by D. Mitchell),37,44
2,9:03.0,,R. O'Neale enters the game for K. Korver,37,44
2,8:56.0,,D. Mitchell makes 2-pt layup from 3 ft,37,46
2,8:54.0,Washington full timeout,,37,46
2,8:54.0,,T. Sefolosha enters the game for J. Crowder,37,46
2,8:39.0,C. Randle misses 2-pt hook shot from 6 ft,,37,46
2,8:37.0,,Defensive rebound by R. Gobert,37,46
2,8:30.0,,Turnover by R. Rubio (bad pass; steal by B. Portis),37,46
2,8:25.0,J. Parker makes 2-pt dunk from 1 ft (assist by J. McRae),,39,46
2,8:10.0,,Offensive foul by R. O'Neale (drawn by J. McRae),39,46
2,8:10.0,,Turnover by R. O'Neale (offensive foul),39,46
2,7:49.0,Turnover by S. Dekker (out of bounds lost ball),,39,46
2,7:49.0,,K. Korver enters the game for R. O'Neale,39,46
2,7:32.0,,D. Mitchell makes 2-pt layup from 3 ft,39,48
2,7:32.0,T. Satoranský enters the game for C. Randle,,39,48
2,7:25.0,Turnover by S. Dekker (bad pass; steal by R. Rubio),,39,48
2,7:20.0,,R. Rubio makes 2-pt layup from 2 ft,39,50
2,7:15.0,Washington full timeout,,39,50
2,7:15.0,B. Beal enters the game for S. Dekker,,39,50
2,7:11.0,J. Parker makes 2-pt dunk from 1 ft (assist by T. Satoranský),,41,50
2,6:54.0,,R. Gobert misses 2-pt jump shot from 4 ft (block by B. Portis),41,50
2,6:53.0,Defensive rebound by B. Portis,,41,50
2,6:46.0,B. Portis makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,44,50
2,6:28.0,,D. Mitchell makes 3-pt jump shot from 26 ft,44,53
2,6:08.0,B. Portis misses 2-pt jump shot from 17 ft,,44,53
2,6:07.0,,Defensive rebound by T. Sefolosha,44,53
2,5:59.0,,T. Sefolosha makes 2-pt layup from 3 ft (assist by D. Mitchell),44,55
2,5:48.0,J. Parker misses 2-pt jump shot from 4 ft,,44,55
2,5:48.0,,Defensive rebound by K. Korver,44,55
2,5:37.0,,D. Mitchell makes 2-pt layup from 3 ft,44,57
2,5:26.0,Personal foul by R. Rubio (drawn by T. Satoranský),,44,57
2,5:26.0,T. Brown enters the game for J. McRae,,44,57
2,5:26.0,,J. Ingles enters the game for K. Korver,44,57
2,5:13.0,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),,46,57
2,5:04.0,,D. Mitchell makes 2-pt layup from 3 ft (assist by R. Gobert),46,59
2,4:53.0,B. Beal misses 2-pt jump shot from 16 ft,,46,59
2,4:48.0,,Defensive rebound by R. Gobert,46,59
2,4:42.0,,Turnover by D. Mitchell (bad pass; steal by T. Satoranský),46,59
2,4:38.0,B. Beal misses 3-pt jump shot from 24 ft,,46,59
2,4:35.0,,Defensive rebound by R. Gobert,46,59
2,4:31.0,,T. Sefolosha makes 2-pt dunk from 2 ft (assist by J. Ingles),46,61
2,4:30.0,Washington full timeout,,46,61
2,4:30.0,,R. Neto enters the game for R. Rubio,46,61
2,4:16.0,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,49,61
2,4:01.0,,Turnover by J. Ingles (step out of bounds),49,61
2,3:51.0,B. Portis makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,52,61
2,3:35.0,,Turnover by R. Neto (bad pass; steal by B. Beal),52,61
2,3:31.0,B. Beal makes 2-pt jump shot from 3 ft,,54,61
2,3:06.0,,J. Ingles misses 3-pt jump shot from 25 ft,54,61
2,3:03.0,Defensive rebound by T. Satoranský,,54,61
2,3:03.0,,J. Crowder enters the game for R. Neto,54,61
2,3:03.0,,R. Rubio enters the game for T. Sefolosha,54,61
2,2:43.0,B. Portis makes 3-pt jump shot from 27 ft (assist by T. Satoranský),,57,61
2,2:29.0,,R. Rubio makes 2-pt jump shot from 19 ft,57,63
2,2:19.0,B. Beal makes 2-pt jump shot from 23 ft,,59,63
2,2:05.0,,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),59,65
2,1:50.0,B. Portis misses 2-pt jump shot from 16 ft (block by R. Gobert),,59,65
2,1:49.0,Offensive rebound by Team,,59,65
2,1:45.0,J. Parker misses 3-pt jump shot from 23 ft,,59,65
2,1:42.0,,Defensive rebound by J. Ingles,59,65
2,1:33.0,,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),59,68
2,1:23.0,Shooting foul by J. Crowder (drawn by B. Beal),,59,68
2,1:23.0,B. Beal makes free throw 1 of 2,,60,68
2,1:23.0,T. Bryant enters the game for J. Parker,,60,68
2,1:23.0,B. Beal misses free throw 2 of 2,,60,68
2,1:22.0,,Defensive rebound by R. Gobert,60,68
2,1:08.0,,J. Ingles misses 3-pt jump shot from 24 ft,60,68
2,1:04.0,Defensive rebound by B. Portis,,60,68
2,0:57.0,T. Bryant misses 3-pt jump shot from 25 ft,,60,68
2,0:53.0,Offensive rebound by T. Brown,,60,68
2,0:52.0,T. Brown misses 2-pt layup from 2 ft (block by D. Mitchell),,60,68
2,0:52.0,,Defensive rebound by R. Gobert,60,68
2,0:46.0,,Personal foul by T. Bryant (drawn by R. Gobert),60,68
2,0:46.0,,T. Sefolosha enters the game for J. Crowder,60,68
2,0:38.0,,R. Rubio misses 3-pt jump shot from 23 ft,60,68
2,0:35.0,Defensive rebound by T. Bryant,,60,68
2,0:24.0,B. Portis makes 2-pt hook shot from 6 ft (assist by T. Bryant),,62,68
2,0:02.0,,R. Rubio makes 2-pt jump shot from 9 ft (assist by J. Ingles),62,70
2,0:00.0,Turnover by T. Bryant (bad pass; steal by R. Rubio),,62,70
3,11:51.0,Turnover by T. Brown (bad pass; steal by J. Crowder),,62,70
3,11:49.0,,J. Crowder makes 2-pt dunk from 2 ft,62,72
3,11:39.0,B. Portis misses 3-pt jump shot from 24 ft,,62,72
3,11:39.0,,Defensive rebound by Team,62,72
3,11:23.0,,R. Rubio misses 2-pt jump shot from 21 ft,62,72
3,11:20.0,Defensive rebound by T. Brown,,62,72
