QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
1,11:46.0,,R. Jackson misses 3-pt jump shot from 23 ft,0,0
1,11:41.0,,Offensive rebound by A. Drummond,0,0
1,11:38.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by A. Drummond),0,3
1,11:13.0,Turnover by J. Wall (lost ball; steal by A. Drummond),,0,3
1,11:08.0,,B. Griffin misses 2-pt layup from 2 ft,0,3
1,11:04.0,,Offensive rebound by B. Griffin,0,3
1,11:04.0,,B. Griffin misses 2-pt layup from 1 ft,0,3
1,11:04.0,Defensive rebound by B. Beal,,0,3
1,10:58.0,J. Wall misses 3-pt jump shot from 23 ft,,0,3
1,10:55.0,Offensive rebound by T. Bryant,,0,3
1,10:55.0,T. Bryant makes 2-pt layup at rim,,2,3
1,10:43.0,,B. Griffin misses 2-pt jump shot from 11 ft,2,3
1,10:40.0,Defensive rebound by J. Green,,2,3
1,10:36.0,T. Ariza misses 3-pt jump shot from 26 ft,,2,3
1,10:34.0,,Defensive rebound by A. Drummond,2,3
1,10:15.0,,R. Jackson misses 3-pt jump shot from 29 ft,2,3
1,10:11.0,Defensive rebound by T. Ariza,,2,3
1,10:03.0,B. Beal misses 2-pt layup from 7 ft,,2,3
1,10:01.0,,Defensive rebound by B. Brown,2,3
1,9:57.0,,B. Brown misses 2-pt jump shot from 8 ft,2,3
1,9:55.0,Defensive rebound by T. Ariza,,2,3
1,9:55.0,Personal foul by A. Drummond (drawn by B. Beal),,2,3
1,9:44.0,B. Beal makes 2-pt jump shot from 17 ft,,4,3
1,9:16.0,,B. Griffin misses 2-pt jump shot from 11 ft,4,3
1,9:13.0,Defensive rebound by T. Bryant,,4,3
1,9:09.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Green),,6,3
1,8:47.0,,R. Bullock misses 2-pt jump shot from 15 ft,6,3
1,8:43.0,Defensive rebound by T. Bryant,,6,3
1,8:36.0,Turnover by T. Bryant (out of bounds lost ball),,6,3
1,8:23.0,,Personal foul by B. Beal (drawn by R. Bullock),6,3
1,8:12.0,,A. Drummond makes 2-pt hook shot from 3 ft (assist by B. Griffin),6,5
1,7:57.0,B. Beal misses 3-pt jump shot from 25 ft,,6,5
1,7:56.0,,Defensive rebound by R. Jackson,6,5
1,7:44.0,,A. Drummond makes 2-pt hook shot from 1 ft (assist by B. Griffin),6,7
