QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
1,11:37.0,P. Gasol misses 2-pt jump shot from 8 ft,,0,0
1,11:35.0,,Defensive rebound by K. Towns,0,0
1,11:16.0,,T. Gibson misses 2-pt jump shot from 17 ft,0,0
1,11:14.0,,Offensive rebound by Team,0,0
1,11:12.0,,K. Towns misses 3-pt jump shot from 25 ft,0,0
1,11:09.0,Defensive rebound by P. Gasol,,0,0
1,11:01.0,L. Aldridge misses 2-pt layup from 2 ft,,0,0
1,10:59.0,Offensive rebound by L. Aldridge,,0,0
1,10:56.0,L. Aldridge misses 2-pt jump shot from 8 ft,,0,0
1,10:53.0,,Defensive rebound by T. Gibson,0,0
1,10:43.0,,J. Okogie misses 2-pt jump shot from 12 ft,0,0
1,10:40.0,Defensive rebound by P. Gasol,,0,0
1,10:32.0,D. White misses 2-pt jump shot from 10 ft,,0,0
1,10:30.0,,Defensive rebound by A. Wiggins,0,0
1,10:22.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Okogie),0,2
1,9:59.0,D. White makes 2-pt layup from 2 ft,,2,2
1,9:48.0,,T. Gibson misses 2-pt jump shot from 6 ft,2,2
1,9:46.0,Defensive rebound by R. Gay,,2,2
1,9:38.0,B. Forbes misses 2-pt jump shot from 6 ft,,2,2
1,9:36.0,,Defensive rebound by J. Okogie,2,2
1,9:32.0,,Turnover by J. Okogie (out of bounds lost ball),2,2
1,9:18.0,R. Gay makes 2-pt jump shot from 16 ft,,4,2
1,8:54.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by J. Teague),4,5
1,8:42.0,P. Gasol makes 2-pt jump shot from 13 ft (assist by R. Gay),,6,5
1,8:23.0,,Shooting foul by R. Gay (drawn by T. Gibson),6,5
1,8:23.0,,T. Gibson misses free throw 1 of 2,6,5
1,8:23.0,,Offensive rebound by Team,6,5
1,8:23.0,,T. Gibson makes free throw 2 of 2,6,6
1,8:11.0,B. Forbes misses 3-pt jump shot from 25 ft,,6,6
1,8:09.0,,Defensive rebound by J. Teague,6,6
1,8:07.0,,J. Okogie makes 2-pt dunk at rim (assist by J. Teague),6,8
1,8:07.0,San Antonio full timeout,,6,8
1,7:49.0,D. White makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,9,8
1,7:30.0,,A. Wiggins makes 2-pt jump shot from 19 ft (assist by J. Okogie),9,10
1,7:21.0,Shooting foul by K. Towns (drawn by L. Aldridge),,9,10
1,7:21.0,L. Aldridge makes free throw 1 of 2,,10,10
1,7:21.0,L. Aldridge makes free throw 2 of 2,,11,10
1,7:09.0,,Shooting foul by D. White (drawn by T. Gibson),11,10
1,7:09.0,,T. Gibson makes free throw 1 of 2,11,11
1,7:09.0,,T. Gibson misses free throw 2 of 2,11,11
1,7:07.0,Defensive rebound by P. Gasol,,11,11
1,6:51.0,R. Gay misses 2-pt layup from 1 ft,,11,11
1,6:49.0,,Defensive rebound by T. Gibson,11,11
1,6:34.0,,K. Towns misses 2-pt jump shot from 20 ft,11,11
1,6:32.0,Defensive rebound by R. Gay,,11,11
1,6:32.0,D. Bertāns enters the game for P. Gasol,,11,11
1,6:32.0,,D. Šarić enters the game for T. Gibson,11,11
1,6:25.0,Turnover by R. Gay (bad pass),,11,11
1,6:12.0,,J. Teague makes 3-pt jump shot from 26 ft (assist by K. Towns),11,14
1,6:00.0,D. White misses 2-pt jump shot from 19 ft,,11,14
1,5:59.0,Offensive rebound by L. Aldridge,,11,14
1,5:59.0,Shooting foul by J. Teague (drawn by L. Aldridge),,11,14
1,5:59.0,L. Aldridge makes free throw 1 of 2,,12,14
1,5:59.0,M. Belinelli enters the game for B. Forbes,,12,14
1,5:59.0,P. Mills enters the game for D. White,,12,14
1,5:59.0,,G. Dieng enters the game for J. Teague,12,14
1,5:59.0,,D. Rose enters the game for K. Towns,12,14
1,5:59.0,L. Aldridge makes free throw 2 of 2,,13,14
1,5:47.0,,J. Okogie misses 3-pt jump shot from 23 ft,13,14
1,5:46.0,Defensive rebound by Team,,13,14
1,5:46.0,,Loose ball foul by G. Dieng (drawn by D. Bertāns),13,14
1,5:33.0,L. Aldridge misses 2-pt jump shot from 12 ft,,13,14
1,5:30.0,,Defensive rebound by A. Wiggins,13,14
1,5:22.0,,G. Dieng makes 3-pt jump shot from 23 ft (assist by A. Wiggins),13,17
1,5:03.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,16,17
1,4:54.0,,Shooting foul by P. Mills (drawn by D. Rose),16,17
1,4:54.0,,D. Rose makes free throw 1 of 2,16,18
1,4:54.0,,D. Rose makes free throw 2 of 2,16,19
1,4:38.0,Personal foul by G. Dieng (drawn by L. Aldridge),,16,19
1,4:38.0,,K. Towns enters the game for G. Dieng,16,19
1,4:36.0,M. Belinelli makes 2-pt layup from 2 ft (assist by R. Gay),,18,19
1,4:26.0,,Offensive foul by K. Towns (drawn by L. Aldridge),18,19
1,4:26.0,,Turnover by K. Towns (offensive foul),18,19
1,4:26.0,D. White enters the game for R. Gay,,18,19
1,4:26.0,,T. Gibson enters the game for K. Towns,18,19
1,4:04.0,L. Aldridge misses 2-pt jump shot from 12 ft,,18,19
1,4:02.0,,Defensive rebound by D. Rose,18,19
1,3:52.0,,D. Šarić misses 2-pt jump shot from 4 ft (block by L. Aldridge),18,19
1,3:49.0,Defensive rebound by M. Belinelli,,18,19
1,3:46.0,M. Belinelli misses 3-pt jump shot from 25 ft,,18,19
1,3:43.0,,Defensive rebound by D. Šarić,18,19
1,3:37.0,,D. Rose misses 2-pt jump shot from 8 ft,18,19
1,3:34.0,Defensive rebound by D. White,,18,19
1,3:21.0,D. White makes 2-pt jump shot from 6 ft (assist by P. Mills),,20,19
1,3:03.0,,A. Wiggins misses 2-pt jump shot from 12 ft,20,19
1,3:00.0,Defensive rebound by L. Aldridge,,20,19
1,2:54.0,P. Mills misses 3-pt jump shot from 25 ft,,20,19
1,2:52.0,,Defensive rebound by D. Rose,20,19
1,2:48.0,,Shooting foul by D. Bertāns (drawn by T. Gibson),20,19
1,2:48.0,,Minnesota full timeout,20,19
1,2:48.0,J. Poeltl enters the game for L. Aldridge,,20,19
1,2:48.0,,A. Tolliver enters the game for J. Okogie,20,19
1,2:48.0,,T. Gibson makes free throw 1 of 2,20,20
1,2:48.0,,T. Gibson makes free throw 2 of 2,20,21
1,2:38.0,Personal foul by A. Tolliver (drawn by M. Belinelli),,20,21
1,2:38.0,M. Belinelli makes free throw 1 of 2,,21,21
1,2:38.0,B. Forbes enters the game for D. White,,21,21
1,2:38.0,M. Belinelli makes free throw 2 of 2,,22,21
1,2:25.0,,Shooting foul by J. Poeltl (drawn by D. Rose),22,21
1,2:25.0,,D. Rose makes free throw 1 of 2,22,22
1,2:25.0,,D. Rose makes free throw 2 of 2,22,23
1,2:00.0,Turnover by J. Poeltl (lost ball; steal by D. Šarić),,22,23
1,1:52.0,,D. Šarić misses 3-pt jump shot from 26 ft,22,23
1,1:48.0,Defensive rebound by J. Poeltl,,22,23
1,1:40.0,B. Forbes makes 2-pt jump shot from 9 ft,,24,23
1,1:29.0,,D. Rose misses 2-pt jump shot from 15 ft,24,23
1,1:29.0,,Offensive rebound by D. Šarić,24,23
1,1:23.0,,A. Wiggins misses 3-pt jump shot from 26 ft (block by D. Bertāns),24,23
1,1:20.0,,Offensive rebound by T. Gibson,24,23
1,1:19.0,,T. Gibson makes 2-pt layup from 1 ft,24,25
1,1:08.0,M. Belinelli misses 3-pt jump shot from 25 ft,,24,25
1,1:08.0,,Defensive rebound by D. Šarić,24,25
1,1:02.0,,Turnover by D. Rose (out of bounds lost ball),24,25
1,1:02.0,,J. Bayless enters the game for A. Tolliver,24,25
1,0:53.0,Turnover by M. Belinelli (lost ball; steal by J. Bayless),,24,25
1,0:49.0,,D. Šarić makes 2-pt layup at rim (assist by D. Rose),24,27
1,0:38.0,Personal foul by D. Šarić (drawn by B. Forbes),,24,27
1,0:38.0,B. Forbes makes free throw 1 of 2,,25,27
1,0:38.0,R. Gay enters the game for D. Bertāns,,25,27
1,0:38.0,B. Forbes makes free throw 2 of 2,,26,27
1,0:30.0,,D. Rose makes 2-pt jump shot from 8 ft,26,29
1,0:13.0,R. Gay makes 2-pt dunk from 2 ft,,28,29
1,0:03.0,,A. Wiggins makes 2-pt jump shot from 19 ft,28,31
2,11:42.0,,T. Gibson makes 2-pt layup from 1 ft,28,33
2,11:24.0,M. Belinelli misses 2-pt jump shot from 14 ft,,28,33
2,11:24.0,,Defensive rebound by D. Šarić,28,33
2,11:21.0,,Turnover by D. Šarić (lost ball; steal by R. Gay),28,33
2,11:17.0,R. Gay misses 2-pt jump shot from 10 ft,,28,33
2,11:15.0,,Defensive rebound by A. Tolliver,28,33
2,11:09.0,,D. Rose misses 2-pt jump shot from 13 ft,28,33
2,11:06.0,,Offensive rebound by T. Gibson,28,33
2,11:05.0,,Minnesota full timeout,28,33
2,11:05.0,L. Aldridge enters the game for M. Belinelli,,28,33
2,11:05.0,D. Bertāns enters the game for P. Mills,,28,33
2,11:05.0,D. White enters the game for J. Poeltl,,28,33
2,10:58.0,,J. Bayless misses 2-pt jump shot from 23 ft,28,33
2,10:56.0,Defensive rebound by D. Bertāns,,28,33
2,10:47.0,L. Aldridge misses 2-pt jump shot from 19 ft,,28,33
2,10:45.0,,Defensive rebound by A. Tolliver,28,33
2,10:38.0,,D. Rose misses 2-pt layup from 1 ft,28,33
2,10:38.0,,Offensive rebound by T. Gibson,28,33
2,10:34.0,,T. Gibson makes 2-pt layup from 1 ft,28,35
2,10:15.0,B. Forbes misses 2-pt jump shot from 6 ft,,28,35
2,10:09.0,Offensive rebound by L. Aldridge,,28,35
2,10:09.0,L. Aldridge makes 2-pt hook shot from 4 ft,,30,35
2,10:09.0,Shooting foul by T. Gibson (drawn by L. Aldridge),,30,35
2,10:09.0,L. Aldridge makes free throw 1 of 1,,31,35
2,9:50.0,,T. Gibson makes 2-pt jump shot from 18 ft (assist by D. Rose),31,37
2,9:41.0,B. Forbes misses 2-pt jump shot from 23 ft,,31,37
2,9:38.0,,Defensive rebound by D. Šarić,31,37
2,9:27.0,,D. Šarić misses 2-pt layup from 2 ft,31,37
2,9:25.0,Defensive rebound by D. White,,31,37
2,9:20.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by R. Gay),,34,37
2,9:03.0,,Shooting foul by D. White (drawn by D. Rose),34,37
2,9:03.0,,D. Rose makes free throw 1 of 2,34,38
2,9:03.0,M. Belinelli enters the game for D. Bertāns,,34,38
2,9:03.0,,K. Towns enters the game for T. Gibson,34,38
2,9:03.0,,D. Rose makes free throw 2 of 2,34,39
2,8:48.0,L. Aldridge misses 2-pt jump shot from 7 ft,,34,39
2,8:44.0,,Defensive rebound by A. Tolliver,34,39
2,8:37.0,,Turnover by K. Towns (bad pass),34,39
2,8:22.0,D. White makes 2-pt layup from 2 ft,,36,39
2,8:22.0,Shooting foul by A. Tolliver (drawn by D. White),,36,39
2,8:22.0,D. White makes free throw 1 of 1,,37,39
2,8:04.0,,K. Towns makes 2-pt dunk from 2 ft (assist by D. Rose),37,41
2,7:48.0,R. Gay makes 2-pt jump shot from 9 ft (assist by M. Belinelli),,39,41
2,7:35.0,,D. Rose misses 2-pt jump shot from 9 ft,39,41
2,7:32.0,,Offensive rebound by D. Šarić,39,41
2,7:26.0,,Shooting foul by L. Aldridge (drawn by K. Towns),39,41
2,7:26.0,,K. Towns makes free throw 1 of 2,39,42
2,7:26.0,,J. Okogie enters the game for J. Bayless,39,42
2,7:26.0,,J. Teague enters the game for D. Rose,39,42
2,7:26.0,,A. Wiggins enters the game for A. Tolliver,39,42
2,7:26.0,,K. Towns makes free throw 2 of 2,39,43
2,7:15.0,Personal foul by J. Okogie (drawn by L. Aldridge),,39,43
2,7:07.0,R. Gay misses 3-pt jump shot from 26 ft,,39,43
2,7:03.0,Offensive rebound by D. White,,39,43
2,7:02.0,B. Forbes misses 3-pt jump shot from 25 ft,,39,43
2,7:02.0,,Defensive rebound by K. Towns,39,43
2,6:43.0,,K. Towns makes 2-pt hook shot from 1 ft (assist by J. Okogie),39,45
2,6:29.0,M. Belinelli misses 2-pt jump shot from 21 ft,,39,45
2,6:29.0,,Defensive rebound by J. Okogie,39,45
2,6:14.0,,K. Towns misses 3-pt jump shot from 26 ft,39,45
2,6:13.0,Defensive rebound by D. White,,39,45
2,6:02.0,Turnover by L. Aldridge (traveling),,39,45
2,6:02.0,D. Bertāns enters the game for B. Forbes,,39,45
2,6:02.0,P. Mills enters the game for R. Gay,,39,45
2,5:40.0,,Turnover by A. Wiggins (lost ball; steal by M. Belinelli),39,45
2,5:36.0,D. Bertāns makes 2-pt layup from 3 ft (assist by P. Mills),,41,45
2,5:36.0,Shooting foul by J. Okogie (drawn by D. Bertāns),,41,45
2,5:36.0,D. Bertāns misses free throw 1 of 1,,41,45
2,5:33.0,,Defensive rebound by K. Towns,41,45
2,5:18.0,,A. Wiggins misses 2-pt jump shot from 21 ft,41,45
2,5:16.0,Defensive rebound by Team,,41,45
2,5:16.0,,Loose ball foul by D. Šarić (drawn by L. Aldridge),41,45
2,5:16.0,L. Aldridge makes free throw 1 of 2,,42,45
2,5:16.0,,A. Tolliver enters the game for D. Šarić,42,45
2,5:16.0,L. Aldridge makes free throw 2 of 2,,43,45
2,5:11.0,,Personal foul by P. Mills (drawn by J. Teague),43,45
2,5:11.0,J. Poeltl enters the game for L. Aldridge,,43,45
2,5:05.0,,J. Teague misses 2-pt jump shot from 14 ft,43,45
2,5:03.0,Defensive rebound by M. Belinelli,,43,45
