QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MILWAUKEE_ACTION,NEW ORLEANS_SCORE,MILWAUKEE_SCORE
1,11:45.0,J. Holiday misses 2-pt jump shot from 7 ft,,0,0
1,11:41.0,,Defensive rebound by G. Antetokounmpo,0,0
1,11:25.0,,K. Middleton misses 2-pt jump shot from 22 ft,0,0
1,11:22.0,Defensive rebound by A. Davis,,0,0
1,11:16.0,A. Davis makes 2-pt jump shot from 11 ft (assist by T. Frazier),,2,0
1,11:03.0,,Turnover by B. Lopez (bad pass; steal by A. Davis),2,0
1,10:59.0,A. Davis makes 2-pt layup from 1 ft,,4,0
1,10:49.0,,B. Lopez misses 3-pt jump shot from 27 ft,4,0
1,10:46.0,Defensive rebound by T. Frazier,,4,0
1,10:42.0,D. Miller makes 3-pt jump shot from 23 ft (assist by J. Holiday),,7,0
1,10:42.0,,Milwaukee full timeout,7,0
1,10:27.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,7,2
1,10:27.0,,Shooting foul by S. Hill (drawn by G. Antetokounmpo),7,2
1,10:27.0,,G. Antetokounmpo makes free throw 1 of 1,7,3
1,10:06.0,J. Holiday misses 3-pt jump shot from 26 ft,,7,3
1,10:03.0,,Defensive rebound by E. Bledsoe,7,3
1,9:58.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,7,3
1,9:55.0,Defensive rebound by A. Davis,,7,3
1,9:53.0,Turnover by T. Frazier (bad pass),,7,3
1,9:37.0,,G. Antetokounmpo misses 2-pt hook shot from 1 ft,7,3
1,9:37.0,Defensive rebound by A. Davis,,7,3
1,9:29.0,D. Miller misses 3-pt jump shot from 28 ft,,7,3
1,9:25.0,,Defensive rebound by E. Bledsoe,7,3
1,9:19.0,,E. Bledsoe makes 2-pt layup from 1 ft,7,5
1,9:02.0,S. Hill makes 3-pt jump shot from 28 ft (assist by J. Holiday),,10,5
1,8:49.0,,M. Brogdon misses 2-pt layup from 2 ft,10,5
1,8:49.0,Defensive rebound by A. Davis,,10,5
1,8:43.0,Turnover by A. Davis (bad pass; steal by B. Lopez),,10,5
1,8:33.0,,B. Lopez makes 3-pt jump shot from 26 ft,10,8
1,8:20.0,Turnover by T. Frazier (bad pass; steal by M. Brogdon),,10,8
1,8:15.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,10,8
1,8:13.0,Defensive rebound by T. Frazier,,10,8
1,8:10.0,Turnover by D. Miller (bad pass; steal by K. Middleton),,10,8
1,8:04.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),10,10
1,7:58.0,New Orleans full timeout,,10,10
1,7:58.0,,S. Brown enters the game for M. Brogdon,10,10
1,7:49.0,A. Davis makes 3-pt jump shot from 27 ft (assist by J. Holiday),,13,10
1,7:28.0,,K. Middleton makes 2-pt jump shot from 19 ft,13,12
1,7:17.0,A. Davis misses 2-pt jump shot from 19 ft,,13,12
1,7:15.0,,Defensive rebound by S. Brown,13,12
1,6:58.0,,K. Middleton makes 2-pt layup from 1 ft,13,14
1,6:43.0,D. Miller makes 3-pt jump shot from 27 ft (assist by A. Davis),,16,14
1,6:21.0,,B. Lopez makes 2-pt jump shot from 9 ft,16,16
1,6:13.0,J. Holiday misses 3-pt jump shot from 25 ft,,16,16
1,6:11.0,,Defensive rebound by E. Bledsoe,16,16
1,5:59.0,,E. Bledsoe misses 2-pt layup from 3 ft (block by A. Davis),16,16
1,5:55.0,,Offensive rebound by S. Brown,16,16
1,5:53.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by S. Brown),16,18
1,5:37.0,A. Davis makes 3-pt jump shot from 28 ft (assist by J. Holiday),,19,18
1,5:26.0,,Turnover by K. Middleton (lost ball; steal by J. Holiday),19,18
1,5:21.0,Turnover by T. Frazier (bad pass; steal by K. Middleton),,19,18
1,5:21.0,,Personal foul by T. Frazier (drawn by B. Lopez),19,18
1,5:21.0,E. Moore enters the game for T. Frazier,,19,18
1,5:21.0,,G. Hill enters the game for G. Antetokounmpo,19,18
1,5:21.0,,D. Wilson enters the game for E. Bledsoe,19,18
1,5:05.0,,K. Middleton makes 2-pt jump shot from 18 ft (assist by G. Hill),19,20
1,4:56.0,D. Miller makes 3-pt jump shot from 26 ft (assist by S. Hill),,22,20
