QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
1,11:43.0,,Turnover by A. Wiggins (out of bounds lost ball),0,0
1,11:23.0,M. Conley misses 2-pt layup from 7 ft (block by A. Wiggins),,0,0
1,11:20.0,,Defensive rebound by J. Bayless,0,0
1,11:13.0,,A. Wiggins misses 2-pt layup from 2 ft,0,0
1,11:11.0,Defensive rebound by M. Gasol,,0,0
1,10:59.0,Turnover by J. Holiday (bad pass; steal by A. Wiggins),,0,0
1,10:49.0,,T. Gibson makes 2-pt layup from 5 ft,0,2
1,10:31.0,J. Holiday misses 2-pt jump shot from 19 ft,,0,2
1,10:28.0,Offensive rebound by M. Gasol,,0,2
1,10:25.0,Turnover by K. Anderson (lost ball; steal by J. Okogie),,0,2
1,10:24.0,Clear path foul by J. Okogie,,0,2
1,10:24.0,,J. Okogie misses clear path free throw 1 of 2,0,2
1,10:24.0,,Offensive rebound by Team,0,2
1,10:24.0,,J. Okogie makes clear path free throw 2 of 2,0,3
1,10:11.0,,J. Bayless misses 2-pt jump shot from 10 ft,0,3
1,10:09.0,Defensive rebound by J. Jackson,,0,3
1,9:59.0,M. Gasol misses 2-pt layup from 4 ft,,0,3
1,9:58.0,Offensive rebound by Team,,0,3
1,9:58.0,,Loose ball foul by K. Towns (drawn by M. Gasol),0,3
1,9:50.0,J. Jackson misses 2-pt hook shot from 6 ft,,0,3
1,9:46.0,,Defensive rebound by T. Gibson,0,3
1,9:37.0,,K. Towns misses 3-pt jump shot from 26 ft,0,3
1,9:35.0,Defensive rebound by J. Holiday,,0,3
1,9:31.0,Offensive foul by K. Anderson (drawn by J. Okogie),,0,3
1,9:31.0,Turnover by K. Anderson (offensive foul),,0,3
1,9:31.0,B. Caboclo enters the game for K. Anderson,,0,3
1,9:10.0,,J. Okogie makes 2-pt jump shot from 14 ft (assist by J. Bayless),0,5
1,8:58.0,Personal foul by K. Towns (drawn by J. Jackson),,0,5
1,8:58.0,,G. Dieng enters the game for K. Towns,0,5
1,8:54.0,M. Conley makes 3-pt jump shot from 23 ft (assist by B. Caboclo),,3,5
1,8:41.0,,A. Wiggins makes 2-pt jump shot from 14 ft (assist by G. Dieng),3,7
1,8:26.0,Turnover by J. Holiday (traveling),,3,7
1,8:17.0,,A. Wiggins misses 2-pt jump shot from 16 ft,3,7
1,8:13.0,Defensive rebound by M. Gasol,,3,7
1,8:08.0,Offensive foul by J. Jackson (drawn by T. Gibson),,3,7
1,8:08.0,Turnover by J. Jackson (offensive foul),,3,7
1,7:56.0,,T. Gibson misses 2-pt hook shot from 3 ft,3,7
1,7:51.0,Defensive rebound by J. Jackson,,3,7
1,7:41.0,J. Holiday misses 2-pt jump shot from 20 ft,,3,7
1,7:39.0,,Defensive rebound by A. Wiggins,3,7
1,7:31.0,,J. Bayless misses 3-pt jump shot from 26 ft,3,7
1,7:28.0,Defensive rebound by M. Gasol,,3,7
1,7:22.0,M. Conley makes 3-pt jump shot from 26 ft,,6,7
1,7:01.0,,A. Wiggins misses 2-pt layup from 10 ft (block by B. Caboclo),6,7
1,6:59.0,Defensive rebound by J. Jackson,,6,7
1,6:47.0,Turnover by J. Jackson (lost ball; steal by T. Gibson),,6,7
1,6:42.0,,A. Wiggins misses 2-pt layup from 3 ft (block by B. Caboclo),6,7
1,6:37.0,Defensive rebound by M. Conley,,6,7
1,6:24.0,M. Gasol misses 2-pt jump shot from 13 ft,,6,7
1,6:21.0,,Defensive rebound by J. Okogie,6,7
1,6:11.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by G. Dieng),6,9
1,6:10.0,Memphis full timeout,,6,9
1,6:10.0,J. Green enters the game for J. Jackson,,6,9
1,6:10.0,,D. Šarić enters the game for T. Gibson,6,9
1,5:58.0,M. Gasol makes 2-pt jump shot from 9 ft (assist by M. Conley),,8,9
1,5:43.0,,Shooting foul by B. Caboclo (drawn by A. Wiggins),8,9
1,5:43.0,,A. Wiggins makes free throw 1 of 2,8,10
1,5:43.0,,A. Wiggins makes free throw 2 of 2,8,11
1,5:29.0,Personal foul by G. Dieng (drawn by M. Gasol),,8,11
1,5:17.0,J. Holiday misses 2-pt jump shot from 11 ft,,8,11
1,5:15.0,,Defensive rebound by D. Šarić,8,11
1,5:01.0,,G. Dieng makes 2-pt hook shot from 6 ft (assist by D. Šarić),8,13
1,4:49.0,J. Holiday misses 2-pt jump shot from 13 ft,,8,13
1,4:45.0,Offensive rebound by M. Conley,,8,13
1,4:38.0,B. Caboclo misses 3-pt jump shot from 23 ft,,8,13
1,4:35.0,,Defensive rebound by J. Bayless,8,13
1,4:23.0,,J. Okogie misses 3-pt jump shot from 24 ft,8,13
1,4:21.0,Defensive rebound by B. Caboclo,,8,13
1,4:14.0,M. Conley makes 2-pt jump shot from 19 ft,,10,13
1,4:14.0,J. Carter enters the game for M. Conley,,10,13
1,4:14.0,S. Mack enters the game for J. Holiday,,10,13
1,4:14.0,,L. Deng enters the game for J. Okogie,10,13
1,3:53.0,,A. Wiggins makes 2-pt dunk at rim (assist by G. Dieng),10,15
1,3:25.0,S. Mack misses 2-pt jump shot from 19 ft,,10,15
1,3:23.0,,Defensive rebound by G. Dieng,10,15
1,3:11.0,,Shooting foul by M. Gasol (drawn by G. Dieng),10,15
1,3:11.0,,G. Dieng makes free throw 1 of 3,10,16
1,3:11.0,,G. Dieng makes free throw 2 of 3,10,17
1,3:11.0,J. Noah enters the game for M. Gasol,,10,17
1,3:11.0,,I. Canaan enters the game for J. Bayless,10,17
1,3:11.0,,G. Dieng makes free throw 3 of 3,10,18
1,2:48.0,S. Mack misses 2-pt jump shot from 15 ft,,10,18
1,2:45.0,,Defensive rebound by A. Wiggins,10,18
1,2:37.0,,A. Wiggins misses 2-pt jump shot from 19 ft,10,18
1,2:33.0,Defensive rebound by J. Green,,10,18
1,2:28.0,B. Caboclo misses 3-pt jump shot from 27 ft,,10,18
1,2:25.0,Offensive rebound by J. Noah,,10,18
1,2:12.0,Turnover by J. Carter (bad pass; steal by D. Šarić),,10,18
1,2:08.0,,Personal foul by J. Green (drawn by D. Šarić),10,18
1,2:08.0,,Minnesota full timeout,10,18
1,2:00.0,,Turnover by I. Canaan (bad pass; steal by J. Noah),10,18
1,1:57.0,Shooting foul by D. Šarić (drawn by J. Carter),,10,18
1,1:57.0,J. Carter misses free throw 1 of 2,,10,18
1,1:57.0,Offensive rebound by Team,,10,18
1,1:57.0,J. Carter makes free throw 2 of 2,,11,18
1,1:39.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by A. Wiggins),11,21
1,1:17.0,Turnover by J. Green (lost ball; steal by D. Šarić),,11,21
1,1:17.0,,Personal foul by J. Green (drawn by L. Deng),11,21
1,1:17.0,,L. Deng makes free throw 1 of 2,11,22
1,1:17.0,J. Jackson enters the game for J. Green,,11,22
