QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
1,11:43.0,J. Green makes 2-pt hook shot from 7 ft,,2,0
1,11:27.0,,A. Žižić misses 2-pt layup from 2 ft,2,0
1,11:26.0,,Offensive rebound by A. Žižić,2,0
1,11:24.0,,A. Žižić makes 2-pt layup from 1 ft,2,2
1,10:59.0,T. Satoranský misses 2-pt layup from 1 ft,,2,2
1,10:57.0,,Defensive rebound by C. Osman,2,2
1,10:45.0,,C. Osman misses 2-pt layup from 1 ft,2,2
1,10:41.0,Defensive rebound by J. Green,,2,2
1,10:36.0,T. Ariza misses 3-pt jump shot from 22 ft,,2,2
1,10:33.0,,Defensive rebound by A. Žižić,2,2
1,10:22.0,,C. Sexton makes 2-pt jump shot from 12 ft (assist by C. Osman),2,4
1,10:12.0,Personal foul by C. Osman (drawn by J. Green),,2,4
1,10:05.0,Turnover by T. Ariza (bad pass; steal by C. Osman),,2,4
1,9:43.0,,A. Žižić misses 2-pt jump shot from 8 ft,2,4
1,9:42.0,,Offensive rebound by A. Žižić,2,4
1,9:41.0,,A. Žižić makes 2-pt layup from 1 ft,2,6
1,9:26.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,5,6
1,9:03.0,,A. Žižić makes 2-pt dunk at rim (assist by C. Osman),5,8
1,8:42.0,T. Bryant misses 2-pt jump shot from 10 ft,,5,8
1,8:40.0,,Defensive rebound by A. Žižić,5,8
1,8:27.0,,R. Hood makes 2-pt jump shot from 21 ft (assist by C. Sexton),5,10
1,8:08.0,B. Beal misses 2-pt jump shot from 14 ft,,5,10
1,8:06.0,,Defensive rebound by C. Osman,5,10
1,7:56.0,,R. Hood misses 3-pt jump shot from 23 ft,5,10
1,7:54.0,Defensive rebound by T. Ariza,,5,10
1,7:50.0,Shooting foul by R. Hood (drawn by B. Beal),,5,10
1,7:50.0,B. Beal makes free throw 1 of 2,,6,10
1,7:50.0,B. Beal makes free throw 2 of 2,,7,10
1,7:35.0,,C. Sexton misses 3-pt jump shot from 25 ft,7,10
1,7:31.0,Defensive rebound by T. Bryant,,7,10
1,7:23.0,B. Beal misses 2-pt layup from 2 ft,,7,10
1,7:20.0,Offensive rebound by B. Beal,,7,10
1,7:18.0,B. Beal misses 3-pt jump shot from 24 ft,,7,10
1,7:15.0,,Defensive rebound by A. Burks,7,10
1,7:06.0,,R. Hood misses 2-pt jump shot from 10 ft,7,10
1,7:06.0,,Offensive rebound by Team,7,10
1,7:06.0,Loose ball foul by J. Green (drawn by A. Žižić),,7,10
1,6:58.0,,A. Burks misses 3-pt jump shot from 27 ft,7,10
1,6:56.0,Defensive rebound by T. Bryant,,7,10
1,6:51.0,B. Beal makes 3-pt jump shot from 28 ft (assist by T. Satoranský),,10,10
1,6:51.0,Shooting foul by C. Sexton (drawn by B. Beal),,10,10
1,6:51.0,,Cleveland full timeout,10,10
1,6:51.0,B. Beal makes free throw 1 of 1,,11,10
1,6:36.0,,A. Žižić misses 2-pt layup from 2 ft,11,10
1,6:31.0,Defensive rebound by T. Bryant,,11,10
1,6:30.0,Turnover by T. Bryant (bad pass; steal by C. Osman),,11,10
1,6:26.0,,C. Osman makes 2-pt dunk at rim,11,12
1,6:14.0,T. Ariza makes 2-pt jump shot from 16 ft (assist by B. Beal),,13,12
1,5:56.0,,C. Sexton misses 3-pt jump shot from 28 ft,13,12
1,5:52.0,Defensive rebound by T. Ariza,,13,12
1,5:45.0,J. Green makes 2-pt jump shot from 5 ft (assist by T. Ariza),,15,12
1,5:34.0,,Turnover by C. Osman (bad pass),15,12
1,5:17.0,J. Green misses 2-pt jump shot from 15 ft,,15,12
1,5:14.0,,Defensive rebound by C. Sexton,15,12
1,5:10.0,,C. Sexton makes 2-pt layup at rim,15,14
1,5:00.0,T. Ariza makes 2-pt jump shot from 21 ft,,17,14
1,4:31.0,,C. Osman misses 3-pt jump shot from 26 ft,17,14
