QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA LAKERS_ACTION,PHILADELPHIA_SCORE,LA LAKERS_SCORE
1,11:45.0,,Turnover by I. Zubac (bad pass; steal by J. Butler),0,0
1,11:41.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),,2,0
1,11:21.0,,R. Rondo makes 2-pt jump shot from 8 ft,2,2
1,10:57.0,J. Butler misses 3-pt jump shot from 25 ft,,2,2
1,10:53.0,,Defensive rebound by M. Beasley,2,2
1,10:46.0,,Turnover by I. Zubac (traveling),2,2
1,10:40.0,J. Embiid misses 3-pt jump shot from 26 ft,,2,2
1,10:37.0,Offensive rebound by W. Chandler,,2,2
1,10:31.0,J. Redick makes 3-pt jump shot from 24 ft (assist by W. Chandler),,5,2
1,10:20.0,,B. Ingram misses 2-pt jump shot from 17 ft (block by B. Simmons),5,2
1,10:17.0,Defensive rebound by W. Chandler,,5,2
1,10:08.0,B. Simmons makes 2-pt jump shot from 8 ft,,7,2
1,10:08.0,Shooting foul by B. Ingram (drawn by B. Simmons),,7,2
1,10:08.0,B. Simmons makes free throw 1 of 1,,8,2
1,9:58.0,,Turnover by R. Rondo (bad pass),8,2
1,9:41.0,Shooting foul by I. Zubac (drawn by J. Embiid),,8,2
1,9:41.0,J. Embiid makes free throw 1 of 2,,9,2
1,9:41.0,J. Embiid makes free throw 2 of 2,,10,2
1,9:29.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,10,2
1,9:25.0,Defensive rebound by B. Simmons,,10,2
1,9:24.0,J. Butler makes 2-pt dunk from 2 ft (assist by B. Simmons),,12,2
1,9:23.0,,LA Lakers full timeout,12,2
1,9:03.0,,M. Beasley misses 2-pt jump shot from 5 ft,12,2
1,9:00.0,Defensive rebound by J. Embiid,,12,2
1,8:55.0,J. Embiid makes 2-pt jump shot from 15 ft (assist by J. Butler),,14,2
1,8:42.0,,B. Ingram misses 2-pt layup from 2 ft,14,2
1,8:37.0,,Offensive rebound by B. Ingram,14,2
1,8:37.0,,B. Ingram makes 2-pt layup from 1 ft,14,4
1,8:24.0,J. Embiid misses 2-pt jump shot from 16 ft,,14,4
1,8:22.0,Offensive rebound by Team,,14,4
1,8:16.0,Turnover by J. Embiid (bad pass; steal by M. Beasley),,14,4
1,8:12.0,,R. Rondo misses 2-pt layup from 1 ft (block by J. Embiid),14,4
1,8:09.0,Defensive rebound by W. Chandler,,14,4
1,8:08.0,B. Simmons makes 2-pt dunk from 2 ft (assist by W. Chandler),,16,4
1,7:49.0,,M. Beasley misses 2-pt layup from 3 ft,16,4
1,7:45.0,,Offensive rebound by M. Beasley,16,4
1,7:45.0,,M. Beasley misses 2-pt layup from 1 ft,16,4
1,7:45.0,,Offensive rebound by M. Beasley,16,4
1,7:41.0,,M. Beasley makes 2-pt layup from 1 ft,16,6
1,7:39.0,J. Redick misses 3-pt jump shot from 26 ft,,16,6
1,7:39.0,,Defensive rebound by R. Rondo,16,6
1,7:24.0,,I. Zubac misses 2-pt jump shot from 4 ft,16,6
1,7:20.0,Defensive rebound by J. Embiid,,16,6
1,7:13.0,B. Simmons misses 2-pt dunk from 1 ft,,16,6
1,7:10.0,,Defensive rebound by M. Beasley,16,6
1,7:08.0,,B. Ingram makes 2-pt layup from 1 ft (assist by R. Rondo),16,8
1,6:59.0,J. Embiid misses 3-pt jump shot from 25 ft,,16,8
1,6:56.0,,Defensive rebound by M. Beasley,16,8
1,6:55.0,,Turnover by M. Beasley (bad pass; steal by J. Butler),16,8
1,6:51.0,J. Butler makes 2-pt jump shot from 14 ft,,18,8
1,6:38.0,,Personal foul by B. Simmons (drawn by B. Ingram),18,8
1,6:38.0,T. McConnell enters the game for W. Chandler,,18,8
1,6:38.0,M. Muscala enters the game for J. Embiid,,18,8
1,6:38.0,L. Shamet enters the game for J. Redick,,18,8
1,6:38.0,,L. Stephenson enters the game for M. Beasley,18,8
1,6:34.0,,Turnover by B. Ingram (bad pass; steal by T. McConnell),18,8
1,6:31.0,J. Butler makes 2-pt dunk from 2 ft (assist by T. McConnell),,20,8
1,6:19.0,,L. Stephenson makes 3-pt jump shot from 26 ft (assist by B. Ingram),20,11
1,6:17.0,Philadelphia full timeout,,20,11
1,6:07.0,Turnover by B. Simmons (bad pass),,20,11
1,5:56.0,,Turnover by L. Stephenson (bad pass; steal by B. Simmons),20,11
1,5:51.0,Shooting foul by I. Zubac (drawn by J. Butler),,20,11
1,5:51.0,J. Butler misses free throw 1 of 2,,20,11
1,5:51.0,Offensive rebound by Team,,20,11
1,5:51.0,,J. McGee enters the game for I. Zubac,20,11
1,5:51.0,J. Butler makes free throw 2 of 2,,21,11
1,5:39.0,,L. Stephenson misses 2-pt jump shot from 18 ft,21,11
1,5:36.0,Defensive rebound by L. Shamet,,21,11
1,5:32.0,J. Butler makes 2-pt dunk from 1 ft (assist by T. McConnell),,23,11
1,5:21.0,,L. Stephenson misses 2-pt layup from 2 ft (block by J. Butler),23,11
1,5:18.0,Defensive rebound by T. McConnell,,23,11
1,5:16.0,B. Simmons makes 2-pt layup from 1 ft (assist by T. McConnell),,25,11
1,5:06.0,,Turnover by B. Ingram (bad pass; steal by T. McConnell),25,11
1,5:03.0,T. McConnell makes 2-pt layup from 2 ft,,27,11
1,5:03.0,Shooting foul by R. Rondo (drawn by T. McConnell),,27,11
1,5:03.0,,LA Lakers full timeout,27,11
1,5:03.0,C. Brewer enters the game for J. Butler,,27,11
1,5:03.0,,J. Hart enters the game for K. Caldwell-Pope,27,11
1,5:03.0,,S. Mykhailiuk enters the game for B. Ingram,27,11
1,5:03.0,T. McConnell misses free throw 1 of 1,,27,11
1,5:01.0,,Defensive rebound by J. McGee,27,11
1,4:47.0,,Turnover by J. McGee (bad pass; steal by B. Simmons),27,11
1,4:33.0,T. McConnell misses 3-pt jump shot from 25 ft,,27,11
1,4:28.0,,Defensive rebound by J. McGee,27,11
1,4:22.0,,Shooting foul by M. Muscala (drawn by L. Stephenson),27,11
1,4:22.0,,L. Stephenson makes free throw 1 of 2,27,12
1,4:22.0,,L. Stephenson makes free throw 2 of 2,27,13
1,4:14.0,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),,29,13
1,3:54.0,,J. Hart misses 3-pt jump shot from 24 ft,29,13
1,3:50.0,,Offensive rebound by J. McGee,29,13
1,3:42.0,,S. Mykhailiuk misses 3-pt jump shot from 26 ft,29,13
1,3:38.0,Defensive rebound by B. Simmons,,29,13
1,3:34.0,C. Brewer misses 2-pt jump shot from 1 ft,,29,13
1,3:30.0,,Defensive rebound by J. McGee,29,13
1,3:25.0,,S. Mykhailiuk makes 2-pt layup from 1 ft (assist by R. Rondo),29,15
1,3:12.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by T. McConnell),,32,15
1,2:53.0,,J. McGee misses 2-pt hook shot from 6 ft,32,15
1,2:51.0,,Offensive rebound by S. Mykhailiuk,32,15
1,2:43.0,,J. McGee makes 2-pt dunk from 2 ft (assist by R. Rondo),32,17
1,2:35.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by B. Simmons),,35,17
1,2:22.0,,L. Stephenson misses 3-pt jump shot from 25 ft,35,17
1,2:19.0,Defensive rebound by M. Muscala,,35,17
1,2:15.0,T. McConnell misses 2-pt jump shot from 4 ft (block by J. McGee),,35,17
1,2:15.0,Offensive rebound by Team,,35,17
1,2:15.0,J. Butler enters the game for T. McConnell,,35,17
1,2:15.0,W. Chandler enters the game for M. Muscala,,35,17
1,2:15.0,J. Embiid enters the game for L. Shamet,,35,17
1,2:15.0,J. Redick enters the game for B. Simmons,,35,17
1,2:15.0,,T. Chandler enters the game for J. McGee,35,17
1,2:15.0,,B. Ingram enters the game for R. Rondo,35,17
1,2:04.0,J. Redick misses 3-pt jump shot from 23 ft,,35,17
1,1:59.0,,Defensive rebound by J. Hart,35,17
1,1:45.0,,Turnover by L. Stephenson (out of bounds lost ball),35,17
1,1:32.0,C. Brewer misses 3-pt jump shot from 26 ft,,35,17
1,1:27.0,Offensive rebound by J. Butler,,35,17
1,1:26.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by J. Butler),,38,17
1,1:11.0,,B. Ingram makes 2-pt jump shot from 18 ft,38,19
1,0:53.0,J. Redick misses 2-pt jump shot from 21 ft,,38,19
1,0:50.0,,Defensive rebound by L. Stephenson,38,19
1,0:44.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,38,19
1,0:40.0,Defensive rebound by W. Chandler,,38,19
1,0:35.0,Shooting foul by T. Chandler (drawn by J. Embiid),,38,19
1,0:35.0,J. Embiid makes free throw 1 of 2,,39,19
1,0:35.0,J. Embiid misses free throw 2 of 2,,39,19
1,0:33.0,,Defensive rebound by B. Ingram,39,19
1,0:30.0,,Personal foul by C. Brewer (drawn by B. Ingram),39,19
1,0:26.0,,B. Ingram misses 2-pt jump shot from 18 ft,39,19
1,0:23.0,Defensive rebound by C. Brewer,,39,19
1,0:04.0,Turnover by W. Chandler (traveling),,39,19
1,0:01.0,,Personal foul by J. Redick (drawn by B. Ingram),39,19
1,0:01.0,,B. Ingram makes free throw 1 of 2,39,20
1,0:01.0,,B. Ingram misses free throw 2 of 2,39,20
1,0:01.0,,Offensive rebound by J. Hart,39,20
1,0:00.0,,J. Hart misses 2-pt jump shot from 17 ft,39,20
1,0:00.0,,Offensive rebound by Team,39,20
