QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW ORLEANS_ACTION,GOLDEN STATE_SCORE,NEW ORLEANS_SCORE
1,11:44.0,,K. Williams misses 3-pt jump shot from 23 ft,0,0
1,11:39.0,Defensive rebound by A. McKinnie,,0,0
1,11:28.0,D. Cousins misses 2-pt jump shot from 17 ft,,0,0
1,11:24.0,,Defensive rebound by C. Wood,0,0
1,11:16.0,,C. Wood misses 3-pt jump shot from 26 ft,0,0
1,11:13.0,Defensive rebound by S. Curry,,0,0
1,11:07.0,D. Cousins misses 2-pt layup from 1 ft,,0,0
1,11:05.0,,Defensive rebound by C. Wood,0,0
1,10:56.0,,C. Wood misses 2-pt layup from 2 ft,0,0
1,10:54.0,Defensive rebound by D. Green,,0,0
1,10:42.0,A. McKinnie misses 2-pt jump shot from 22 ft,,0,0
1,10:39.0,,Defensive rebound by C. Wood,0,0
1,10:24.0,,I. Clark misses 3-pt jump shot from 27 ft,0,0
1,10:21.0,Defensive rebound by D. Cousins,,0,0
1,10:15.0,Turnover by D. Green (lost ball; steal by J. Okafor),,0,0
1,10:10.0,,C. Wood makes 2-pt dunk at rim (assist by J. Okafor),0,2
1,9:49.0,S. Curry misses 2-pt jump shot from 18 ft,,0,2
1,9:46.0,,Defensive rebound by K. Williams,0,2
1,9:32.0,,E. Payton misses 2-pt hook shot from 9 ft,0,2
1,9:30.0,Defensive rebound by D. Cousins,,0,2
1,9:29.0,J. Evans misses 3-pt jump shot from 24 ft,,0,2
1,9:27.0,,Defensive rebound by Team,0,2
1,9:12.0,,J. Okafor makes 2-pt jump shot from 17 ft (assist by E. Payton),0,4
1,9:01.0,D. Green misses 2-pt layup from 2 ft,,0,4
1,8:59.0,,Defensive rebound by J. Okafor,0,4
1,8:54.0,,K. Williams misses 3-pt jump shot from 23 ft,0,4
1,8:52.0,,Offensive rebound by K. Williams,0,4
1,8:50.0,,J. Okafor misses 2-pt jump shot from 12 ft,0,4
1,8:46.0,Defensive rebound by D. Cousins,,0,4
1,8:42.0,Turnover by S. Curry (bad pass; steal by K. Williams),,0,4
