QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ORLANDO_ACTION,OKLAHOMA CITY_SCORE,ORLANDO_SCORE
1,11:44.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),0,2
1,11:44.0,,Shooting foul by N. Noel (drawn by A. Gordon),0,2
1,11:44.0,,A. Gordon makes free throw 1 of 1,0,3
1,11:35.0,P. George misses 2-pt jump shot from 15 ft,,0,3
1,11:31.0,,Defensive rebound by N. Vučević,0,3
1,11:19.0,,N. Vučević misses 2-pt hook shot from 8 ft,0,3
1,11:17.0,Defensive rebound by R. Westbrook,,0,3
1,11:09.0,Turnover by J. Grant (bad pass; steal by J. Isaac),,0,3
1,11:05.0,,Shooting foul by P. George (drawn by J. Isaac),0,3
1,11:05.0,,J. Isaac makes free throw 1 of 2,0,4
1,11:05.0,,J. Isaac makes free throw 2 of 2,0,5
1,10:53.0,P. George makes 2-pt layup from 4 ft (assist by R. Westbrook),,2,5
1,10:39.0,,A. Gordon makes 2-pt jump shot from 3 ft,2,7
1,10:39.0,,Shooting foul by P. George (drawn by A. Gordon),2,7
1,10:39.0,,A. Gordon makes free throw 1 of 1,2,8
1,10:29.0,R. Westbrook misses 2-pt layup from 3 ft,,2,8
1,10:27.0,,Defensive rebound by J. Isaac,2,8
1,10:17.0,,A. Gordon misses 2-pt layup from 2 ft,2,8
1,10:12.0,,Offensive rebound by A. Gordon,2,8
1,10:11.0,,A. Gordon makes 2-pt layup from 2 ft,2,10
1,10:06.0,Personal foul by D. Augustin (drawn by H. Diallo),,2,10
1,9:57.0,Turnover by N. Noel (traveling),,2,10
1,9:48.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by A. Gordon),2,12
1,9:35.0,J. Grant misses 2-pt layup from 2 ft,,2,12
1,9:32.0,Offensive rebound by R. Westbrook,,2,12
1,9:30.0,J. Grant misses 2-pt jump shot from 15 ft,,2,12
1,9:25.0,Offensive rebound by P. George,,2,12
1,9:24.0,H. Diallo makes 2-pt layup from 1 ft (assist by P. George),,4,12
1,9:24.0,Shooting foul by N. Vučević (drawn by H. Diallo),,4,12
1,9:24.0,H. Diallo makes free throw 1 of 1,,5,12
1,9:07.0,,E. Fournier misses 2-pt layup from 3 ft (block by H. Diallo),5,12
1,9:04.0,,Offensive rebound by E. Fournier,5,12
1,9:04.0,,Turnover by N. Vučević (3 sec),5,12
1,8:54.0,J. Grant misses 3-pt jump shot from 25 ft,,5,12
1,8:51.0,,Defensive rebound by N. Vučević,5,12
1,8:43.0,,Turnover by N. Vučević (3 sec),5,12
1,8:34.0,Personal foul by A. Gordon (drawn by P. George),,5,12
1,8:30.0,N. Noel makes 2-pt dunk from 3 ft (assist by R. Westbrook),,7,12
1,8:16.0,,D. Augustin misses 3-pt jump shot from 26 ft,7,12
1,8:16.0,Defensive rebound by P. George,,7,12
1,8:06.0,P. George makes 2-pt jump shot from 20 ft,,9,12
1,7:53.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by E. Fournier),9,15
1,7:37.0,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),,11,15
1,7:25.0,,Turnover by E. Fournier (bad pass),11,15
1,7:14.0,Shooting foul by A. Gordon (drawn by P. George),,11,15
1,7:14.0,P. George makes free throw 1 of 2,,12,15
1,7:14.0,P. George makes free throw 2 of 2,,13,15
1,6:54.0,,N. Vučević misses 2-pt hook shot from 9 ft,13,15
1,6:54.0,,Offensive rebound by Team,13,15
1,6:52.0,,Orlando full timeout,13,15
1,6:47.0,,E. Fournier misses 2-pt layup from 2 ft (block by N. Noel),13,15
1,6:47.0,Defensive rebound by Team,,13,15
1,6:33.0,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,16,15
1,6:23.0,Technical foul by S. Clifford,,16,15
1,6:23.0,P. George makes technical free throw,,17,15
1,6:16.0,,E. Fournier makes 2-pt layup from 2 ft (assist by J. Isaac),17,17
1,6:13.0,Personal foul by E. Fournier (drawn by R. Westbrook),,17,17
1,6:13.0,R. Westbrook misses free throw 1 of 2,,17,17
1,6:13.0,Offensive rebound by Team,,17,17
1,6:13.0,,T. Ross enters the game for A. Gordon,17,17
1,6:13.0,R. Westbrook misses free throw 2 of 2,,17,17
1,6:10.0,Offensive rebound by P. George,,17,17
1,6:03.0,P. George misses 2-pt jump shot from 15 ft,,17,17
1,6:00.0,,Defensive rebound by J. Isaac,17,17
1,5:53.0,,N. Vučević makes 2-pt layup from 1 ft (assist by D. Augustin),17,19
1,5:42.0,R. Westbrook makes 2-pt jump shot from 12 ft,,19,19
1,5:30.0,,D. Augustin misses 2-pt layup from 2 ft,19,19
1,5:30.0,,Offensive rebound by E. Fournier,19,19
1,5:25.0,,N. Vučević misses 3-pt jump shot from 26 ft,19,19
1,5:22.0,Defensive rebound by P. George,,19,19
1,5:17.0,P. George makes 2-pt jump shot from 6 ft,,21,19
1,4:57.0,,J. Isaac misses 3-pt jump shot from 26 ft,21,19
1,4:54.0,Defensive rebound by N. Noel,,21,19
1,4:49.0,Offensive foul by R. Westbrook (drawn by J. Isaac),,21,19
1,4:49.0,Turnover by R. Westbrook (offensive foul),,21,19
1,4:49.0,A. Nader enters the game for H. Diallo,,21,19
1,4:49.0,D. Schröder enters the game for P. George,,21,19
1,4:49.0,,J. Grant enters the game for D. Augustin,21,19
1,4:49.0,,J. Simmons enters the game for E. Fournier,21,19
1,4:42.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Grant),21,22
1,4:28.0,N. Noel misses 2-pt jump shot from 14 ft,,21,22
1,4:25.0,,Defensive rebound by T. Ross,21,22
1,4:18.0,,N. Vučević makes 2-pt layup from 2 ft (assist by T. Ross),21,24
1,4:18.0,Violation by Team (def goaltending),,21,24
1,4:05.0,J. Grant misses 2-pt jump shot from 6 ft,,21,24
1,4:02.0,,Defensive rebound by J. Grant,21,24
1,3:58.0,,T. Ross misses 3-pt jump shot from 26 ft,21,24
1,3:56.0,Defensive rebound by Team,,21,24
1,3:56.0,P. Patterson enters the game for J. Grant,,21,24
1,3:36.0,Personal foul by J. Isaac (drawn by R. Westbrook),,21,24
1,3:36.0,R. Westbrook makes free throw 1 of 2,,22,24
1,3:36.0,R. Westbrook makes free throw 2 of 2,,23,24
1,3:19.0,,T. Ross makes 2-pt jump shot from 14 ft,23,26
1,3:07.0,R. Westbrook makes 2-pt layup from 1 ft,,25,26
1,2:55.0,,J. Simmons misses 2-pt jump shot from 7 ft,25,26
1,2:50.0,Defensive rebound by N. Noel,,25,26
1,2:49.0,Personal foul by J. Simmons (drawn by R. Westbrook),,25,26
1,2:49.0,Oklahoma City full timeout,,25,26
1,2:49.0,J. Grant enters the game for N. Noel,,25,26
1,2:49.0,,M. Bamba enters the game for J. Isaac,25,26
1,2:49.0,,A. Gordon enters the game for N. Vučević,25,26
1,2:49.0,R. Westbrook makes free throw 1 of 2,,26,26
1,2:49.0,R. Westbrook makes free throw 2 of 2,,27,26
1,2:34.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by A. Gordon),27,28
1,2:19.0,A. Nader misses 3-pt jump shot from 26 ft,,27,28
1,2:15.0,,Defensive rebound by J. Simmons,27,28
1,2:08.0,,A. Gordon misses 2-pt jump shot from 18 ft,27,28
1,2:05.0,Defensive rebound by A. Nader,,27,28
1,1:57.0,P. Patterson misses 3-pt jump shot from 26 ft,,27,28
1,1:54.0,,Defensive rebound by A. Gordon,27,28
1,1:46.0,,A. Gordon misses 3-pt jump shot from 26 ft,27,28
1,1:43.0,Defensive rebound by D. Schröder,,27,28
1,1:33.0,J. Grant makes 2-pt layup from 3 ft (assist by D. Schröder),,29,28
1,1:17.0,,Shooting foul by R. Westbrook (drawn by M. Bamba),29,28
1,1:17.0,,M. Bamba makes free throw 1 of 2,29,29
1,1:17.0,P. George enters the game for R. Westbrook,,29,29
1,1:17.0,,M. Bamba makes free throw 2 of 2,29,30
1,1:07.0,D. Schröder misses 2-pt jump shot from 19 ft,,29,30
1,1:04.0,,Defensive rebound by M. Bamba,29,30
1,0:56.0,,J. Simmons misses 2-pt layup from 1 ft,29,30
1,0:54.0,,Offensive rebound by M. Bamba,29,30
1,0:54.0,,M. Bamba makes 2-pt layup at rim,29,32
1,0:47.0,P. George makes 2-pt jump shot from 21 ft,,31,32
1,0:31.0,,J. Simmons makes 3-pt jump shot from 26 ft,31,35
1,0:11.0,Shooting foul by J. Grant (drawn by D. Schröder),,31,35
1,0:11.0,D. Schröder misses free throw 1 of 2,,31,35
1,0:11.0,Offensive rebound by Team,,31,35
1,0:11.0,D. Schröder makes free throw 2 of 2,,32,35
1,0:00.0,,Turnover by J. Grant (bad pass; steal by J. Grant),32,35
2,11:49.0,Shooting foul by J. Simmons (drawn by P. George),,32,35
2,11:49.0,P. George makes free throw 1 of 2,,33,35
2,11:49.0,P. George makes free throw 2 of 2,,34,35
2,11:30.0,,A. Gordon misses 3-pt jump shot from 25 ft,34,35
2,11:27.0,,Offensive rebound by D. Augustin,34,35
2,11:24.0,,T. Ross misses 3-pt jump shot from 26 ft,34,35
2,11:21.0,Defensive rebound by P. George,,34,35
2,11:16.0,P. George makes 2-pt jump shot from 16 ft,,36,35
2,10:47.0,,A. Gordon misses 3-pt jump shot from 23 ft,36,35
2,10:38.0,Defensive rebound by P. Patterson,,36,35
2,10:38.0,A. Nader misses 2-pt layup from 1 ft,,36,35
2,10:38.0,,Defensive rebound by J. Simmons,36,35
2,10:30.0,,J. Simmons misses 3-pt jump shot from 26 ft,36,35
2,10:27.0,Defensive rebound by J. Grant,,36,35
2,10:12.0,D. Schröder makes 2-pt layup from 1 ft,,38,35
2,9:53.0,,Shooting foul by J. Grant (drawn by J. Simmons),38,35
2,9:53.0,,J. Simmons misses free throw 1 of 2,38,35
2,9:53.0,,Offensive rebound by Team,38,35
2,9:53.0,,J. Simmons misses free throw 2 of 2,38,35
2,9:51.0,Defensive rebound by J. Grant,,38,35
2,9:36.0,P. Patterson misses 2-pt jump shot from 10 ft,,38,35
2,9:33.0,,Defensive rebound by T. Ross,38,35
2,9:19.0,,T. Ross misses 2-pt jump shot from 14 ft,38,35
2,9:15.0,Defensive rebound by A. Nader,,38,35
2,9:06.0,Personal foul by D. Augustin (drawn by J. Grant),,38,35
2,8:57.0,J. Grant makes 2-pt layup from 3 ft (assist by D. Schröder),,40,35
2,8:57.0,,Violation by Team (def goaltending),40,35
2,8:42.0,,A. Gordon misses 3-pt jump shot from 24 ft,40,35
2,8:38.0,,Offensive rebound by M. Bamba,40,35
2,8:35.0,,M. Bamba misses 3-pt jump shot from 23 ft,40,35
2,8:31.0,Defensive rebound by D. Schröder,,40,35
2,8:25.0,P. Patterson misses 3-pt jump shot from 25 ft,,40,35
2,8:22.0,,Defensive rebound by T. Ross,40,35
2,8:15.0,,M. Bamba makes 3-pt jump shot from 26 ft (assist by J. Simmons),40,38
2,7:58.0,P. George makes 2-pt jump shot from 9 ft,,42,38
2,7:58.0,Shooting foul by M. Bamba (drawn by P. George),,42,38
2,7:58.0,Á. Abrines enters the game for A. Nader,,42,38
2,7:58.0,R. Westbrook enters the game for D. Schröder,,42,38
2,7:58.0,,E. Fournier enters the game for D. Augustin,42,38
2,7:58.0,,J. Grant enters the game for J. Simmons,42,38
2,7:58.0,P. George makes free throw 1 of 1,,43,38
2,7:43.0,,T. Ross misses 2-pt jump shot from 10 ft,43,38
2,7:39.0,,Offensive rebound by T. Ross,43,38
2,7:33.0,,M. Bamba misses 2-pt hook shot from 6 ft,43,38
2,7:31.0,Defensive rebound by Á. Abrines,,43,38
2,7:28.0,J. Grant misses 2-pt dunk from 4 ft,,43,38
2,7:25.0,,Defensive rebound by M. Bamba,43,38
2,7:20.0,,E. Fournier makes 2-pt layup from 3 ft,43,40
2,7:13.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,46,40
2,7:10.0,,Orlando full timeout,46,40
2,7:10.0,N. Noel enters the game for J. Grant,,46,40
2,7:10.0,,J. Isaac enters the game for M. Bamba,46,40
2,7:10.0,,N. Vučević enters the game for T. Ross,46,40
2,6:53.0,,J. Grant misses 2-pt jump shot from 17 ft,46,40
2,6:51.0,Defensive rebound by Team,,46,40
2,6:43.0,Á. Abrines misses 3-pt jump shot from 24 ft,,46,40
2,6:39.0,,Defensive rebound by J. Isaac,46,40
2,6:33.0,,J. Isaac makes 2-pt jump shot from 14 ft (assist by J. Grant),46,42
2,6:16.0,P. George misses 3-pt jump shot from 25 ft,,46,42
2,6:12.0,,Defensive rebound by N. Vučević,46,42
2,5:59.0,,N. Vučević makes 2-pt hook shot from 6 ft,46,44
2,5:36.0,P. George makes 2-pt layup from 1 ft,,48,44
2,5:24.0,,Shooting foul by Á. Abrines (drawn by N. Vučević),48,44
2,5:24.0,,N. Vučević makes free throw 1 of 2,48,45
2,5:24.0,,T. Ross enters the game for A. Gordon,48,45
2,5:24.0,,N. Vučević makes free throw 2 of 2,48,46
2,5:09.0,P. George makes 2-pt jump shot from 9 ft,,50,46
2,5:09.0,Shooting foul by J. Isaac (drawn by P. George),,50,46
2,5:09.0,J. Grant enters the game for P. Patterson,,50,46
2,5:09.0,P. George makes free throw 1 of 1,,51,46
2,4:58.0,,N. Vučević misses 2-pt hook shot from 4 ft (block by N. Noel),51,46
2,4:56.0,Defensive rebound by R. Westbrook,,51,46
2,4:52.0,R. Westbrook makes 2-pt layup from 2 ft,,53,46
2,4:37.0,,J. Isaac misses 2-pt jump shot from 17 ft,53,46
2,4:34.0,Defensive rebound by R. Westbrook,,53,46
2,4:30.0,R. Westbrook makes 2-pt layup from 2 ft,,55,46
2,4:23.0,,Orlando full timeout,55,46
2,4:23.0,,D. Augustin enters the game for J. Grant,55,46
2,4:15.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by N. Vučević),55,49
2,3:57.0,J. Grant misses 2-pt hook shot from 6 ft,,55,49
2,3:54.0,,Defensive rebound by J. Isaac,55,49
2,3:45.0,,N. Vučević makes 2-pt hook shot from 3 ft (assist by D. Augustin),55,51
2,3:22.0,P. George misses 2-pt layup from 3 ft,,55,51
2,3:20.0,,Defensive rebound by E. Fournier,55,51
2,3:14.0,,E. Fournier makes 2-pt jump shot from 5 ft,55,53
2,3:02.0,Á. Abrines makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,58,53
2,2:34.0,,E. Fournier misses 3-pt jump shot from 27 ft,58,53
2,2:31.0,Defensive rebound by R. Westbrook,,58,53
2,2:27.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,60,53
2,2:15.0,,Turnover by T. Ross (bad pass; steal by P. George),60,53
2,2:12.0,P. George misses 2-pt layup from 3 ft,,60,53
2,2:12.0,Offensive rebound by Team,,60,53
2,2:12.0,,Loose ball foul by E. Fournier (drawn by R. Westbrook),60,53
2,2:12.0,R. Westbrook makes free throw 1 of 2,,61,53
2,2:12.0,D. Schröder enters the game for Á. Abrines,,61,53
2,2:12.0,,A. Gordon enters the game for J. Isaac,61,53
2,2:12.0,R. Westbrook makes free throw 2 of 2,,62,53
2,1:57.0,,N. Vučević misses 2-pt hook shot from 6 ft (block by N. Noel),62,53
2,1:54.0,Defensive rebound by R. Westbrook,,62,53
2,1:53.0,R. Westbrook misses 2-pt layup from 4 ft (block by A. Gordon),,62,53
2,1:53.0,,Defensive rebound by Team,62,53
2,1:36.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by A. Gordon),62,56
2,1:22.0,P. George makes 2-pt layup from 4 ft,,64,56
2,1:05.0,,E. Fournier makes 3-pt jump shot from 27 ft (assist by D. Augustin),64,59
2,0:45.0,N. Noel misses 2-pt hook shot from 7 ft,,64,59
2,0:39.0,Offensive rebound by J. Grant,,64,59
2,0:39.0,J. Grant misses 2-pt layup from 1 ft,,64,59
2,0:38.0,,Defensive rebound by A. Gordon,64,59
2,0:38.0,,E. Fournier makes 2-pt layup from 2 ft (assist by A. Gordon),64,61
2,0:25.0,J. Grant makes 3-pt jump shot from 23 ft (assist by P. George),,67,61
2,0:05.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by D. Augustin),67,63
2,0:05.0,,Violation by Team (delay of game),67,63
2,0:02.0,R. Westbrook makes 2-pt layup from 2 ft,,69,63
2,0:00.0,,Turnover by N. Vučević (bad pass; steal by J. Grant),69,63
2,0:00.0,J. Grant misses 3-pt jump shot from 49 ft,,69,63
2,0:00.0,Offensive rebound by Team,,69,63
3,11:46.0,Turnover by R. Westbrook (bad pass; steal by J. Isaac),,69,63
3,11:38.0,,D. Augustin misses 3-pt jump shot from 24 ft,69,63
3,11:36.0,Defensive rebound by J. Grant,,69,63
3,11:25.0,N. Noel makes 2-pt jump shot from 10 ft (assist by R. Westbrook),,71,63
3,11:09.0,,A. Gordon misses 3-pt jump shot from 26 ft,71,63
3,11:09.0,Defensive rebound by R. Westbrook,,71,63
