QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
1,11:52.0,,Turnover by J. Teague (bad pass),0,0
1,11:35.0,L. Dončić misses 3-pt jump shot from 25 ft,,0,0
1,11:32.0,,Defensive rebound by Team,0,0
1,11:13.0,,A. Wiggins misses 2-pt layup from 4 ft,0,0
1,11:10.0,,Offensive rebound by A. Wiggins,0,0
1,11:08.0,,J. Teague misses 3-pt jump shot from 28 ft,0,0
1,11:08.0,,Offensive rebound by T. Gibson,0,0
1,11:04.0,,T. Gibson misses 2-pt layup from 2 ft,0,0
1,11:02.0,,Offensive rebound by K. Towns,0,0
1,11:01.0,,K. Towns misses 2-pt layup from 1 ft (block by M. Kleber),0,0
1,10:59.0,Defensive rebound by L. Dončić,,0,0
1,10:55.0,L. Dončić makes 2-pt layup from 1 ft,,2,0
1,10:49.0,,Shooting foul by L. Dončić (drawn by J. Okogie),2,0
1,10:49.0,,J. Okogie makes free throw 1 of 2,2,1
1,10:49.0,,J. Okogie misses free throw 2 of 2,2,1
1,10:45.0,,Offensive rebound by J. Okogie,2,1
1,10:38.0,,T. Gibson misses 2-pt jump shot from 15 ft,2,1
1,10:35.0,Defensive rebound by L. Dončić,,2,1
1,10:26.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by W. Matthews),,5,1
1,10:16.0,,J. Teague misses 2-pt jump shot from 16 ft,5,1
1,10:13.0,,Offensive rebound by T. Gibson,5,1
1,10:11.0,,T. Gibson makes 2-pt hook shot from 6 ft,5,3
1,9:58.0,Turnover by H. Barnes (bad pass; steal by A. Wiggins),,5,3
1,9:42.0,,K. Towns makes 2-pt hook shot from 9 ft,5,5
1,9:24.0,M. Kleber makes 3-pt jump shot from 23 ft (assist by L. Dončić),,8,5
1,9:08.0,,A. Wiggins misses 2-pt jump shot from 4 ft,8,5
1,9:06.0,Defensive rebound by D. Jordan,,8,5
1,8:56.0,W. Matthews makes 2-pt layup from 1 ft (assist by L. Dončić),,10,5
1,8:47.0,,J. Teague misses 2-pt jump shot from 8 ft,10,5
1,8:45.0,,Offensive rebound by J. Teague,10,5
1,8:43.0,,J. Teague misses 3-pt jump shot from 22 ft,10,5
1,8:40.0,,Offensive rebound by T. Gibson,10,5
1,8:39.0,,T. Gibson makes 2-pt layup from 1 ft,10,7
1,8:17.0,H. Barnes misses 3-pt jump shot from 25 ft,,10,7
1,8:14.0,,Defensive rebound by T. Gibson,10,7
1,7:56.0,,K. Towns makes 2-pt jump shot from 5 ft (assist by J. Okogie),10,9
1,7:42.0,L. Dončić misses 2-pt jump shot from 6 ft,,10,9
1,7:42.0,Offensive rebound by L. Dončić,,10,9
1,7:40.0,Shooting foul by K. Towns (drawn by L. Dončić),,10,9
1,7:40.0,L. Dončić makes free throw 1 of 2,,11,9
1,7:40.0,L. Dončić misses free throw 2 of 2,,11,9
1,7:39.0,,Defensive rebound by Team,11,9
1,7:17.0,,K. Towns makes 2-pt hook shot from 8 ft,11,11
1,7:17.0,,Shooting foul by W. Matthews (drawn by K. Towns),11,11
1,7:17.0,,K. Towns makes free throw 1 of 1,11,12
1,7:02.0,L. Dončić makes 2-pt layup from 1 ft,,13,12
1,6:52.0,,J. Okogie makes 2-pt jump shot from 7 ft (assist by J. Teague),13,14
1,6:51.0,,Violation by Team (delay of game),13,14
1,6:39.0,L. Dončić misses 3-pt jump shot from 28 ft,,13,14
1,6:37.0,,Defensive rebound by K. Towns,13,14
1,6:31.0,,J. Teague makes 2-pt jump shot from 14 ft,13,16
1,6:30.0,Dallas full timeout,,13,16
1,6:30.0,J. Barea enters the game for L. Dončić,,13,16
1,6:30.0,,D. Rose enters the game for J. Okogie,13,16
1,6:18.0,W. Matthews misses 2-pt jump shot from 10 ft,,13,16
1,6:15.0,,Defensive rebound by K. Towns,13,16
1,6:11.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),13,18
1,5:56.0,H. Barnes misses 2-pt jump shot from 16 ft,,13,18
1,5:54.0,,Defensive rebound by T. Gibson,13,18
1,5:46.0,,D. Rose misses 2-pt jump shot from 12 ft,13,18
1,5:43.0,Defensive rebound by M. Kleber,,13,18
1,5:35.0,J. Barea misses 2-pt layup from 1 ft (block by A. Wiggins),,13,18
1,5:32.0,,Defensive rebound by K. Towns,13,18
1,5:29.0,,K. Towns makes 2-pt dunk from 1 ft (assist by D. Rose),13,20
1,5:13.0,Personal foul by A. Wiggins (drawn by H. Barnes),,13,20
1,5:13.0,,D. Šarić enters the game for T. Gibson,13,20
1,5:04.0,W. Matthews misses 3-pt jump shot from 24 ft,,13,20
1,5:00.0,,Defensive rebound by K. Towns,13,20
1,4:52.0,,D. Šarić misses 2-pt jump shot from 19 ft,13,20
1,4:50.0,Defensive rebound by D. Jordan,,13,20
1,4:40.0,J. Barea makes 2-pt layup from 1 ft,,15,20
1,4:29.0,,K. Towns misses 2-pt layup from 4 ft,15,20
1,4:28.0,,Offensive rebound by K. Towns,15,20
1,4:27.0,,K. Towns misses 2-pt layup from 2 ft,15,20
1,4:27.0,Defensive rebound by D. Jordan,,15,20
1,4:03.0,J. Barea misses 2-pt jump shot from 13 ft,,15,20
1,4:02.0,Offensive rebound by D. Jordan,,15,20
1,4:00.0,D. Jordan makes 2-pt layup from 2 ft,,17,20
1,3:47.0,,D. Šarić misses 3-pt jump shot from 25 ft,17,20
1,3:44.0,,Offensive rebound by K. Towns,17,20
1,3:43.0,,K. Towns makes 2-pt dunk from 1 ft,17,22
1,3:24.0,W. Matthews misses 2-pt jump shot from 7 ft (block by K. Towns),,17,22
1,3:24.0,Offensive rebound by Team,,17,22
1,3:24.0,D. Finney-Smith enters the game for M. Kleber,,17,22
1,3:24.0,,T. Jones enters the game for J. Teague,17,22
1,3:24.0,,J. Okogie enters the game for A. Wiggins,17,22
1,3:21.0,H. Barnes misses 2-pt jump shot from 6 ft,,17,22
1,3:19.0,Offensive rebound by H. Barnes,,17,22
1,3:19.0,H. Barnes makes 2-pt layup at rim,,19,22
1,3:12.0,,Minnesota full timeout,19,22
1,3:12.0,L. Dončić enters the game for H. Barnes,,19,22
1,3:12.0,D. Nowitzki enters the game for D. Jordan,,19,22
1,3:12.0,D. Powell enters the game for W. Matthews,,19,22
1,3:12.0,,G. Dieng enters the game for K. Towns,19,22
1,3:03.0,,D. Rose misses 2-pt layup from 3 ft,19,22
1,3:00.0,Defensive rebound by D. Finney-Smith,,19,22
1,2:50.0,D. Powell makes 2-pt layup from 2 ft (assist by L. Dončić),,21,22
1,2:50.0,Shooting foul by J. Okogie (drawn by D. Powell),,21,22
1,2:50.0,D. Powell makes free throw 1 of 1,,22,22
1,2:35.0,,D. Šarić misses 2-pt layup from 4 ft,22,22
1,2:33.0,,Offensive rebound by T. Jones,22,22
1,2:23.0,,D. Rose misses 2-pt jump shot from 5 ft,22,22
1,2:21.0,Defensive rebound by D. Nowitzki,,22,22
1,2:09.0,L. Dončić misses 3-pt jump shot from 26 ft,,22,22
1,2:06.0,,Defensive rebound by D. Rose,22,22
1,1:56.0,,T. Jones misses 2-pt jump shot from 12 ft,22,22
1,1:54.0,,Offensive rebound by G. Dieng,22,22
1,1:49.0,,T. Jones misses 2-pt layup from 1 ft,22,22
