QUARTER,TIME_REMAINING,CHICAGO_ACTION,HOUSTON_ACTION,CHICAGO_SCORE,HOUSTON_SCORE
4,4:11.0,Offensive rebound by Team,,91,108
4,4:09.0,L. Markkanen misses 3-pt jump shot from 23 ft,,91,108
4,4:05.0,,Defensive rebound by C. Capela,91,108
4,3:59.0,,C. Paul makes 3-pt jump shot from 25 ft,91,111
4,3:57.0,Chicago full timeout,,91,111
4,3:57.0,A. Blakeney enters the game for R. Arcidiacono,,91,111
4,3:57.0,C. Felício enters the game for W. Carter,,91,111
4,3:57.0,S. Harrison enters the game for J. Holiday,,91,111
4,3:57.0,C. Hutchison enters the game for Z. LaVine,,91,111
4,3:48.0,L. Markkanen makes 2-pt hook shot from 8 ft,,93,111
4,3:28.0,,C. Capela makes 2-pt dunk from 2 ft (assist by C. Paul),93,113
4,3:15.0,L. Markkanen misses 2-pt jump shot from 7 ft,,93,113
4,3:12.0,,Defensive rebound by C. Capela,93,113
4,2:58.0,,J. Harden misses 3-pt jump shot from 26 ft,93,113
4,2:56.0,,Offensive rebound by Team,93,113
4,2:56.0,,M. Carter-Williams enters the game for C. Capela,93,113
4,2:56.0,,M. Chriss enters the game for J. Ennis,93,113
4,2:56.0,,G. Clark enters the game for J. Harden,93,113
4,2:56.0,,I. Hartenstein enters the game for C. Paul,93,113
4,2:50.0,,Personal foul by C. Felício (drawn by M. Carter-Williams),93,113
4,2:50.0,,M. Carter-Williams misses free throw 1 of 2,93,113
4,2:50.0,,Offensive rebound by Team,93,113
4,2:50.0,,M. Carter-Williams makes free throw 2 of 2,93,114
4,2:41.0,Personal foul by D. House (drawn by C. Felício),,93,114
4,2:41.0,C. Felício makes free throw 1 of 2,,94,114
4,2:41.0,C. Felício makes free throw 2 of 2,,95,114
4,2:33.0,,M. Carter-Williams misses 2-pt layup from 3 ft (block by L. Markkanen),95,114
4,2:28.0,,Offensive rebound by I. Hartenstein,95,114
4,2:28.0,,D. House makes 2-pt dunk from 2 ft (assist by I. Hartenstein),95,116
4,2:20.0,C. Felício misses 2-pt layup from 4 ft (block by M. Carter-Williams),,95,116
4,2:17.0,,Defensive rebound by G. Clark,95,116
4,2:14.0,,G. Clark misses 3-pt jump shot from 25 ft,95,116
4,2:14.0,Defensive rebound by A. Blakeney,,95,116
4,1:59.0,A. Blakeney makes 2-pt jump shot from 12 ft,,97,116
4,1:45.0,,D. House misses 3-pt jump shot from 24 ft,97,116
4,1:42.0,Defensive rebound by C. Hutchison,,97,116
4,1:30.0,A. Blakeney makes 2-pt jump shot from 11 ft,,99,116
4,1:14.0,,D. House misses 3-pt jump shot from 22 ft,99,116
4,1:10.0,,Offensive rebound by M. Carter-Williams,99,116
4,1:09.0,,M. Carter-Williams misses 2-pt layup from 2 ft,99,116
4,1:07.0,Defensive rebound by L. Markkanen,,99,116
4,0:59.0,C. Hutchison makes 2-pt layup from 3 ft,,101,116
4,0:52.0,,M. Carter-Williams makes 2-pt layup from 2 ft,101,118
4,0:46.0,S. Harrison makes 2-pt layup from 4 ft,,103,118
4,0:31.0,,Shooting foul by S. Harrison (drawn by D. House),103,118
4,0:31.0,,D. House misses free throw 1 of 2,103,118
4,0:31.0,,Offensive rebound by Team,103,118
4,0:31.0,C. Payne enters the game for L. Markkanen,,103,118
4,0:31.0,,D. House makes free throw 2 of 2,103,119
4,0:24.0,Turnover by S. Harrison (bad pass; steal by M. Chriss),,103,119
4,0:23.0,,Shooting foul by S. Harrison (drawn by M. Chriss),103,119
4,0:23.0,,M. Chriss makes free throw 1 of 2,103,120
4,0:23.0,,M. Chriss makes free throw 2 of 2,103,121
4,0:18.0,Personal foul by M. Carter-Williams (drawn by S. Harrison),,103,121
4,0:18.0,S. Harrison makes free throw 1 of 2,,104,121
4,0:18.0,S. Harrison makes free throw 2 of 2,,105,121
