QUARTER,TIME_REMAINING,CHICAGO_ACTION,HOUSTON_ACTION,CHICAGO_SCORE,HOUSTON_SCORE
2,3:41.0,J. Holiday enters the game for J. Parker,,37,51
2,3:32.0,,P. Tucker misses 3-pt jump shot from 26 ft,37,51
2,3:31.0,Defensive rebound by Team,,37,51
2,3:31.0,,Loose ball foul by C. Capela (drawn by R. Arcidiacono),37,51
2,3:19.0,J. Holiday misses 3-pt jump shot from 23 ft,,37,51
2,3:17.0,,Defensive rebound by E. Gordon,37,51
2,3:09.0,,C. Capela misses 2-pt hook shot from 8 ft,37,51
2,3:09.0,Defensive rebound by Team,,37,51
2,3:06.0,,Loose ball foul by C. Capela (drawn by R. Arcidiacono),37,51
2,3:06.0,R. Arcidiacono makes free throw 1 of 2,,38,51
2,3:06.0,R. Arcidiacono makes free throw 2 of 2,,39,51
2,2:52.0,,Turnover by J. Harden (bad pass; steal by J. Holiday),39,51
2,2:51.0,Z. LaVine makes 2-pt layup from 2 ft,,41,51
2,2:51.0,Shooting foul by J. Ennis (drawn by Z. LaVine),,41,51
2,2:51.0,Chicago full timeout,,41,51
2,2:51.0,,C. Paul enters the game for J. Ennis,41,51
2,2:51.0,Z. LaVine makes free throw 1 of 1,,42,51
2,2:39.0,,E. Gordon misses 3-pt jump shot from 25 ft,42,51
2,2:36.0,Defensive rebound by L. Markkanen,,42,51
2,2:17.0,W. Carter makes 2-pt jump shot from 16 ft,,44,51
2,1:52.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),44,54
2,1:33.0,J. Holiday misses 3-pt jump shot from 25 ft,,44,54
2,1:28.0,,Defensive rebound by C. Capela,44,54
2,1:25.0,,Shooting foul by L. Markkanen (drawn by J. Harden),44,54
2,1:25.0,,J. Harden makes free throw 1 of 2,44,55
2,1:25.0,J. Parker enters the game for J. Holiday,,44,55
2,1:25.0,,J. Harden makes free throw 2 of 2,44,56
2,1:05.0,J. Parker misses 3-pt jump shot from 23 ft,,44,56
2,1:03.0,,Defensive rebound by J. Harden,44,56
2,0:50.0,,J. Harden misses 3-pt jump shot from 24 ft,44,56
2,0:48.0,Defensive rebound by J. Parker,,44,56
2,0:44.0,Z. LaVine misses 3-pt jump shot from 23 ft,,44,56
2,0:42.0,,Defensive rebound by P. Tucker,44,56
2,0:33.0,,C. Paul misses 3-pt jump shot from 27 ft,44,56
2,0:29.0,,Offensive rebound by C. Capela,44,56
2,0:24.0,,E. Gordon misses 2-pt jump shot from 11 ft,44,56
2,0:22.0,Defensive rebound by Z. LaVine,,44,56
2,0:00.0,Z. LaVine makes 2-pt jump shot from 20 ft,,46,56
3,11:47.0,J. Holiday misses 3-pt jump shot from 27 ft,,46,56
3,11:44.0,,Defensive rebound by J. Harden,46,56
3,11:35.0,,J. Ennis misses 3-pt jump shot from 26 ft,46,56
3,11:32.0,Defensive rebound by W. Carter,,46,56
3,11:21.0,J. Parker makes 2-pt hook shot from 10 ft (assist by R. Arcidiacono),,48,56
3,11:03.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),48,58
3,10:36.0,J. Parker makes 3-pt jump shot from 24 ft,,51,58
