QUARTER,TIME_REMAINING,DENVER_ACTION,HOUSTON_ACTION,DENVER_SCORE,HOUSTON_SCORE
1,11:46.0,,Turnover by A. Rivers (bad pass; steal by N. Jokić),0,0
1,11:41.0,N. Jokić misses 2-pt jump shot from 10 ft,,0,0
1,11:37.0,,Defensive rebound by D. House,0,0
1,11:30.0,,P. Tucker misses 3-pt jump shot from 23 ft,0,0
1,11:26.0,Defensive rebound by J. Murray,,0,0
1,11:15.0,T. Craig misses 3-pt jump shot from 24 ft,,0,0
1,11:12.0,,Defensive rebound by C. Capela,0,0
1,10:58.0,,A. Rivers misses 3-pt jump shot from 25 ft,0,0
1,10:56.0,,Offensive rebound by Team,0,0
1,10:50.0,,P. Tucker misses 3-pt jump shot from 23 ft,0,0
1,10:48.0,Defensive rebound by P. Millsap,,0,0
1,10:26.0,N. Jokić misses 2-pt jump shot from 9 ft,,0,0
1,10:24.0,Offensive rebound by N. Jokić,,0,0
1,10:22.0,N. Jokić makes 2-pt jump shot from 6 ft,,2,0
1,10:14.0,,Shooting foul by J. Murray (drawn by J. Harden),2,0
1,10:14.0,,J. Harden makes free throw 1 of 2,2,1
1,10:14.0,,J. Harden makes free throw 2 of 2,2,2
1,9:55.0,N. Jokić misses 2-pt layup from 1 ft,,2,2
1,9:53.0,,Defensive rebound by C. Capela,2,2
1,9:50.0,,Turnover by J. Harden (bad pass),2,2
1,9:44.0,G. Harris makes 3-pt jump shot from 25 ft (assist by J. Murray),,5,2
1,9:28.0,,Turnover by A. Rivers (traveling),5,2
1,9:07.0,T. Craig misses 3-pt jump shot from 26 ft,,5,2
1,9:05.0,,Defensive rebound by C. Capela,5,2
1,8:57.0,,J. Harden misses 3-pt jump shot from 26 ft,5,2
1,8:54.0,Defensive rebound by N. Jokić,,5,2
1,8:41.0,Turnover by J. Murray (bad pass; steal by P. Tucker),,5,2
1,8:38.0,,C. Capela misses 2-pt layup from 2 ft (block by N. Jokić),5,2
