QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MILWAUKEE_ACTION,MEMPHIS_SCORE,MILWAUKEE_SCORE
1,11:49.0,,Personal foul by M. Gasol (drawn by B. Lopez),0,0
1,11:45.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,0,0
1,11:43.0,Defensive rebound by M. Gasol,,0,0
1,11:24.0,M. Conley misses 3-pt jump shot from 29 ft,,0,0
1,11:21.0,,Defensive rebound by G. Antetokounmpo,0,0
1,11:10.0,,Personal foul by K. Anderson (drawn by G. Antetokounmpo),0,0
1,11:05.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by B. Lopez),0,2
1,10:54.0,Turnover by M. Gasol (bad pass; steal by G. Antetokounmpo),,0,2
1,10:50.0,,Turnover by G. Antetokounmpo (bad pass),0,2
1,10:28.0,M. Gasol makes 3-pt jump shot from 27 ft (assist by K. Anderson),,3,2
1,10:12.0,,Turnover by K. Middleton (bad pass; steal by J. Jackson),3,2
1,10:01.0,J. Jackson makes 2-pt layup from 4 ft,,5,2
1,9:46.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,5,2
1,9:43.0,,Offensive rebound by E. Bledsoe,5,2
1,9:41.0,,M. Brogdon misses 3-pt jump shot from 26 ft,5,2
1,9:38.0,Defensive rebound by K. Anderson,,5,2
1,9:31.0,M. Conley makes 2-pt layup from 3 ft,,7,2
1,9:03.0,,B. Lopez misses 3-pt jump shot from 28 ft,7,2
1,9:00.0,Defensive rebound by K. Anderson,,7,2
1,8:52.0,,Violation by Team (kicked ball),7,2
1,8:47.0,M. Gasol makes 3-pt jump shot from 27 ft (assist by K. Anderson),,10,2
1,8:46.0,,Milwaukee full timeout,10,2
1,8:28.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by B. Lopez),10,5
1,8:11.0,M. Gasol misses 3-pt jump shot from 27 ft,,10,5
1,8:08.0,,Defensive rebound by M. Brogdon,10,5
1,8:04.0,,M. Brogdon misses 3-pt jump shot from 26 ft,10,5
1,8:01.0,Defensive rebound by G. Temple,,10,5
1,7:59.0,K. Anderson misses 2-pt layup from 2 ft,,10,5
1,7:56.0,,Defensive rebound by E. Bledsoe,10,5
1,7:48.0,,K. Middleton misses 3-pt jump shot from 25 ft,10,5
1,7:46.0,Defensive rebound by K. Anderson,,10,5
1,7:29.0,M. Gasol makes 2-pt hook shot from 6 ft,,12,5
1,7:09.0,,Shooting foul by J. Jackson (drawn by G. Antetokounmpo),12,5
1,7:09.0,,G. Antetokounmpo makes free throw 1 of 2,12,6
1,7:09.0,,E. İlyasova enters the game for M. Brogdon,12,6
1,7:09.0,,G. Antetokounmpo makes free throw 2 of 2,12,7
1,6:52.0,J. Jackson makes 2-pt layup from 3 ft,,14,7
1,6:52.0,Shooting foul by G. Antetokounmpo (drawn by J. Jackson),,14,7
1,6:52.0,J. Jackson makes free throw 1 of 1,,15,7
