QUARTER,TIME_REMAINING,INDIANA_ACTION,SAN ANTONIO_ACTION,INDIANA_SCORE,SAN ANTONIO_SCORE
1,11:42.0,,R. Gay makes 2-pt jump shot from 11 ft,0,2
1,11:22.0,M. Turner makes 2-pt hook shot from 7 ft,,2,2
1,11:04.0,,L. Aldridge misses 3-pt jump shot from 27 ft,2,2
1,11:01.0,Defensive rebound by B. Bogdanović,,2,2
1,10:56.0,T. Young misses 2-pt jump shot from 19 ft,,2,2
1,10:51.0,,Defensive rebound by L. Aldridge,2,2
1,10:42.0,,Personal foul by B. Bogdanović (drawn by L. Aldridge),2,2
1,10:32.0,,Turnover by J. Poeltl (lost ball; steal by D. Collison),2,2
1,10:09.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by D. Collison),,5,2
1,9:47.0,,L. Aldridge makes 2-pt jump shot from 9 ft,5,4
1,9:26.0,T. Young makes 2-pt hook shot from 4 ft (assist by B. Bogdanović),,7,4
1,9:17.0,,San Antonio full timeout,7,4
1,9:09.0,,D. DeRozan misses 2-pt jump shot from 17 ft,7,4
1,9:06.0,,Offensive rebound by J. Poeltl,7,4
1,9:05.0,,Turnover by J. Poeltl (back court),7,4
1,8:51.0,T. Young makes 2-pt hook shot from 4 ft (assist by M. Turner),,9,4
1,8:30.0,,B. Forbes makes 3-pt jump shot from 24 ft (assist by L. Aldridge),9,7
1,8:12.0,M. Turner misses 2-pt jump shot from 15 ft,,9,7
1,8:09.0,,Defensive rebound by B. Forbes,9,7
1,8:00.0,,R. Gay makes 2-pt jump shot from 9 ft,9,9
1,7:44.0,D. Collison misses 2-pt jump shot from 14 ft,,9,9
1,7:40.0,,Defensive rebound by J. Poeltl,9,9
1,7:30.0,,L. Aldridge makes 2-pt jump shot from 5 ft (assist by R. Gay),9,11
1,7:18.0,Turnover by B. Bogdanović (bad pass; steal by R. Gay),,9,11
1,7:13.0,,B. Forbes misses 3-pt jump shot from 27 ft,9,11
1,7:10.0,Defensive rebound by M. Turner,,9,11
1,6:56.0,M. Turner misses 2-pt jump shot from 20 ft,,9,11
1,6:51.0,,Defensive rebound by R. Gay,9,11
1,6:35.0,,D. DeRozan misses 2-pt jump shot from 13 ft,9,11
1,6:32.0,Defensive rebound by B. Bogdanović,,9,11
1,6:28.0,Offensive foul by M. Turner (drawn by B. Forbes),,9,11
1,6:28.0,Turnover by M. Turner (offensive foul),,9,11
1,6:12.0,,L. Aldridge misses 2-pt jump shot from 5 ft (block by M. Turner),9,11
1,6:03.0,Defensive rebound by V. Oladipo,,9,11
1,5:57.0,M. Turner makes 2-pt jump shot from 16 ft,,11,11
1,5:30.0,,J. Poeltl makes 2-pt hook shot from 6 ft (assist by D. DeRozan),11,13
1,5:14.0,T. Young makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,14,13
1,4:53.0,,B. Forbes makes 2-pt jump shot from 21 ft,14,15
1,4:31.0,Turnover by T. Young (out of bounds lost ball),,14,15
1,4:31.0,,M. Belinelli enters the game for B. Forbes,14,15
