QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,INDIANA_ACTION,GOLDEN STATE_SCORE,INDIANA_SCORE
1,11:39.0,,B. Bogdanović misses 2-pt jump shot from 19 ft,0,0
1,11:36.0,Defensive rebound by J. Bell,,0,0
1,11:23.0,D. Cousins misses 2-pt layup from 3 ft (block by M. Turner),,0,0
1,11:21.0,,Defensive rebound by T. Young,0,0
1,11:18.0,,E. Sumner misses 3-pt jump shot from 23 ft,0,0
1,11:16.0,Defensive rebound by D. Cousins,,0,0
1,11:08.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Cousins),,2,0
1,10:57.0,,T. Young misses 3-pt jump shot from 26 ft,2,0
1,10:54.0,Defensive rebound by D. Cousins,,2,0
1,10:48.0,K. Thompson misses 3-pt jump shot from 26 ft,,2,0
1,10:45.0,,Defensive rebound by M. Turner,2,0
1,10:33.0,,Shooting foul by K. Thompson (drawn by M. Turner),2,0
1,10:33.0,,M. Turner makes free throw 1 of 2,2,1
1,10:33.0,,M. Turner makes free throw 2 of 2,2,2
1,10:16.0,J. Bell makes 2-pt dunk from 2 ft (assist by K. Durant),,4,2
1,10:01.0,,Turnover by D. Collison (bad pass; steal by S. Curry),4,2
1,9:59.0,Offensive foul by S. Curry (drawn by D. Collison),,4,2
1,9:59.0,Turnover by S. Curry (offensive foul),,4,2
1,9:44.0,,Shooting foul by K. Durant (drawn by B. Bogdanović),4,2
1,9:44.0,,B. Bogdanović makes free throw 1 of 2,4,3
1,9:44.0,,B. Bogdanović makes free throw 2 of 2,4,4
1,9:32.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by S. Curry),,6,4
1,9:16.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),6,6
1,9:02.0,D. Cousins makes 2-pt layup from 1 ft,,8,6
1,8:47.0,,Turnover by B. Bogdanović (off goaltending),8,6
1,8:35.0,Personal foul by B. Bogdanović (drawn by S. Curry),,8,6
1,8:21.0,K. Durant misses 3-pt jump shot from 29 ft,,8,6
1,8:21.0,Offensive rebound by Team,,8,6
1,8:21.0,Turnover by Team (shot clock),,8,6
1,8:09.0,,T. Young misses 2-pt hook shot from 7 ft,8,6
1,8:06.0,Defensive rebound by K. Durant,,8,6
1,8:00.0,K. Durant misses 2-pt layup from 6 ft,,8,6
1,7:58.0,Offensive rebound by K. Durant,,8,6
1,7:57.0,K. Durant makes 2-pt jump shot from 9 ft,,10,6
1,7:37.0,,Turnover by D. Collison (bad pass; steal by J. Bell),10,6
1,7:35.0,Flagrant foul type 1 by M. Turner (drawn by D. Cousins),,10,6
1,7:35.0,D. Cousins makes flagrant free throw 1 of 2,,11,6
1,7:35.0,D. Cousins makes flagrant free throw 2 of 2,,12,6
1,7:30.0,Personal foul by E. Sumner (drawn by K. Thompson),,12,6
1,7:26.0,K. Thompson misses 3-pt jump shot from 29 ft,,12,6
1,7:23.0,,Defensive rebound by B. Bogdanović,12,6
1,7:17.0,,Personal foul by K. Durant (drawn by M. Turner),12,6
1,7:09.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Collison),12,9
1,6:54.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by S. Curry),,15,9
1,6:33.0,,E. Sumner makes 2-pt layup at rim (assist by T. Young),15,11
1,6:29.0,Golden State full timeout,,15,11
1,6:15.0,Shooting foul by T. Young (drawn by D. Cousins),,15,11
1,6:15.0,D. Cousins makes free throw 1 of 2,,16,11
1,6:15.0,A. Iguodala enters the game for J. Bell,,16,11
1,6:15.0,D. Cousins misses free throw 2 of 2,,16,11
1,6:14.0,,Defensive rebound by M. Turner,16,11
1,6:02.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),16,13
1,5:54.0,K. Durant misses 3-pt jump shot from 31 ft,,16,13
1,5:51.0,,Defensive rebound by M. Turner,16,13
1,5:35.0,,B. Bogdanović misses 2-pt jump shot from 12 ft (block by A. Iguodala),16,13
1,5:35.0,,Offensive rebound by Team,16,13
1,5:30.0,,D. Collison makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),16,16
1,5:18.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Cousins),,19,16
1,5:05.0,,M. Turner misses 3-pt jump shot from 26 ft,19,16
1,5:01.0,Defensive rebound by S. Curry,,19,16
1,4:57.0,D. Cousins misses 2-pt layup from 3 ft,,19,16
1,4:53.0,Offensive rebound by S. Curry,,19,16
1,4:51.0,S. Curry makes 3-pt jump shot from 23 ft,,22,16
1,4:44.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,22,16
1,4:41.0,Defensive rebound by K. Thompson,,22,16
1,4:24.0,Offensive foul by D. Cousins (drawn by T. Young),,22,16
1,4:24.0,Turnover by D. Cousins (offensive foul),,22,16
1,4:24.0,K. Looney enters the game for D. Cousins,,22,16
1,4:24.0,,C. Joseph enters the game for E. Sumner,22,16
1,4:24.0,,D. Sabonis enters the game for T. Young,22,16
1,4:13.0,,M. Turner misses 2-pt jump shot from 18 ft,22,16
1,4:10.0,Defensive rebound by K. Thompson,,22,16
1,3:59.0,S. Curry makes 2-pt jump shot from 5 ft,,24,16
1,3:50.0,,Indiana full timeout,24,16
1,3:50.0,A. McKinnie enters the game for K. Thompson,,24,16
1,3:39.0,,D. Collison misses 2-pt jump shot from 17 ft,24,16
1,3:36.0,,Offensive rebound by D. Sabonis,24,16
1,3:36.0,,Personal foul by A. McKinnie (drawn by D. Sabonis),24,16
1,3:29.0,,Personal foul by S. Curry (drawn by D. Collison),24,16
1,3:29.0,,D. Collison misses free throw 1 of 2,24,16
1,3:29.0,,Offensive rebound by Team,24,16
1,3:29.0,Q. Cook enters the game for S. Curry,,24,16
1,3:29.0,,D. Collison makes free throw 2 of 2,24,17
1,3:11.0,A. Iguodala makes 2-pt jump shot from 20 ft (assist by Q. Cook),,26,17
1,2:50.0,,D. Sabonis misses 2-pt jump shot from 7 ft,26,17
1,2:46.0,Defensive rebound by Q. Cook,,26,17
1,2:39.0,K. Looney makes 2-pt jump shot from 15 ft (assist by A. McKinnie),,28,17
1,2:26.0,,Turnover by B. Bogdanović (bad pass; steal by A. McKinnie),28,17
1,2:17.0,A. Iguodala makes 2-pt dunk from 2 ft (assist by K. Durant),,30,17
1,2:09.0,,Turnover by C. Joseph (lost ball; steal by A. Iguodala),30,17
1,2:05.0,K. Durant makes 2-pt dunk from 1 ft (assist by A. Iguodala),,32,17
1,2:05.0,,Indiana full timeout,32,17
1,2:05.0,,A. Holiday enters the game for D. Collison,32,17
1,2:05.0,,T. Leaf enters the game for M. Turner,32,17
1,1:53.0,,C. Joseph makes 2-pt jump shot from 19 ft,32,19
1,1:37.0,K. Durant makes 2-pt dunk from 1 ft (assist by A. Iguodala),,34,19
1,1:26.0,,A. Holiday misses 3-pt jump shot from 28 ft,34,19
1,1:23.0,Defensive rebound by K. Looney,,34,19
1,1:12.0,K. Durant makes 2-pt jump shot from 6 ft (assist by Q. Cook),,36,19
1,0:55.0,,T. Leaf misses 2-pt jump shot from 5 ft,36,19
1,0:54.0,Defensive rebound by Team,,36,19
1,0:54.0,,Loose ball foul by D. Sabonis (drawn by A. Iguodala),36,19
1,0:54.0,A. Iguodala makes free throw 1 of 2,,37,19
1,0:54.0,,D. McDermott enters the game for B. Bogdanović,37,19
1,0:54.0,A. Iguodala makes free throw 2 of 2,,38,19
1,0:30.0,,D. Sabonis misses 2-pt layup from 2 ft,38,19
1,0:28.0,Defensive rebound by Team,,38,19
1,0:28.0,,Loose ball foul by D. Sabonis (drawn by K. Looney),38,19
1,0:28.0,K. Looney makes free throw 1 of 2,,39,19
1,0:28.0,K. Looney makes free throw 2 of 2,,40,19
1,0:03.0,,A. Holiday makes 3-pt jump shot from 24 ft (assist by C. Joseph),40,22
1,0:01.0,K. Durant misses 3-pt jump shot from 38 ft,,40,22
1,0:01.0,Offensive rebound by Team,,40,22
2,11:43.0,K. Thompson makes 2-pt layup from 2 ft,,42,22
2,11:32.0,,D. McDermott misses 2-pt jump shot from 18 ft,42,22
2,11:29.0,,Offensive rebound by T. Leaf,42,22
2,11:29.0,,T. Leaf makes 2-pt dunk from 1 ft,42,24
2,11:13.0,K. Thompson makes 2-pt dunk from 1 ft (assist by A. Iguodala),,44,24
2,11:04.0,,Indiana full timeout,44,24
2,10:49.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by A. Holiday),44,26
2,10:36.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Livingston),,46,26
2,10:24.0,,Personal foul by D. Cousins (drawn by D. Sabonis),46,26
2,10:18.0,,T. Leaf misses 3-pt jump shot from 27 ft,46,26
2,10:15.0,Defensive rebound by Q. Cook,,46,26
2,10:05.0,D. Cousins misses 2-pt layup from 2 ft,,46,26
2,10:04.0,,Defensive rebound by D. Sabonis,46,26
2,9:49.0,,C. Joseph misses 2-pt jump shot from 21 ft,46,26
2,9:45.0,Defensive rebound by A. Iguodala,,46,26
2,9:42.0,Personal foul by C. Joseph (drawn by D. Cousins),,46,26
2,9:42.0,J. Bell enters the game for A. Iguodala,,46,26
2,9:42.0,,T. Young enters the game for T. Leaf,46,26
2,9:36.0,Personal foul by T. Young (drawn by J. Bell),,46,26
2,9:23.0,K. Thompson misses 2-pt jump shot from 12 ft,,46,26
2,9:20.0,,Defensive rebound by T. Young,46,26
2,9:17.0,,Personal foul by Q. Cook (drawn by A. Holiday),46,26
2,9:13.0,,Turnover by C. Joseph (dbl dribble),46,26
2,9:02.0,Personal foul by D. McDermott (drawn by D. Cousins),,46,26
2,8:52.0,D. Cousins misses 2-pt jump shot from 9 ft,,46,26
2,8:49.0,,Defensive rebound by C. Joseph,46,26
2,8:42.0,,C. Joseph misses 3-pt jump shot from 27 ft,46,26
2,8:39.0,Defensive rebound by D. Cousins,,46,26
2,8:30.0,Q. Cook makes 2-pt jump shot from 14 ft,,48,26
2,8:21.0,,T. Young makes 2-pt layup from 5 ft (assist by A. Holiday),48,28
2,7:58.0,S. Livingston makes 2-pt jump shot from 8 ft (assist by Q. Cook),,50,28
2,7:49.0,,D. McDermott makes 3-pt jump shot from 28 ft (assist by C. Joseph),50,31
2,7:39.0,Golden State full timeout,,50,31
2,7:39.0,S. Curry enters the game for Q. Cook,,50,31
2,7:39.0,M. Derrickson enters the game for D. Cousins,,50,31
2,7:27.0,J. Bell misses 2-pt jump shot from 20 ft,,50,31
2,7:24.0,,Defensive rebound by D. McDermott,50,31
2,7:05.0,,Offensive foul by D. Sabonis (drawn by J. Bell),50,31
