QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
1,11:44.0,J. Allen misses 2-pt layup at rim,,0,0
1,11:42.0,,Defensive rebound by T. Thompson,0,0
1,11:28.0,,C. Osman makes 2-pt jump shot from 16 ft,0,2
1,11:14.0,C. LeVert misses 2-pt layup from 3 ft,,0,2
1,11:11.0,,Defensive rebound by K. Love,0,2
1,11:01.0,,T. Thompson misses 2-pt layup from 2 ft,0,2
1,10:59.0,Defensive rebound by J. Dudley,,0,2
1,10:47.0,D. Russell misses 3-pt jump shot from 23 ft,,0,2
1,10:44.0,,Defensive rebound by R. Hood,0,2
1,10:35.0,,R. Hood misses 2-pt jump shot from 11 ft,0,2
1,10:32.0,Defensive rebound by J. Harris,,0,2
1,10:20.0,J. Dudley makes 3-pt jump shot from 23 ft (assist by C. LeVert),,3,2
1,10:00.0,,T. Thompson misses 2-pt jump shot from 13 ft,3,2
1,9:58.0,,Offensive rebound by T. Thompson,3,2
1,9:53.0,,G. Hill makes 2-pt jump shot from 17 ft,3,4
1,9:39.0,D. Russell makes 2-pt jump shot from 15 ft,,5,4
1,9:39.0,Shooting foul by C. Osman (drawn by D. Russell),,5,4
1,9:39.0,D. Russell makes free throw 1 of 1,,6,4
1,9:25.0,,R. Hood makes 2-pt jump shot from 9 ft (assist by T. Thompson),6,6
1,9:15.0,J. Harris makes 3-pt jump shot from 27 ft (assist by J. Allen),,9,6
1,9:03.0,,C. Osman misses 2-pt layup from 1 ft,9,6
1,9:02.0,,Offensive rebound by T. Thompson,9,6
1,9:00.0,,K. Love makes 3-pt jump shot from 26 ft (assist by T. Thompson),9,9
1,8:58.0,Brooklyn full timeout,,9,9
1,8:38.0,D. Russell misses 2-pt jump shot from 20 ft,,9,9
1,8:35.0,,Defensive rebound by T. Thompson,9,9
1,8:24.0,,T. Thompson misses 2-pt layup from 2 ft (block by J. Allen),9,9
1,8:21.0,Defensive rebound by J. Allen,,9,9
1,8:16.0,,Violation by Team (kicked ball),9,9
1,8:08.0,J. Allen makes 2-pt dunk from 2 ft (assist by C. LeVert),,11,9
1,7:52.0,,Turnover by C. Osman (bad pass; steal by J. Allen),11,9
1,7:44.0,D. Russell misses 2-pt jump shot from 6 ft,,11,9
1,7:42.0,,Defensive rebound by K. Love,11,9
1,7:33.0,,G. Hill makes 2-pt jump shot from 15 ft,11,11
1,7:15.0,J. Harris misses 2-pt jump shot from 13 ft,,11,11
1,7:12.0,,Defensive rebound by T. Thompson,11,11
1,7:05.0,,C. Osman misses 3-pt jump shot from 26 ft,11,11
1,7:03.0,Defensive rebound by C. LeVert,,11,11
1,6:56.0,C. LeVert misses 2-pt jump shot from 11 ft,,11,11
1,6:54.0,,Defensive rebound by C. Osman,11,11
1,6:54.0,,Personal foul by J. Dudley (drawn by C. Osman),11,11
1,6:52.0,,Personal foul by J. Harris (drawn by R. Hood),11,11
1,6:49.0,,K. Love misses 2-pt jump shot from 17 ft,11,11
1,6:44.0,,Offensive rebound by T. Thompson,11,11
1,6:44.0,,T. Thompson misses 2-pt layup at rim,11,11
1,6:43.0,Defensive rebound by J. Allen,,11,11
1,6:33.0,D. Russell makes 2-pt jump shot from 12 ft,,13,11
1,6:18.0,,R. Hood misses 2-pt jump shot from 9 ft,13,11
1,6:13.0,,Offensive rebound by R. Hood,13,11
1,6:13.0,,R. Hood misses 2-pt dunk at rim,13,11
1,6:12.0,Defensive rebound by J. Allen,,13,11
1,6:06.0,J. Dudley misses 3-pt jump shot from 25 ft,,13,11
1,6:04.0,,Defensive rebound by K. Love,13,11
1,5:56.0,,K. Love misses 3-pt jump shot from 26 ft,13,11
1,5:53.0,Defensive rebound by J. Allen,,13,11
1,5:46.0,C. LeVert misses 3-pt jump shot from 26 ft,,13,11
1,5:43.0,,Defensive rebound by K. Love,13,11
