QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
1,11:43.0,,K. Lowry misses 3-pt jump shot from 24 ft,0,0
1,11:41.0,,Offensive rebound by Team,0,0
1,11:33.0,,P. Siakam misses 3-pt jump shot from 25 ft,0,0
1,11:30.0,Defensive rebound by K. Thompson,,0,0
1,11:24.0,K. Thompson misses 2-pt jump shot from 14 ft,,0,0
1,11:21.0,Offensive rebound by D. Green,,0,0
1,11:09.0,A. Iguodala misses 2-pt jump shot from 10 ft,,0,0
1,11:06.0,,Defensive rebound by K. Leonard,0,0
1,10:58.0,,Personal foul by D. Cousins (drawn by K. Leonard),0,0
1,10:49.0,,K. Leonard makes 2-pt jump shot from 19 ft,0,2
1,10:30.0,S. Curry misses 3-pt jump shot from 26 ft,,0,2
1,10:28.0,Offensive rebound by D. Cousins,,0,2
1,10:21.0,D. Cousins misses 2-pt jump shot from 7 ft,,0,2
1,10:19.0,,Defensive rebound by P. Siakam,0,2
1,10:13.0,,M. Gasol misses 3-pt jump shot from 25 ft,0,2
1,10:10.0,Defensive rebound by D. Green,,0,2
1,10:04.0,Personal foul by M. Gasol (drawn by D. Cousins),,0,2
1,9:54.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by A. Iguodala),,3,2
1,9:36.0,,K. Leonard makes 3-pt jump shot from 27 ft,3,5
1,9:22.0,D. Green misses 3-pt jump shot from 26 ft,,3,5
1,9:19.0,,Defensive rebound by M. Gasol,3,5
1,9:15.0,,P. Siakam misses 2-pt jump shot from 5 ft,3,5
1,9:15.0,Defensive rebound by S. Curry,,3,5
1,9:06.0,D. Green misses 2-pt hook shot from 6 ft,,3,5
1,9:04.0,,Defensive rebound by M. Gasol,3,5
1,8:55.0,,K. Lowry misses 2-pt jump shot from 20 ft,3,5
1,8:52.0,Defensive rebound by S. Curry,,3,5
1,8:43.0,K. Thompson makes 2-pt jump shot from 17 ft,,5,5
1,8:29.0,,K. Leonard misses 3-pt jump shot from 27 ft,5,5
1,8:27.0,Defensive rebound by D. Green,,5,5
1,8:26.0,Turnover by D. Green (traveling),,5,5
1,8:18.0,,Shooting foul by D. Cousins (drawn by M. Gasol),5,5
1,8:18.0,,M. Gasol makes free throw 1 of 2,5,6
1,8:18.0,,M. Gasol makes free throw 2 of 2,5,7
1,8:01.0,D. Green misses 2-pt hook shot from 8 ft,,5,7
1,7:59.0,,Defensive rebound by M. Gasol,5,7
1,7:51.0,,Turnover by K. Leonard (traveling),5,7
1,7:33.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,8,7
1,7:16.0,,Turnover by D. Green (bad pass; steal by K. Thompson),8,7
1,7:14.0,Shooting foul by K. Lowry (drawn by K. Thompson),,8,7
1,7:14.0,K. Thompson makes free throw 1 of 2,,9,7
1,7:14.0,K. Thompson misses free throw 2 of 2,,9,7
1,7:13.0,,Defensive rebound by K. Leonard,9,7
1,7:05.0,,K. Leonard misses 3-pt jump shot from 26 ft,9,7
1,7:03.0,Defensive rebound by K. Thompson,,9,7
1,6:56.0,Personal foul by P. Siakam (drawn by K. Thompson),,9,7
