QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
1,11:43.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Griffin),0,3
1,11:27.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,2,3
1,11:19.0,,Turnover by B. Griffin (bad pass),2,3
1,11:11.0,K. Middleton misses 2-pt jump shot from 12 ft,,2,3
1,11:09.0,,Defensive rebound by A. Drummond,2,3
1,11:00.0,,R. Bullock makes 2-pt jump shot from 19 ft (assist by B. Griffin),2,5
1,10:47.0,B. Lopez misses 3-pt jump shot from 26 ft,,2,5
1,10:44.0,,Defensive rebound by B. Griffin,2,5
1,10:43.0,,Personal foul by B. Lopez (drawn by A. Drummond),2,5
1,10:32.0,,B. Griffin misses 3-pt jump shot from 26 ft,2,5
1,10:28.0,Defensive rebound by K. Middleton,,2,5
1,10:18.0,T. Snell misses 3-pt jump shot from 26 ft,,2,5
1,10:14.0,,Defensive rebound by B. Griffin,2,5
1,10:11.0,,Personal foul by G. Antetokounmpo (drawn by B. Griffin),2,5
1,10:01.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),2,8
1,9:49.0,G. Antetokounmpo misses 3-pt jump shot from 30 ft,,2,8
1,9:46.0,,Defensive rebound by B. Griffin,2,8
1,9:41.0,,B. Griffin misses 3-pt jump shot from 26 ft,2,8
1,9:40.0,Defensive rebound by Team,,2,8
1,9:29.0,E. Bledsoe misses 2-pt jump shot from 21 ft,,2,8
1,9:26.0,Offensive rebound by T. Snell,,2,8
1,9:13.0,T. Snell misses 2-pt layup from 2 ft,,2,8
1,9:10.0,,Defensive rebound by B. Griffin,2,8
1,9:07.0,,A. Drummond misses 2-pt layup from 2 ft,2,8
1,9:04.0,Defensive rebound by G. Antetokounmpo,,2,8
1,9:02.0,Offensive foul by G. Antetokounmpo (drawn by B. Griffin),,2,8
1,9:02.0,Turnover by G. Antetokounmpo (offensive foul),,2,8
1,9:02.0,D. Wilson enters the game for G. Antetokounmpo,,2,8
1,8:46.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),2,10
1,8:45.0,Milwaukee full timeout,,2,10
1,8:30.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Lopez),,5,10
1,8:15.0,,R. Bullock makes 2-pt layup at rim (assist by A. Drummond),5,12
1,8:03.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Lopez),,8,12
1,7:34.0,,Turnover by B. Griffin (bad pass; steal by B. Lopez),8,12
1,7:23.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by B. Lopez),,10,12
1,7:11.0,,R. Bullock misses 3-pt jump shot from 25 ft,10,12
1,7:08.0,Defensive rebound by T. Snell,,10,12
1,6:54.0,T. Snell makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,13,12
1,6:39.0,,Offensive foul by R. Bullock (drawn by K. Middleton),13,12
1,6:39.0,,Turnover by R. Bullock (offensive foul),13,12
1,6:24.0,Shooting foul by R. Bullock (drawn by K. Middleton),,13,12
1,6:24.0,K. Middleton misses free throw 1 of 2,,13,12
1,6:24.0,Offensive rebound by Team,,13,12
1,6:24.0,,L. Galloway enters the game for R. Bullock,13,12
1,6:24.0,K. Middleton makes free throw 2 of 2,,14,12
1,6:16.0,,Personal foul by T. Snell (drawn by L. Galloway),14,12
1,6:16.0,S. Brown enters the game for T. Snell,,14,12
1,6:08.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),14,15
1,5:46.0,B. Lopez misses 2-pt jump shot from 14 ft,,14,15
1,5:44.0,,Defensive rebound by A. Drummond,14,15
1,5:36.0,,Personal foul by D. Wilson (drawn by B. Griffin),14,15
1,5:27.0,,R. Jackson makes 2-pt jump shot from 18 ft,14,17
1,5:16.0,Personal foul by L. Galloway (drawn by K. Middleton),,14,17
1,5:16.0,T. Maker enters the game for B. Lopez,,14,17
1,5:11.0,S. Brown makes 2-pt layup from 1 ft (assist by T. Maker),,16,17
1,5:11.0,,Detroit full timeout,16,17
1,4:59.0,,Personal foul by E. Bledsoe (drawn by B. Griffin),16,17
1,4:59.0,,B. Griffin makes free throw 1 of 2,16,18
1,4:59.0,,B. Griffin misses free throw 2 of 2,16,18
1,4:56.0,,Offensive rebound by A. Drummond,16,18
1,4:54.0,,R. Jackson misses 3-pt jump shot from 22 ft,16,18
1,4:50.0,Defensive rebound by T. Maker,,16,18
1,4:38.0,D. Wilson makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),,19,18
1,4:26.0,,B. Griffin makes 2-pt layup from 4 ft (assist by R. Jackson),19,20
1,4:11.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,19,20
1,4:08.0,,Defensive rebound by B. Griffin,19,20
1,4:04.0,,L. Kennard makes 3-pt jump shot from 25 ft (assist by B. Griffin),19,23
1,3:37.0,K. Middleton misses 3-pt jump shot from 25 ft,,19,23
1,3:35.0,,Defensive rebound by B. Griffin,19,23
1,3:21.0,,L. Galloway misses 2-pt layup from 3 ft,19,23
1,3:19.0,,Offensive rebound by A. Drummond,19,23
1,3:17.0,,L. Kennard misses 3-pt jump shot from 26 ft,19,23
1,3:13.0,Defensive rebound by T. Maker,,19,23
1,3:05.0,Shooting foul by L. Galloway (drawn by E. Bledsoe),,19,23
1,3:05.0,G. Antetokounmpo enters the game for K. Middleton,,19,23
1,3:05.0,G. Hill enters the game for D. Wilson,,19,23
1,3:05.0,,J. Calderón enters the game for B. Griffin,19,23
1,3:05.0,,S. Johnson enters the game for R. Jackson,19,23
1,3:05.0,E. Bledsoe makes free throw 1 of 2,,20,23
1,3:05.0,E. Bledsoe makes free throw 2 of 2,,21,23
1,2:45.0,,A. Drummond misses 2-pt hook shot from 5 ft,21,23
1,2:43.0,Defensive rebound by E. Bledsoe,,21,23
1,2:32.0,T. Maker makes 2-pt hook shot from 5 ft (assist by S. Brown),,23,23
1,2:23.0,,J. Calderón makes 2-pt jump shot from 16 ft,23,25
1,2:03.0,Turnover by G. Antetokounmpo (bad pass),,23,25
1,2:03.0,D. DiVincenzo enters the game for E. Bledsoe,,23,25
1,1:46.0,,A. Drummond misses 2-pt hook shot from 6 ft,23,25
1,1:45.0,Defensive rebound by D. DiVincenzo,,23,25
1,1:37.0,G. Hill misses 2-pt jump shot from 19 ft,,23,25
1,1:34.0,,Defensive rebound by A. Drummond,23,25
1,1:24.0,,S. Johnson misses 3-pt jump shot from 25 ft,23,25
1,1:22.0,,Offensive rebound by J. Calderón,23,25
1,1:12.0,,S. Johnson makes 2-pt layup from 2 ft,23,27
1,0:57.0,G. Hill misses 3-pt jump shot from 25 ft,,23,27
1,0:55.0,,Defensive rebound by A. Drummond,23,27
