QUARTER,TIME_REMAINING,BOSTON_ACTION,CHICAGO_ACTION,BOSTON_SCORE,CHICAGO_SCORE
1,11:45.0,,Turnover by K. Dunn (traveling),0,0
1,11:35.0,J. Tatum makes 2-pt layup from 2 ft (assist by M. Morris),,2,0
1,11:18.0,,L. Markkanen misses 3-pt jump shot from 22 ft,2,0
1,11:15.0,Defensive rebound by M. Smart,,2,0
1,11:08.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart),,5,0
1,10:54.0,,O. Porter misses 3-pt jump shot from 25 ft,5,0
1,10:49.0,Defensive rebound by M. Smart,,5,0
1,10:43.0,J. Tatum makes 2-pt jump shot from 18 ft (assist by M. Smart),,7,0
1,10:43.0,,Chicago full timeout,7,0
1,10:16.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by O. Porter),7,2
1,10:04.0,K. Irving misses 2-pt jump shot from 8 ft,,7,2
1,10:00.0,,Defensive rebound by L. Markkanen,7,2
1,9:55.0,,R. Lopez makes 2-pt layup from 2 ft (assist by K. Dunn),7,4
1,9:55.0,,Shooting foul by J. Tatum (drawn by R. Lopez),7,4
1,9:55.0,,R. Lopez makes free throw 1 of 1,7,5
1,9:40.0,M. Morris misses 3-pt jump shot from 25 ft,,7,5
1,9:36.0,,Defensive rebound by R. Lopez,7,5
1,9:35.0,,Offensive foul by O. Porter (drawn by M. Smart),7,5
1,9:35.0,,Turnover by O. Porter (offensive foul),7,5
1,9:23.0,A. Horford makes 2-pt jump shot from 14 ft (assist by K. Irving),,9,5
1,9:12.0,,L. Markkanen misses 3-pt jump shot from 27 ft,9,5
1,9:09.0,,Offensive rebound by R. Lopez,9,5
1,9:07.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by R. Lopez),9,7
1,8:56.0,A. Horford makes 2-pt jump shot from 15 ft (assist by K. Irving),,11,7
1,8:33.0,,R. Lopez misses 2-pt hook shot from 2 ft,11,7
1,8:31.0,Defensive rebound by M. Smart,,11,7
1,8:24.0,K. Irving makes 2-pt layup from 1 ft,,13,7
1,8:15.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by K. Dunn),13,10
1,8:02.0,K. Irving misses 3-pt jump shot from 26 ft,,13,10
1,8:00.0,,Defensive rebound by Z. LaVine,13,10
1,7:56.0,,Z. LaVine makes 3-pt jump shot from 26 ft,13,13
