QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PORTLAND_ACTION,BROOKLYN_SCORE,PORTLAND_SCORE
1,11:44.0,D. Russell misses 3-pt jump shot from 28 ft,,0,0
1,11:43.0,,Defensive rebound by A. Aminu,0,0
1,11:34.0,,D. Lillard makes 3-pt jump shot from 26 ft,0,3
1,11:15.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by J. Harris),,3,3
1,10:51.0,,M. Harkless misses 3-pt jump shot from 24 ft,3,3
1,10:48.0,,Offensive rebound by J. Nurkić,3,3
1,10:44.0,,J. Layman misses 3-pt jump shot from 24 ft,3,3
1,10:42.0,Defensive rebound by J. Allen,,3,3
1,10:37.0,J. Harris misses 3-pt jump shot from 25 ft,,3,3
1,10:35.0,,Defensive rebound by J. Nurkić,3,3
1,10:27.0,,J. Nurkić makes 2-pt jump shot from 20 ft (assist by A. Aminu),3,5
1,10:15.0,D. Russell makes 2-pt layup from 1 ft,,5,5
1,10:00.0,,J. Nurkić misses 2-pt jump shot from 19 ft,5,5
1,9:59.0,Defensive rebound by D. Carroll,,5,5
1,9:49.0,J. Allen misses 2-pt layup from 3 ft,,5,5
1,9:46.0,Offensive rebound by D. Russell,,5,5
1,9:44.0,D. Russell makes 3-pt jump shot from 29 ft,,8,5
1,9:25.0,,Turnover by A. Aminu (lost ball; steal by D. Russell),8,5
1,9:19.0,R. Kurucs misses 3-pt jump shot from 25 ft,,8,5
1,9:18.0,Offensive rebound by D. Carroll,,8,5
1,9:08.0,J. Allen misses 2-pt hook shot from 3 ft,,8,5
1,9:06.0,Offensive rebound by J. Allen,,8,5
1,9:04.0,Turnover by J. Allen (lost ball; steal by D. Lillard),,8,5
1,8:53.0,,D. Lillard misses 2-pt jump shot from 21 ft,8,5
1,8:50.0,Defensive rebound by R. Kurucs,,8,5
1,8:36.0,D. Russell makes 2-pt jump shot from 16 ft,,10,5
1,8:20.0,,D. Lillard makes 2-pt jump shot from 15 ft,10,7
1,8:11.0,D. Carroll makes 3-pt jump shot from 27 ft (assist by D. Russell),,13,7
1,8:11.0,,Portland full timeout,13,7
1,7:56.0,,Shooting foul by J. Allen (drawn by J. Nurkić),13,7
1,7:56.0,,J. Nurkić misses free throw 1 of 2,13,7
1,7:56.0,,Offensive rebound by Team,13,7
1,7:56.0,,J. Nurkić makes free throw 2 of 2,13,8
1,7:50.0,R. Kurucs makes 2-pt dunk at rim (assist by D. Russell),,15,8
1,7:31.0,,M. Harkless misses 2-pt layup from 2 ft,15,8
1,7:29.0,,Offensive rebound by J. Nurkić,15,8
1,7:29.0,,J. Nurkić makes 2-pt dunk from 1 ft,15,10
1,7:19.0,Shooting foul by J. Nurkić (drawn by J. Allen),,15,10
1,7:19.0,J. Allen makes free throw 1 of 2,,16,10
1,7:19.0,J. Allen misses free throw 2 of 2,,16,10
1,7:17.0,,Defensive rebound by J. Nurkić,16,10
1,7:08.0,,D. Lillard makes 2-pt jump shot from 20 ft,16,12
