QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,INDIANA_ACTION,LA CLIPPERS_SCORE,INDIANA_SCORE
1,11:37.0,Turnover by M. Harrell (lost ball; steal by T. Young),,0,0
1,11:36.0,,Turnover by T. Young (lost ball; steal by M. Harrell),0,0
1,11:33.0,D. Gallinari makes 3-pt jump shot from 28 ft (assist by M. Harrell),,3,0
1,11:16.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),3,2
1,11:03.0,Turnover by S. Thornwell (bad pass; steal by T. Young),,3,2
1,10:50.0,,M. Turner makes 2-pt layup from 1 ft,3,4
1,10:35.0,M. Harrell makes 2-pt layup from 1 ft (assist by D. Gallinari),,5,4
1,10:10.0,,B. Bogdanović misses 2-pt layup at rim,5,4
1,10:08.0,,Offensive rebound by B. Bogdanović,5,4
1,10:04.0,,B. Bogdanović makes 2-pt jump shot from 18 ft,5,6
1,9:51.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Turner),,5,6
1,9:45.0,,M. Turner makes 3-pt jump shot from 28 ft (assist by D. Collison),5,9
1,9:23.0,M. Harrell makes 2-pt dunk from 1 ft (assist by D. Gallinari),,7,9
1,9:07.0,,M. Turner misses 2-pt layup at rim (block by D. Gallinari),7,9
1,9:04.0,,Offensive rebound by M. Turner,7,9
1,8:59.0,,T. Young makes 2-pt dunk from 1 ft (assist by M. Turner),7,11
1,8:46.0,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft,,9,11
1,8:24.0,,T. Evans misses 2-pt jump shot from 19 ft,9,11
1,8:21.0,Defensive rebound by D. Gallinari,,9,11
1,8:14.0,D. Gallinari makes 3-pt jump shot from 28 ft (assist by M. Harrell),,12,11
1,7:59.0,Violation by Team (kicked ball),,12,11
1,7:53.0,,Personal foul by S. Gilgeous-Alexander (drawn by B. Bogdanović),12,11
1,7:42.0,,B. Bogdanović makes 2-pt dunk from 2 ft,12,13
1,7:42.0,,Shooting foul by M. Harrell (drawn by B. Bogdanović),12,13
1,7:42.0,,B. Bogdanović makes free throw 1 of 1,12,14
1,7:21.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,15,14
1,7:04.0,,Turnover by B. Bogdanović (bad pass; steal by S. Thornwell),15,14
