QUARTER,TIME_REMAINING,MEMPHIS_ACTION,TORONTO_ACTION,MEMPHIS_SCORE,TORONTO_SCORE
1,11:44.0,,Violation by Team (kicked ball),0,0
1,11:36.0,J. Green misses 3-pt jump shot from 26 ft,,0,0
1,11:32.0,,Defensive rebound by S. Ibaka,0,0
1,11:18.0,,K. Lowry misses 2-pt jump shot from 17 ft,0,0
1,11:16.0,Defensive rebound by J. Green,,0,0
1,11:02.0,G. Temple misses 2-pt jump shot from 18 ft,,0,0
1,10:58.0,,Defensive rebound by D. Green,0,0
1,10:41.0,,S. Ibaka misses 2-pt jump shot from 15 ft,0,0
1,10:39.0,Defensive rebound by J. Green,,0,0
1,10:26.0,J. Green misses 2-pt dunk from 1 ft,,0,0
1,10:23.0,Offensive rebound by J. Green,,0,0
1,10:21.0,J. Green misses 3-pt jump shot from 26 ft,,0,0
1,10:18.0,,Defensive rebound by D. Green,0,0
1,10:08.0,,S. Ibaka makes 2-pt layup from 1 ft,0,2
1,9:49.0,M. Conley misses 2-pt jump shot from 6 ft (block by D. Green),,0,2
1,9:47.0,,Defensive rebound by P. Siakam,0,2
1,9:44.0,,P. Siakam misses 2-pt jump shot from 6 ft,0,2
1,9:41.0,Defensive rebound by J. Holiday,,0,2
1,9:32.0,Personal foul by D. Green (drawn by G. Temple),,0,2
1,9:25.0,J. Holiday misses 3-pt jump shot from 26 ft,,0,2
1,9:21.0,,Defensive rebound by D. Green,0,2
1,9:11.0,,K. Lowry makes 2-pt jump shot from 22 ft,0,4
1,8:49.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Conley),,3,4
1,8:33.0,,S. Ibaka misses 2-pt jump shot from 7 ft,3,4
1,8:31.0,Defensive rebound by J. Jackson,,3,4
1,8:19.0,J. Green misses 2-pt jump shot from 14 ft,,3,4
1,8:16.0,,Defensive rebound by K. Lowry,3,4
1,8:11.0,,S. Ibaka makes 2-pt hook shot from 4 ft (assist by P. Siakam),3,6
1,7:51.0,Turnover by J. Holiday (bad pass),,3,6
1,7:39.0,,D. Green misses 3-pt jump shot from 23 ft,3,6
1,7:37.0,Defensive rebound by J. Jackson,,3,6
1,7:27.0,J. Holiday misses 3-pt jump shot from 25 ft,,3,6
1,7:24.0,,Defensive rebound by P. Siakam,3,6
1,7:01.0,,F. VanVleet misses 2-pt jump shot from 17 ft,3,6
1,7:01.0,,Offensive rebound by Team,3,6
1,7:01.0,,Turnover by Team (shot clock),3,6
1,7:01.0,O. Casspi enters the game for J. Green,,3,6
1,6:37.0,J. Jackson makes 2-pt hook shot from 10 ft,,5,6
1,6:21.0,,K. Lowry misses 2-pt jump shot from 21 ft,5,6
1,6:19.0,,Offensive rebound by S. Ibaka,5,6
1,6:19.0,,S. Ibaka makes 2-pt hook shot from 2 ft,5,8
1,5:55.0,J. Jackson makes 2-pt hook shot from 3 ft,,7,8
1,5:47.0,,P. Siakam misses 2-pt layup from 2 ft,7,8
1,5:46.0,Defensive rebound by M. Conley,,7,8
1,5:42.0,G. Temple misses 2-pt layup from 2 ft (block by K. Lowry),,7,8
1,5:39.0,,Defensive rebound by D. Green,7,8
1,5:37.0,,P. Siakam makes 2-pt layup from 1 ft (assist by D. Green),7,10
1,5:37.0,Memphis full timeout,,7,10
1,5:37.0,S. Mack enters the game for G. Temple,,7,10
1,5:23.0,Shooting foul by P. Siakam (drawn by O. Casspi),,7,10
1,5:23.0,O. Casspi makes free throw 1 of 2,,8,10
1,5:23.0,O. Casspi makes free throw 2 of 2,,9,10
1,5:13.0,,K. Lowry misses 3-pt jump shot from 26 ft,9,10
1,5:08.0,Defensive rebound by J. Jackson,,9,10
1,5:05.0,Turnover by J. Holiday (bad pass; steal by D. Green),,9,10
1,5:02.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by D. Green),9,12
1,4:38.0,M. Conley misses 3-pt jump shot from 25 ft,,9,12
1,4:34.0,Offensive rebound by S. Mack,,9,12
1,4:33.0,S. Mack misses 2-pt jump shot from 5 ft,,9,12
1,4:30.0,Offensive rebound by Team,,9,12
1,4:30.0,J. Green enters the game for M. Conley,,9,12
1,4:30.0,I. Rabb enters the game for J. Jackson,,9,12
1,4:30.0,,N. Powell enters the game for K. Lowry,9,12
1,4:14.0,S. Mack makes 3-pt jump shot from 25 ft,,12,12
1,3:53.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by D. Green),12,14
1,3:38.0,I. Rabb makes 2-pt hook shot from 4 ft (assist by O. Casspi),,14,14
1,3:23.0,,P. Siakam misses 3-pt jump shot from 26 ft,14,14
1,3:23.0,Defensive rebound by Team,,14,14
1,3:12.0,Turnover by J. Holiday (bad pass; steal by D. Green),,14,14
1,3:07.0,,N. Powell misses 2-pt layup from 1 ft,14,14
1,3:05.0,,Offensive rebound by Team,14,14
1,3:05.0,,Toronto full timeout,14,14
1,3:05.0,J. Carter enters the game for J. Holiday,,14,14
1,3:05.0,,D. Wright enters the game for D. Green,14,14
1,2:57.0,,Personal foul by I. Rabb (drawn by S. Ibaka),14,14
1,2:48.0,,F. VanVleet misses 3-pt jump shot from 26 ft,14,14
1,2:45.0,Defensive rebound by J. Green,,14,14
1,2:28.0,O. Casspi misses 2-pt jump shot from 3 ft (block by S. Ibaka),,14,14
1,2:26.0,Offensive rebound by I. Rabb,,14,14
1,2:23.0,J. Carter makes 3-pt jump shot from 26 ft (assist by J. Green),,17,14
1,2:08.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by N. Powell),17,16
1,1:53.0,Turnover by I. Rabb (bad pass; steal by N. Powell),,17,16
1,1:41.0,,P. Siakam makes 2-pt layup from 3 ft,17,18
1,1:25.0,J. Carter misses 3-pt jump shot from 26 ft,,17,18
1,1:23.0,,Defensive rebound by P. Siakam,17,18
1,1:14.0,,Shooting foul by J. Green (drawn by D. Wright),17,18
1,1:14.0,,D. Wright makes free throw 1 of 2,17,19
1,1:14.0,,K. Lowry enters the game for S. Ibaka,17,19
1,1:14.0,,C. Miles enters the game for P. Siakam,17,19
1,1:14.0,,G. Monroe enters the game for F. VanVleet,17,19
1,1:14.0,,D. Wright makes free throw 2 of 2,17,20
1,0:57.0,Turnover by J. Green (bad pass; steal by C. Miles),,17,20
1,0:45.0,,C. Miles makes 2-pt layup from 2 ft (assist by G. Monroe),17,22
1,0:45.0,,Shooting foul by J. Green (drawn by C. Miles),17,22
1,0:45.0,M. Conley enters the game for J. Carter,,17,22
1,0:45.0,G. Temple enters the game for J. Green,,17,22
1,0:45.0,,C. Miles makes free throw 1 of 1,17,23
1,0:29.0,O. Casspi makes 2-pt layup from 1 ft (assist by M. Conley),,19,23
1,0:05.0,,Turnover by G. Monroe (lost ball; steal by M. Conley),19,23
1,0:00.0,O. Casspi misses 3-pt jump shot from 26 ft,,19,23
1,0:00.0,Offensive rebound by Team,,19,23
2,11:38.0,,Turnover by C. Miles (bad pass; steal by O. Casspi),19,23
2,11:29.0,Turnover by M. Conley (bad pass; steal by D. Wright),,19,23
2,11:25.0,,D. Wright misses 2-pt jump shot from 3 ft,19,23
2,11:22.0,Defensive rebound by I. Rabb,,19,23
2,11:03.0,M. Conley misses 2-pt jump shot from 19 ft,,19,23
2,11:02.0,Offensive rebound by Team,,19,23
2,11:02.0,,Loose ball foul by G. Monroe (drawn by I. Rabb),19,23
2,10:52.0,Turnover by M. Conley (bad pass; steal by C. Miles),,19,23
2,10:46.0,,N. Powell makes 3-pt jump shot from 26 ft (assist by K. Lowry),19,26
2,10:33.0,M. Conley makes 2-pt jump shot from 8 ft,,21,26
2,10:27.0,,C. Miles misses 2-pt jump shot from 10 ft,21,26
2,10:24.0,Defensive rebound by I. Rabb,,21,26
2,10:12.0,O. Casspi misses 2-pt hook shot from 5 ft,,21,26
2,10:11.0,,Defensive rebound by Team,21,26
2,9:58.0,,C. Miles misses 3-pt jump shot from 25 ft,21,26
2,9:55.0,Defensive rebound by G. Temple,,21,26
2,9:43.0,I. Rabb makes 2-pt layup from 1 ft,,23,26
2,9:43.0,Shooting foul by G. Monroe (drawn by I. Rabb),,23,26
2,9:43.0,I. Rabb misses free throw 1 of 1,,23,26
2,9:41.0,,Defensive rebound by D. Wright,23,26
2,9:37.0,,N. Powell makes 2-pt layup from 1 ft (assist by D. Wright),23,28
2,9:18.0,Turnover by G. Temple (bad pass; steal by N. Powell),,23,28
2,9:17.0,,Personal foul by J. Carter (drawn by K. Lowry),23,28
2,9:17.0,J. Holiday enters the game for O. Casspi,,23,28
2,9:17.0,J. Jackson enters the game for I. Rabb,,23,28
2,8:58.0,,C. Miles misses 3-pt jump shot from 23 ft,23,28
2,8:55.0,Defensive rebound by J. Holiday,,23,28
2,8:44.0,Shooting foul by N. Powell (drawn by J. Jackson),,23,28
2,8:44.0,J. Jackson makes free throw 1 of 2,,24,28
2,8:44.0,J. Jackson makes free throw 2 of 2,,25,28
2,8:28.0,,Shooting foul by J. Jackson (drawn by K. Lowry),25,28
2,8:28.0,,K. Lowry makes free throw 1 of 2,25,29
2,8:28.0,,K. Lowry makes free throw 2 of 2,25,30
2,8:11.0,G. Temple makes 2-pt layup from 1 ft,,27,30
2,8:01.0,Violation by Team (kicked ball),,27,30
2,8:01.0,,P. McCaw enters the game for N. Powell,27,30
2,7:55.0,,D. Wright misses 2-pt layup from 2 ft,27,30
2,7:52.0,Defensive rebound by J. Holiday,,27,30
2,7:49.0,J. Carter makes 3-pt jump shot from 26 ft (assist by M. Conley),,30,30
2,7:34.0,,G. Monroe misses 2-pt layup from 1 ft,30,30
2,7:32.0,Defensive rebound by M. Conley,,30,30
2,7:31.0,Personal take foul by D. Wright (drawn by M. Conley),,30,30
2,7:31.0,S. Mack enters the game for M. Conley,,30,30
2,7:25.0,J. Holiday misses 2-pt jump shot from 15 ft,,30,30
2,7:23.0,,Defensive rebound by K. Lowry,30,30
2,7:19.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by K. Lowry),30,33
2,7:10.0,S. Mack makes 2-pt layup from 1 ft (assist by J. Carter),,32,33
2,7:00.0,,C. Miles makes 2-pt jump shot from 7 ft (assist by K. Lowry),32,35
2,7:00.0,,Shooting foul by J. Holiday (drawn by C. Miles),32,35
2,7:00.0,,P. Siakam enters the game for G. Monroe,32,35
2,7:00.0,,C. Miles misses free throw 1 of 1,32,35
2,6:58.0,Defensive rebound by J. Holiday,,32,35
2,6:31.0,Turnover by J. Jackson (lost ball; steal by C. Miles),,32,35
2,6:28.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by P. McCaw),32,38
2,6:28.0,Memphis full timeout,,32,38
2,6:28.0,J. Green enters the game for J. Carter,,32,38
2,6:28.0,,S. Ibaka enters the game for D. Wright,32,38
2,6:18.0,Personal foul by S. Ibaka (drawn by J. Jackson),,32,38
2,6:18.0,J. Jackson misses free throw 1 of 2,,32,38
2,6:18.0,Offensive rebound by Team,,32,38
2,6:18.0,J. Jackson makes free throw 2 of 2,,33,38
2,6:09.0,,Shooting foul by J. Green (drawn by P. Siakam),33,38
2,6:09.0,,P. Siakam makes free throw 1 of 2,33,39
2,6:09.0,O. Casspi enters the game for J. Green,,33,39
2,6:09.0,,P. Siakam makes free throw 2 of 2,33,40
2,5:53.0,J. Jackson makes 2-pt layup at rim (assist by S. Mack),,35,40
2,5:47.0,,Turnover by K. Lowry (bad pass),35,40
2,5:47.0,,F. VanVleet enters the game for K. Lowry,35,40
2,5:25.0,O. Casspi misses 3-pt jump shot from 24 ft,,35,40
2,5:22.0,,Defensive rebound by C. Miles,35,40
2,5:15.0,,S. Ibaka makes 2-pt jump shot from 15 ft (assist by F. VanVleet),35,42
2,4:51.0,S. Mack makes 2-pt layup from 1 ft,,37,42
2,4:38.0,,P. Siakam makes 2-pt layup from 1 ft (assist by F. VanVleet),37,44
2,4:27.0,Turnover by S. Mack (lost ball; steal by C. Miles),,37,44
2,4:20.0,,Turnover by P. McCaw (lost ball; steal by S. Mack),37,44
2,4:14.0,G. Temple makes 3-pt jump shot from 22 ft (assist by J. Holiday),,40,44
2,3:59.0,,Shooting foul by J. Jackson (drawn by C. Miles),40,44
2,3:59.0,,C. Miles makes free throw 1 of 2,40,45
2,3:59.0,M. Conley enters the game for J. Holiday,,40,45
2,3:59.0,,D. Green enters the game for P. Siakam,40,45
2,3:59.0,,C. Miles makes free throw 2 of 2,40,46
2,3:41.0,M. Conley makes 2-pt jump shot from 21 ft,,42,46
2,3:17.0,,C. Miles misses 2-pt jump shot from 16 ft,42,46
2,3:14.0,Defensive rebound by G. Temple,,42,46
2,3:08.0,Turnover by O. Casspi (bad pass; steal by C. Miles),,42,46
2,3:01.0,,F. VanVleet misses 3-pt jump shot from 26 ft,42,46
2,2:58.0,Defensive rebound by O. Casspi,,42,46
2,2:55.0,Memphis full timeout,,42,46
2,2:55.0,,P. Siakam enters the game for C. Miles,42,46
2,2:46.0,J. Jackson misses 3-pt jump shot from 25 ft,,42,46
2,2:44.0,,Defensive rebound by D. Green,42,46
2,2:34.0,,F. VanVleet misses 2-pt jump shot from 8 ft,42,46
2,2:32.0,,Offensive rebound by S. Ibaka,42,46
2,2:31.0,,S. Ibaka makes 2-pt hook shot from 3 ft,42,48
2,2:15.0,M. Conley makes 2-pt layup from 2 ft (assist by G. Temple),,44,48
2,2:05.0,,Def 3 sec tech foul by Team,44,48
2,2:05.0,,F. VanVleet makes technical free throw,44,49
2,2:05.0,,K. Lowry enters the game for P. McCaw,44,49
2,1:58.0,,Turnover by F. VanVleet (bad pass; steal by G. Temple),44,49
2,1:44.0,Turnover by S. Mack (bad pass; steal by F. VanVleet),,44,49
2,1:40.0,,D. Green misses 3-pt jump shot from 27 ft,44,49
2,1:39.0,Defensive rebound by Team,,44,49
2,1:39.0,,Loose ball foul by S. Ibaka (drawn by O. Casspi),44,49
2,1:39.0,O. Casspi makes free throw 1 of 2,,45,49
2,1:39.0,I. Rabb enters the game for J. Jackson,,45,49
2,1:39.0,O. Casspi makes free throw 2 of 2,,46,49
2,1:15.0,,Turnover by Team (shot clock),46,49
2,1:15.0,,N. Powell enters the game for S. Ibaka,46,49
2,1:02.0,O. Casspi misses 2-pt jump shot from 4 ft,,46,49
2,1:00.0,,Defensive rebound by N. Powell,46,49
2,0:57.0,,D. Green makes 3-pt jump shot from 25 ft (assist by N. Powell),46,52
2,0:39.0,M. Conley makes 2-pt jump shot from 14 ft,,48,52
2,0:33.0,,Shooting foul by G. Temple (drawn by K. Lowry),48,52
2,0:33.0,,K. Lowry makes free throw 1 of 3,48,53
2,0:33.0,,K. Lowry makes free throw 2 of 3,48,54
2,0:33.0,J. Jackson enters the game for I. Rabb,,48,54
2,0:33.0,,K. Lowry makes free throw 3 of 3,48,55
2,0:15.0,S. Mack misses 3-pt jump shot from 25 ft,,48,55
2,0:13.0,,Defensive rebound by P. Siakam,48,55
2,0:02.0,,P. Siakam misses 2-pt jump shot from 4 ft,48,55
2,0:02.0,,Offensive rebound by P. Siakam,48,55
2,0:00.0,,P. Siakam misses 2-pt layup from 1 ft,48,55
2,0:00.0,Defensive rebound by J. Jackson,,48,55
3,11:37.0,,S. Ibaka misses 2-pt jump shot from 11 ft,48,55
3,11:33.0,Defensive rebound by J. Green,,48,55
3,11:12.0,J. Green misses 3-pt jump shot from 27 ft,,48,55
3,11:12.0,Offensive rebound by Team,,48,55
3,11:12.0,Turnover by Team (shot clock),,48,55
3,11:01.0,,P. Siakam makes 2-pt layup from 1 ft (assist by F. VanVleet),48,57
3,10:37.0,M. Conley misses 2-pt layup from 2 ft,,48,57
3,10:35.0,,Defensive rebound by D. Green,48,57
3,10:28.0,,F. VanVleet makes 3-pt jump shot from 23 ft (assist by K. Lowry),48,60
3,10:27.0,Memphis full timeout,,48,60
3,10:12.0,G. Temple misses 3-pt jump shot from 26 ft,,48,60
3,10:09.0,,Defensive rebound by F. VanVleet,48,60
3,10:00.0,,P. Siakam makes 2-pt layup at rim,48,62
3,9:50.0,Personal foul by S. Ibaka (drawn by J. Jackson),,48,62
3,9:38.0,Turnover by J. Holiday (bad pass),,48,62
3,9:20.0,,S. Ibaka misses 3-pt jump shot from 26 ft,48,62
3,9:17.0,,Offensive rebound by P. Siakam,48,62
3,9:15.0,,K. Lowry misses 3-pt jump shot from 27 ft,48,62
3,9:13.0,,Offensive rebound by F. VanVleet,48,62
3,9:10.0,,D. Green makes 3-pt jump shot from 24 ft (assist by F. VanVleet),48,65
3,8:47.0,J. Green makes 3-pt jump shot from 24 ft (assist by J. Holiday),,51,65
3,8:34.0,,D. Green makes 3-pt jump shot from 24 ft (assist by K. Lowry),51,68
3,8:22.0,M. Conley makes 2-pt jump shot from 9 ft,,53,68
3,8:22.0,S. Mack enters the game for J. Holiday,,53,68
3,8:04.0,,F. VanVleet misses 3-pt jump shot from 25 ft,53,68
3,8:02.0,,Offensive rebound by Team,53,68
3,7:50.0,,D. Green makes 3-pt jump shot from 23 ft (assist by F. VanVleet),53,71
3,7:29.0,J. Jackson makes 2-pt layup from 3 ft,,55,71
3,7:29.0,Shooting foul by S. Ibaka (drawn by J. Jackson),,55,71
3,7:29.0,O. Casspi enters the game for J. Green,,55,71
3,7:29.0,J. Jackson misses free throw 1 of 1,,55,71
3,7:29.0,,Defensive rebound by Team,55,71
3,7:06.0,,F. VanVleet misses 2-pt layup from 2 ft (block by G. Temple),55,71
3,7:02.0,,Offensive rebound by S. Ibaka,55,71
3,7:01.0,,S. Ibaka makes 2-pt hook shot from 1 ft,55,73
3,6:44.0,Turnover by J. Jackson (bad pass),,55,73
3,6:40.0,,Shooting foul by O. Casspi (drawn by P. Siakam),55,73
3,6:40.0,,P. Siakam misses free throw 1 of 2,55,73
3,6:40.0,,Offensive rebound by Team,55,73
3,6:40.0,,P. Siakam makes free throw 2 of 2,55,74
3,6:24.0,Turnover by J. Jackson (lost ball; steal by P. Siakam),,55,74
3,6:18.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Lowry),55,77
