QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
1,11:41.0,Def 3 sec tech foul by Team,,0,0
1,11:41.0,S. Curry makes technical free throw,,1,0
1,11:36.0,D. Green misses 3-pt jump shot from 25 ft,,1,0
1,11:33.0,,Defensive rebound by P. Beverley,1,0
1,11:28.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by K. Durant),1,0
1,11:18.0,Turnover by D. Green (bad pass; steal by S. Gilgeous-Alexander),,1,0
1,11:14.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,1,2
1,10:55.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by A. Bogut),,3,2
1,10:42.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft,3,4
1,10:32.0,A. Bogut misses 2-pt hook shot from 12 ft,,3,4
1,10:29.0,,Defensive rebound by P. Beverley,3,4
1,10:23.0,,D. Gallinari misses 2-pt layup from 3 ft,3,4
1,10:21.0,Defensive rebound by K. Durant,,3,4
1,10:19.0,Personal take foul by S. Gilgeous-Alexander (drawn by S. Curry),,3,4
1,10:08.0,S. Curry misses 3-pt jump shot from 25 ft,,3,4
1,10:06.0,,Defensive rebound by P. Beverley,3,4
1,10:02.0,,L. Shamet misses 3-pt jump shot from 24 ft,3,4
1,9:58.0,Defensive rebound by K. Durant,,3,4
1,9:49.0,A. Bogut makes 2-pt dunk from 3 ft,,5,4
1,9:30.0,,Personal foul by S. Curry (drawn by J. Green),5,4
1,9:21.0,,P. Beverley misses 2-pt layup from 2 ft,5,4
1,9:19.0,Defensive rebound by D. Green,,5,4
1,9:19.0,Shooting foul by L. Shamet (drawn by D. Green),,5,4
1,9:19.0,D. Green makes free throw 1 of 2,,6,4
1,9:19.0,D. Green makes free throw 2 of 2,,7,4
1,9:07.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by L. Shamet),7,7
1,9:03.0,D. Green misses 2-pt dunk from 1 ft (block by P. Beverley),,7,7
1,9:03.0,Offensive rebound by Team,,7,7
1,8:57.0,K. Durant makes 2-pt jump shot from 16 ft (assist by A. Bogut),,9,7
1,8:43.0,,D. Gallinari misses 3-pt jump shot from 27 ft,9,7
1,8:40.0,Defensive rebound by D. Green,,9,7
