QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
1,11:41.0,P. Tucker misses 3-pt jump shot from 23 ft,,0,0
1,11:39.0,Offensive rebound by C. Capela,,0,0
1,11:35.0,Shooting foul by D. Powell (drawn by E. Gordon),,0,0
1,11:35.0,E. Gordon makes free throw 1 of 2,,1,0
1,11:35.0,E. Gordon misses free throw 2 of 2,,1,0
1,11:33.0,,Defensive rebound by L. Dončić,1,0
1,11:17.0,,J. Brunson makes 2-pt jump shot from 9 ft (assist by D. Powell),1,2
1,11:00.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,3,2
1,10:41.0,,D. Powell makes 3-pt jump shot from 25 ft (assist by L. Dončić),3,5
1,10:29.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,5,5
1,10:13.0,,Offensive foul by D. Finney-Smith (drawn by J. Harden),5,5
1,10:13.0,,Turnover by D. Finney-Smith (offensive foul),5,5
1,9:58.0,E. Gordon misses 2-pt hook shot from 8 ft,,5,5
1,9:56.0,Offensive rebound by C. Capela,,5,5
1,9:54.0,Shooting foul by L. Dončić (drawn by C. Capela),,5,5
1,9:54.0,C. Capela makes free throw 1 of 2,,6,5
1,9:54.0,C. Capela makes free throw 2 of 2,,7,5
1,9:40.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,7,5
1,9:37.0,Defensive rebound by C. Paul,,7,5
1,9:28.0,E. Gordon misses 3-pt jump shot from 27 ft,,7,5
1,9:26.0,Offensive rebound by P. Tucker,,7,5
1,9:23.0,Turnover by C. Paul (bad pass),,7,5
1,9:12.0,,L. Dončić makes 2-pt jump shot from 5 ft,7,7
1,8:58.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,9,7
1,8:39.0,,Offensive foul by D. Finney-Smith (drawn by P. Tucker),9,7
1,8:39.0,,Turnover by D. Finney-Smith (offensive foul),9,7
1,8:39.0,,M. Kleber enters the game for D. Finney-Smith,9,7
1,8:25.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Capela),,12,7
1,8:12.0,,Turnover by L. Dončić (out of bounds lost ball),12,7
1,8:01.0,E. Gordon misses 3-pt jump shot from 25 ft,,12,7
1,7:58.0,,Defensive rebound by L. Dončić,12,7
1,7:49.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by L. Dončić),12,10
1,7:36.0,C. Paul misses 3-pt jump shot from 24 ft,,12,10
1,7:34.0,,Defensive rebound by J. Brunson,12,10
1,7:22.0,,Turnover by J. Brunson (bad pass; steal by C. Capela),12,10
1,7:18.0,J. Harden makes 2-pt layup from 1 ft,,14,10
1,7:18.0,Shooting foul by J. Brunson (drawn by J. Harden),,14,10
1,7:18.0,J. Harden makes free throw 1 of 1,,15,10
1,7:03.0,,Personal foul by J. Harden (drawn by L. Dončić),15,10
1,6:56.0,,Turnover by J. Brunson (bad pass),15,10
1,6:56.0,,Dallas full timeout,15,10
1,6:56.0,G. Green enters the game for E. Gordon,,15,10
1,6:56.0,A. Rivers enters the game for C. Paul,,15,10
1,6:32.0,J. Harden misses 3-pt jump shot from 27 ft,,15,10
1,6:29.0,,Defensive rebound by L. Dončić,15,10
1,6:15.0,,J. Brunson makes 2-pt layup at rim (assist by D. Powell),15,12
1,6:15.0,,Shooting foul by A. Rivers (drawn by J. Brunson),15,12
1,6:15.0,,J. Brunson makes free throw 1 of 1,15,13
1,6:02.0,G. Green misses 3-pt jump shot from 25 ft,,15,13
1,5:59.0,,Defensive rebound by D. Powell,15,13
1,5:53.0,,J. Brunson makes 3-pt jump shot from 25 ft (assist by T. Hardaway),15,16
1,5:46.0,Turnover by G. Green (bad pass),,15,16
1,5:36.0,,L. Dončić misses 3-pt jump shot from 28 ft,15,16
1,5:32.0,Defensive rebound by G. Green,,15,16
1,5:11.0,J. Harden misses 2-pt jump shot from 12 ft,,15,16
1,5:08.0,,Defensive rebound by L. Dončić,15,16
1,4:52.0,,Turnover by L. Dončić (bad pass),15,16
1,4:52.0,,J. Jackson enters the game for J. Brunson,15,16
1,4:39.0,J. Harden misses 3-pt jump shot from 26 ft,,15,16
1,4:35.0,,Defensive rebound by L. Dončić,15,16
1,4:26.0,,L. Dončić misses 2-pt layup from 4 ft,15,16
1,4:24.0,,Offensive rebound by L. Dončić,15,16
1,4:23.0,,Shooting foul by C. Capela (drawn by L. Dončić),15,16
1,4:23.0,,L. Dončić makes free throw 1 of 2,15,17
1,4:23.0,N. Hilário enters the game for C. Capela,,15,17
1,4:23.0,,D. Nowitzki enters the game for D. Powell,15,17
1,4:23.0,,L. Dončić makes free throw 2 of 2,15,18
1,4:10.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by A. Rivers),,18,18
1,4:00.0,,Turnover by T. Hardaway (bad pass),18,18
1,3:42.0,J. Harden misses 2-pt jump shot from 13 ft,,18,18
1,3:40.0,,Defensive rebound by L. Dončić,18,18
1,3:22.0,,M. Kleber misses 3-pt jump shot from 23 ft,18,18
1,3:19.0,Defensive rebound by J. Harden,,18,18
1,3:16.0,Shooting foul by D. Nowitzki (drawn by G. Green),,18,18
1,3:16.0,G. Green makes free throw 1 of 2,,19,18
1,3:16.0,G. Green makes free throw 2 of 2,,20,18
1,3:01.0,,T. Hardaway misses 2-pt jump shot from 9 ft,20,18
1,2:59.0,Defensive rebound by N. Hilário,,20,18
1,2:53.0,J. Harden makes 2-pt layup from 1 ft,,22,18
1,2:52.0,,Dallas full timeout,22,18
1,2:52.0,C. Paul enters the game for J. Harden,,22,18
1,2:52.0,I. Shumpert enters the game for P. Tucker,,22,18
1,2:52.0,,J. Brunson enters the game for L. Dončić,22,18
1,2:52.0,,D. Harris enters the game for T. Hardaway,22,18
1,2:41.0,,D. Nowitzki makes 2-pt layup from 3 ft (assist by D. Harris),22,20
1,2:41.0,,Shooting foul by I. Shumpert (drawn by D. Nowitzki),22,20
1,2:41.0,,D. Nowitzki misses free throw 1 of 1,22,20
1,2:39.0,Defensive rebound by I. Shumpert,,22,20
1,2:27.0,G. Green misses 2-pt jump shot from 10 ft,,22,20
1,2:24.0,,Defensive rebound by D. Nowitzki,22,20
1,2:19.0,,J. Brunson makes 2-pt layup from 3 ft,22,22
1,2:04.0,I. Shumpert misses 2-pt jump shot from 20 ft,,22,22
1,2:00.0,,Defensive rebound by M. Kleber,22,22
1,1:57.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,22,22
1,1:53.0,Defensive rebound by G. Green,,22,22
1,1:41.0,C. Paul misses 3-pt jump shot from 24 ft,,22,22
