QUARTER,TIME_REMAINING,TORONTO_ACTION,BOSTON_ACTION,TORONTO_SCORE,BOSTON_SCORE
1,11:45.0,K. Lowry misses 3-pt jump shot from 29 ft,,0,0
1,11:45.0,,Defensive rebound by Team,0,0
1,11:36.0,,Personal foul by S. Ibaka (drawn by A. Horford),0,0
1,11:30.0,,A. Horford misses 2-pt hook shot from 8 ft,0,0
1,11:28.0,Defensive rebound by S. Ibaka,,0,0
1,11:15.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,0
1,11:03.0,,G. Hayward misses 3-pt jump shot from 25 ft,3,0
1,10:58.0,,Offensive rebound by J. Brown,3,0
1,10:56.0,,J. Brown makes 2-pt layup at rim,3,2
1,10:41.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Leonard),,5,2
1,10:30.0,,K. Irving misses 2-pt layup from 2 ft,5,2
1,10:25.0,Defensive rebound by D. Green,,5,2
1,10:21.0,S. Ibaka misses 2-pt jump shot from 9 ft,,5,2
1,10:21.0,Offensive rebound by D. Green,,5,2
1,10:15.0,D. Green makes 2-pt layup from 1 ft,,7,2
1,9:59.0,,J. Brown makes 3-pt jump shot from 25 ft (assist by K. Irving),7,5
1,9:40.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Leonard),,10,5
1,9:28.0,,Personal foul by K. Lowry (drawn by K. Irving),10,5
1,9:20.0,,K. Irving misses 3-pt jump shot from 25 ft,10,5
1,9:16.0,Defensive rebound by S. Ibaka,,10,5
1,9:04.0,K. Leonard makes 2-pt jump shot from 9 ft,,12,5
1,8:54.0,,K. Irving makes 3-pt jump shot from 25 ft,12,8
1,8:44.0,S. Ibaka misses 2-pt hook shot from 7 ft (block by A. Horford),,12,8
1,8:44.0,Offensive rebound by Team,,12,8
1,8:43.0,D. Green misses 2-pt jump shot from 16 ft,,12,8
1,8:42.0,,Defensive rebound by Team,12,8
1,8:31.0,,J. Tatum makes 2-pt dunk from 1 ft,12,10
1,8:15.0,K. Lowry misses 2-pt layup from 2 ft,,12,10
1,8:13.0,,Defensive rebound by G. Hayward,12,10
1,8:05.0,,J. Brown misses 2-pt layup from 1 ft,12,10
1,8:01.0,,Offensive rebound by J. Brown,12,10
1,8:01.0,,J. Brown makes 2-pt layup from 1 ft,12,12
1,7:48.0,K. Leonard misses 3-pt jump shot from 23 ft,,12,12
1,7:46.0,,Defensive rebound by J. Tatum,12,12
1,7:39.0,,J. Tatum misses 2-pt jump shot from 18 ft,12,12
1,7:36.0,Defensive rebound by K. Leonard,,12,12
1,7:31.0,D. Green misses 3-pt jump shot from 26 ft,,12,12
1,7:26.0,,Defensive rebound by A. Horford,12,12
1,7:19.0,,Turnover by J. Brown (lost ball),12,12
1,7:01.0,S. Ibaka makes 2-pt jump shot from 8 ft (assist by P. Siakam),,14,12
1,6:47.0,,Personal foul by D. Green (drawn by A. Horford),14,12
1,6:47.0,,M. Smart enters the game for G. Hayward,14,12
1,6:42.0,,A. Horford misses 2-pt jump shot from 19 ft,14,12
1,6:39.0,Defensive rebound by K. Leonard,,14,12
1,6:30.0,K. Leonard makes 2-pt jump shot from 14 ft,,16,12
1,6:18.0,,J. Tatum misses 2-pt jump shot from 20 ft,16,12
1,6:15.0,Defensive rebound by P. Siakam,,16,12
1,5:55.0,P. Siakam misses 2-pt layup from 1 ft,,16,12
1,5:53.0,,Defensive rebound by J. Tatum,16,12
1,5:53.0,O. Anunoby enters the game for P. Siakam,,16,12
1,5:36.0,,J. Brown misses 3-pt jump shot from 25 ft,16,12
1,5:34.0,,Offensive rebound by A. Horford,16,12
1,5:31.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by A. Horford),16,15
1,5:22.0,Personal foul by J. Tatum (drawn by K. Lowry),,16,15
1,5:22.0,,M. Morris enters the game for J. Brown,16,15
1,5:03.0,K. Leonard misses 3-pt jump shot from 22 ft,,16,15
1,5:01.0,,Defensive rebound by A. Horford,16,15
1,4:48.0,,K. Irving makes 2-pt jump shot from 13 ft,16,17
1,4:24.0,K. Leonard misses 2-pt jump shot from 12 ft,,16,17
1,4:21.0,,Defensive rebound by M. Morris,16,17
1,4:13.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by K. Irving),16,19
1,4:12.0,K. Lowry misses 3-pt jump shot from 22 ft,,16,19
1,4:01.0,,Defensive rebound by M. Smart,16,19
1,3:57.0,,Turnover by M. Smart (bad pass; steal by D. Green),16,19
1,3:51.0,Turnover by O. Anunoby (lost ball; steal by K. Irving),,16,19
1,3:46.0,,K. Irving makes 2-pt layup from 1 ft,16,21
1,3:33.0,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Lowry),,18,21
1,3:33.0,Shooting foul by M. Smart (drawn by S. Ibaka),,18,21
1,3:33.0,F. VanVleet enters the game for K. Lowry,,18,21
1,3:33.0,,T. Rozier enters the game for J. Tatum,18,21
1,3:33.0,S. Ibaka makes free throw 1 of 1,,19,21
1,3:17.0,,K. Irving makes 2-pt jump shot from 13 ft,19,23
1,3:02.0,O. Anunoby misses 3-pt jump shot from 22 ft,,19,23
1,3:01.0,,Defensive rebound by T. Rozier,19,23
1,3:01.0,,Turnover by T. Rozier (lost ball; steal by K. Leonard),19,23
1,2:58.0,K. Leonard makes 2-pt dunk from 2 ft,,21,23
1,2:44.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Horford),21,26
1,2:31.0,K. Leonard makes 2-pt jump shot from 14 ft (assist by F. VanVleet),,23,26
1,2:13.0,,M. Morris makes 2-pt layup at rim (assist by K. Irving),23,28
1,2:05.0,Personal foul by K. Irving (drawn by F. VanVleet),,23,28
1,2:05.0,,Boston full timeout,23,28
1,2:05.0,P. Siakam enters the game for S. Ibaka,,23,28
1,2:05.0,J. Valančiūnas enters the game for K. Leonard,,23,28
1,2:05.0,,A. Baynes enters the game for A. Horford,23,28
1,2:05.0,,G. Hayward enters the game for K. Irving,23,28
1,1:55.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by P. Siakam),,26,28
1,1:30.0,,M. Smart makes 2-pt hook shot from 3 ft (assist by A. Baynes),26,30
1,1:05.0,Shooting foul by M. Morris (drawn by P. Siakam),,26,30
1,1:05.0,P. Siakam misses free throw 1 of 2,,26,30
1,1:05.0,Offensive rebound by Team,,26,30
1,1:05.0,P. Siakam makes free throw 2 of 2,,27,30
1,0:53.0,,M. Smart misses 3-pt jump shot from 26 ft,27,30
1,0:51.0,Defensive rebound by J. Valančiūnas,,27,30
1,0:35.0,F. VanVleet misses 3-pt jump shot from 27 ft,,27,30
1,0:29.0,Offensive rebound by F. VanVleet,,27,30
1,0:28.0,F. VanVleet misses 3-pt jump shot from 30 ft,,27,30
1,0:25.0,Offensive rebound by P. Siakam,,27,30
1,0:23.0,Turnover by P. Siakam (lost ball; steal by G. Hayward),,27,30
1,0:18.0,,Turnover by M. Smart (bad pass),27,30
1,0:18.0,K. Leonard enters the game for P. Siakam,,27,30
1,0:18.0,K. Lowry enters the game for J. Valančiūnas,,27,30
1,0:01.0,K. Leonard misses 2-pt jump shot from 15 ft,,27,30
