QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
1,11:46.0,Turnover by L. Dončić (bad pass),,0,0
1,11:30.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),0,3
1,11:10.0,M. Kleber makes 2-pt layup from 4 ft (assist by J. Brunson),,2,3
1,10:52.0,,P. Tucker misses 3-pt jump shot from 26 ft,2,3
1,10:51.0,Defensive rebound by L. Dončić,,2,3
1,10:33.0,M. Kleber makes 2-pt jump shot from 10 ft,,4,3
1,10:23.0,Violation by Team (kicked ball),,4,3
1,10:17.0,,J. Harden misses 3-pt jump shot from 24 ft,4,3
1,10:17.0,Defensive rebound by J. Brunson,,4,3
1,10:11.0,Turnover by J. Brunson (bad pass; steal by J. Harden),,4,3
1,10:09.0,,J. Harden makes 2-pt layup from 4 ft,4,5
1,10:09.0,,Shooting foul by J. Brunson (drawn by J. Harden),4,5
1,10:09.0,,J. Harden makes free throw 1 of 1,4,6
1,9:50.0,L. Dončić makes 3-pt jump shot from 28 ft,,7,6
1,9:25.0,,K. Faried makes 2-pt dunk from 1 ft (assist by C. Paul),7,8
1,9:05.0,L. Dončić makes 2-pt layup from 7 ft,,9,8
1,8:53.0,,J. Harden misses 3-pt jump shot from 25 ft,9,8
1,8:52.0,Defensive rebound by L. Dončić,,9,8
1,8:44.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,9,8
1,8:42.0,,Defensive rebound by C. Paul,9,8
1,8:32.0,,J. Harden misses 3-pt jump shot from 27 ft,9,8
1,8:30.0,Defensive rebound by T. Hardaway,,9,8
1,8:21.0,M. Kleber misses 2-pt layup from 4 ft,,9,8
1,8:19.0,,Defensive rebound by J. Harden,9,8
1,8:11.0,,Houston full timeout,9,8
1,8:01.0,,C. Paul misses 3-pt jump shot from 24 ft,9,8
1,7:57.0,Defensive rebound by T. Hardaway,,9,8
